Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,41.72,42.16,42.56,41.67,5.54M,-1.3,HOLX,-0.260231843,3.13111546,10.36649215,30,11,2017
29-Nov-17,42.27,40.56,42.68,40.55,4.86M,4.5,HOLX,0.271940667,-0.098522167,7.15984148,29,11,2017
28-Nov-17,40.45,40.82,40.9,40.36,2.31M,-0.78,HOLX,0.122639195,1.567554118,9.701693093,28,11,2017
27-Nov-17,40.77,40.84,41.04,40.48,2.10M,-0.24,HOLX,-0.073403474,2.202202202,9.667024705,27,11,2017
24-Nov-17,40.87,40.92,40.98,40.31,1.04M,-0.02,HOLX,0.097847358,3.021148036,10.20737948,24,11,2017
22-Nov-17,40.88,40.59,41.06,39.87,3.28M,0.69,HOLX,-0.024630542,3.414012739,9.613826627,22,11,2017
21-Nov-17,40.6,40.32,40.95,40.03,2.69M,1.02,HOLX,0.323463548,1.766784452,8.855291577,21,11,2017
20-Nov-17,40.19,39.84,40.23,39.77,2.20M,0.58,HOLX,-0.3003003,-1.968503937,7.096774194,20,11,2017
17-Nov-17,39.96,39.62,40.2,39.17,2.09M,0.6,HOLX,-0.251762336,1.667949705,7.052148068,17,11,2017
16-Nov-17,39.72,39.29,39.8,38.84,1.47M,1.2,HOLX,0.101910828,-0.907944515,5.9600863,16,11,2017
15-Nov-17,39.25,39.6,39.78,39.22,2.60M,-0.93,HOLX,-0.050479556,0.151745068,7.346164272,15,11,2017
14-Nov-17,39.62,40.34,40.55,39.32,4.08M,-2.51,HOLX,-0.738188976,2.126582278,9.589785384,14,11,2017
13-Nov-17,40.64,38.8,40.7,38.8,4.26M,4.29,HOLX,-0.436233,-0.665642601,8.077994429,13,11,2017
10-Nov-17,38.97,39.53,39.85,38.58,4.91M,-1.72,HOLX,-0.302648172,-0.075834176,8.958103638,10,11,2017
9-Nov-17,39.65,37.48,39.76,36.59,5.80M,0.28,HOLX,-5.209914011,-2.446642374,2.516411379,9,11,2017
8-Nov-17,39.54,39.29,39.75,38.96,4.00M,0.1,HOLX,-0.53164557,2.853403141,7.174031642,8,11,2017
7-Nov-17,39.5,38.93,39.52,38.77,2.97M,1.13,HOLX,-0.332821301,2.85336856,5.615843733,7,11,2017
6-Nov-17,39.06,39.4,39.47,38.81,2.69M,-1.26,HOLX,-0.404448938,5.885514647,6.804011927,6,11,2017
