"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","71.45","70.37","71.59","70.15","2.72M","1.64"
"Nov 29, 2017","70.30","70.60","70.93","69.30","3.25M","-0.28"
"Nov 28, 2017","70.50","69.92","70.64","68.83","1.98M","0.87"
"Nov 27, 2017","69.89","69.95","70.47","69.63","1.70M","-0.11"
"Nov 24, 2017","69.97","70.31","70.77","69.33","1.76M","0.03"
"Nov 22, 2017","69.95","67.86","70.38","67.74","2.83M","2.91"
"Nov 21, 2017","67.97","67.93","68.22","66.51","2.85M","0.70"
"Nov 20, 2017","67.50","68.87","69.26","66.13","2.75M","-2.34"
"Nov 17, 2017","69.12","69.20","69.55","68.65","2.29M","-0.56"
"Nov 16, 2017","69.51","67.85","69.90","67.85","4.05M","2.27"
"Nov 15, 2017","67.97","66.93","68.76","66.55","4.22M","1.69"
"Nov 14, 2017","66.84","66.40","66.99","65.28","3.70M","0.51"
"Nov 13, 2017","66.50","67.06","67.49","65.72","3.87M","-0.82"
"Nov 10, 2017","67.05","69.36","69.40","67.02","5.07M","-3.75"
"Nov 09, 2017","69.66","69.48","69.99","68.80","2.64M","-0.49"
"Nov 08, 2017","70.00","70.75","71.48","68.35","3.02M","-1.42"
"Nov 07, 2017","71.01","70.75","71.89","69.96","4.33M","1.38"
"Nov 06, 2017","70.04","70.00","71.90","69.51","7.70M","-9.79"
"Nov 03, 2017","77.64","76.45","79.37","76.16","3.47M","1.76"
"Nov 02, 2017","76.30","77.28","77.52","76.11","1.44M","-1.22"
"Nov 01, 2017","77.24","79.03","79.05","77.16","1.71M","-1.73"
"Oct 31, 2017","78.60","77.80","78.84","77.76","1.67M","1.16"
"Oct 30, 2017","77.70","76.58","77.89","76.28","2.41M","1.50"
"Oct 27, 2017","76.55","80.90","81.10","75.60","4.86M","-6.04"
"Oct 26, 2017","81.47","83.21","83.73","81.10","1.66M","-1.72"
"Oct 25, 2017","82.90","82.54","83.36","82.36","1.36M","-0.08"
"Oct 24, 2017","82.97","83.01","83.46","82.54","898.24K","0.14"
"Oct 23, 2017","82.85","84.55","84.77","82.41","1.20M","-1.99"
"Oct 20, 2017","84.53","83.62","84.88","83.20","1.05M","1.73"
"Oct 19, 2017","83.09","82.56","83.25","82.48","1.24M","0.97"
"Oct 18, 2017","82.29","82.49","82.81","81.83","843.60K","-0.19"
"Oct 17, 2017","82.45","81.68","82.64","81.63","1.57M","0.66"
"Oct 16, 2017","81.91","80.93","82.01","80.67","2.20M","1.21"
"Oct 13, 2017","80.93","80.38","81.10","79.96","668.87K","0.52"
"Oct 12, 2017","80.51","80.78","81.16","80.44","811.89K","-0.20"
"Oct 11, 2017","80.67","79.89","80.73","79.80","732.64K","0.98"
"Oct 10, 2017","79.89","80.17","80.56","79.71","955.07K","-0.26"
"Oct 09, 2017","80.10","80.91","80.91","79.83","1.21M","-1.10"
"Oct 06, 2017","80.99","82.04","82.14","80.77","1.08M","-0.72"
"Oct 05, 2017","81.58","81.99","82.38","81.24","778.07K","-0.20"
"Oct 04, 2017","81.74","81.66","81.93","81.41","678.57K","0.20"
"Oct 03, 2017","81.58","81.10","81.84","80.99","1.05M","0.68"
"Oct 02, 2017","81.03","82.19","82.23","80.71","1.54M","-1.17"
"Sep 29, 2017","81.99","80.56","82.05","80.41","1.74M","1.40"
"Sep 28, 2017","80.86","80.77","81.39","80.27","1.13M","-0.33"
"Sep 27, 2017","81.13","80.52","81.21","80.07","924.00K","0.92"
"Sep 26, 2017","80.39","80.57","80.96","80.09","1.05M","0.06"
"Sep 25, 2017","80.34","79.49","80.99","79.18","1.79M","0.93"
"Sep 22, 2017","79.60","78.90","79.66","78.56","1.46M","0.35"
"Sep 21, 2017","79.32","80.40","80.64","79.24","1.12M","-1.33"
"Sep 20, 2017","80.39","79.42","80.48","78.86","2.69M","1.58"
"Sep 19, 2017","79.14","80.97","81.42","78.85","2.52M","-2.18"
"Sep 18, 2017","80.90","83.36","83.65","80.45","3.09M","-2.39"
"Sep 15, 2017","82.88","82.25","84.87","82.16","2.92M","2.85"
"Sep 14, 2017","80.58","84.17","84.17","80.17","4.45M","-4.57"
"Sep 13, 2017","84.44","87.88","87.99","84.25","2.26M","-4.00"
"Sep 12, 2017","87.96","88.78","88.94","87.81","1.31M","-0.92"
"Sep 11, 2017","88.78","88.23","89.34","88.05","987.05K","1.27"
"Sep 08, 2017","87.67","87.53","87.94","87.34","788.51K","0.29"
"Sep 07, 2017","87.42","86.45","87.76","85.88","824.31K","1.39"
"Sep 06, 2017","86.22","86.17","86.41","85.74","1.05M","0.06"
"Sep 05, 2017","86.17","86.28","87.00","85.44","1.22M","-0.69"
"Sep 01, 2017","86.77","87.00","87.36","86.07","1.03M","-0.08"
"Aug 31, 2017","86.84","85.09","86.96","85.02","1.25M","2.39"
"Aug 30, 2017","84.81","84.02","84.85","83.60","1.40M","0.70"
"Aug 29, 2017","84.22","85.00","85.21","83.89","1.19M","-0.67"
"Aug 28, 2017","84.79","85.75","86.03","84.68","842.55K","-1.15"
"Aug 25, 2017","85.78","85.94","86.23","85.39","968.07K","0.29"
"Aug 24, 2017","85.53","85.37","86.47","85.34","1.43M","0.35"
"Aug 23, 2017","85.23","85.19","85.50","84.62","1.15M","-0.49"
"Aug 22, 2017","85.65","85.49","86.56","85.42","912.72K","0.28"
"Aug 21, 2017","85.41","84.76","86.31","84.76","1.24M","0.78"
"Aug 18, 2017","84.75","84.70","85.44","84.42","1.05M","-0.07"
"Aug 17, 2017","84.81","85.20","86.02","84.78","1.53M","-0.41"
"Aug 16, 2017","85.16","84.36","85.38","83.84","1.27M","1.42"
"Aug 15, 2017","83.97","84.38","84.62","83.33","1.09M","-0.79"
"Aug 14, 2017","84.64","85.78","85.97","84.53","703.25K","-0.76"
"Aug 11, 2017","85.29","84.07","85.63","83.88","1.26M","1.95"
"Aug 10, 2017","83.66","84.26","84.80","82.95","1.26M","-1.38"
"Aug 09, 2017","84.83","86.54","86.80","84.06","2.17M","-2.51"
"Aug 08, 2017","87.01","88.50","89.75","86.30","2.47M","-5.31"
"Aug 07, 2017","91.89","90.25","92.64","90.12","1.85M","2.83"
"Aug 04, 2017","89.36","89.95","89.95","88.77","889.55K","-0.26"
"Aug 03, 2017","89.59","89.58","89.80","89.09","692.43K","-0.07"
"Aug 02, 2017","89.65","90.50","90.55","89.13","864.99K","-1.09"
"Aug 01, 2017","90.64","90.35","91.30","86.88","707.62K","-0.52"
"Jul 31, 2017","91.11","90.14","91.75","90.14","468.14K","-0.37"
"Jul 28, 2017","91.45","91.20","91.73","90.89","638.04K","0.03"
"Jul 27, 2017","91.42","92.14","92.28","90.97","630.02K","-1.03"
"Jul 26, 2017","92.37","89.76","92.80","89.76","553.12K","0.00"
"Jul 25, 2017","92.37","92.97","93.14","91.73","814.58K","-0.51"
"Jul 24, 2017","92.84","92.53","92.97","92.34","458.18K","0.41"
"Jul 21, 2017","92.46","92.03","92.91","91.92","547.33K","0.26"
"Jul 20, 2017","92.22","92.69","92.69","91.55","839.76K","-0.41"
"Jul 19, 2017","92.60","92.31","92.77","91.53","831.35K","0.44"
"Jul 18, 2017","92.19","92.82","92.84","91.83","604.71K","-0.60"
"Jul 17, 2017","92.75","92.28","92.91","91.90","590.13K","0.53"
"Jul 14, 2017","92.26","91.40","92.64","91.40","529.64K","1.14"
"Jul 13, 2017","91.22","91.87","92.29","90.58","687.24K","-0.39"
"Jul 12, 2017","91.58","90.89","91.83","90.89","499.59K","1.37"
"Jul 11, 2017","90.34","90.38","90.47","89.59","415.23K","0.03"
"Jul 10, 2017","90.31","91.50","91.65","90.19","629.35K","-1.21"
"Jul 07, 2017","91.42","90.73","91.94","90.63","619.77K","0.95"
"Jul 06, 2017","90.56","91.30","92.25","90.23","667.57K","-1.39"
"Jul 05, 2017","91.84","91.23","91.90","90.75","679.09K","0.95"
"Jul 03, 2017","90.98","91.87","91.95","90.92","313.10K","-0.58"
"Jun 30, 2017","91.51","91.69","92.22","90.86","731.53K","0.35"
