Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,71.45,70.37,71.59,70.15,2.72M,1.64,HSIC,0.099573257,0.600428878,-8.894355256,30,11,2017
29-Nov-17,70.3,70.6,70.93,69.3,3.25M,-0.28,HSIC,0.141843972,3.869354127,-10.17811705,29,11,2017
28-Nov-17,70.5,69.92,70.64,68.83,1.98M,0.87,HSIC,0.042924596,3.585185185,-10.01287001,28,11,2017
27-Nov-17,69.89,69.95,70.47,69.63,1.70M,-0.11,HSIC,-0.028583679,1.200810185,-8.621815807,27,11,2017
24-Nov-17,69.97,70.31,70.77,69.33,1.76M,0.03,HSIC,0.514653324,1.150913538,-13.69829385,24,11,2017
22-Nov-17,69.95,67.86,70.38,67.74,2.83M,2.91,HSIC,-0.161836104,-0.161836104,-18.14234017,22,11,2017
21-Nov-17,67.97,67.93,68.22,66.51,2.85M,0.7,HSIC,0.637037037,1.630760024,-18.12703387,21,11,2017
20-Nov-17,67.5,68.87,69.26,66.13,2.75M,-2.34,HSIC,-0.361689815,3.563909774,-16.87386844,20,11,2017
17-Nov-17,69.12,69.2,69.55,68.65,2.29M,-0.56,HSIC,-0.445978996,3.206562267,-18.13557317,17,11,2017
16-Nov-17,69.51,67.85,69.9,67.85,4.05M,2.27,HSIC,-0.176548477,-2.598334769,-18.34155735,16,11,2017
15-Nov-17,67.97,66.93,68.76,66.55,4.22M,1.69,HSIC,0.13464991,-4.385714286,-18.6656945,15,11,2017
14-Nov-17,66.84,66.4,66.99,65.28,3.70M,0.51,HSIC,-0.15037594,-6.492043374,-19.46634324,14,11,2017
13-Nov-17,66.5,67.06,67.49,65.72,3.87M,-0.82,HSIC,0.014914243,-4.254711593,-18.1296545,13,11,2017
10-Nov-17,67.05,69.36,69.4,67.02,5.07M,-3.75,HSIC,-0.430663221,-10.66460587,-14.29630545,10,11,2017
9-Nov-17,69.66,69.48,69.99,68.8,2.64M,-0.49,HSIC,-0.742857143,-8.938401048,-13.70016147,9,11,2017
8-Nov-17,70,70.75,71.48,68.35,3.02M,-1.42,HSIC,-0.366145613,-8.402382185,-12.29701252,8,11,2017
7-Nov-17,71.01,70.75,71.89,69.96,4.33M,1.38,HSIC,1.013706453,-9.987277354,-11.44073101,7,11,2017
6-Nov-17,70.04,70,71.9,69.51,7.70M,-9.79,HSIC,-9.840288511,-9.90990991,-12.60923845,6,11,2017
3-Nov-17,77.64,76.45,79.37,76.16,3.47M,1.76,HSIC,0.196592398,-0.130633573,-5.605630325,3,11,2017
2-Nov-17,76.3,77.28,77.52,76.11,1.44M,-1.22,HSIC,0.051786639,-5.142997422,-5.27089973,2,11,2017
1-Nov-17,77.24,79.03,79.05,77.16,1.71M,-1.73,HSIC,0.547073791,-4.66827503,-3.315390262,1,11,2017
31-Oct-17,78.6,77.8,78.84,77.76,1.67M,1.16,HSIC,0.128700129,-6.231167892,-4.6334886,31,10,2017
30-Oct-17,77.7,76.58,77.89,76.28,2.41M,1.5,HSIC,0.039190072,-7.567893784,-5.491793163,30,10,2017
27-Oct-17,76.55,80.9,81.1,75.6,4.86M,-6.04,HSIC,-0.699644041,-4.294333373,-1.329430418,27,10,2017
26-Oct-17,81.47,83.21,83.73,81.1,1.66M,-1.72,HSIC,0.373944511,0.144421711,2.906257729,26,10,2017
25-Oct-17,82.9,82.54,83.36,82.36,1.36M,-0.08,HSIC,-0.518259612,0.303803621,1.737951436,25,10,2017
24-Oct-17,82.97,83.01,83.46,82.54,898.24K,0.14,HSIC,0.193120097,0.679199515,3.25911183,24,10,2017
23-Oct-17,82.85,84.55,84.77,82.41,1.20M,-1.99,HSIC,0.023660239,3.223049689,5.240229027,23,10,2017
20-Oct-17,84.53,83.62,84.88,83.2,1.05M,1.73,HSIC,0.637862559,3.323860126,5.050251256,20,10,2017
19-Oct-17,83.09,82.56,83.25,82.48,1.24M,0.97,HSIC,0.328107911,2.546267544,4.084720121,19,10,2017
18-Oct-17,82.29,82.49,82.81,81.83,843.60K,-0.19,HSIC,0.048514251,2.25610512,2.612265207,18,10,2017
17-Oct-17,82.45,81.68,82.64,81.63,1.57M,0.66,HSIC,-0.280795996,2.240580799,3.209502148,17,10,2017
16-Oct-17,81.91,80.93,82.01,80.67,2.20M,1.21,HSIC,0,1.036204744,0.037082818,16,10,2017
13-Oct-17,80.93,80.38,81.1,79.96,668.87K,0.52,HSIC,-0.161470625,-0.753179405,-3.016409266,13,10,2017
12-Oct-17,80.51,80.78,81.16,80.44,811.89K,-0.2,HSIC,0.136358002,-0.980632508,0.248200546,12,10,2017
11-Oct-17,80.67,79.89,80.73,79.8,732.64K,0.98,HSIC,0,-2.263273795,-5.388441497,11,10,2017
10-Oct-17,79.89,80.17,80.56,79.71,955.07K,-0.26,HSIC,0.087390762,-1.728364795,-8.856298317,10,10,2017
9-Oct-17,80.1,80.91,80.91,79.83,1.21M,-1.1,HSIC,-0.098777627,-0.148093299,-8.864609146,9,10,2017
6-Oct-17,80.99,82.04,82.14,80.77,1.08M,-0.72,HSIC,0.563863692,0.060983047,-6.421809057,6,10,2017
5-Oct-17,81.58,81.99,82.38,81.24,778.07K,-0.2,HSIC,0.30584781,1.397477121,-6.211393274,5,10,2017
4-Oct-17,81.74,81.66,81.93,81.41,678.57K,0.2,HSIC,0.098063251,0.653272526,-5.288796103,4,10,2017
3-Oct-17,81.58,81.1,81.84,80.99,1.05M,0.68,HSIC,0.086387758,0.883194427,-5.883718231,3,10,2017
2-Oct-17,81.03,82.19,82.23,80.71,1.54M,-1.17,HSIC,0.243932187,2.302713468,-5.278322001,2,10,2017
29-Sep-17,81.99,80.56,82.05,80.41,1.74M,1.4,HSIC,-0.371011625,1.206030151,-7.231690465,29,9,2017
28-Sep-17,80.86,80.77,81.39,80.27,1.13M,-0.33,HSIC,-0.443732282,1.828038326,-4.763589199,28,9,2017
27-Sep-17,81.13,80.52,81.21,80.07,924.00K,0.92,HSIC,0.161711656,0.161711656,-4.393255759,27,9,2017
26-Sep-17,80.39,80.57,80.96,80.09,1.05M,0.06,HSIC,0.286283296,1.806924438,-4.977002005,26,9,2017
25-Sep-17,80.34,79.49,80.99,79.18,1.79M,0.93,HSIC,-0.138190955,-1.74289246,-7.332711588,25,9,2017
22-Sep-17,79.6,78.9,79.66,78.56,1.46M,0.35,HSIC,-0.529500756,-4.802123552,-7.751666082,22,9,2017
21-Sep-17,79.32,80.4,80.64,79.24,1.12M,-1.33,HSIC,0.012439358,-0.223380491,-5.667018655,21,9,2017
20-Sep-17,80.39,79.42,80.48,78.86,2.69M,1.58,HSIC,0.353803386,-5.945049739,-7.273788675,20,9,2017
19-Sep-17,79.14,80.97,81.42,78.85,2.52M,-2.18,HSIC,0.086526576,-7.946793997,-5.198454514,19,9,2017
18-Sep-17,80.9,83.36,83.65,80.45,3.09M,-2.39,HSIC,0.579150579,-6.104978599,-1.640117994,18,9,2017
15-Sep-17,82.88,82.25,84.87,82.16,2.92M,2.85,HSIC,2.072474559,-6.182274438,-3.018511968,15,9,2017
14-Sep-17,80.58,84.17,84.17,80.17,4.45M,-4.57,HSIC,-0.319753671,-3.71768474,-1.162517614,14,9,2017
13-Sep-17,84.44,87.88,87.99,84.25,2.26M,-4,HSIC,-0.090950432,1.925307353,4.656424914,13,9,2017
12-Sep-17,87.96,88.78,88.94,87.81,1.31M,-0.92,HSIC,0,3.028896368,4.891304348,12,9,2017
11-Sep-17,88.78,88.23,89.34,88.05,987.05K,1.27,HSIC,0.638758983,1.682609197,3.447062962,11,9,2017
8-Sep-17,87.67,87.53,87.94,87.34,788.51K,0.29,HSIC,0.12582933,0.794564717,4.625866603,8,9,2017
7-Sep-17,87.42,86.45,87.76,85.88,824.31K,1.39,HSIC,0.266759453,1.933734229,1.909701756,7,9,2017
6-Sep-17,86.22,86.17,86.41,85.74,1.05M,0.06,HSIC,0,2.315364521,-0.965406275,6,9,2017
5-Sep-17,86.17,86.28,87,85.44,1.22M,-0.69,HSIC,-0.564711306,1.757282698,-6.105125694,5,9,2017
1-Sep-17,86.77,87,87.36,86.07,1.03M,-0.08,HSIC,0.184246891,1.422242947,-2.641002686,1,9,2017
31-Aug-17,86.84,85.09,86.96,85.02,1.25M,2.39,HSIC,0.330149746,-0.514439378,-5.022882018,31,8,2017
30-Aug-17,84.81,84.02,84.85,83.6,1.40M,0.7,HSIC,-0.237473284,-1.419687903,-6.279977691,30,8,2017
29-Aug-17,84.22,85,85.21,83.89,1.19M,-0.67,HSIC,0.247670716,-0.75890251,-6.222418358,29,8,2017
28-Aug-17,84.79,85.75,86.03,84.68,842.55K,-1.15,HSIC,-0.034973187,0.39807985,-5.882998573,28,8,2017
25-Aug-17,85.78,85.94,86.23,85.39,968.07K,0.29,HSIC,0.479363966,1.404129794,-6.025150355,25,8,2017
24-Aug-17,85.53,85.37,86.47,85.34,1.43M,0.35,HSIC,0.16426141,0.660299493,-6.617807919,24,8,2017
23-Aug-17,85.23,85.19,85.5,84.62,1.15M,-0.49,HSIC,-0.537069469,0.035227806,-7.7730865,23,8,2017
22-Aug-17,85.65,85.49,86.56,85.42,912.72K,0.28,HSIC,0.093665847,1.810170299,-7.448305727,22,8,2017
21-Aug-17,85.41,84.76,86.31,84.76,1.24M,0.78,HSIC,0.01179941,0.141776938,-8.703145196,21,8,2017
18-Aug-17,84.75,84.7,85.44,84.42,1.05M,-0.07,HSIC,-0.129701686,-0.691757533,-8.392818516,18,8,2017
17-Aug-17,84.81,85.2,86.02,84.78,1.53M,-0.41,HSIC,0.046970409,1.840784126,-7.61223162,17,8,2017
16-Aug-17,85.16,84.36,85.38,83.84,1.27M,1.42,HSIC,0.46445159,-0.554049275,-8.898488121,16,8,2017
15-Aug-17,83.97,84.38,84.62,83.33,1.09M,-0.79,HSIC,-0.307183365,-3.022641076,-8.471634668,15,8,2017
14-Aug-17,84.64,85.78,85.97,84.53,703.25K,-0.76,HSIC,0.574510494,-6.649254543,-7.514824798,14,8,2017
11-Aug-17,85.29,84.07,85.63,83.88,1.26M,1.95,HSIC,0.490078891,-5.919874664,-8.877086495,11,8,2017
10-Aug-17,83.66,84.26,84.8,82.95,1.26M,-1.38,HSIC,-0.671932099,-5.949324701,-7.629905722,10,8,2017
9-Aug-17,84.83,86.54,86.8,84.06,2.17M,-2.51,HSIC,-0.540167797,-3.469046291,-5.503385019,9,8,2017
8-Aug-17,87.01,88.5,89.75,86.3,2.47M,-5.31,HSIC,-3.689193601,-2.360988526,-2.036750055,8,8,2017
7-Aug-17,91.89,90.25,92.64,90.12,1.85M,2.83,HSIC,0.995971352,-0.94391395,-0.066437825,7,8,2017
4-Aug-17,89.36,89.95,89.95,88.77,889.55K,-0.26,HSIC,0.401830561,-1.640240569,-1.607963247,4,8,2017
3-Aug-17,89.59,89.58,89.8,89.09,692.43K,-0.07,HSIC,-0.078081428,-2.01268869,-1.082155477,3,8,2017
2-Aug-17,89.65,90.5,90.55,89.13,864.99K,-1.09,HSIC,-0.154457193,-2.024466818,-1.459059233,2,8,2017
1-Aug-17,90.64,90.35,91.3,86.88,707.62K,-0.52,HSIC,-0.834156514,-2.186857205,-0.692459881,1,8,2017
31-Jul-17,91.11,90.14,91.75,90.14,468.14K,-0.37,HSIC,-1.432476763,-2.908229212,-1.497104142,31,7,2017
28-Jul-17,91.45,91.2,91.73,90.89,638.04K,0.03,HSIC,-0.240647561,-1.36275146,0.010966115,28,7,2017
27-Jul-17,91.42,92.14,92.28,90.97,630.02K,-1.03,HSIC,-0.248998593,-0.086749078,0,27,7,2017
26-Jul-17,92.37,89.76,92.8,89.76,553.12K,0,HSIC,-2.825592725,-3.066954644,-1.837270341,26,7,2017
25-Jul-17,92.37,92.97,93.14,91.73,814.58K,-0.51,HSIC,0.140025851,0.84607875,0.529844291,25,7,2017
24-Jul-17,92.84,92.53,92.97,92.34,458.18K,0.41,HSIC,0.075708414,-0.237196765,0.488705474,24,7,2017
21-Jul-17,92.46,92.03,92.91,91.92,547.33K,0.26,HSIC,-0.206029061,-0.249295469,-0.108542277,21,7,2017
20-Jul-17,92.22,92.69,92.69,91.55,839.76K,-0.41,HSIC,0.097192225,1.611488709,1.145787866,20,7,2017
19-Jul-17,92.6,92.31,92.77,91.53,831.35K,0.44,HSIC,0.130165962,0.797117275,1.372721283,19,7,2017
