"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","156.41","154.01","156.78","152.89","842.08K","1.56"
"Nov 29, 2017","154.00","155.25","155.68","153.42","398.80K","-0.66"
"Nov 28, 2017","155.02","156.06","156.45","154.18","395.19K","-0.26"
"Nov 27, 2017","155.43","154.75","156.53","153.87","375.38K","0.40"
"Nov 24, 2017","154.81","153.72","155.19","153.70","148.78K","0.49"
"Nov 22, 2017","154.06","155.93","157.06","153.95","285.38K","-0.98"
"Nov 21, 2017","155.59","156.48","156.48","154.41","404.74K","0.12"
"Nov 20, 2017","155.40","154.70","155.84","154.24","395.45K","0.34"
"Nov 17, 2017","154.88","153.80","155.66","153.36","512.77K","0.52"
"Nov 16, 2017","154.08","151.77","154.79","151.53","746.29K","1.77"
"Nov 15, 2017","151.40","149.49","151.91","148.50","660.52K","1.24"
"Nov 14, 2017","149.54","146.91","149.73","146.91","668.63K","1.18"
"Nov 13, 2017","147.79","146.91","148.04","146.09","681.14K","0.07"
"Nov 10, 2017","147.68","149.15","149.83","146.76","525.08K","-1.67"
"Nov 09, 2017","150.19","149.45","150.74","149.00","462.57K","0.08"
"Nov 08, 2017","150.07","149.83","151.41","149.13","526.56K","-0.01"
"Nov 07, 2017","150.08","149.81","151.48","147.05","835.72K","-0.93"
"Nov 06, 2017","151.49","154.81","154.95","149.00","1.03M","-2.57"
"Nov 03, 2017","155.49","150.69","155.82","150.60","810.20K","2.41"
"Nov 02, 2017","151.83","159.23","159.23","151.13","1.45M","-4.65"
"Nov 01, 2017","159.24","167.79","167.79","159.15","535.59K","-4.17"
"Oct 31, 2017","166.17","163.76","168.09","161.01","909.82K","1.07"
"Oct 30, 2017","164.41","167.76","168.63","163.23","543.08K","-2.35"
"Oct 27, 2017","168.37","163.61","168.66","162.90","447.74K","2.51"
"Oct 26, 2017","164.25","162.78","164.46","162.21","351.83K","1.36"
"Oct 25, 2017","162.04","162.03","162.94","160.24","407.05K","-0.41"
"Oct 24, 2017","162.70","163.66","164.61","161.62","354.94K","-1.05"
"Oct 23, 2017","164.43","165.54","167.55","163.91","283.55K","-0.17"
"Oct 20, 2017","164.71","162.30","165.79","161.45","409.73K","1.94"
"Oct 19, 2017","161.58","162.98","162.98","160.84","318.22K","-0.90"
"Oct 18, 2017","163.05","159.83","163.27","159.28","454.92K","1.91"
"Oct 17, 2017","160.00","158.09","160.07","158.09","272.23K","0.91"
"Oct 16, 2017","158.55","159.97","160.43","158.24","368.66K","-0.66"
"Oct 13, 2017","159.60","161.26","162.64","159.19","374.21K","-1.34"
"Oct 12, 2017","161.76","157.53","163.09","157.53","484.97K","2.33"
"Oct 11, 2017","158.08","156.90","158.25","156.80","277.93K","0.48"
"Oct 10, 2017","157.33","158.50","158.91","156.90","259.94K","-0.61"
"Oct 09, 2017","158.29","158.80","159.70","158.07","304.27K","-0.43"
"Oct 06, 2017","158.97","158.16","159.84","157.40","544.50K","0.54"
"Oct 05, 2017","158.11","157.81","158.55","156.68","316.24K","0.44"
"Oct 04, 2017","157.41","153.96","157.52","153.96","386.69K","1.95"
"Oct 03, 2017","154.40","157.15","157.80","153.45","510.65K","-1.76"
"Oct 02, 2017","157.17","156.13","157.83","155.98","310.72K","1.08"
"Sep 29, 2017","155.49","154.35","155.60","153.97","392.76K","0.73"
"Sep 28, 2017","154.37","156.02","156.10","153.51","382.80K","-1.33"
"Sep 27, 2017","156.45","153.41","156.82","153.25","387.77K","2.09"
"Sep 26, 2017","153.24","154.50","154.94","153.09","562.33K","-0.83"
"Sep 25, 2017","154.52","157.14","157.57","154.12","445.94K","-1.89"
"Sep 22, 2017","157.50","155.75","157.76","155.39","362.12K","1.12"
"Sep 21, 2017","155.76","158.51","158.68","154.82","547.34K","-1.72"
"Sep 20, 2017","158.48","160.89","161.63","157.77","395.03K","-1.28"
"Sep 19, 2017","160.53","162.09","162.20","160.13","443.44K","-0.97"
"Sep 18, 2017","162.10","159.37","162.49","159.05","630.31K","1.97"
"Sep 15, 2017","158.97","159.07","159.34","157.36","774.06K","0.11"
"Sep 14, 2017","158.80","158.19","159.71","157.89","384.80K","-0.13"
"Sep 13, 2017","159.00","158.97","159.36","157.00","369.52K","0.01"
"Sep 12, 2017","158.98","160.13","160.36","158.29","234.59K","-0.78"
"Sep 11, 2017","160.23","158.20","160.55","157.61","409.21K","1.74"
"Sep 08, 2017","157.49","157.64","159.04","156.90","331.37K","-0.29"
"Sep 07, 2017","157.95","157.18","159.32","155.87","553.83K","0.69"
"Sep 06, 2017","156.87","156.71","157.22","154.87","490.68K","0.68"
"Sep 05, 2017","155.81","154.16","156.46","152.96","463.30K","0.54"
"Sep 01, 2017","154.98","155.72","155.80","153.60","265.07K","-0.29"
"Aug 31, 2017","155.43","153.46","155.99","152.31","642.41K","1.78"
"Aug 30, 2017","152.71","150.10","154.23","150.10","552.97K","1.59"
"Aug 29, 2017","150.32","149.32","150.94","149.32","451.30K","-0.08"
"Aug 28, 2017","150.44","151.28","152.12","149.45","528.06K","-0.42"
"Aug 25, 2017","151.08","153.00","153.00","150.95","525.97K","-0.98"
"Aug 24, 2017","152.57","153.50","154.55","152.29","424.59K","-0.68"
"Aug 23, 2017","153.61","155.00","155.15","152.83","576.34K","0.52"
"Aug 22, 2017","152.82","151.00","153.02","150.77","437.83K","1.60"
"Aug 21, 2017","150.41","151.28","151.28","148.80","664.75K","-0.02"
"Aug 18, 2017","150.44","151.26","152.88","150.25","567.11K","-0.96"
"Aug 17, 2017","151.90","155.00","155.50","151.83","540.82K","-2.13"
"Aug 16, 2017","155.21","154.99","156.27","154.78","870.97K","0.35"
"Aug 15, 2017","154.67","156.15","157.09","154.22","613.71K","-0.42"
"Aug 14, 2017","155.32","152.98","155.83","152.98","832.43K","1.50"
"Aug 11, 2017","153.02","151.71","153.92","151.40","502.06K","1.30"
"Aug 10, 2017","151.06","154.28","154.69","150.35","912.67K","-2.23"
"Aug 09, 2017","154.51","154.33","155.39","153.52","389.48K","-0.17"
"Aug 08, 2017","154.77","154.83","156.47","153.66","518.78K","-0.46"
"Aug 07, 2017","155.49","152.90","155.56","152.59","489.00K","1.89"
"Aug 04, 2017","152.60","154.73","155.20","151.56","464.85K","-0.97"
"Aug 03, 2017","154.09","151.44","155.33","151.19","759.26K","1.90"
"Aug 02, 2017","151.21","154.52","156.57","150.49","1.10M","-2.24"
"Aug 01, 2017","154.68","163.84","165.41","153.39","1.38M","-7.08"
"Jul 31, 2017","166.46","168.07","169.24","165.81","578.51K","-0.63"
"Jul 28, 2017","167.52","165.60","168.00","164.56","482.31K","1.90"
"Jul 27, 2017","164.40","166.81","167.40","162.50","378.44K","-1.46"
"Jul 26, 2017","166.83","165.93","167.64","165.93","330.92K","0.17"
"Jul 25, 2017","166.55","170.56","171.37","166.11","582.43K","-2.13"
"Jul 24, 2017","170.18","166.78","170.56","166.73","394.20K","2.14"
"Jul 21, 2017","166.62","166.59","168.24","166.25","357.59K","-0.40"
"Jul 20, 2017","167.29","168.20","168.20","166.73","267.24K","-0.29"
"Jul 19, 2017","167.78","165.85","168.20","165.08","359.92K","1.36"
"Jul 18, 2017","165.53","165.84","166.96","164.77","367.51K","-0.30"
"Jul 17, 2017","166.03","166.54","167.42","165.17","756.96K","-0.28"
"Jul 14, 2017","166.50","164.02","167.58","163.85","444.14K","1.78"
"Jul 13, 2017","163.59","164.92","165.06","162.53","495.55K","-0.63"
"Jul 12, 2017","164.63","162.89","165.25","162.01","570.84K","1.80"
"Jul 11, 2017","161.72","161.76","162.36","160.00","1.17M","0.13"
"Jul 10, 2017","161.51","161.02","162.74","160.42","821.90K","0.05"
"Jul 07, 2017","161.43","159.82","162.36","159.55","411.52K","1.36"
"Jul 06, 2017","159.26","160.23","160.99","157.77","670.16K","-1.31"
"Jul 05, 2017","161.38","159.51","161.97","159.45","760.20K","1.29"
"Jul 03, 2017","159.32","162.39","163.76","159.17","325.18K","-1.30"
"Jun 30, 2017","161.42","161.47","162.84","160.58","595.62K","0.55"
"Jun 29, 2017","160.54","164.22","164.22","159.00","584.36K","-2.50"
"Jun 28, 2017","164.65","162.92","164.93","162.44","557.62K","1.36"
"Jun 27, 2017","162.44","165.57","165.78","162.28","447.10K","-2.13"
"Jun 26, 2017","165.97","168.28","168.63","165.79","559.16K","-0.82"
"Jun 23, 2017","167.35","166.50","168.60","165.98","1.32M","0.50"
"Jun 22, 2017","166.52","166.50","167.98","165.44","436.69K","-0.05"
"Jun 21, 2017","166.61","166.02","167.07","165.83","473.24K","0.36"
"Jun 20, 2017","166.02","163.90","167.29","163.84","699.00K","1.00"
"Jun 19, 2017","164.38","161.40","164.62","161.19","611.78K","2.28"
"Jun 16, 2017","160.71","160.21","162.75","159.51","1.12M","0.09"
"Jun 15, 2017","160.57","159.77","160.99","157.88","769.34K","-0.04"
"Jun 14, 2017","160.63","162.31","164.26","160.25","659.82K","-0.42"
"Jun 13, 2017","161.30","159.35","161.63","158.22","942.31K","1.95"
"Jun 12, 2017","158.22","164.35","164.56","156.02","1.42M","-3.85"
"Jun 09, 2017","164.56","171.71","172.18","164.23","872.97K","-3.96"
"Jun 08, 2017","171.34","172.02","172.86","170.32","476.38K","-0.35"
"Jun 07, 2017","171.94","171.24","173.01","170.90","591.93K","0.62"
"Jun 06, 2017","170.88","170.09","172.25","169.34","473.16K","0.52"
"Jun 05, 2017","169.99","170.55","171.51","169.53","412.47K","0.08"
"Jun 02, 2017","169.86","168.56","170.18","168.00","548.52K","0.96"
"Jun 01, 2017","168.25","166.88","169.06","165.19","1.06M","-0.08"
"May 31, 2017","168.39","168.13","169.23","166.77","744.66K","0.27"
"May 30, 2017","167.93","167.44","168.91","167.31","299.46K","0.22"
"May 26, 2017","167.56","166.97","168.12","166.58","383.62K","0.10"
"May 25, 2017","167.40","165.05","168.43","164.75","466.37K","1.70"
"May 24, 2017","164.60","164.57","165.00","163.20","382.86K","0.24"
"May 23, 2017","164.20","163.37","164.44","162.68","419.84K","0.75"
"May 22, 2017","162.97","161.13","163.25","161.05","430.17K","0.83"
"May 19, 2017","161.63","161.75","162.39","160.98","470.60K","0.02"
"May 18, 2017","161.59","161.20","162.76","160.51","627.50K","0.34"
"May 17, 2017","161.04","163.92","164.06","160.91","488.60K","-2.23"
"May 16, 2017","164.72","164.90","164.97","163.71","370.55K","0.15"
"May 15, 2017","164.48","163.15","164.56","162.71","375.20K","0.77"
"May 12, 2017","163.22","163.17","164.00","162.59","377.21K","0.03"
"May 11, 2017","163.17","162.07","163.27","161.83","383.58K","0.10"
"May 10, 2017","163.01","162.08","163.63","161.55","678.72K","0.59"
"May 09, 2017","162.06","160.80","162.25","160.80","475.67K","0.25"
"May 08, 2017","161.66","162.31","162.65","160.56","418.24K","-0.50"
"May 05, 2017","162.47","161.02","162.76","160.11","771.07K","1.25"
"May 04, 2017","160.46","160.47","161.02","158.83","789.25K","0.11"
"May 03, 2017","160.28","163.73","164.85","160.18","794.74K","-2.11"
"May 02, 2017","163.73","164.20","164.20","162.39","834.11K","0.00"
"May 01, 2017","163.73","168.30","168.30","162.25","1.23M","-2.38"
"Apr 28, 2017","167.73","166.02","172.00","165.25","1.71M","3.05"
"Apr 27, 2017","162.76","162.80","163.39","161.19","799.52K","-0.04"
"Apr 26, 2017","162.82","162.70","163.37","161.36","660.71K","0.24"
"Apr 25, 2017","162.43","162.39","163.29","162.21","470.62K","0.35"
"Apr 24, 2017","161.87","161.92","162.99","161.18","739.90K","1.73"
"Apr 21, 2017","159.12","159.61","159.92","158.23","455.64K","-0.25"
"Apr 20, 2017","159.52","157.81","159.77","156.75","492.50K","1.55"
"Apr 19, 2017","157.08","156.55","157.65","155.86","477.34K","0.90"
"Apr 18, 2017","155.68","155.10","155.99","154.20","552.43K","0.26"
"Apr 17, 2017","155.28","154.28","155.78","153.24","492.16K","1.09"
"Apr 13, 2017","153.60","153.75","155.19","153.38","369.32K","-0.39"
"Apr 12, 2017","154.20","155.27","155.35","153.84","437.26K","-0.32"
"Apr 11, 2017","154.69","154.24","154.94","153.75","471.39K","0.07"
"Apr 10, 2017","154.58","155.47","156.36","153.99","374.41K","-0.58"
"Apr 07, 2017","155.48","154.84","156.14","154.75","530.70K","0.60"
"Apr 06, 2017","154.56","154.59","155.13","153.33","579.65K","-0.10"
"Apr 05, 2017","154.72","155.08","157.03","154.10","617.76K","-0.26"
"Apr 04, 2017","155.12","156.54","156.54","153.88","508.51K","-0.10"
"Apr 03, 2017","155.28","155.07","155.74","153.59","481.21K","0.43"
"Mar 31, 2017","154.61","154.00","155.65","153.69","466.47K","0.06"
"Mar 30, 2017","154.52","154.45","154.99","153.90","244.43K","-0.13"
"Mar 29, 2017","154.72","153.57","154.90","153.57","397.98K","0.59"
"Mar 28, 2017","153.81","153.51","154.41","152.34","423.18K","-0.10"
"Mar 27, 2017","153.96","152.98","154.49","151.80","460.06K","0.14"
"Mar 24, 2017","153.74","153.22","154.57","152.87","538.42K","0.56"
"Mar 23, 2017","152.89","152.44","153.69","151.65","522.09K","0.01"
"Mar 22, 2017","152.88","152.22","153.94","150.56","618.48K","1.85"
"Mar 21, 2017","150.11","151.90","152.34","148.61","680.35K","-0.94"
"Mar 20, 2017","151.54","152.18","152.41","150.49","764.52K","-0.27"
"Mar 17, 2017","151.95","151.77","152.43","151.30","3.39M","0.22"
"Mar 16, 2017","151.62","153.94","153.94","151.28","1.03M","-1.34"
"Mar 15, 2017","153.68","151.45","153.87","151.07","583.58K","1.63"
"Mar 14, 2017","151.21","151.73","151.89","150.44","388.73K","-0.26"
"Mar 13, 2017","151.60","150.66","151.97","150.19","500.89K","0.88"
"Mar 10, 2017","150.28","150.33","151.99","149.10","725.13K","0.58"
"Mar 09, 2017","149.41","146.77","149.57","146.42","628.45K","1.72"
"Mar 08, 2017","146.88","147.35","147.70","146.51","412.62K","-0.10"
"Mar 07, 2017","147.03","146.74","147.70","145.24","752.59K","-0.03"
"Mar 06, 2017","147.08","146.36","147.75","145.52","638.11K","-0.03"
"Mar 03, 2017","147.13","146.66","147.67","146.22","658.90K","0.70"
"Mar 02, 2017","146.10","147.00","147.26","145.75","523.14K","-0.62"
"Mar 01, 2017","147.01","145.84","148.22","145.37","796.93K","1.43"
"Feb 28, 2017","144.94","143.94","146.17","143.80","744.71K","0.93"
"Feb 27, 2017","143.61","143.35","144.33","142.50","573.37K","0.38"
"Feb 24, 2017","143.06","142.81","143.92","141.02","571.68K","0.03"
"Feb 23, 2017","143.02","142.63","143.56","141.83","510.49K","0.54"
"Feb 22, 2017","142.25","142.16","143.05","141.80","584.51K","-0.11"
"Feb 21, 2017","142.40","142.30","143.06","141.52","539.71K","0.12"
"Feb 17, 2017","142.23","141.71","142.70","141.12","426.96K","0.20"
"Feb 16, 2017","141.95","141.93","142.38","140.99","407.32K","0.15"
