Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,156.41,154.01,156.78,152.89,842.08K,1.56,IDXX,0.006493506,-0.032454888,-3.284350666,30,11,2017
29-Nov-17,154,155.25,155.68,153.42,398.80K,-0.66,IDXX,0.148367953,-0.218523041,-6.571583318,29,11,2017
28-Nov-17,155.02,156.06,156.45,154.18,395.19K,-0.26,IDXX,0.405327157,0.424710425,-5.078766498,28,11,2017
27-Nov-17,155.43,154.75,156.53,153.87,375.38K,0.4,IDXX,-0.038757186,-0.08393595,-8.089327077,27,11,2017
24-Nov-17,154.81,153.72,155.19,153.7,148.78K,0.49,IDXX,-0.220693236,-0.23364486,-6.410958904,24,11,2017
22-Nov-17,154.06,155.93,157.06,153.95,285.38K,-0.98,IDXX,0.218523041,2.992073976,-3.770673908,22,11,2017
21-Nov-17,155.59,156.48,156.48,154.41,404.74K,0.12,IDXX,0.694980695,4.640898756,-3.822987093,21,11,2017
20-Nov-17,155.4,154.7,155.84,154.24,395.45K,0.34,IDXX,-0.116219008,4.67555315,-5.917411665,20,11,2017
17-Nov-17,154.88,153.8,155.66,153.36,512.77K,0.52,IDXX,-0.18172378,4.144095341,-6.623762977,17,11,2017
16-Nov-17,154.08,151.77,154.79,151.53,746.29K,1.77,IDXX,0.244385733,1.052000799,-6.071295952,16,11,2017
15-Nov-17,151.4,149.49,151.91,148.5,660.52K,1.24,IDXX,-0.03343587,-0.386486306,-8.316467341,15,11,2017
14-Nov-17,149.54,146.91,149.73,146.91,668.63K,1.18,IDXX,-0.595439475,-2.112206823,-8.18125,14,11,2017
13-Nov-17,147.79,146.91,148.04,146.09,681.14K,0.07,IDXX,-0.521397616,-3.023301868,-7.34153264,13,11,2017
10-Nov-17,147.68,149.15,149.83,146.76,525.08K,-1.67,IDXX,-0.692456222,-4.077432632,-6.547619048,10,11,2017
9-Nov-17,150.19,149.45,150.74,149,462.57K,0.08,IDXX,-0.413140534,-1.567542646,-7.610039565,9,11,2017
8-Nov-17,150.07,149.83,151.41,149.13,526.56K,-0.01,IDXX,-0.166577825,-5.909319267,-5.218876518,8,11,2017
7-Nov-17,150.08,149.81,151.48,147.05,835.72K,-0.93,IDXX,-1.108984091,-9.845339111,-4.779762283,7,11,2017
6-Nov-17,151.49,154.81,154.95,149,1.03M,-2.57,IDXX,-0.437327159,-5.839060884,-2.198496431,6,11,2017
3-Nov-17,155.49,150.69,155.82,150.6,810.20K,2.41,IDXX,-0.750839755,-10.50068302,-5.208529911,3,11,2017
2-Nov-17,151.83,159.23,159.23,151.13,1.45M,-4.65,IDXX,-0.006279829,-3.056316591,0.708367592,2,11,2017
1-Nov-17,159.24,167.79,167.79,159.15,535.59K,-4.17,IDXX,0.974905218,3.548506542,6.59424433,1,11,2017
31-Oct-17,166.17,163.76,168.09,161.01,909.82K,1.07,IDXX,-0.395353081,0.651505839,6.062176166,31,10,2017
30-Oct-17,164.41,167.76,168.63,163.23,543.08K,-2.35,IDXX,-0.362297321,2.025177887,6.737927085,30,10,2017
27-Oct-17,168.37,163.61,168.66,162.9,447.74K,2.51,IDXX,-0.389649924,-0.667840447,5.222200785,27,10,2017
26-Oct-17,164.25,162.78,164.46,162.21,351.83K,1.36,IDXX,0.456677364,0.742666172,5.447949731,26,10,2017
25-Oct-17,162.04,162.03,162.94,160.24,407.05K,-0.41,IDXX,-0.41180086,-0.625574977,3.566634708,25,10,2017
24-Oct-17,162.7,163.66,164.61,161.62,354.94K,-1.05,IDXX,-0.468284376,2.2875,6.799791177,24,10,2017
23-Oct-17,164.43,165.54,167.55,163.91,283.55K,-0.17,IDXX,0.503915974,4.408703879,7.131762879,23,10,2017
20-Oct-17,164.71,162.3,165.79,161.45,409.73K,1.94,IDXX,0.445599703,1.691729323,3.047619048,20,10,2017
19-Oct-17,161.58,162.98,162.98,160.84,318.22K,-0.9,IDXX,-0.042931616,0.754203759,4.635336415,19,10,2017
18-Oct-17,163.05,159.83,163.27,159.28,454.92K,1.91,IDXX,-0.10625,1.107034413,0.851842504,18,10,2017
17-Oct-17,160,158.09,160.07,158.09,272.23K,0.91,IDXX,-0.290129297,0.483061082,-1.519965116,17,10,2017
16-Oct-17,158.55,159.97,160.43,158.24,368.66K,-0.66,IDXX,0.231829574,1.061343104,-1.314003701,16,10,2017
13-Oct-17,159.6,161.26,162.64,159.19,374.21K,-1.34,IDXX,-0.309099901,1.440523369,1.440523369,13,10,2017
12-Oct-17,161.76,157.53,163.09,157.53,484.97K,2.33,IDXX,-0.347925101,-0.366833217,-0.799748111,12,10,2017
11-Oct-17,158.08,156.9,158.25,156.8,277.93K,0.48,IDXX,-0.273310875,-0.323994664,-1.320754717,11,10,2017
10-Oct-17,157.33,158.5,158.91,156.9,259.94K,-0.61,IDXX,0.132667888,2.655440415,-0.30192477,10,10,2017
9-Oct-17,158.29,158.8,159.7,158.07,304.27K,-0.43,IDXX,-0.106938416,1.037093593,-0.892467079,9,10,2017
6-Oct-17,158.97,158.16,159.84,157.4,544.50K,0.54,IDXX,0.031623553,1.717152228,0.425423836,6,10,2017
5-Oct-17,158.11,157.81,158.55,156.68,316.24K,0.44,IDXX,0.254113462,2.228412256,-0.088635644,5,10,2017
4-Oct-17,157.41,153.96,157.52,153.96,386.69K,1.95,IDXX,-0.284974093,-1.5915628,-1.855039204,4,10,2017
3-Oct-17,154.4,157.15,157.8,153.45,510.65K,-1.76,IDXX,-0.012725075,2.551553119,0.860021821,3,10,2017
2-Oct-17,157.17,156.13,157.83,155.98,310.72K,1.08,IDXX,0.411602032,1.041936319,0.74203123,2,10,2017
29-Sep-17,155.49,154.35,155.6,153.97,392.76K,0.73,IDXX,-0.012955885,-2,-0.694846555,29,9,2017
28-Sep-17,154.37,156.02,156.1,153.51,382.80K,-1.33,IDXX,-0.274848194,0.166923472,2.167507039,28,9,2017
27-Sep-17,156.45,153.41,156.82,153.25,387.77K,2.09,IDXX,0.110937092,-3.199141848,2.055614689,27,9,2017
26-Sep-17,153.24,154.5,154.94,153.09,562.33K,-0.83,IDXX,-0.012943308,-3.756307232,2.698750332,26,9,2017
25-Sep-17,154.52,157.14,157.57,154.12,445.94K,-1.89,IDXX,-0.228571429,-3.059839605,4.011119936,25,9,2017
22-Sep-17,157.5,155.75,157.76,155.39,362.12K,1.12,IDXX,-0.006420134,-2.02553941,2.084289179,22,9,2017
21-Sep-17,155.76,158.51,158.68,154.82,547.34K,-1.72,IDXX,0.018929833,-0.182619647,3.189896491,21,9,2017
20-Sep-17,158.48,160.89,161.63,157.77,395.03K,-1.28,IDXX,0.224257148,1.188679245,5.280722419,20,9,2017
19-Sep-17,160.53,162.09,162.2,160.13,443.44K,-0.97,IDXX,-0.006169031,1.956220908,7.765441128,19,9,2017
18-Sep-17,162.1,159.37,162.49,159.05,630.31K,1.97,IDXX,0.251619802,-0.536728453,5.935921298,18,9,2017
15-Sep-17,158.97,159.07,159.34,157.36,774.06K,0.11,IDXX,0.170025189,1.003238301,4.720210665,15,9,2017
14-Sep-17,158.8,158.19,159.71,157.89,384.80K,-0.13,IDXX,-0.509433962,0.151946819,1.919979383,14,9,2017
13-Sep-17,159,158.97,159.36,157,369.52K,0.01,IDXX,-0.006290099,1.338688086,2.780112498,13,9,2017
12-Sep-17,158.98,160.13,160.36,158.29,234.59K,-0.78,IDXX,-0.062410285,2.772607663,3.096832346,12,9,2017
11-Sep-17,160.23,158.2,160.55,157.61,409.21K,1.74,IDXX,0.450822274,2.077687444,3.385178408,11,9,2017
8-Sep-17,157.49,157.64,159.04,156.9,331.37K,-0.29,IDXX,-0.196264641,1.421861931,4.355885079,8,9,2017
7-Sep-17,157.95,157.18,159.32,155.87,553.83K,0.69,IDXX,0.19761586,2.927116757,1.728043492,7,9,2017
6-Sep-17,156.87,156.71,157.22,154.87,490.68K,0.68,IDXX,0.577626596,4.250931346,1.253472895,6,9,2017
5-Sep-17,155.81,154.16,156.46,152.96,463.30K,0.54,IDXX,-0.529100529,2.47274661,-0.855360473,5,9,2017
1-Sep-17,154.98,155.72,155.8,153.6,265.07K,-0.29,IDXX,0.186579167,3.071220545,2.044560944,1,9,2017
31-Aug-17,155.43,153.46,155.99,152.31,642.41K,1.78,IDXX,0.491126973,0.583338795,-0.40885197,31,8,2017
30-Aug-17,152.71,150.1,154.23,150.1,552.97K,1.59,IDXX,-0.146354444,-2.285007486,-0.734078434,30,8,2017
29-Aug-17,150.32,149.32,150.94,149.32,451.30K,-0.08,IDXX,-0.74448285,-2.290276142,-3.465218516,29,8,2017
28-Aug-17,150.44,151.28,152.12,149.45,528.06K,-0.42,IDXX,0.132380196,0.578418988,-9.119307942,28,8,2017
25-Aug-17,151.08,153,153,150.95,525.97K,-0.98,IDXX,0.281837845,1.701675086,-8.667621777,25,8,2017
24-Aug-17,152.57,153.5,154.55,152.29,424.59K,-0.68,IDXX,-0.071609921,1.053324556,-6.630170316,24,8,2017
23-Aug-17,153.61,155,155.15,152.83,576.34K,0.52,IDXX,1.426514854,-0.135300561,-7.09105077,23,8,2017
22-Aug-17,152.82,151,153.02,150.77,437.83K,1.6,IDXX,0.392261153,-2.37279369,-9.336535575,22,8,2017
