"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","230.03","227.75","230.72","227.47","937.59K","1.12"
"Nov 29, 2017","227.48","226.92","227.85","223.86","1.14M","0.53"
"Nov 28, 2017","226.28","224.69","226.42","221.11","1.40M","1.09"
"Nov 27, 2017","223.84","215.00","224.25","213.33","1.47M","4.18"
"Nov 24, 2017","214.86","214.50","216.08","214.50","218.14K","-0.23"
"Nov 22, 2017","215.35","212.68","215.96","212.19","692.17K","1.56"
"Nov 21, 2017","212.05","211.23","212.33","209.72","503.19K","0.66"
"Nov 20, 2017","210.67","210.02","211.74","209.83","585.42K","0.79"
"Nov 17, 2017","209.02","208.69","209.97","208.08","545.56K","0.24"
"Nov 16, 2017","208.51","205.41","209.10","205.41","563.73K","1.50"
"Nov 15, 2017","205.42","206.21","207.00","203.83","497.34K","-0.31"
"Nov 14, 2017","206.05","207.80","209.60","204.09","485.93K","-1.48"
"Nov 13, 2017","209.14","207.78","209.39","206.73","372.80K","0.10"
"Nov 10, 2017","208.94","208.34","209.47","207.70","598.60K","-0.32"
"Nov 09, 2017","209.61","209.00","210.56","207.72","347.56K","-0.75"
"Nov 08, 2017","211.20","211.31","211.35","208.94","379.12K","-0.26"
"Nov 07, 2017","211.74","209.63","212.40","208.66","696.48K","1.22"
"Nov 06, 2017","209.19","214.00","214.44","208.86","545.19K","-2.24"
"Nov 03, 2017","213.99","207.88","214.18","207.22","635.17K","2.48"
"Nov 02, 2017","208.82","207.26","210.30","207.26","440.42K","0.52"
"Nov 01, 2017","207.74","206.49","208.27","205.20","750.56K","1.24"
"Oct 31, 2017","205.19","204.13","205.86","203.39","848.25K","0.68"
"Oct 30, 2017","203.81","209.55","210.60","203.03","671.92K","-2.97"
"Oct 27, 2017","210.04","205.50","210.21","203.36","963.87K","0.83"
"Oct 26, 2017","208.31","205.00","209.01","202.20","1.08M","1.69"
"Oct 25, 2017","204.85","214.03","214.03","198.21","2.63M","-2.83"
"Oct 24, 2017","210.82","211.00","212.92","208.07","1.70M","-0.35"
"Oct 23, 2017","211.55","214.00","214.50","210.90","1.33M","0.80"
"Oct 20, 2017","209.88","205.58","211.66","204.01","727.02K","2.29"
"Oct 19, 2017","205.18","205.68","206.51","204.01","432.67K","-0.21"
"Oct 18, 2017","205.62","206.64","207.99","205.30","470.68K","-0.42"
"Oct 17, 2017","206.48","206.21","206.88","205.03","545.41K","0.12"
"Oct 16, 2017","206.23","207.25","208.11","205.70","485.56K","-0.33"
"Oct 13, 2017","206.92","208.87","209.88","205.62","422.23K","-0.63"
"Oct 12, 2017","208.24","207.21","211.49","207.10","657.64K","0.75"
"Oct 11, 2017","206.69","203.55","206.83","203.47","548.22K","1.24"
"Oct 10, 2017","204.15","203.50","204.39","202.00","537.44K","0.43"
"Oct 09, 2017","203.27","204.92","205.65","202.93","527.53K","-0.45"
"Oct 06, 2017","204.18","205.97","206.62","203.82","602.75K","-0.78"
"Oct 05, 2017","205.78","205.98","206.61","204.86","494.19K","0.00"
"Oct 04, 2017","205.77","202.39","206.00","202.39","550.03K","1.63"
"Oct 03, 2017","202.46","202.23","204.03","201.31","647.93K","0.11"
"Oct 02, 2017","202.23","199.45","203.07","199.24","828.70K","1.52"
"Sep 29, 2017","199.20","199.18","199.67","197.45","581.66K","0.10"
"Sep 28, 2017","199.00","197.20","199.37","196.00","541.30K","0.63"
"Sep 27, 2017","197.76","199.16","200.37","197.60","501.33K","-0.34"
"Sep 26, 2017","198.44","202.06","202.76","197.63","767.43K","-1.46"
"Sep 25, 2017","201.38","200.21","202.58","199.87","926.85K","-0.01"
"Sep 22, 2017","201.41","199.69","201.94","199.69","986.74K","0.58"
"Sep 21, 2017","200.24","203.34","203.91","199.60","896.54K","-1.40"
"Sep 20, 2017","203.09","204.94","205.82","201.05","1.07M","-0.91"
"Sep 19, 2017","204.95","210.36","210.64","204.80","1.05M","-2.13"
