Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,230.03,227.75,230.72,227.47,937.59K,1.12,ILMN,0.118691753,5.758068261,9.632232598,30,11,2017
29-Nov-17,227.48,226.92,227.85,223.86,1.14M,0.53,ILMN,0.282835425,7.012497053,10.59018471,29,11,2017
28-Nov-17,226.28,224.69,226.42,221.11,1.40M,1.09,ILMN,0.379735525,6.654957991,10.24483588,28,11,2017
27-Nov-17,223.84,215,224.25,213.33,1.47M,4.18,ILMN,0.065158708,2.860970242,2.361454961,27,11,2017
24-Nov-17,214.86,214.5,216.08,214.5,218.14K,-0.23,ILMN,-0.394706292,2.872763896,2.971532812,24,11,2017
22-Nov-17,215.35,212.68,215.96,212.19,692.17K,1.56,ILMN,0.297099741,3.534222568,3.822309007,22,11,2017
21-Nov-17,212.05,211.23,212.33,209.72,503.19K,0.66,ILMN,0.265818579,2.513952924,0.194478702,21,11,2017
20-Nov-17,210.67,210.02,211.74,209.83,585.42K,0.79,ILMN,0.478423117,0.420770776,-0.723233278,20,11,2017
17-Nov-17,209.02,208.69,209.97,208.08,545.56K,0.24,ILMN,0.086326795,-0.119651575,-0.566990661,17,11,2017
16-Nov-17,208.51,205.41,209.1,205.41,563.73K,1.5,ILMN,-0.004868075,-2.003721197,0.112096696,16,11,2017
15-Nov-17,205.42,206.21,207,203.83,497.34K,-0.31,ILMN,0.077651056,-2.362689394,0.286937068,15,11,2017
14-Nov-17,206.05,207.8,209.6,204.09,485.93K,-1.48,ILMN,-0.640719136,-1.860772646,0.639287098,14,11,2017
13-Nov-17,209.14,207.78,209.39,206.73,372.80K,0.1,ILMN,-0.555183306,-0.674028395,0.751588033,13,11,2017
10-Nov-17,208.94,208.34,209.47,207.7,598.60K,-0.32,ILMN,-0.605887124,-2.640310295,0.686255558,10,11,2017
9-Nov-17,209.61,209,210.56,207.72,347.56K,-0.75,ILMN,-1.041666667,0.08619864,0.364963504,9,11,2017
8-Nov-17,211.2,211.31,211.35,208.94,379.12K,-0.26,ILMN,-0.203079248,1.718494272,2.235231506,8,11,2017
7-Nov-17,211.74,209.63,212.4,208.66,696.48K,1.22,ILMN,0.210335102,2.163848141,2.684300759,7,11,2017
6-Nov-17,209.19,214,214.44,208.86,545.19K,-2.24,ILMN,0.004673116,4.999754673,5.278693364,6,11,2017
3-Nov-17,213.99,207.88,214.18,207.22,635.17K,2.48,ILMN,-0.450148453,-1.028375548,1.812126555,3,11,2017
2-Nov-17,208.82,207.26,210.3,207.26,440.42K,0.52,ILMN,-0.231058053,-0.504056454,0.719214695,2,11,2017
1-Nov-17,207.74,206.49,208.27,205.2,750.56K,1.24,ILMN,0.63355914,0.800585794,0.349905234,1,11,2017
31-Oct-17,205.19,204.13,205.86,203.39,848.25K,0.68,ILMN,0.157008979,-3.173323214,0.824854292,31,10,2017
30-Oct-17,203.81,209.55,210.6,203.03,671.92K,-2.97,ILMN,-0.233288897,-0.945402978,3.619641003,30,10,2017
27-Oct-17,210.04,205.5,210.21,203.36,963.87K,0.83,ILMN,-1.348951083,-2.086906804,3.162650602,27,10,2017
26-Oct-17,208.31,205,209.01,202.2,1.08M,1.69,ILMN,0.07322431,-0.087727849,3.015075377,26,10,2017
25-Oct-17,204.85,214.03,214.03,198.21,2.63M,-2.83,ILMN,1.522625937,4.090069059,8.227144013,25,10,2017
24-Oct-17,210.82,211,212.92,208.07,1.70M,-0.35,ILMN,-0.259985819,2.189074002,6.329369079,24,10,2017
23-Oct-17,211.55,214,214.5,210.9,1.33M,0.8,ILMN,1.963026491,3.767638074,6.26675936,23,10,2017
20-Oct-17,209.88,205.58,211.66,204.01,727.02K,2.29,ILMN,0.194950775,-0.647593273,2.070403654,20,10,2017
19-Oct-17,205.18,205.68,206.51,204.01,432.67K,-0.21,ILMN,0.029180041,-1.229350749,2.716739912,19,10,2017
18-Oct-17,205.62,206.64,207.99,205.3,470.68K,-0.42,ILMN,0.077489345,-0.024190817,1.7479935,18,10,2017
17-Oct-17,206.48,206.21,206.88,205.03,545.41K,0.12,ILMN,-0.00969791,1.009061964,0.614784094,17,10,2017
16-Oct-17,206.23,207.25,208.11,205.7,485.56K,-0.33,ILMN,0.159481925,1.957986914,-1.026743075,16,10,2017
13-Oct-17,206.92,208.87,209.88,205.62,422.23K,-0.63,ILMN,0.302535536,2.296992849,-0.877942293,13,10,2017
12-Oct-17,208.24,207.21,211.49,207.1,657.64K,0.75,ILMN,0.251584499,0.694916902,-1.814821835,12,10,2017
11-Oct-17,206.69,203.55,206.83,203.47,548.22K,1.24,ILMN,-0.293901543,-1.078874471,-4.629152415,11,10,2017
10-Oct-17,204.15,203.5,204.39,202,537.44K,0.43,ILMN,0.113149998,0.513681715,-4.875426541,10,10,2017
9-Oct-17,203.27,204.92,205.65,202.93,527.53K,-0.45,ILMN,0.362425311,1.33016862,-3.448925744,9,10,2017
6-Oct-17,204.18,205.97,206.62,203.82,602.75K,-0.78,ILMN,0.092331616,3.398594378,-1.769362839,6,10,2017
5-Oct-17,205.78,205.98,206.61,204.86,494.19K,0,ILMN,0.102055693,3.507537688,-2.007611798,5,10,2017
4-Oct-17,205.77,202.39,206,202.39,550.03K,1.63,ILMN,-0.034574731,2.341221683,-2.425031337,4,10,2017
3-Oct-17,202.46,202.23,204.03,201.31,647.93K,0.11,ILMN,0,1.909897198,-2.408068719,3,10,2017
2-Oct-17,202.23,199.45,203.07,199.24,828.70K,1.52,ILMN,0.125502008,-0.958387129,-3.717113203,2,10,2017
29-Sep-17,199.2,199.18,199.67,197.45,581.66K,0.1,ILMN,0.090452261,-1.10719428,-2.582412208,29,9,2017
28-Sep-17,199,197.2,199.37,196,541.30K,0.63,ILMN,-0.283171521,-1.518178186,-1.271653149,28,9,2017
27-Sep-17,197.76,199.16,200.37,197.6,501.33K,-0.34,ILMN,0.362830075,-1.935102664,1.643360212,27,9,2017
26-Sep-17,198.44,202.06,202.76,197.63,767.43K,-1.46,ILMN,0.337670076,-1.410100024,2.542501903,26,9,2017
25-Sep-17,201.38,200.21,202.58,199.87,926.85K,-0.01,ILMN,-0.595799613,-4.388729704,4.172953848,25,9,2017
22-Sep-17,201.41,199.69,201.94,199.69,986.74K,0.58,ILMN,-0.274670396,-5.23443432,2.954217364,22,9,2017
21-Sep-17,200.24,203.34,203.91,199.6,896.54K,-1.4,ILMN,0.123098134,-3.648597422,5.020142547,21,9,2017
20-Sep-17,203.09,204.94,205.82,201.05,1.07M,-0.91,ILMN,-0.004879239,-3.977885021,5.226945985,20,9,2017
19-Sep-17,204.95,210.36,210.64,204.8,1.05M,-2.13,ILMN,0.458452722,-1.668770158,10.32095658,19,9,2017
18-Sep-17,209.4,211.37,211.94,208.8,561.23K,-0.63,ILMN,0.308466211,-0.409913306,11.64694697,18,9,2017
15-Sep-17,210.72,211,211.87,208.96,942.62K,-0.15,ILMN,-0.018953753,0.629530713,10.35564854,15,9,2017
14-Sep-17,211.04,212.59,212.61,210.6,676.36K,-1.12,ILMN,-0.393571663,1.137012369,9.497810971,14,9,2017
13-Sep-17,213.43,213.5,214.34,212.33,486.53K,-0.23,ILMN,-0.201000327,2.931250603,10.09694719,13,9,2017
12-Sep-17,213.93,213.21,214.04,209.55,955.03K,0.8,ILMN,0.457029778,2.890647621,9.450718686,12,9,2017
11-Sep-17,212.24,211.16,212.4,209.97,787.52K,1.22,ILMN,0.705837467,1.935795317,8.705276705,11,9,2017
8-Sep-17,209.68,209.61,210.97,208.81,437.62K,-0.25,ILMN,-0.280685062,2.518830089,7.68558952,8,9,2017
7-Sep-17,210.2,207.21,211.27,205.69,757.04K,1.34,ILMN,-0.101243853,3.73986182,4.00542087,7,9,2017
6-Sep-17,207.42,208.1,209.42,204.8,659.39K,0.1,ILMN,0.424669433,6.205981423,5.308435808,6,9,2017
5-Sep-17,207.22,205.71,207.73,204.35,937.77K,0.03,ILMN,-0.695148443,4.394823649,3.071450045,5,9,2017
1-Sep-17,207.15,205,207.49,203.73,824.57K,1.32,ILMN,0.264110339,6.665279151,5.414716923,1,9,2017
31-Aug-17,204.46,200,205.21,199.13,1.39M,2.36,ILMN,0.13016922,3.114044133,0.775975008,31,8,2017
30-Aug-17,199.74,196.36,200,194.87,798.80K,1.94,ILMN,0.214351332,1.415143064,-0.75309578,30,8,2017
29-Aug-17,195.94,194.99,196.44,193.63,496.87K,-0.56,ILMN,-1.045419944,0.118094064,13.16889147,29,8,2017
28-Aug-17,197.05,193.68,198.08,192.45,833.04K,2.53,ILMN,0.775274468,1.573316551,11.40638481,28,8,2017
25-Aug-17,192.19,195.29,195.29,191.06,555.71K,-0.91,ILMN,0.685708393,3.153391084,11.64532358,25,8,2017
24-Aug-17,193.96,193.2,194.6,191.43,613.07K,0.18,ILMN,-0.21691974,1.046025105,10.82429874,24,8,2017
23-Aug-17,193.62,193.63,194.6,192.09,545.85K,-0.59,ILMN,-0.580201273,-0.267834149,9.829835508,23,8,2017
22-Aug-17,194.76,191,195.44,191,627.72K,2.14,ILMN,0.167820432,-1.505775578,9.864825999,22,8,2017
21-Aug-17,190.68,189.61,192.06,189.34,576.36K,0.72,ILMN,0.153179801,-2.664271047,8.977527444,21,8,2017
18-Aug-17,189.32,190.74,192.46,189.15,882.07K,-0.98,ILMN,-0.240585774,-1.806949807,10.41389291,18,8,2017
17-Aug-17,191.2,193.59,195.83,191.16,659.91K,-1.52,ILMN,-0.288436776,-0.544567172,12.57196023,17,8,2017
16-Aug-17,194.15,194.53,194.88,192.61,829.70K,0.12,ILMN,0.314562706,-2.359082467,11.87600644,16,8,2017
15-Aug-17,193.92,194.82,195.87,193.83,545.18K,-0.45,ILMN,0.01026694,-1.411871869,12.18472878,15,8,2017
14-Aug-17,194.8,195.01,195.93,193.66,658.49K,0.28,ILMN,0.391248391,-2.289808598,13.54955165,14,8,2017
11-Aug-17,194.25,195.7,197.72,194.1,695.99K,-0.21,ILMN,0.539429746,0.632488302,13.56119074,11,8,2017
10-Aug-17,194.65,197.6,198.97,194.43,1.16M,-2.3,ILMN,-0.818149877,-0.433336693,14.21965318,10,8,2017
9-Aug-17,199.23,197.53,199.82,196.76,1.02M,0.82,ILMN,-0.040483781,-0.161738691,14.02759337,9,8,2017
8-Aug-17,197.61,198.28,199.86,197.39,711.10K,-0.99,ILMN,-0.651367873,15.07835171,14.51342766,8,8,2017
7-Aug-17,199.58,195.26,199.95,195.14,938.51K,2.63,ILMN,0.406232324,12.31521427,15.53846154,7,8,2017
4-Aug-17,194.47,198.44,198.55,194.38,1.19M,-2.01,ILMN,-0.010077598,13.44614681,15.2983557,4,8,2017
3-Aug-17,198.46,197,198.57,195.04,2.01M,0.31,ILMN,-0.429618398,13.00407274,14.32219127,3,8,2017
2-Aug-17,197.85,188,198.47,188,5.01M,14.83,ILMN,9.112013929,6.636415201,7.829079438,2,8,2017
1-Aug-17,172.3,173.96,173.96,170.31,1.44M,-0.89,ILMN,0.063272936,0.063272936,-0.097628209,1,8,2017
31-Jul-17,173.85,175.21,176.5,173.34,905.74K,-0.61,ILMN,0.165790075,0.701189724,0.97395113,31,7,2017
28-Jul-17,174.92,174.44,175.71,173.25,626.88K,0.34,ILMN,0.063098721,0.97829233,-1.306930693,28,7,2017
27-Jul-17,174.33,176.5,177.8,173.01,1.13M,-1.12,ILMN,0.113442995,2.63418038,-2.486187845,27,7,2017
26-Jul-17,176.3,173.37,176.47,172.12,769.78K,1.41,ILMN,-0.276100086,-0.293305728,-1.695395781,26,7,2017
25-Jul-17,173.85,175,175,171.76,853.37K,-0.08,ILMN,0.580493132,0.771622711,-3.256122505,25,7,2017
24-Jul-17,173.99,172.48,174.04,171.02,1.15M,0.72,ILMN,-0.156295224,0.430883894,-6.908462867,24,7,2017
