Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,98.99,96.43,100.3,96.2,1.78M,3.16,INCY,0.489787411,-2.595959596,-10.67988144,30,11,2017
29-Nov-17,95.96,96.58,97.31,95.06,1.40M,0.14,INCY,0.782635918,-2.395149065,-14.7196468,29,11,2017
28-Nov-17,95.83,98.08,98.24,94.78,1.88M,-2.07,INCY,0.224810954,-0.879231935,-14.14565826,28,11,2017
27-Nov-17,97.86,98.93,99.33,97.43,1.39M,-0.93,INCY,0.151852602,-6.200815398,-14.91356326,27,11,2017
24-Nov-17,98.78,98.71,99.47,98.31,482.83K,-0.22,INCY,-0.292929293,-7.297145004,-14.58116996,24,11,2017
22-Nov-17,99,99.09,100.26,98.28,1.20M,0.05,INCY,0.141485599,-5.843785633,-13.49628983,22,11,2017
21-Nov-17,98.95,99.36,99.97,96.6,2.89M,0,INCY,0.414350682,-5.479452055,-12.87267625,21,11,2017
20-Nov-17,98.95,105.29,106.95,98.72,2.53M,-6.18,INCY,-0.170664644,-1.790877717,-7.217130772,20,11,2017
17-Nov-17,105.47,106.06,107.1,105.42,1.03M,-0.95,INCY,-0.39444027,1.240931653,-7.119712759,17,11,2017
16-Nov-17,106.48,105.49,108.25,105.01,1.18M,1.18,INCY,0.237552261,2.427420138,-7.683556489,16,11,2017
15-Nov-17,105.24,105.13,105.98,104,978.92K,0.11,INCY,0.009512938,0.142884359,-8.693764113,15,11,2017
14-Nov-17,105.12,106.3,107.22,103.56,1.97M,-1.95,INCY,-0.848801418,-1.701498058,-8.076790038,14,11,2017
13-Nov-17,107.21,104.3,107.83,103.2,2.02M,2.34,INCY,-0.439098893,-1.071801195,-10.54888508,13,11,2017
10-Nov-17,104.76,101.96,105.09,100.6,2.97M,1.72,INCY,-1.000097097,-2.969166349,-10.80395416,10,11,2017
9-Nov-17,102.99,104.36,105.31,101.75,1.52M,-1.9,INCY,-0.590588684,-2.018589804,-7.424820367,9,11,2017
8-Nov-17,104.98,108.22,109.42,104.91,1.37M,-2.92,INCY,0.073978176,0.240829937,-3.046049095,8,11,2017
7-Nov-17,108.14,106.03,109.84,106.03,1.89M,2.57,INCY,0.56909798,-6.375275938,-7.615230461,7,11,2017
6-Nov-17,105.43,104.55,106.75,103.69,1.58M,0.33,INCY,-0.504377617,-8.482142857,-8.281428195,6,11,2017
3-Nov-17,105.08,106.08,108.04,104.17,1.85M,-1.34,INCY,-0.403717961,-8.764083599,-7.515257193,3,11,2017
2-Nov-17,106.51,107.74,107.89,104.06,2.39M,-1.34,INCY,-0.203779177,-6.767047421,-5.133397904,2,11,2017
1-Nov-17,107.96,113.42,114.79,106.36,2.87M,-4.67,INCY,0.150110375,-0.986468791,-0.360186243,1,11,2017
31-Oct-17,113.25,117.95,117.95,111.17,2.17M,-0.87,INCY,3.24754902,3.428621536,4.565602837,31,10,2017
30-Oct-17,114.24,116.53,117.35,113.44,2.18M,-1.75,INCY,0.223617442,2.687698273,1.163295425,30,10,2017
27-Oct-17,116.27,115.53,116.36,114.64,1.81M,0.61,INCY,-0.02596054,1.173482792,-1.036491348,27,10,2017
26-Oct-17,115.56,113.49,116.05,112.81,1.73M,0.88,INCY,-0.925360105,-0.682593857,0.309351246,26,10,2017
25-Oct-17,114.55,113.36,115.41,112.88,1.93M,0.45,INCY,-0.596282006,-1.545944068,2.764935183,25,10,2017
24-Oct-17,114.04,113.11,115.21,112.86,1.77M,0.49,INCY,-0.326048643,-2.187824282,3.628034814,24,10,2017
23-Oct-17,113.48,114.95,114.95,113.2,1.77M,-0.62,INCY,0.665557404,-1.41509434,4.7953323,23,10,2017
