"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","44.84","44.36","45.20","44.33","34.15M","2.03"
"Nov 29, 2017","43.95","44.85","45.09","43.77","27.04M","-1.74"
"Nov 28, 2017","44.73","44.65","44.84","44.32","20.19M","0.54"
"Nov 27, 2017","44.49","44.42","44.61","44.27","18.20M","-0.58"
"Nov 24, 2017","44.75","44.55","44.77","44.43","6.47M","0.22"
"Nov 22, 2017","44.65","44.94","44.95","44.53","19.54M","-0.65"
"Nov 21, 2017","44.94","44.72","45.22","44.71","21.87M","0.72"
"Nov 20, 2017","44.62","44.73","45.12","44.50","22.42M","-0.02"
"Nov 17, 2017","44.63","45.50","45.62","44.62","63.80M","-2.23"
"Nov 16, 2017","45.65","45.63","46.07","45.46","26.44M","0.42"
"Nov 15, 2017","45.46","45.39","45.80","45.17","17.16M","-0.87"
"Nov 14, 2017","45.86","45.70","45.92","45.32","22.20M","0.24"
"Nov 13, 2017","45.75","45.26","45.94","45.25","19.00M","0.37"
"Nov 10, 2017","45.58","46.04","46.09","45.38","24.10M","-1.56"
"Nov 09, 2017","46.30","46.05","46.39","45.65","25.57M","-0.86"
"Nov 08, 2017","46.70","46.62","46.70","46.28","21.57M","-0.17"
"Nov 07, 2017","46.78","46.70","47.09","46.39","24.46M","0.17"
"Nov 06, 2017","46.70","46.60","46.74","46.09","34.03M","0.78"
"Nov 03, 2017","46.34","47.20","47.30","45.60","39.30M","-1.61"
"Nov 02, 2017","47.10","46.61","47.23","46.21","44.60M","0.83"
"Nov 01, 2017","46.71","45.97","46.71","45.59","47.81M","2.68"
"Oct 31, 2017","45.49","45.20","45.80","44.65","47.00M","2.52"
"Oct 30, 2017","44.37","44.48","45.19","43.88","48.16M","-0.07"
"Oct 27, 2017","44.40","43.30","45.00","43.10","90.03M","7.38"
"Oct 26, 2017","41.35","40.91","41.58","40.71","38.25M","1.40"
"Oct 25, 2017","40.78","40.89","41.05","40.49","24.03M","-0.42"
"Oct 24, 2017","40.95","41.00","41.05","40.72","19.65M","0.29"
"Oct 23, 2017","40.83","40.55","41.04","40.40","28.65M","0.99"
"Oct 20, 2017","40.43","40.33","40.45","40.10","18.34M","0.85"
"Oct 19, 2017","40.09","39.88","40.33","39.83","19.22M","-0.40"
"Oct 18, 2017","40.25","39.80","40.29","39.60","21.42M","1.16"
"Oct 17, 2017","39.79","39.56","39.87","39.37","15.53M","0.08"
"Oct 16, 2017","39.76","39.71","39.79","39.44","12.49M","0.23"
"Oct 13, 2017","39.67","39.44","39.81","39.28","16.83M","1.22"
"Oct 12, 2017","39.19","39.35","39.39","38.98","18.29M","-0.28"
"Oct 11, 2017","39.30","39.48","39.67","39.06","30.75M","-0.88"
