Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,44.84,44.36,45.2,44.33,34.15M,2.03,INTC,0.932878271,-0.649496081,-5.031042603,30,11,2017
29-Nov-17,43.95,44.85,45.09,43.77,27.04M,-1.74,INTC,0.268276325,-0.200267023,-1.406902616,29,11,2017
28-Nov-17,44.73,44.65,44.84,44.32,20.19M,0.54,INTC,0.359631378,0.067234424,0.631057021,28,11,2017
27-Nov-17,44.49,44.42,44.61,44.27,18.20M,-0.58,INTC,-0.737430168,-0.470535514,0.045045045,27,11,2017
24-Nov-17,44.75,44.55,44.77,44.43,6.47M,0.22,INTC,-0.223964166,-2.409638554,7.738814994,24,11,2017
22-Nov-17,44.65,44.94,44.95,44.53,19.54M,-0.65,INTC,0,-1.143862736,10.20107896,22,11,2017
21-Nov-17,44.94,44.72,45.22,44.71,21.87M,0.72,INTC,0.224114747,-2.485826428,9.206349206,21,11,2017
20-Nov-17,44.62,44.73,45.12,44.5,22.42M,-0.02,INTC,0.224064531,-2.229508197,9.551800147,20,11,2017
17-Nov-17,44.63,45.5,45.62,44.62,63.80M,-2.23,INTC,-0.328587076,-0.175515577,12.54019293,17,11,2017
16-Nov-17,45.65,45.63,46.07,45.46,26.44M,0.42,INTC,0.373955125,-1.447084233,13.81890746,16,11,2017
15-Nov-17,45.46,45.39,45.8,45.17,17.16M,-0.87,INTC,-1.024858264,-2.805139186,12.77018634,15,11,2017
14-Nov-17,45.86,45.7,45.92,45.32,22.20M,0.24,INTC,-0.109289617,-2.308678923,14.85297814,14,11,2017
13-Nov-17,45.75,45.26,45.94,45.25,19.00M,0.37,INTC,-0.702062308,-3.083511777,13.83299799,13,11,2017
10-Nov-17,45.58,46.04,46.09,45.38,24.10M,-1.56,INTC,-0.561555076,-0.647388865,16.05747416,10,11,2017
9-Nov-17,46.3,46.05,46.39,45.65,25.57M,-0.86,INTC,-1.391862955,-2.229299363,17.50446542,9,11,2017
8-Nov-17,46.7,46.62,46.7,46.28,21.57M,-0.17,INTC,-0.342026507,-0.192678227,18.6259542,8,11,2017
7-Nov-17,46.78,46.7,47.09,46.39,24.46M,0.17,INTC,0,2.659925258,17.78058008,7,11,2017
6-Nov-17,46.7,46.6,46.74,46.09,34.03M,0.78,INTC,0.56107035,5.025918413,16.90918214,6,11,2017
3-Nov-17,46.34,47.2,47.3,45.6,39.30M,-1.61,INTC,0.212314225,6.306306306,19.10169064,3,11,2017
2-Nov-17,47.1,46.61,47.23,46.21,44.60M,0.83,INTC,-0.214086919,12.72067715,17.91044776,2,11,2017
1-Nov-17,46.71,45.97,46.71,45.59,47.81M,2.68,INTC,1.055176962,12.72682688,16.85307575,1,11,2017
31-Oct-17,45.49,45.2,45.8,44.65,47.00M,2.52,INTC,1.870633311,10.37851038,14.77907567,31,10,2017
30-Oct-17,44.37,44.48,45.19,43.88,48.16M,-0.07,INTC,0.18018018,8.939505266,13.93442623,30,10,2017
27-Oct-17,44.4,43.3,45,43.1,90.03M,7.38,INTC,4.715840387,7.098689092,13.70798319,27,10,2017
26-Oct-17,41.35,40.91,41.58,40.71,38.25M,1.4,INTC,0.318783718,2.045397855,8.141686492,26,10,2017
25-Oct-17,40.78,40.89,41.05,40.49,24.03M,-0.42,INTC,-0.146520147,1.590062112,8.923814598,25,10,2017
24-Oct-17,40.95,41,41.05,40.72,19.65M,0.29,INTC,0.416360519,3.040965067,9.420870029,24,10,2017
23-Oct-17,40.83,40.55,41.04,40.4,28.65M,0.99,INTC,0.2968093,1.986921529,9.122712594,23,10,2017
20-Oct-17,40.43,40.33,40.45,40.1,18.34M,0.85,INTC,0.598653031,1.663725737,8.472296934,20,10,2017
19-Oct-17,40.09,39.88,40.33,39.83,19.22M,-0.4,INTC,-0.919254658,1.760653228,7.204301075,19,10,2017
18-Oct-17,40.25,39.8,40.29,39.6,21.42M,1.16,INTC,0.025131943,1.272264631,7.364445643,18,10,2017
17-Oct-17,39.79,39.56,39.87,39.37,15.53M,0.08,INTC,-0.503018109,-0.226986129,6.258393768,17,10,2017
16-Oct-17,39.76,39.71,39.79,39.44,12.49M,0.23,INTC,0.100831863,-0.37631711,7.324324324,16,10,2017
13-Oct-17,39.67,39.44,39.81,39.28,16.83M,1.22,INTC,0.637917836,-0.479434772,6.594594595,13,10,2017
12-Oct-17,39.19,39.35,39.39,38.98,18.29M,-0.28,INTC,0.127226463,-0.455350367,7.867324561,12,10,2017
11-Oct-17,39.3,39.48,39.67,39.06,30.75M,-0.88,INTC,-0.428751576,0.355871886,8.670520231,11,10,2017
10-Oct-17,39.65,39.93,39.95,39.38,29.89M,-0.53,INTC,0.175614651,1.396648045,10.6400665,10,10,2017
9-Oct-17,39.86,39.68,39.88,39.52,18.49M,0.58,INTC,0.126167045,1.639344262,10.93094772,9,10,2017
6-Oct-17,39.63,39.6,39.89,39.42,18.89M,0.25,INTC,0.177080698,3.991596639,12.53196931,6,10,2017
5-Oct-17,39.53,39.5,39.65,39.21,17.71M,0.48,INTC,0.406710727,4.414485858,11.14237479,5,10,2017
4-Oct-17,39.34,39.39,39.4,38.86,28.37M,-0.1,INTC,0.025393601,4.928076718,10.15100671,4,10,2017
3-Oct-17,39.38,38.95,39.7,38.95,34.00M,0.87,INTC,-0.230532787,3.949826528,11.22215877,3,10,2017
2-Oct-17,39.04,38.12,39.09,38.08,37.39M,2.52,INTC,0.105042017,2.583423036,8.634938729,2,10,2017
29-Sep-17,38.08,37.84,38.15,37.7,23.22M,0.66,INTC,0.026434047,1.775147929,7.898488737,29,9,2017
28-Sep-17,37.83,37.32,37.88,37.29,21.17M,0.77,INTC,-0.586041556,0.322580645,6.964746346,28,9,2017
27-Sep-17,37.54,37.62,37.69,37.1,25.98M,0.19,INTC,0.400320256,1.483679525,8.321336021,27,9,2017
26-Sep-17,37.47,37.21,37.64,37,29.79M,0.83,INTC,0.134553283,-0.053720118,7.388167388,26,9,2017
25-Sep-17,37.16,37.05,37.23,36.85,23.18M,-0.05,INTC,-0.34965035,0.135135135,6.864724546,25,9,2017
22-Sep-17,37.18,36.95,37.22,36.95,21.63M,-0.05,INTC,-0.672043011,-0.135135135,6.453471622,22,9,2017
21-Sep-17,37.2,36.99,37.27,36.85,22.95M,0.35,INTC,-0.215807931,1.398026316,6.722446624,21,9,2017
20-Sep-17,37.07,37.23,37.29,36.66,23.96M,-0.43,INTC,0,2.477291495,7.445887446,20,9,2017
19-Sep-17,37.23,37.2,37.3,37.02,23.85M,0.62,INTC,0.540540541,3.075644223,6.529209622,19,9,2017
18-Sep-17,37,37,37.33,36.8,19.39M,0,INTC,0,3.438635728,5.68409026,18,9,2017
15-Sep-17,37,36.55,37.08,36.22,33.60M,1.43,INTC,0.191885965,3.8647343,3.923798692,15,9,2017
