Date	Price	Open	High	Low	Vol.	Change %	Stock	O-Change	W-Change	M-Change	Day	Month	Year
30-Nov-17	157.22	154.76	157.8	153.91	3.42M	1.95	 INTU	0.350149138	2.06423531	2.246300211	30	11	2017
29-Nov-17	154.22	155.87	155.96	153.18	2.27M	-1.01	 INTU	0.051351178	2.687924106	3.211495166	29	11	2017
28-Nov-17	155.79	154.92	155.89	154.33	1.36M	0.66	 INTU	0.096918007	-1.812650526	2.29118521	28	11	2017
27-Nov-17	154.77	153.81	155.12	153.35	1.61M	0.56	 INTU	-0.064973036	-1.75023954	0.228072462	27	11	2017
24-Nov-17	153.91	151.1	153.98	151.02	1.06M	1.5	 INTU	-0.349535052	-2.923225185	-0.151985727	24	11	2017
22-Nov-17	151.63	151.94	152.38	150.72	1.82M	-0.11	 INTU	0.098820739	-1.24788769	1.659306838	22	11	2017
21-Nov-17	151.79	152.5	156.39	151.18	2.53M	-3.8	 INTU	-3.34643174	-1.746021519	2.610684968	21	11	2017
20-Nov-17	157.78	157.22	158.9	156.53	1.87M	0.79	 INTU	0.427978282	1.504293369	6.720065164	20	11	2017
17-Nov-17	156.55	155.99	156.71	155.27	1.25M	0.58	 INTU	0.218438805	1.754729289	5.420017571	17	11	2017
16-Nov-17	155.65	154.09	156.04	153.59	1.14M	1.16	 INTU	0.149486546	1.102289876	5.094802892	16	11	2017
15-Nov-17	153.86	155.22	156.46	153.36	1.66M	-0.87	 INTU	0.006442884	1.47751046	6.482815394	15	11	2017
14-Nov-17	155.21	154.05	155.78	153.52	946.53K	0.21	 INTU	-0.542320356	1.009769851	5.87628866	14	11	2017
13-Nov-17	154.89	153.01	155.37	153.01	1.09M	1.04	 INTU	-0.189171559	0.216138329	5.713693519	13	11	2017
10-Nov-17	153.3	151.66	153.45	151.56	712.02K	0.58	 INTU	-0.492093695	-1.288726894	4.126330244	10	11	2017
9-Nov-17	152.41	152.01	152.59	150.58	954.74K	-0.36	 INTU	-0.621077406	-0.092014459	4.216371863	9	11	2017
8-Nov-17	152.96	152.61	153.19	151.67	734.28K	0.3	 INTU	0.065569471	0.825845666	6.22998747	8	11	2017
7-Nov-17	152.51	153.25	153.33	151.58	662.90K	-0.11	 INTU	0.37332984	1.476625613	6.290747677	7	11	2017
6-Nov-17	152.68	153.86	154.19	152.04	671.20K	-0.62	 INTU	0.143191877	1.591284252	6.876910253	6	11	2017
3-Nov-17	153.64	151.89	154.04	151.04	962.44K	0.98	 INTU	-0.170883996	-1.0230679	5.347482314	3	11	2017
2-Nov-17	152.15	151.34	152.32	150.6	925.53K	0.52	 INTU	-0.013213531	0.006608075	5.935881282	2	11	2017
1-Nov-17	151.36	151.85	152.22	150.55	892.38K	0.23	 INTU	0.54959608	1.599090058	6.434429102	1	11	2017
31-Oct-17	151.02	151.78	151.99	150.51	859.13K	-0.28	 INTU	0.217893694	2.126227964	7.000352485	31	10	2017
30-Oct-17	151.45	153.22	153.26	150.38	953.95K	-1.31	 INTU	-0.156392545	4.00488732	8.099336814	30	10	2017
27-Oct-17	153.46	151.4	153.86	150.82	1.17M	1.41	 INTU	0.046256525	2.31803744	6.514703813	27	10	2017
26-Oct-17	151.33	150.05	151.95	149.43	1.12M	1.25	 INTU	0.394754449	2.339380712	5.438830722	26	10	2017
25-Oct-17	149.46	148.35	149.74	147.97	1.46M	0.57	 INTU	-0.181671377	1.769911504	2.763923525	25	10	2017
24-Oct-17	148.62	147.09	148.62	145.83	1.14M	0.88	 INTU	-0.156122726	1.092783505	1.602541963	24	10	2017
23-Oct-17	147.32	148.53	148.89	146.96	810.41K	-0.44	 INTU	0.378455092	2.618488324	2.618488324	23	10	2017
20-Oct-17	147.97	146.46	148.42	146.46	1.18M	0.92	 INTU	-0.109125631	0.556127703	0.0956807	20	10	2017
19-Oct-17	146.62	145.4	146.65	145.38	874.09K	0.58	 INTU	-0.253824518	-0.315370904	0.62980137	19	10	2017
18-Oct-17	145.77	145.61	146.46	145.14	888.21K	0.19	 INTU	0.075601375	1.357371572	0.441470649	18	10	2017
17-Oct-17	145.5	144.78	145.64	144.53	1.14M	0.53	 INTU	0.027635761	0.416146484	-0.385303426	17	10	2017
16-Oct-17	144.74	146	146	144.64	743.08K	-0.62	 INTU	0.240302094	1.417060295	1.529902643	16	10	2017
13-Oct-17	145.65	146.81	146.99	145.25	1.03M	-0.14	 INTU	0.651309475	1.824108753	3.292760149	13	10	2017
12-Oct-17	145.86	143.65	145.93	143.46	1.09M	1.53	 INTU	-0.00696088	0.55298894	1.105011261	12	10	2017
11-Oct-17	143.66	144.17	144.68	143.18	1.22M	-0.36	 INTU	-0.006935775	1.051377304	1.485287907	11	10	2017
10-Oct-17	144.18	143.95	144.72	143.46	778.20K	0.15	 INTU	-0.006946374	1.480437081	1.102682961	10	10	2017
9-Oct-17	143.96	144.34	144.34	143.41	786.96K	-0.15	 INTU	0.110972396	1.834344575	1.191811554	9	10	2017
6-Oct-17	144.18	142.35	144.24	142.04	992.71K	0.92	 INTU	-0.35699286	0.147741663	0.558067251	6	10	2017
5-Oct-17	142.86	142.99	143.13	142.02	1.07M	0.13	 INTU	0.224293825	0.477830089	1.411347518	5	10	2017
4-Oct-17	142.67	141.75	142.89	140.21	1.61M	0.58	 INTU	-0.070497004	-1.80798005	0.432194984	4	10	2017
3-Oct-17	141.85	141.77	142.3	141.31	1.24M	0.08	 INTU	0.021165514	-2.072252539	0.162498234	3	10	2017
2-Oct-17	141.74	142.26	143.29	141.18	1.58M	-0.28	 INTU	0.084423808	-1.713417162	0.253699789	2	10	2017
29-Sep-17	142.14	142.18	142.92	140.37	2.57M	-0.12	 INTU	-0.09134987	-2.829414981	0.516083422	29	9	2017
28-Sep-17	142.31	143.46	144.02	141.6	1.94M	-1.42	 INTU	-0.623441397	-0.7128521	2.493391441	28	9	2017
27-Sep-17	144.36	144.2	145.68	143.68	1.57M	-0.28	 INTU	-0.393727982	-0.531144375	4.485182233	27	9	2017
26-Sep-17	144.77	145.23	145.61	144.1	1.17M	0.02	 INTU	0.338538068	-0.075684602	5.315445975	26	9	2017
25-Sep-17	144.74	145.53	145.99	143.76	1.32M	-1.08	 INTU	-0.539912521	1.203059805	5.955587914	25	9	2017
22-Sep-17	146.32	144.07	146.72	144.07	1.31M	1.27	 INTU	-0.290677556	1.364947583	6.45828715	22	9	2017
21-Sep-17	144.49	145.82	145.9	144.06	1.16M	-0.33	 INTU	0.586328206	2.63231982	7.600354191	21	9	2017
20-Sep-17	144.97	145.33	145.91	144	1.25M	-0.25	 INTU	-0.006880418	2.301844291	5.197249367	20	9	2017
19-Sep-17	145.34	144.3	146.04	143.59	1.74M	1.07	 INTU	0.347705146	1.348504003	6.173202855	19	9	2017
18-Sep-17	143.8	142.07	144.06	141.61	1.41M	1.17	 INTU	-0.042214874	-0.399607403	5.935426143	18	9	2017
15-Sep-17	142.13	141.85	142.35	141.11	1.42M	0.04	 INTU	-0.161880631	0.20486013	5.496058307	15	9	2017
14-Sep-17	142.08	141.34	142.09	140.58	1.26M	0.01	 INTU	-0.506828101	0.241134752	2.479698376	14	9	2017
13-Sep-17	142.06	141.7	142.26	140.75	1.23M	-0.22	 INTU	-0.477595168	0.396769165	3.077034989	13	9	2017
12-Sep-17	142.38	142.93	143	140.53	1.79M	-0.18	 INTU	0.20330903	0.982054543	2.90877673	12	9	2017
11-Sep-17	142.64	142.43	143.08	141.87	1.10M	0.76	 INTU	0.61458039	0.373502467	4.267935578	11	9	2017
8-Sep-17	141.56	141.17	141.7	140.94	953.28K	0.4	 INTU	0.120567376	-0.197949806	4.446581829	8	9	2017
7-Sep-17	141	140.99	141.76	140.07	1.53M	-0.1	 INTU	-0.106277455	0.728727584	3.047800029	7	9	2017
6-Sep-17	141.14	142.15	142.49	140.74	1.19M	-0.28	 INTU	0.430973576	2.999782624	4.383903657	6	9	2017
5-Sep-17	141.54	141.07	142.45	140.85	1.37M	-0.25	 INTU	-0.584918957	2.298767223	3.234540798	5	9	2017
1-Sep-17	141.9	141.83	142.26	141.06	1.07M	0.32	 INTU	0.268646165	3.26174008	3.601168736	1	9	2017
