"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","399.78","398.00","401.00","393.52","1.85M","1.39"
"Nov 29, 2017","394.30","402.37","404.58","391.02","1.03M","-1.97"
"Nov 28, 2017","402.23","404.48","404.48","400.28","850.19K","-0.36"
"Nov 27, 2017","403.70","399.00","405.05","398.99","780.35K","1.39"
"Nov 24, 2017","398.15","396.59","398.77","396.17","339.44K","0.39"
"Nov 22, 2017","396.59","398.00","398.49","394.68","488.84K","-0.48"
"Nov 21, 2017","398.49","396.22","398.95","395.02","782.93K","1.39"
"Nov 20, 2017","393.03","392.48","394.29","390.29","697.73K","0.14"
"Nov 17, 2017","392.48","394.75","400.00","390.50","617.10K","-0.34"
"Nov 16, 2017","393.80","390.62","394.90","390.50","653.46K","1.05"
"Nov 15, 2017","389.69","390.25","392.88","387.00","579.28K","-0.33"
"Nov 14, 2017","390.97","391.03","393.29","389.28","576.74K","-0.29"
"Nov 13, 2017","392.12","388.85","392.78","386.32","846.03K","0.76"
"Nov 10, 2017","389.15","389.81","391.15","386.16","686.69K","-0.22"
"Nov 09, 2017","390.00","391.56","392.34","388.88","791.24K","-0.60"
"Nov 08, 2017","392.34","391.00","393.51","387.17","490.18K","0.33"
"Nov 07, 2017","391.04","386.18","391.23","386.00","632.28K","1.61"
"Nov 06, 2017","384.83","383.14","385.94","383.00","592.92K","0.15"
"Nov 03, 2017","384.25","380.65","386.58","380.15","599.13K","1.18"
"Nov 02, 2017","379.75","377.94","384.20","377.00","716.37K","0.99"
"Nov 01, 2017","376.04","377.31","378.39","373.87","668.84K","0.18"
"Oct 31, 2017","375.36","376.05","379.89","374.69","841.72K","-0.19"
"Oct 30, 2017","376.09","373.99","376.57","370.48","617.06K","0.62"
"Oct 27, 2017","373.78","373.98","374.64","369.51","762.47K","0.38"
"Oct 26, 2017","372.36","373.50","382.15","371.63","1.05M","-0.02"
"Oct 25, 2017","372.42","371.63","373.71","368.48","706.27K","0.25"
"Oct 24, 2017","371.49","372.64","373.35","369.33","978.58K","-0.54"
"Oct 23, 2017","373.52","372.50","378.32","372.45","1.34M","1.07"
"Oct 20, 2017","369.58","357.48","374.89","356.90","2.02M","3.39"
"Oct 19, 2017","357.46","355.42","357.57","350.00","1.06M","0.87"
"Oct 18, 2017","354.37","357.27","358.25","353.89","676.92K","-0.18"
"Oct 17, 2017","355.00","356.01","356.57","353.26","878.70K","0.41"
"Oct 16, 2017","353.55","358.23","361.68","352.91","1.22M","-2.41"
"Oct 13, 2017","362.29","363.00","365.77","361.70","714.55K","-0.07"
"Oct 12, 2017","362.53","363.89","364.93","361.28","842.88K","0.62"
"Oct 11, 2017","360.29","357.29","360.52","356.12","537.76K","1.49"
"Oct 10, 2017","354.99","356.91","357.44","352.80","568.29K","0.11"
"Oct 09, 2017","354.61","363.54","363.54","353.88","861.53K","-1.90"
"Oct 06, 2017","361.47","362.09","367.50","360.20","889.95K","-0.48"
"Oct 05, 2017","363.23","364.14","364.85","358.00","1.18M","0.44"
"Oct 04, 2017","361.63","359.20","363.33","358.73","836.50K","1.03"
"Oct 03, 2017","357.96","354.88","358.67","354.22","1.00M","1.26"
"Oct 02, 2017","353.49","349.70","354.90","349.19","855.47K","1.39"
"Sep 29, 2017","348.63","342.72","349.58","342.09","684.81K","1.95"
"Sep 28, 2017","341.96","341.45","343.07","340.21","535.75K","0.18"
"Sep 27, 2017","341.36","339.58","341.95","339.51","636.41K","0.73"
"Sep 26, 2017","338.88","340.65","342.23","337.80","524.32K","-0.07"
"Sep 25, 2017","339.11","344.93","344.93","337.85","685.39K","-1.38"
"Sep 22, 2017","343.84","343.50","344.29","340.73","495.12K","0.13"
"Sep 21, 2017","343.40","349.39","349.60","343.25","721.09K","-1.55"
"Sep 20, 2017","348.79","348.45","350.67","346.67","487.58K","0.09"
"Sep 19, 2017","348.49","347.62","351.00","346.88","604.14K","-0.08"
"Sep 18, 2017","348.76","347.06","349.64","345.52","740.84K","0.79"
"Sep 15, 2017","346.01","346.51","347.67","345.42","1.11M","-0.24"
"Sep 14, 2017","346.83","346.92","348.36","345.85","642.79K","-0.23"
"Sep 13, 2017","347.63","347.39","347.96","345.34","423.46K","-0.20"
"Sep 12, 2017","348.33","348.19","349.41","347.27","590.54K","-0.05"
"Sep 11, 2017","348.49","347.72","351.33","345.36","1.11M","0.28"
"Sep 08, 2017","347.53","344.28","351.59","341.67","940.22K","0.59"
"Sep 07, 2017","345.49","340.80","345.95","340.76","523.32K","1.38"
"Sep 06, 2017","340.79","341.26","343.00","337.01","660.82K","0.09"
"Sep 05, 2017","340.48","335.98","342.03","335.67","1.04M","1.46"
"Sep 01, 2017","335.58","333.97","336.21","332.46","536.15K","0.21"
"Aug 31, 2017","334.89","332.00","335.22","330.79","1.38M","0.87"
"Aug 30, 2017","332.01","327.37","332.16","327.00","636.75K","0.88"
"Aug 29, 2017","329.13","327.23","329.68","325.67","822.29K","0.14"
"Aug 28, 2017","328.67","327.33","329.56","326.86","554.23K","0.75"
"Aug 25, 2017","326.21","330.35","330.99","325.45","821.18K","-1.21"
"Aug 24, 2017","330.19","328.99","330.54","327.73","693.44K","0.40"
"Aug 23, 2017","328.89","331.27","331.27","327.73","617.76K","-1.00"
"Aug 22, 2017","332.20","327.63","332.67","327.57","951.71K","1.41"
"Aug 21, 2017","327.57","327.35","328.33","324.80","1.16M","-0.16"
"Aug 18, 2017","328.10","324.51","330.77","322.86","1.16M","1.15"
"Aug 17, 2017","324.37","329.25","331.00","324.07","970.45K","-1.60"
"Aug 16, 2017","329.63","328.69","330.51","327.00","841.50K","0.36"
"Aug 15, 2017","328.46","322.41","330.15","321.67","1.76M","2.16"
"Aug 14, 2017","321.52","317.00","322.42","317.00","980.13K","2.37"
"Aug 11, 2017","314.08","310.09","314.67","310.09","724.72K","1.38"
"Aug 10, 2017","309.79","313.16","314.36","309.30","763.10K","-1.49"
"Aug 09, 2017","314.48","311.46","315.25","310.33","793.78K","0.97"
"Aug 08, 2017","311.46","311.05","312.62","309.83","683.53K","-0.24"
"Aug 07, 2017","312.21","309.90","312.38","309.21","908.08K","0.60"
"Aug 04, 2017","310.36","312.74","312.74","307.89","974.70K","-0.33"
"Aug 03, 2017","311.39","309.78","313.12","309.36","844.96K","0.13"
"Aug 02, 2017","310.99","313.13","313.79","309.00","909.75K","-0.85"
"Aug 01, 2017","313.66","312.99","315.00","311.38","814.59K","0.29"
"Jul 31, 2017","312.75","314.50","315.33","311.13","1.14M","-0.31"
"Jul 28, 2017","313.73","310.17","314.33","309.02","1.46M","1.00"
"Jul 27, 2017","310.62","314.69","315.33","307.00","1.32M","-1.28"
"Jul 26, 2017","314.64","315.36","316.72","313.15","798.27K","-0.10"
"Jul 25, 2017","314.97","317.24","317.89","313.72","1.07M","-0.45"
"Jul 24, 2017","316.39","308.93","317.80","308.93","1.51M","2.34"
"Jul 21, 2017","309.16","321.64","322.66","308.57","3.07M","-4.55"
"Jul 20, 2017","323.91","323.01","324.88","320.92","1.99M","0.51"
"Jul 19, 2017","322.26","317.60","322.48","317.55","1.47M","2.13"
"Jul 18, 2017","315.55","316.09","316.86","313.46","960.82K","-0.15"
"Jul 17, 2017","316.03","318.31","318.87","314.68","1.22M","-0.38"
"Jul 14, 2017","317.25","313.47","318.03","313.47","852.87K","1.41"
"Jul 13, 2017","312.85","317.19","317.73","312.62","932.76K","-1.03"
"Jul 12, 2017","316.11","316.67","318.52","315.72","822.87K","0.62"
"Jul 11, 2017","314.16","316.47","316.47","312.38","986.86K","-0.50"
"Jul 10, 2017","315.75","314.50","316.94","312.67","964.77K","0.31"
"Jul 07, 2017","314.76","312.81","316.06","312.54","695.75K","1.01"
"Jul 06, 2017","311.60","310.83","313.31","309.67","651.74K","-0.35"
"Jul 05, 2017","312.70","309.38","313.43","309.38","1.14M","1.78"
"Jul 03, 2017","307.22","313.65","313.85","306.86","488.33K","-1.47"
"Jun 30, 2017","311.79","311.62","313.30","307.50","748.94K","0.52"
"Jun 29, 2017","310.17","314.91","314.91","307.86","940.32K","-1.67"
"Jun 28, 2017","315.44","312.92","316.03","310.66","1.08M","1.10"
"Jun 27, 2017","312.00","313.76","314.64","310.02","1.15M","-0.47"
"Jun 26, 2017","313.48","317.45","318.26","312.55","925.39K","-0.89"
"Jun 23, 2017","316.31","316.96","318.13","314.65","2.41M","-0.55"
"Jun 22, 2017","318.05","318.27","321.18","316.83","815.97K","0.09"
"Jun 21, 2017","317.76","314.09","318.13","313.67","1.09M","1.38"
"Jun 20, 2017","313.45","312.90","316.33","312.74","1.11M","0.42"
"Jun 19, 2017","312.13","306.30","312.44","306.16","1.23M","2.35"
"Jun 16, 2017","304.95","300.32","305.86","300.19","1.72M","1.77"
"Jun 15, 2017","299.65","300.25","300.56","297.35","979.94K","-0.76"
"Jun 14, 2017","301.94","305.89","306.00","300.97","955.58K","-0.26"
"Jun 13, 2017","302.74","301.74","305.10","300.12","908.73K","0.54"
"Jun 12, 2017","301.10","303.67","304.80","292.17","1.96M","-1.42"
"Jun 09, 2017","305.45","311.60","311.77","302.07","1.06M","-1.45"
"Jun 08, 2017","309.95","311.67","312.38","308.83","808.26K","-0.23"
"Jun 07, 2017","310.67","309.63","310.91","308.07","716.63K","0.83"
