Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,399.78,398,401,393.52,1.85M,1.39,ISRG,0.938371798,0.355530901,5.839804276,30,11,2017
29-Nov-17,394.3,402.37,404.58,391.02,1.03M,-1.97,ISRG,0.034805957,0.973675625,7.195758738,29,11,2017
28-Nov-17,402.23,404.48,404.48,400.28,850.19K,-0.36,ISRG,0.193212782,2.913263619,7.548725039,28,11,2017
27-Nov-17,403.7,399,405.05,398.99,780.35K,1.39,ISRG,0.213487379,1.661231146,6.747284499,27,11,2017
24-Nov-17,398.15,396.59,398.77,396.17,339.44K,0.39,ISRG,0,0.708481463,6.507143624,24,11,2017
22-Nov-17,396.59,398,398.49,394.68,488.84K,-0.48,ISRG,-0.12296419,2.132464266,6.868589227,22,11,2017
21-Nov-17,398.49,396.22,398.95,395.02,782.93K,1.39,ISRG,0.811642877,1.342814027,6.656975962,21,11,2017
20-Nov-17,393.03,392.48,394.29,390.29,697.73K,0.14,ISRG,0,0.09180863,5.076033412,20,11,2017
17-Nov-17,392.48,394.75,400,390.5,617.10K,-0.34,ISRG,0.241239208,1.439033792,6.810433465,17,11,2017
16-Nov-17,393.8,390.62,394.9,390.5,653.46K,1.05,ISRG,0.238651236,0.158974359,9.276562413,16,11,2017
15-Nov-17,389.69,390.25,392.88,387,579.28K,-0.33,ISRG,-0.184157352,-0.532701229,10.12501058,15,11,2017
14-Nov-17,390.97,391.03,393.29,389.28,576.74K,-0.29,ISRG,-0.27797613,-0.002557283,10.14929577,14,11,2017
13-Nov-17,392.12,388.85,392.78,386.32,846.03K,0.76,ISRG,-0.077091096,1.044617104,9.984443502,13,11,2017
10-Nov-17,389.15,389.81,391.15,386.16,686.69K,-0.22,ISRG,-0.048717949,1.446974626,7.596124652,10,11,2017
9-Nov-17,390,391.56,392.34,388.88,791.24K,-0.6,ISRG,-0.198807157,3.10994075,8.007613163,9,11,2017
8-Nov-17,392.34,391,393.51,387.17,490.18K,0.33,ISRG,-0.010229133,3.978300181,8.52368925,8,11,2017
7-Nov-17,391.04,386.18,391.23,386,632.28K,1.61,ISRG,0.350804251,2.88256607,8.786162991,7,11,2017
6-Nov-17,384.83,383.14,385.94,383,592.92K,0.15,ISRG,-0.288874431,1.874551304,8.045458391,6,11,2017
3-Nov-17,384.25,380.65,386.58,380.15,599.13K,1.18,ISRG,0.236998025,1.83797956,5.306111157,3,11,2017
2-Nov-17,379.75,377.94,384.2,377,716.37K,0.99,ISRG,0.505265397,1.498549791,4.049775624,2,11,2017
1-Nov-17,376.04,377.31,378.39,373.87,668.84K,0.18,ISRG,0.519501279,1.313033672,4.335923458,1,11,2017
31-Oct-17,375.36,376.05,379.89,374.69,841.72K,-0.19,ISRG,-0.010635752,1.2274893,5.053637278,31,10,2017
30-Oct-17,376.09,373.99,376.57,370.48,617.06K,0.62,ISRG,0.056182781,0.125829942,5.799315398,30,10,2017
27-Oct-17,373.78,373.98,374.64,369.51,762.47K,0.38,ISRG,0.435062842,1.190540614,7.271319164,27,10,2017
26-Oct-17,372.36,373.5,382.15,371.63,1.05M,-0.02,ISRG,0.289995167,4.487215353,9.223300971,26,10,2017
25-Oct-17,372.42,371.63,373.71,368.48,706.27K,0.25,ISRG,0.037686075,4.870615458,8.867471291,25,10,2017
24-Oct-17,371.49,372.64,373.35,369.33,978.58K,-0.54,ISRG,-0.235596487,4.969014085,9.962228517,24,10,2017
23-Oct-17,373.52,372.5,378.32,372.45,1.34M,1.07,ISRG,0.790086044,5.359920803,9.846362537,23,10,2017
20-Oct-17,369.58,357.48,374.89,356.9,2.02M,3.39,ISRG,0.005595032,-1.327665682,3.966961377,20,10,2017
19-Oct-17,357.46,355.42,357.57,350,1.06M,0.87,ISRG,0.296300477,-1.961217003,3.500291206,19,10,2017
18-Oct-17,354.37,357.27,358.25,353.89,676.92K,-0.18,ISRG,0.63943662,-0.838213661,2.431262364,18,10,2017
17-Oct-17,355,356.01,356.57,353.26,878.70K,0.41,ISRG,0.695799745,0.287332038,2.157881144,17,10,2017
16-Oct-17,353.55,358.23,361.68,352.91,1.22M,-2.41,ISRG,-1.120649204,1.020839796,2.715334327,16,10,2017
