"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","111.14","108.90","111.89","108.16","1.21M","2.30"
"Nov 29, 2017","108.64","105.97","108.70","105.52","922.84K","2.46"
"Nov 28, 2017","106.03","104.34","106.05","103.31","764.27K","2.31"
"Nov 27, 2017","103.64","104.29","104.75","103.25","465.35K","-0.50"
"Nov 24, 2017","104.16","104.00","104.98","103.96","206.53K","0.14"
"Nov 22, 2017","104.01","103.36","104.53","103.16","474.13K","0.77"
"Nov 21, 2017","103.22","102.28","103.39","101.51","770.90K","1.47"
"Nov 20, 2017","101.72","101.34","101.99","100.78","358.38K","0.28"
"Nov 17, 2017","101.44","103.73","104.29","100.97","999.84K","-1.50"
"Nov 16, 2017","102.98","101.88","103.20","101.22","848.39K","1.42"
"Nov 15, 2017","101.54","102.35","102.90","101.15","676.95K","-0.91"
"Nov 14, 2017","102.47","102.02","102.72","101.65","848.15K","-0.11"
"Nov 13, 2017","102.58","101.92","103.04","101.47","918.29K","0.72"
"Nov 10, 2017","101.85","102.03","102.27","101.22","729.68K","-0.15"
"Nov 09, 2017","102.00","104.09","104.09","100.86","1.26M","-2.26"
"Nov 08, 2017","104.36","106.40","106.40","103.03","1.45M","-2.15"
"Nov 07, 2017","106.65","107.54","108.35","106.17","972.51K","-1.10"
"Nov 06, 2017","107.84","106.97","108.63","106.30","830.24K","0.58"
"Nov 03, 2017","107.22","107.17","108.41","106.18","736.15K","-0.15"
"Nov 02, 2017","107.38","106.20","107.42","105.52","526.10K","1.13"
"Nov 01, 2017","106.18","106.74","107.70","106.01","642.62K","-0.20"
"Oct 31, 2017","106.39","105.36","106.54","104.01","1.20M","1.07"
"Oct 30, 2017","105.26","108.67","108.67","105.01","1.13M","-3.97"
"Oct 27, 2017","109.61","108.74","109.67","108.41","635.35K","0.67"
"Oct 26, 2017","108.88","106.31","109.42","106.21","620.32K","2.49"
"Oct 25, 2017","106.23","106.20","106.66","105.65","910.24K","-0.08"
"Oct 24, 2017","106.31","107.44","108.27","106.12","906.57K","-1.02"
"Oct 23, 2017","107.41","108.50","108.74","106.58","641.96K","0.78"
"Oct 20, 2017","106.58","105.26","107.50","104.58","1.09M","1.71"
"Oct 19, 2017","104.79","103.98","105.02","103.44","660.79K","0.33"
"Oct 18, 2017","104.45","102.52","105.07","102.52","926.98K","1.97"
"Oct 17, 2017","102.43","101.48","102.61","101.22","928.97K","0.78"
"Oct 16, 2017","101.64","103.45","103.45","100.25","1.80M","-2.28"
