Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,111.14,108.9,111.89,108.16,1.21M,2.3,JBHT,0.239322533,4.701471012,2.5616877,30,11,2017
29-Nov-17,108.64,105.97,108.7,105.52,922.84K,2.46,JBHT,-0.056587758,2.664212362,-0.394773945,29,11,2017
28-Nov-17,106.03,104.34,106.05,103.31,764.27K,2.31,JBHT,0.675414898,2.575697994,-0.874026221,28,11,2017
27-Nov-17,103.64,104.29,104.75,103.25,465.35K,-0.5,JBHT,0.124807988,2.809542587,-4.853571754,27,11,2017
24-Nov-17,104.16,104,104.98,103.96,206.53K,0.14,JBHT,-0.00961446,0.990483589,-4.48199853,24,11,2017
22-Nov-17,104.01,103.36,104.53,103.16,474.13K,0.77,JBHT,0.135632629,1.792397085,-2.701685023,22,11,2017
21-Nov-17,103.22,102.28,103.39,101.51,770.90K,1.47,JBHT,0.550530869,-0.185420123,-3.790800489,21,11,2017
20-Nov-17,101.72,101.34,101.99,100.78,358.38K,0.28,JBHT,-0.098580442,-1.208812634,-5.651242901,20,11,2017
17-Nov-17,101.44,103.73,104.29,100.97,999.84K,-1.5,JBHT,0.728296757,1.845851743,-2.674047664,17,11,2017
16-Nov-17,102.98,101.88,103.2,101.22,848.39K,1.42,JBHT,0.334843411,-0.117647059,-2.776982537,16,11,2017
15-Nov-17,101.54,102.35,102.9,101.15,676.95K,-0.91,JBHT,-0.117107446,-1.926025297,-2.010531355,15,11,2017
14-Nov-17,102.47,102.02,102.72,101.65,848.15K,-0.11,JBHT,-0.545915383,-4.341303329,-0.400273357,14,11,2017
13-Nov-17,102.58,101.92,103.04,101.47,918.29K,0.72,JBHT,0.068728522,-5.489614243,0.275482094,13,11,2017
10-Nov-17,101.85,102.03,102.27,101.22,729.68K,-0.15,JBHT,0.029411765,-4.840514829,-1.903663109,10,11,2017
9-Nov-17,102,104.09,104.09,100.86,1.26M,-2.26,JBHT,-0.258719816,-3.063885267,-3.931702815,9,11,2017
8-Nov-17,104.36,106.4,106.4,103.03,1.45M,-2.15,JBHT,-0.234411627,0.207195329,0.681302044,8,11,2017
7-Nov-17,106.65,107.54,108.35,106.17,972.51K,-1.1,JBHT,-0.278189911,1.080928659,1.290383347,7,11,2017
6-Nov-17,107.84,106.97,108.63,106.3,830.24K,0.58,JBHT,-0.233165454,1.624548736,1.000849778,6,11,2017
3-Nov-17,107.22,107.17,108.41,106.18,736.15K,-0.15,JBHT,-0.195567145,-2.226074263,0.412255223,3,11,2017
2-Nov-17,107.38,106.2,107.42,105.52,526.10K,1.13,JBHT,0.018835939,-2.461425422,-0.626929915,2,11,2017
1-Nov-17,106.18,106.74,107.7,106.01,642.62K,-0.2,JBHT,0.328978287,0.48009037,-1.766979569,1,11,2017
31-Oct-17,106.39,105.36,106.54,104.01,1.20M,1.07,JBHT,0.09500285,-0.893613019,-3.401485285,31,10,2017
30-Oct-17,105.26,108.67,108.67,105.01,1.13M,-3.97,JBHT,-0.857585987,1.173075133,-0.293604918,30,10,2017
27-Oct-17,109.61,108.74,109.67,108.41,635.35K,0.67,JBHT,-0.128581925,2.02664665,-2.106589845,27,10,2017
26-Oct-17,108.88,106.31,109.42,106.21,620.32K,2.49,JBHT,0.075308293,1.450520088,-2.378328742,26,10,2017
25-Oct-17,106.23,106.2,106.66,105.65,910.24K,-0.08,JBHT,-0.103470981,1.675442796,-2.461425422,25,10,2017
24-Oct-17,106.31,107.44,108.27,106.12,906.57K,-1.02,JBHT,0.02793036,4.891145172,0.336197236,24,10,2017
23-Oct-17,107.41,108.5,108.74,106.58,641.96K,0.78,JBHT,1.801463689,6.749311295,3.402268179,23,10,2017
20-Oct-17,106.58,105.26,107.5,104.58,1.09M,1.71,JBHT,0.44851608,1.201807519,-0.463356974,20,10,2017
19-Oct-17,104.79,103.98,105.02,103.44,660.79K,0.33,JBHT,-0.449976065,-4.033225658,-0.659214675,19,10,2017
18-Oct-17,104.45,102.52,105.07,102.52,926.98K,1.97,JBHT,0.087864883,-2.99015897,-1.668904661,18,10,2017
17-Oct-17,102.43,101.48,102.61,101.22,928.97K,0.78,JBHT,-0.157418339,-4.417443722,-1.159053277,17,10,2017
16-Oct-17,101.64,103.45,103.45,100.25,1.80M,-2.28,JBHT,-0.538409768,-2.322726844,0.671467497,16,10,2017
13-Oct-17,104.01,107.53,108.75,103.72,1.97M,-4.01,JBHT,-0.756806645,0.749554952,5.867874372,13,10,2017
12-Oct-17,108.35,105.8,108.42,105.6,1.26M,2.53,JBHT,0.113550341,-1.001216431,5.980166283,12,10,2017
11-Oct-17,105.68,106.26,106.46,105.11,632.27K,-0.46,JBHT,0.084769709,-2.208724462,5.636743215,11,10,2017
10-Oct-17,106.17,106.09,106.32,105.39,706.07K,0.25,JBHT,0.169955623,-2.732190336,4.42956984,10,10,2017
9-Oct-17,105.91,106.68,106.92,105.09,737.88K,-0.77,JBHT,-0.046847184,-2.119460501,5.103448276,9,10,2017
6-Oct-17,106.73,106.83,107.98,106.33,732.43K,-0.13,JBHT,-0.037428652,-3.8260713,4.899842891,6,10,2017
5-Oct-17,106.87,108.32,108.72,106.49,1.11M,-1.65,JBHT,-0.312902632,-0.532598714,7.524320032,5,10,2017
4-Oct-17,108.66,108.78,109.46,108.34,1.31M,-0.38,JBHT,-0.265884294,-0.091844232,9.778988798,4,10,2017
3-Oct-17,109.07,109.53,110.64,108.56,717.71K,0.07,JBHT,0.495458299,2.288008965,11.07392759,3,10,2017
2-Oct-17,108.99,111.44,111.98,107.52,1.17M,-1.88,JBHT,0.324090745,6.204136091,12.16909914,2,10,2017
29-Sep-17,111.08,111.09,111.6,109.77,1.25M,2,JBHT,2.011019284,5.04964539,12.33694003,29,9,2017
28-Sep-17,108.9,108.84,109.54,108.53,567.10K,0.02,JBHT,-0.036737693,3.983949556,9.079975947,28,9,2017
27-Sep-17,108.88,107.3,109.21,107.03,1.26M,1.68,JBHT,0.205453866,2.915787454,7.235658605,27,9,2017
26-Sep-17,107.08,105.1,107.39,104.59,1.01M,2.05,JBHT,0.16201277,2.366806273,6.033091203,26,9,2017
25-Sep-17,104.93,105.47,105.88,104.33,766.78K,-0.78,JBHT,-0.264775414,2.637212923,7.99713291,25,9,2017
22-Sep-17,105.75,104.8,105.92,104.67,510.82K,1.03,JBHT,0.124199866,3.180072856,8.533554267,22,9,2017
21-Sep-17,104.67,104.58,105.72,104.06,787.71K,0.39,JBHT,0.306924995,4.758088751,7.714491709,21,9,2017
20-Sep-17,104.26,102.91,104.3,102.5,1.22M,1.55,JBHT,0.233758644,2.306392286,5.117466803,20,9,2017
19-Sep-17,102.67,102.84,103.45,102.47,548.67K,-0.09,JBHT,0.077851304,1.230436067,5.6394453,19,9,2017
18-Sep-17,102.76,101.59,102.9,101.5,752.98K,1.17,JBHT,0.019690854,0.088669951,5.132981476,18,9,2017
15-Sep-17,101.57,100.02,101.72,99.66,1.09M,1.74,JBHT,0.19032355,-1.787117046,3.230467541,15,9,2017
14-Sep-17,99.83,100.19,100.78,99.33,1.32M,-0.76,JBHT,-0.397653842,-0.545959897,2.970195272,14,9,2017
13-Sep-17,100.59,101.22,101.22,99.72,543.67K,-0.98,JBHT,-0.364209076,2.149561005,3.943314849,13,9,2017
12-Sep-17,101.59,101.59,102.03,101.11,531.08K,0.09,JBHT,0.088669951,3.022005882,5.48229675,12,9,2017
11-Sep-17,101.5,102.22,102.99,100.83,810.45K,-0.33,JBHT,0.373134328,2.888777051,7.940865892,11,9,2017
8-Sep-17,101.84,100.74,102.03,100.23,754.00K,1.09,JBHT,0,1.870765497,9.381107492,8,9,2017
7-Sep-17,100.74,99.51,100.91,99.23,1.24M,1.67,JBHT,0.4238571,-0.27059531,7.963545622,7,9,2017
6-Sep-17,99.09,98.94,99.55,98.28,852.18K,0.49,JBHT,0.334651658,-1.119328403,8.832911671,6,9,2017
5-Sep-17,98.61,99.22,99.62,98.14,810.02K,-0.74,JBHT,-0.130850528,0.100887813,9.441870726,5,9,2017
1-Sep-17,99.35,99.41,99.91,98.51,566.10K,0.47,JBHT,0.525836788,1.79193119,9.808903126,1,9,2017
31-Aug-17,98.89,100.1,100.1,98.26,1.02M,-0.89,JBHT,0.320705552,3.666114333,12.10661888,31,8,2017
30-Aug-17,99.78,99.96,100.77,99.65,1.30M,-0.28,JBHT,-0.099940036,2.956020187,11.51271754,30,8,2017
29-Aug-17,100.06,98.75,101.21,98.5,911.68K,0.95,JBHT,-0.373284907,0.868232891,10.32286895,29,8,2017
28-Aug-17,99.12,98.05,99.35,98.05,633.70K,1.49,JBHT,0.399344665,0.719054956,8.091720869,28,8,2017
25-Aug-17,97.66,96.98,98.39,96.64,833.25K,1.14,JBHT,0.434962717,0.362206354,7.314374239,25,8,2017
24-Aug-17,96.56,97.17,97.5,96.3,784.07K,-0.55,JBHT,0.082397775,0.288987512,6.956521739,24,8,2017
23-Aug-17,97.09,97.6,97.68,96.83,530.10K,-0.83,JBHT,-0.306435138,0.308324769,4.273504274,23,8,2017
22-Aug-17,97.9,97.76,98.31,97.42,1.04M,0.56,JBHT,0.42116076,0.390223865,4.71293916,22,8,2017
21-Aug-17,97.35,96.67,98.07,96.26,766.78K,0.75,JBHT,0.041395012,0.37379296,5.604107494,21,8,2017
18-Aug-17,96.63,96.78,97.62,95.99,988.85K,-0.27,JBHT,-0.113530808,2.196409715,5.701179554,18,8,2017
17-Aug-17,96.89,97,97.4,95.93,1.08M,-0.42,JBHT,-0.308324769,5.320304017,5.976182672,17,8,2017
16-Aug-17,97.3,97.65,98.3,97.24,1.17M,-0.08,JBHT,0.277264325,5.945535424,6.488549618,16,8,2017
15-Aug-17,97.38,96.4,97.79,96.21,1.24M,1.11,JBHT,0.09344824,6.038939611,4.77122052,15,8,2017
14-Aug-17,96.31,95.15,96.6,95.14,1.60M,1.7,JBHT,0.475184794,4.952570042,1.732064578,14,8,2017
11-Aug-17,94.7,92.73,95.23,92.73,1.31M,2.82,JBHT,0.684039088,2.430133657,0.958083832,11,8,2017
10-Aug-17,92.1,91.59,92.89,91.55,1.33M,-0.08,JBHT,-0.629271997,2.575876358,0.361604208,10,8,2017
9-Aug-17,92.17,90.66,92.2,90.15,1.02M,1.39,JBHT,-0.27499725,1.137884873,-1.402936378,9,8,2017
8-Aug-17,90.91,90.39,91.57,89.81,651.80K,0.28,JBHT,-0.297816016,0.983130376,-1.180714989,8,8,2017
7-Aug-17,90.66,90.39,90.91,89.87,553.35K,0.14,JBHT,-0.154644869,-0.352772572,-2.523455192,7,8,2017
4-Aug-17,90.53,89.48,90.99,89.32,766.23K,1.39,JBHT,0.212789786,-0.984840102,-4.4527496,4,8,2017
3-Aug-17,89.29,89.29,89.85,88.91,842.25K,-0.39,JBHT,-0.390450692,-1.717116125,-3.208672087,3,8,2017
2-Aug-17,89.64,89.09,90.11,89.01,553.33K,0.15,JBHT,-0.469221316,-4.818376068,-4.461126005,2,8,2017
1-Aug-17,89.51,91.47,91.47,88.83,756.30K,-1.32,JBHT,0.837834858,-2.024421594,-1.877279554,1,8,2017
31-Jul-17,90.71,90.48,91.03,90.21,647.79K,0.38,JBHT,0.12172181,-1.157963732,-0.984898227,31,7,2017
28-Jul-17,90.37,90.7,91.61,90.36,712.87K,-0.53,JBHT,-0.16510732,-0.939274792,-0.209043899,28,7,2017
27-Jul-17,90.85,93.18,93.4,90.07,1.08M,-2.94,JBHT,-0.448717949,1.802687643,1.969796454,27,7,2017
26-Jul-17,93.6,93.48,93.84,92.88,729.63K,0.26,JBHT,0.128534704,1.941112323,6.590649943,26,7,2017
25-Jul-17,93.36,92.3,94.05,92.16,970.99K,1.99,JBHT,0.830238147,0.315183132,5.509830818,25,7,2017
24-Jul-17,91.54,91.33,91.71,90.51,718.38K,-0.02,JBHT,-0.251201398,-2.352186464,5.243143581,24,7,2017
21-Jul-17,91.56,91.3,92.16,90.51,1.09M,0.03,JBHT,-0.251283732,-0.598802395,5.597964377,21,7,2017
20-Jul-17,91.53,91.51,91.77,90.66,530.42K,-0.19,JBHT,-0.207197383,0.273942582,5.681949417,20,7,2017
19-Jul-17,91.7,92.08,92.14,91.12,804.74K,-0.34,JBHT,0.076078687,0.141381185,5.126155954,19,7,2017
