Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,37.45,37.87,38,37.12,16.36M,-1,JD,0.105736188,-4.825332998,0.026413101,30,11,2017
29-Nov-17,37.83,38.4,38.61,37.1,18.26M,-1.92,JD,-0.440757065,-3.7111334,2.345415778,29,11,2017
28-Nov-17,38.57,38.76,38.96,38.3,8.24M,-0.23,JD,0.258665287,-1.12244898,3.580972742,28,11,2017
27-Nov-17,38.66,39,39.13,38.52,9.58M,-1.4,JD,-0.535577659,-3.105590062,4.389721627,27,11,2017
24-Nov-17,39.21,39.72,39.73,39.05,7.26M,-1.46,JD,-0.175923599,-1.243162606,7.905460473,24,11,2017
22-Nov-17,39.79,40.2,40.46,39.45,9.32M,-0.23,JD,0.802407222,2.160101652,7.486631016,22,11,2017
21-Nov-17,39.88,39.49,40.37,39.49,13.82M,1.73,JD,0.739795918,1.516709512,2.518172378,21,11,2017
20-Nov-17,39.2,40.36,40.45,38.9,20.09M,-2.61,JD,0.273291925,-2.370585389,5.022118137,20,11,2017
17-Nov-17,40.25,40.34,40.73,39.95,16.67M,0.07,JD,0.298359025,0.950950951,3.435897436,17,11,2017
16-Nov-17,40.22,39.64,40.58,39.34,18.08M,2.21,JD,0.736975858,-0.40201005,0.660233621,16,11,2017
15-Nov-17,39.35,38.5,39.38,37.79,19.46M,1.16,JD,-1.028277635,-4.537565088,-4.513888889,15,11,2017
14-Nov-17,38.9,41,41.05,38.25,38.89M,-5.9,JD,-0.822447992,3.040965067,3.561505431,14,11,2017
13-Nov-17,41.34,41.97,42.77,40.85,43.67M,3.45,JD,5.03003003,7.587798001,5.797832115,13,11,2017
10-Nov-17,39.96,39.83,40.4,39.17,16.87M,0.4,JD,0.075376884,3.669963561,2.866735537,10,11,2017
9-Nov-17,39.8,40.19,40.22,38.89,16.91M,-1.31,JD,-0.347136127,6.098204857,4.362503246,9,11,2017
8-Nov-17,40.33,39.91,40.83,39.85,17.11M,1.36,JD,0.301583312,5.414685684,0.731953559,8,11,2017
7-Nov-17,39.79,39.69,39.9,39.09,14.58M,2,JD,1.743142784,5.78358209,-1.194921583,7,11,2017
6-Nov-17,39.01,39.01,39.18,38.6,14.49M,1.54,JD,1.535658511,4.249064671,0.257003341,6,11,2017
3-Nov-17,38.42,38.4,38.61,38.21,15.41M,1.43,JD,1.372756072,2.78372591,-2.140672783,3,11,2017
2-Nov-17,37.88,38.24,38.67,37.67,17.73M,0.05,JD,1.003697834,3.884813909,-2.299437915,2,11,2017
1-Nov-17,37.86,38,38.31,37.72,15.80M,0.91,JD,1.279317697,1.604278075,-0.886802295,1,11,2017
31-Oct-17,37.52,37.84,38.03,37.27,13.58M,0.27,JD,1.122394441,-1.765316719,-3.494006631,31,10,2017
30-Oct-17,37.42,37.81,37.87,36.94,15.65M,0.16,JD,1.204496788,-1.613322925,-3.299232737,30,10,2017
27-Oct-17,37.36,37.01,37.47,35.79,23.63M,1.49,JD,0.543330617,-5.102564103,-3.115183246,27,10,2017
26-Oct-17,36.81,37.56,37.68,36.71,19.15M,-1.58,JD,0.427807487,-4.621635348,-2.820181113,26,10,2017
25-Oct-17,37.4,38.55,38.97,37.13,22.02M,-2.91,JD,0.07788162,-4.389880952,-2.921178544,25,10,2017
24-Oct-17,38.52,38.66,38.81,38.46,11.85M,0.23,JD,0.598490762,-2.34907805,-4.117063492,24,10,2017
23-Oct-17,38.43,39.15,39.2,38.33,13.58M,-1.46,JD,0.384615385,-1.310814217,-4.348888346,23,10,2017
20-Oct-17,39,39.7,39.75,38.69,20.23M,-0.96,JD,0.812595226,2.530991736,-6.301628511,20,10,2017
19-Oct-17,39.38,39.8,40.18,39.21,16.38M,-2.33,JD,-1.28968254,3.349779278,-7.398790135,19,10,2017
18-Oct-17,40.32,40,40.77,39.57,19.06M,1.84,JD,1.035615054,0.95911156,-9.9909991,18,10,2017
17-Oct-17,39.59,39.95,40.15,39.37,12.07M,-0.2,JD,0.70582304,-0.547672392,-9.880442139,17,10,2017
16-Oct-17,39.67,40.14,40.15,38.96,19.94M,2.45,JD,3.667355372,3.161141095,-10.28162718,16,10,2017
