Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,81.37,81.44,82.18,80.5,4.41M,0.35,KHC,0.431619189,2.029566525,4.813384813,30,11,2017
29-Nov-17,81.09,78.95,81.56,78.83,4.07M,2.67,KHC,-0.0379843,-1.324834396,2.094917884,29,11,2017
28-Nov-17,78.98,79.7,79.86,78.72,3.17M,-0.79,KHC,0.113051124,-0.287751783,5.885478942,28,11,2017
27-Nov-17,79.61,79.76,80.04,79.45,4.60M,-0.19,KHC,0,0.163255055,3.18240621,27,11,2017
24-Nov-17,79.76,80.25,80.35,79.54,1.14M,-0.08,KHC,0.538712102,0.715361446,3.816300129,24,11,2017
22-Nov-17,79.82,80.04,80.2,79.59,2.92M,-0.24,KHC,0.037495313,1.599390708,3.504461399,22,11,2017
21-Nov-17,80.01,80.12,80.29,79.76,2.46M,0.1,KHC,0.237707994,0.932224742,3.755503756,21,11,2017
20-Nov-17,79.93,79.7,80.96,79.63,3.74M,0.38,KHC,0.087906568,-0.187852223,3.425901895,20,11,2017
17-Nov-17,79.63,79.63,80.07,79.28,4.26M,-0.06,KHC,-0.062751004,-0.112895133,3.806544127,17,11,2017
16-Nov-17,79.68,78.72,80.16,78.51,3.03M,1.14,KHC,-0.076161462,-0.868908198,2.942330326,16,11,2017
15-Nov-17,78.78,79.49,79.89,78.57,3.28M,-0.76,KHC,0.138573948,-0.113093742,3.099870298,15,11,2017
14-Nov-17,79.38,79.54,79.88,79.03,2.84M,-0.59,KHC,-0.388227927,1.739575339,2.579313903,14,11,2017
13-Nov-17,79.85,79.66,80.37,79.6,3.25M,0.16,KHC,-0.075263422,3.454545455,2.588538313,13,11,2017
10-Nov-17,79.72,78.97,79.88,78.97,3.40M,0.39,KHC,-0.554086387,1.243589744,1.582197067,10,11,2017
9-Nov-17,79.41,79.26,79.94,79.02,3.43M,-0.21,KHC,-0.402111083,1.576316801,1.420345489,9,11,2017
8-Nov-17,79.58,78.64,80.09,78.22,4.06M,1.79,KHC,0.588385776,1.20978121,0.575521166,8,11,2017
7-Nov-17,78.18,76.93,78.64,76.49,3.42M,1.53,KHC,-0.090909091,-0.517263675,-1.548502687,7,11,2017
