Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,102.24,101.5,104.33,100.97,3.57M,1.88,KLAC,1.145989038,-2.842921413,-3.471231574,30,11,2017
29-Nov-17,100.35,107.16,107.38,98.91,3.46M,-6.35,KLAC,0,2.320252077,-1.588759298,29,11,2017
28-Nov-17,107.16,104.27,107.22,104.27,1.67M,2.65,KLAC,-0.11495354,1.716905668,-2.869119702,28,11,2017
27-Nov-17,104.39,103.64,105.1,102.3,1.32M,-0.62,KLAC,-1.33282559,1.957697983,-4.099194966,27,11,2017
24-Nov-17,105.04,104.73,105.42,104.08,891.44K,0.55,KLAC,0.248875275,-0.038178868,-3.785025264,24,11,2017
22-Nov-17,104.47,105.68,105.68,103.87,1.21M,-0.25,KLAC,0.907094433,2.651772705,-0.965232874,22,11,2017
21-Nov-17,104.73,103.26,104.88,103.25,1.51M,2.17,KLAC,0.731635938,1.086637298,-4.113659578,21,11,2017
20-Nov-17,102.51,101.99,103.25,101.72,1.62M,0.85,KLAC,0.334481062,0.058863926,-5.38961039,20,11,2017
17-Nov-17,101.65,105.76,106.52,101.53,1.69M,-2.98,KLAC,0.944926983,3.240921515,-2.381391914,17,11,2017
16-Nov-17,104.77,103.49,106.96,102.79,2.26M,1.77,KLAC,0.524526469,1.064453125,-4.220268394,16,11,2017
15-Nov-17,102.95,102.04,103.31,100.51,2.11M,0.78,KLAC,-0.107684777,-4.7067613,-5.597187529,15,11,2017
14-Nov-17,102.15,101.34,102.21,100.7,1.84M,0.22,KLAC,-0.578828608,-5.730232558,-6.175354134,14,11,2017
13-Nov-17,101.93,101.52,103.03,101.23,2.26M,-0.5,KLAC,-0.898086685,-3.781632073,-5.41321159,13,11,2017
10-Nov-17,102.44,102.2,103.1,101.61,2.18M,0.04,KLAC,-0.1953125,-3.857008467,-2.943969611,10,11,2017
9-Nov-17,102.4,106.53,106.54,101.78,2.10M,-4.37,KLAC,-0.513634666,0.141003948,1.63136806,9,11,2017
8-Nov-17,107.08,107.59,107.85,106.3,1.11M,-0.39,KLAC,0.08372093,2.320494532,2.868343054,8,11,2017
7-Nov-17,107.5,105.43,107.56,105.16,1.25M,1.89,KLAC,-0.075822197,-3.177518597,0.938247966,7,11,2017
6-Nov-17,105.51,106.33,106.99,105.06,1.13M,-0.74,KLAC,0.028222013,-0.950163018,2.28956229,6,11,2017
3-Nov-17,106.3,106.08,106.65,105.57,1.16M,-0.08,KLAC,-0.282007896,-1.841399093,3.522982336,3,11,2017
2-Nov-17,106.38,105.22,106.44,104.5,1.74M,1.17,KLAC,0.066571564,-3.334864492,3.491688797,2,11,2017
1-Nov-17,105.15,110,110,103.09,2.32M,-3.43,KLAC,1.019377353,3.083122481,6.796116505,1,11,2017
31-Oct-17,108.89,107.78,109.63,106.85,2.73M,1.43,KLAC,0.400558919,0.083573219,4.803578374,31,10,2017
30-Oct-17,107.35,108.17,108.63,106.45,1.90M,-0.67,KLAC,0.092532618,0.3432282,3.06812768,30,10,2017
27-Oct-17,108.07,108.19,109.5,103.6,2.48M,-0.72,KLAC,-0.606338999,-0.138453018,2.066037736,27,10,2017
26-Oct-17,108.85,107.04,109.78,107,2.35M,2.01,KLAC,0.309249367,-0.934752429,2.020587114,26,10,2017
25-Oct-17,106.71,107.36,107.61,105.21,1.60M,-0.91,KLAC,-0.306435138,-0.675363123,3.062302006,25,10,2017
24-Oct-17,107.69,107.76,108.17,107.06,1.03M,-0.1,KLAC,-0.037105751,-0.23146005,8.661893718,24,10,2017
23-Oct-17,107.8,108.99,108.99,107.45,1.16M,-0.5,KLAC,0.599963079,1.546631883,10.07978992,23,10,2017
20-Oct-17,108.34,109.06,109.15,107.89,836.11K,0.27,KLAC,0.934752429,3.570750237,8.420320111,20,10,2017
19-Oct-17,108.05,106.72,108.06,105.77,709.02K,-0.04,KLAC,-1.2674623,1.812631177,7.234726688,19,10,2017
18-Oct-17,108.09,108.19,108.23,106.12,863.22K,0.07,KLAC,0.166651236,3.442011665,8.559100943,18,10,2017
17-Oct-17,108.01,107.84,108.29,106.74,1.10M,0.63,KLAC,0.475170036,3.245572044,5.715125968,17,10,2017
16-Oct-17,107.33,106.01,107.39,105.11,2.08M,1.93,KLAC,0.674264008,1.981721982,5.054008522,16,10,2017
13-Oct-17,105.3,105.23,106.1,104.82,1.01M,0.46,KLAC,0.391146728,2.69347126,6.680859692,13,10,2017
12-Oct-17,104.82,104.89,105.76,104.5,937.12K,0.22,KLAC,0.286834305,3.167109275,7.623640468,12,10,2017
11-Oct-17,104.59,104.07,105.14,103.79,664.85K,0.13,KLAC,-0.363810436,1.038834951,7.577010544,11,10,2017
10-Oct-17,104.45,104.94,104.94,103.37,859.85K,0.48,KLAC,0.952380952,2.042007001,7.136294028,10,10,2017
9-Oct-17,103.95,102.73,104.46,102.63,884.33K,1.44,KLAC,0.2537328,-2.115292997,5.721930637,9,10,2017
6-Oct-17,102.47,101.74,102.66,101.27,965.21K,0.79,KLAC,0.068850202,-4.018867925,7.832538421,6,10,2017
5-Oct-17,101.67,103.54,103.59,101.35,1.16M,-1.29,KLAC,0.524271845,-1.315287838,8.623583718,5,10,2017
4-Oct-17,103,102.63,103.08,101.04,1.44M,0.16,KLAC,-0.2042007,-1.478352693,8.603174603,4,10,2017
3-Oct-17,102.84,105.03,105.17,102.35,1.73M,-2.01,KLAC,0.076226775,5.909045074,12.13965407,3,10,2017
2-Oct-17,104.95,105.54,105.99,103.87,1.16M,-0.99,KLAC,-0.433962264,6.595293405,12.18112245,2,10,2017
29-Sep-17,106,105.13,106.09,104.15,1.08M,1.03,KLAC,0.200152497,4.51337111,12.21048137,29,9,2017
28-Sep-17,104.92,103.23,105.19,103.23,1.86M,0.72,KLAC,-0.902371124,3.727893891,10.37100396,28,9,2017
27-Sep-17,104.17,100.28,105.05,99.66,2.23M,5.04,KLAC,1.119290108,0.622115192,8.539885269,27,9,2017
26-Sep-17,99.17,99.78,100.05,98.27,846.39K,0.16,KLAC,0.777699222,-2.18606019,9.001529386,26,9,2017
25-Sep-17,99.01,100.09,100.51,98.39,1.44M,-1.57,KLAC,-0.497067303,-0.812605292,10.62113174,25,9,2017
22-Sep-17,100.59,99.37,101.02,99.37,1.21M,1.08,KLAC,-0.150723473,0.740064882,10.04429679,22,9,2017
21-Sep-17,99.52,99.75,100,98.56,1.43M,-0.14,KLAC,0.090307044,2.349681921,9.075997813,21,9,2017
20-Sep-17,99.66,102.23,102.43,98.59,1.76M,-2.3,KLAC,0.215665131,5.675005168,11.48309706,20,9,2017
19-Sep-17,102.01,101.32,102.97,100.55,1.81M,1.09,KLAC,0.406302646,3.440530883,13.82990675,19,9,2017
18-Sep-17,100.91,99.01,101.32,98.69,1.57M,2.3,KLAC,0.375101379,1.893588556,9.694216707,18,9,2017
15-Sep-17,98.64,97.62,98.85,97.24,2.45M,1.21,KLAC,0.164169916,3.46581876,8.744569455,15,9,2017
14-Sep-17,97.46,96.58,97.94,96.42,994.41K,0.74,KLAC,-0.165391772,1.321863198,5.115367871,14,9,2017
13-Sep-17,96.74,96.8,97.76,96.02,1.29M,-1.24,KLAC,-1.174068402,2.433862434,6.350252692,13,9,2017
12-Sep-17,97.95,97.09,98.18,96.53,847.15K,0.8,KLAC,-0.082329937,3.662182362,6.109289617,12,9,2017
11-Sep-17,97.17,95.21,97.73,95.21,1.02M,2.99,KLAC,0.911499735,1.201105442,5.39074607,11,9,2017
8-Sep-17,94.35,95.24,95.78,94.06,675.45K,-1.02,KLAC,-0.083927822,1.654392144,8.055366462,8,9,2017
7-Sep-17,95.32,94.54,95.43,93.76,681.85K,0.87,KLAC,0.042328042,1.079867422,3.344993441,7,9,2017
6-Sep-17,94.5,93.73,94.55,92.82,957.58K,0.9,KLAC,0.074738416,1.450373417,3.363475959,6,9,2017
5-Sep-17,93.66,93.94,94.63,92.53,851.13K,-0.45,KLAC,-0.148809524,2.621804676,2.097598087,5,9,2017
1-Sep-17,94.08,94.1,94.37,93.08,549.22K,0.42,KLAC,0.437613406,4.000884173,5.932680401,1,9,2017
31-Aug-17,93.69,93.95,94.17,93.08,1.04M,0.17,KLAC,0.44905378,4.042081949,5.60926259,31,8,2017
30-Aug-17,93.53,92.17,93.6,92.16,538.18K,1.23,KLAC,-0.238121009,0.787315473,2.399733363,30,8,2017
29-Aug-17,92.39,90.8,92.49,90.29,463.60K,0.93,KLAC,-0.808389775,-0.981461287,-1.975601857,29,8,2017
28-Aug-17,91.54,90.6,91.56,90.6,981.57K,1.17,KLAC,0.132625995,1.786316144,-2.191514628,28,8,2017
25-Aug-17,90.48,90.71,91.43,90.08,474.12K,0.2,KLAC,0.454042082,0.498559716,-3.908898305,25,8,2017
24-Aug-17,90.3,91.71,91.86,89.85,936.21K,-1.26,KLAC,0.284308365,2.161078311,-8.225758031,24,8,2017
23-Aug-17,91.45,91.21,91.82,90.72,583.58K,-0.27,KLAC,-0.534351145,-0.729212016,-9.567717628,23,8,2017
22-Aug-17,91.7,89.94,92.08,89.47,879.69K,3.02,KLAC,1.044826424,-1.186552406,-9.261501211,22,8,2017
21-Aug-17,89.01,89.93,90.21,88.44,969.31K,-1.38,KLAC,-0.365610459,-1.715846995,-10.25845724,21,8,2017
18-Aug-17,90.26,90.09,90.99,89.31,1.13M,0.55,KLAC,0.356466526,-0.276732344,-9.810791871,18,8,2017
17-Aug-17,89.77,91.5,91.77,89.75,925.60K,-2.3,KLAC,-0.413582934,3.812117086,-10.02949853,17,8,2017
16-Aug-17,91.88,91.01,92.31,90.42,769.48K,0.94,KLAC,-0.010986596,-0.513773502,-10.23769603,16,8,2017
15-Aug-17,91.02,91.44,91.5,90.5,1.12M,-0.52,KLAC,-0.06557377,0.838112042,-8.404287288,15,8,2017
14-Aug-17,91.5,91.47,92.73,91,1.21M,1.28,KLAC,1.250830197,-0.586892729,-7.727226874,14,8,2017
11-Aug-17,90.34,88.1,90.6,88.09,1.07M,2.5,KLAC,-0.045382346,-0.821794439,-11.5816941,11,8,2017
10-Aug-17,88.14,90.79,91.09,87.93,1.17M,-3.65,KLAC,-0.754263227,2.057104317,-6.977459016,10,8,2017
9-Aug-17,91.48,90.08,91.85,89.49,929.32K,0.88,KLAC,-0.661667402,0.077769137,-7.799385875,9,8,2017
8-Aug-17,90.68,91.99,92.12,90.38,1.32M,-1.45,KLAC,-0.021736768,-0.690920868,-5.096461364,8,8,2017
7-Aug-17,92.01,89.03,92.69,89.03,2.01M,3.58,KLAC,0.225149161,-3.886429882,-6.901599916,7,8,2017
4-Aug-17,88.83,89.02,89.89,88.4,1.13M,-0.15,KLAC,0.067446043,-5.699152542,-5.868668711,4,8,2017
3-Aug-17,88.96,89.87,90.32,88.48,1.63M,-1.17,KLAC,-0.155538274,-10.06704693,-2.822231834,3,8,2017
2-Aug-17,90.01,93.18,93.29,89.92,1.55M,-2.83,KLAC,0.593760121,-7.61451517,0.964351501,2,8,2017
1-Aug-17,92.63,92.85,93.05,91.86,1.76M,0,KLAC,0.237504048,-6.32566586,1.419989077,1,8,2017
31-Jul-17,92.63,94.58,94.75,92.49,1.23M,-1.88,KLAC,0.190677966,-5.618201776,3.354824609,31,7,2017
28-Jul-17,94.4,97.74,97.89,94.2,1.86M,-5.53,KLAC,-2.191534074,-2.152367604,5.653442871,28,7,2017
27-Jul-17,99.93,100.89,101.08,98.5,1.48M,-0.92,KLAC,0.0297442,-0.796460177,5.37915187,27,7,2017
26-Jul-17,100.86,98.49,100.88,98.49,854.88K,1.76,KLAC,-0.63559322,-2.860242627,4.921700224,26,7,2017
25-Jul-17,99.12,99.98,100.35,98.91,1.11M,-1.09,KLAC,-0.229518012,0.150255434,4.124140804,25,7,2017
24-Jul-17,100.21,99.96,100.91,99.84,776.18K,0.32,KLAC,0.070077085,0.837284374,2.052067381,24,7,2017
21-Jul-17,99.89,100.97,101.55,99.13,978.22K,-1.78,KLAC,-0.717797443,1.334805299,4.448122479,21,7,2017
20-Jul-17,101.7,101.68,101.75,100.47,571.68K,0.31,KLAC,0.286024263,4.180327869,3.744515866,20,7,2017
19-Jul-17,101.39,100.64,101.67,100.47,1.09M,1.56,KLAC,0.811379345,3.009211873,3.135888502,19,7,2017
