Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,31.76,32.17,32.68,31.66,1.84M,-1.61,LBTYA,-0.340768278,4.993472585,2.648372687,30,11,2017
29-Nov-17,32.28,30.37,32.65,30.37,3.27M,7.17,LBTYA,0.83001328,-0.524074681,-1.555915721,29,11,2017
28-Nov-17,30.12,29.95,30.18,29.82,1.09M,0.67,LBTYA,0.10026738,-1.415404872,-3.168444876,28,11,2017
27-Nov-17,29.92,30.63,30.7,29.77,905.17K,-2.54,LBTYA,-0.228013029,1.625746516,0.45916694,27,11,2017
24-Nov-17,30.7,30.61,30.74,30.07,692.60K,0.2,LBTYA,-0.097911227,2.614817298,-1.226202001,24,11,2017
22-Nov-17,30.64,30.57,31.02,30.22,456.07K,0.36,LBTYA,0.13101867,1.662786831,-1.987816608,22,11,2017
21-Nov-17,30.53,30.52,30.84,30.31,1.92M,0.49,LBTYA,0.460829493,3.98637138,-2.116741501,21,11,2017
20-Nov-17,30.38,30.05,30.64,29.97,1.72M,0.8,LBTYA,-0.298606503,0.974462366,-4.146730463,20,11,2017
17-Nov-17,30.14,29.68,30.43,29.68,2.37M,1.04,LBTYA,-0.50284948,-0.134589502,-6.165033196,17,11,2017
16-Nov-17,29.83,29.99,30.26,29.78,1.39M,-0.8,LBTYA,-0.266045893,1.317567568,-5.513547574,16,11,2017
15-Nov-17,30.07,29.34,30.16,29.13,1.07M,2.45,LBTYA,-0.03407155,-1.543624161,-9.444444444,15,11,2017
14-Nov-17,29.35,29.62,29.97,29.2,1.45M,-1.38,LBTYA,-0.470430108,-3.012442698,-8.777332923,14,11,2017
13-Nov-17,29.76,29.58,29.78,29.45,786.14K,0.13,LBTYA,-0.471063257,-3.553961526,-9.235961952,13,11,2017
10-Nov-17,29.72,29.6,29.87,29.49,1.07M,0.41,LBTYA,0,-2.982628646,-7.615480649,10,11,2017
9-Nov-17,29.6,29.7,29.94,29.55,1.85M,-0.67,LBTYA,-0.33557047,-6.072106262,-7.013149656,9,11,2017
8-Nov-17,29.8,30.4,30.66,29.77,1.36M,-2.42,LBTYA,-0.458415193,-2.999361838,-6.346272335,8,11,2017
7-Nov-17,30.54,30.72,30.96,30.48,1.21M,-0.42,LBTYA,0.163025758,-0.421393841,-3.42659541,7,11,2017
6-Nov-17,30.67,30.03,30.78,30.03,1.66M,0.52,LBTYA,-1.573254671,-2.909796314,-7.228915663,6,11,2017
3-Nov-17,30.51,31.51,31.58,30.36,1.95M,-3.51,LBTYA,-0.347881088,3.345359134,-4.774856452,3,11,2017
2-Nov-17,31.62,30,32.22,30,2.56M,0.89,LBTYA,-4.275686024,-3.194578896,-9.090909091,2,11,2017
1-Nov-17,31.34,30.98,31.57,30.81,1.87M,1.59,LBTYA,0.421393841,-0.673292722,-3.489096573,1,11,2017
31-Oct-17,30.85,30.95,31.29,30.8,1.99M,-0.26,LBTYA,0.06466214,-0.737652341,-6.805179163,31,10,2017
30-Oct-17,30.93,30.34,31.16,30.14,2.57M,1.44,LBTYA,-0.491964579,-3.22169059,-11.07854631,30,10,2017
27-Oct-17,30.49,30.37,30.69,29.89,1.82M,-1.61,LBTYA,-2.000645369,-3.983559911,-10.43939841,27,10,2017
26-Oct-17,30.99,31.38,31.51,30.95,1.14M,-0.64,LBTYA,0.609169606,-1.134215501,-5.396442569,26,10,2017
25-Oct-17,31.19,31,31.23,30.85,1.79M,0.03,LBTYA,-0.577293137,-4.320987654,-8.9306698,25,10,2017
24-Oct-17,31.18,31.31,31.63,31.12,1.77M,-0.54,LBTYA,-0.127591707,-3.572528488,-7.394262053,24,10,2017
23-Oct-17,31.35,31.85,31.85,31.07,2.48M,-0.89,LBTYA,0.695542207,-2.270635164,-5.936207915,23,10,2017
20-Oct-17,31.63,32.06,32.07,31.59,1.26M,-0.35,LBTYA,1.008191556,0.062421973,-6.394160584,20,10,2017
19-Oct-17,31.74,32.33,32.45,31.7,1.28M,-2.04,LBTYA,-0.216049383,1.221039449,-3.97980398,19,10,2017
18-Oct-17,32.4,32.51,32.67,32.29,1.63M,-0.22,LBTYA,0.123190638,0.154035736,-3.845016267,18,10,2017
