Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,30.83,31.16,31.65,30.64,3.51M,-1.41,LBTYK,-0.351774864,5.163685454,2.872235061,30,11,2017
29-Nov-17,31.27,29.87,31.67,29.44,5.08M,7.16,LBTYK,2.36463331,1.288572397,-0.066912011,29,11,2017
28-Nov-17,29.18,28.99,29.23,28.84,1.96M,0.59,LBTYK,-0.068941744,-1.327433628,-3.719694454,28,11,2017
27-Nov-17,29.01,29.62,29.62,28.82,2.30M,-2.29,LBTYK,-0.235769619,1.751975266,0,27,11,2017
24-Nov-17,29.69,29.42,29.74,29.05,1.21M,0.2,LBTYK,-0.708741141,2.25929788,-1.933333333,24,11,2017
22-Nov-17,29.63,29.55,30.05,29.24,1.55M,0.47,LBTYK,0.2034588,1.756198347,-2.055021545,22,11,2017
21-Nov-17,29.49,29.45,29.85,29.31,3.60M,0.37,LBTYK,0.238257318,3.916725476,-2.676801058,21,11,2017
20-Nov-17,29.38,29,29.6,28.83,2.24M,0.93,LBTYK,-0.377877018,0.694444444,-4.605263158,20,11,2017
17-Nov-17,29.11,28.65,29.33,28.58,2.97M,1.18,LBTYK,-0.417101147,-0.139421401,-6.616688396,17,11,2017
16-Nov-17,28.77,28.91,29.22,28.72,2.11M,-0.93,LBTYK,-0.447658402,1.3319313,-6.044848879,16,11,2017
15-Nov-17,29.04,28.38,29.12,28.17,2.39M,2.47,LBTYK,0.14114326,-1.560874089,-9.531399426,15,11,2017
14-Nov-17,28.34,28.65,28.8,28.22,1.73M,-1.6,LBTYK,-0.520833333,-3.470350404,-9.076483656,14,11,2017
13-Nov-17,28.8,28.53,28.81,28.41,1.65M,0.38,LBTYK,-0.557685605,-3.744939271,-9.600760456,13,11,2017
10-Nov-17,28.69,28.59,28.86,28.42,2.23M,0.56,LBTYK,0.210304942,-3.412162162,-7.714654616,10,11,2017
9-Nov-17,28.53,28.65,28.95,28.49,4.26M,-1.04,LBTYK,-0.624349636,-6.034765497,-7.040882544,9,11,2017
8-Nov-17,28.83,29.7,29.76,28.78,3.62M,-2.86,LBTYK,0.067385445,-1.94783757,-5.684344236,8,11,2017
7-Nov-17,29.68,29.75,30.02,29.58,2.52M,0.13,LBTYK,0.371120108,-0.468384075,-2.96803653,7,11,2017
6-Nov-17,29.64,29.5,29.87,29.35,3.82M,0.14,LBTYK,-0.337837838,-2.025905015,-5.720677533,6,11,2017
3-Nov-17,29.6,30.43,30.48,29.35,3.32M,-2.92,LBTYK,-0.196785831,2.734638758,-4.578237692,3,11,2017
2-Nov-17,30.49,29.19,31.18,29.19,5.13M,0.66,LBTYK,-3.631561571,-2.7,-8.495297806,2,11,2017
1-Nov-17,30.29,29.94,30.58,29.91,2.26M,1.34,LBTYK,0.167280027,-0.762346702,-3.388189739,1,11,2017
31-Oct-17,29.89,30.18,30.4,29.83,2.21M,-0.73,LBTYK,0.232480903,-0.264375413,-5.775835155,31,10,2017
30-Oct-17,30.11,29.64,30.29,29.31,2.36M,1.65,LBTYK,0.067521945,-2.5,-9.744214373,30,10,2017
27-Oct-17,29.62,29.23,29.74,29.01,3.19M,-1.27,LBTYK,-2.566666667,-4.726205997,-10.6116208,27,10,2017
26-Oct-17,30,30.35,30.5,29.98,1.87M,-0.56,LBTYK,0.596619158,-1.364965876,-5.304212168,26,10,2017
25-Oct-17,30.17,30.04,30.28,29.91,2.40M,-0.3,LBTYK,-0.727032386,-4.239719477,-8.609674475,25,10,2017
24-Oct-17,30.26,30.36,30.68,30.21,2.40M,-0.46,LBTYK,-0.131578947,-3.649635036,-7.070707071,24,10,2017
23-Oct-17,30.4,30.71,30.87,30.09,2.89M,-0.91,LBTYK,0.097783572,-2.693282636,-6.571341649,23,10,2017
20-Oct-17,30.68,31.1,31.1,30.65,1.60M,-0.29,LBTYK,1.072473188,0.387346675,-5.95706078,20,10,2017
19-Oct-17,30.77,31.33,31.4,30.67,7.01M,-1.91,LBTYK,-0.12751036,1.65476963,-3.925176326,19,10,2017
