Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,20.8,21.65,21.8,20.69,551.09K,-4.24,LILA,-0.32228361,0.417439703,-4.24590889,30,11,2017
29-Nov-17,21.72,21.37,22.02,21.37,355.50K,1.45,LILA,-0.186828585,-0.835266821,-1.611418048,29,11,2017
28-Nov-17,21.41,21.07,21.46,20.91,165.42K,1.57,LILA,-0.04743833,-3.392939019,-0.660066007,28,11,2017
27-Nov-17,21.08,21.64,21.64,20.97,119.92K,-2.63,LILA,-0.046189376,1.027077498,2.075471698,27,11,2017
24-Nov-17,21.65,21.56,21.75,21.49,88.94K,0.42,LILA,0,-1.100917431,1.554404145,24,11,2017
22-Nov-17,21.56,21.51,21.74,21.08,236.53K,0.05,LILA,-0.185614849,-2.97699594,-1.012425219,22,11,2017
21-Nov-17,21.55,21.83,21.9,21.33,155.59K,-1.19,LILA,0.091701055,-0.952813067,1.487680149,21,11,2017
20-Nov-17,21.81,21.46,21.86,21.44,162.79K,1.82,LILA,0.186741363,-2.276867031,-1.694915254,20,11,2017
17-Nov-17,21.42,21.81,22.04,21.4,268.85K,-1.74,LILA,0.04587156,-1.579422383,-0.818553888,17,11,2017
16-Nov-17,21.8,22.12,22.15,21.63,657.49K,-1.67,LILA,-0.225529995,-0.315457413,3.898543917,16,11,2017
15-Nov-17,22.17,21.99,22.43,21.87,267.43K,0.59,LILA,-0.226860254,-0.767148014,0.917852226,15,11,2017
14-Nov-17,22.04,22.05,22.65,21.88,375.45K,0.36,LILA,0.409836066,0.823045267,0.638977636,14,11,2017
13-Nov-17,21.96,22.19,22.26,21.69,206.35K,-0.9,LILA,0.135379061,1.370488808,-2.547211243,13,11,2017
10-Nov-17,22.16,22.12,22.92,22.03,366.55K,-0.14,LILA,-0.315457413,0.499772831,-5.186455208,10,11,2017
9-Nov-17,22.19,21.99,22.33,21.66,169.73K,0.14,LILA,-0.767148014,-2.005347594,-5.133735979,9,11,2017
8-Nov-17,22.16,21.93,22.34,21.78,255.10K,1.33,LILA,0.274348422,-3.007518797,-7.194244604,8,11,2017
7-Nov-17,21.87,21.84,21.91,21.68,515.69K,-0.09,LILA,-0.228414801,0.552486188,-9.975267931,7,11,2017
6-Nov-17,21.89,21.12,22.02,21.12,695.46K,-0.55,LILA,-4.043616538,-0.424328147,-11.77944862,6,11,2017
3-Nov-17,22.01,22.45,22.45,21.56,678.11K,-1.92,LILA,0.04456328,5.896226415,-8.96188159,3,11,2017
2-Nov-17,22.44,22,23.78,21.68,1.04M,-0.75,LILA,-2.697921274,3.626943005,-13.24921136,2,11,2017
1-Nov-17,22.61,22.1,23.05,21.55,1.13M,4.1,LILA,1.749539595,1.70271514,-13.4351743,1,11,2017
31-Oct-17,21.72,21.3,21.73,21.17,352.51K,2.4,LILA,0.424328147,-0.976290098,-16.8618267,31,10,2017
30-Oct-17,21.21,21.16,21.55,20.94,306.30K,0.05,LILA,-0.188679245,-3.069170866,-15.52894212,30,10,2017
27-Oct-17,21.2,21.33,21.5,20.93,622.68K,-0.14,LILA,0.471031559,-3.001364256,-10.22727273,27,10,2017
26-Oct-17,21.23,21.71,21.75,21.08,256.32K,-2.3,LILA,-0.092038656,1.972757163,-6.864006864,26,10,2017
25-Oct-17,21.73,21.5,21.84,21.18,223.77K,1.02,LILA,-0.046490005,-1.330885727,-8.588435374,25,10,2017
24-Oct-17,21.51,21.83,21.98,21.17,369.64K,-1.47,LILA,0,-0.365130078,-8.392782207,24,10,2017
23-Oct-17,21.83,21.9,22.32,21.73,305.32K,-0.73,LILA,-0.409276944,-3.820816864,-6.649616368,23,10,2017
20-Oct-17,21.99,21.46,22.05,21.31,305.49K,3.29,LILA,0.798496947,-8.015430776,-9.642105263,20,10,2017
19-Oct-17,21.29,21.74,21.91,21.03,514.86K,-2.29,LILA,-0.229463056,-6.212251941,-7.842306062,19,10,2017
18-Oct-17,21.79,22.01,22.09,21.55,430.22K,-0.55,LILA,0.456412597,-6.855691917,-7.946465914,18,10,2017
17-Oct-17,21.91,22.75,22.85,21.74,470.71K,-3.78,LILA,-0.08783487,-6.224237428,-6.069364162,17,10,2017
16-Oct-17,22.77,23.34,23.49,22.71,509.98K,-2.4,LILA,0.042863266,-2.506265664,-4.461727384,16,10,2017
13-Oct-17,23.33,23.23,23.41,22.93,371.17K,0.65,LILA,0.215703192,-5.798864558,-6.968362034,13,10,2017
12-Oct-17,23.18,23.54,23.54,23.06,134.26K,-1.9,LILA,-0.380871773,-7.176656151,-7.541241163,12,10,2017
11-Oct-17,23.63,24.17,24.25,23.42,201.16K,-2.6,LILA,-0.370981039,-5.327066197,-5.733229329,11,10,2017
10-Oct-17,24.26,24,24.29,23.75,220.78K,1.34,LILA,0.250626566,-6.323185012,-5.623279591,10,10,2017
9-Oct-17,23.94,24.31,24.59,23.89,365.08K,-2.92,LILA,-1.419302514,-2.954091816,-5.113192818,9,10,2017
6-Oct-17,24.66,25.15,25.15,24.45,303.43K,-2.76,LILA,-0.82807571,5.85016835,-1.44984326,6,10,2017
5-Oct-17,25.36,25.52,25.77,25.26,298.14K,-0.67,LILA,-0.039169604,9.480909481,0.235663786,5,10,2017
4-Oct-17,25.53,25.61,25.77,25.42,254.32K,-0.35,LILA,-0.039032006,8.886054422,0.431372549,4,10,2017
3-Oct-17,25.62,24.98,25.76,24.98,373.59K,2.28,LILA,-0.279441118,4.825849769,-0.912336374,3,10,2017
2-Oct-17,25.05,24.55,25.32,24.25,623.31K,5.43,LILA,3.324915825,4.646206309,-7.042786823,2,10,2017
29-Sep-17,23.76,23.47,23.92,23.15,237.87K,1.93,LILA,0.686400686,-1.178947368,-9.765474817,29,9,2017
28-Sep-17,23.31,23.39,23.56,22.95,396.91K,-0.89,LILA,-0.552721088,-0.847816872,-10.55449331,28,9,2017
27-Sep-17,23.52,23.27,23.85,23.27,347.15K,-1.3,LILA,-2.349979018,-2.676704308,-10.43110085,27,9,2017
26-Sep-17,23.83,23.46,24.07,23.29,222.17K,1.58,LILA,0,-3.13790256,-8.751458576,26,9,2017
25-Sep-17,23.46,23.61,23.61,23.17,216.67K,-1.22,LILA,-0.589473684,-3.356528858,-9.157368219,25,9,2017
22-Sep-17,23.75,23.47,23.76,23.45,199.44K,0.68,LILA,-0.508690123,-6.00720865,-9.171826625,22,9,2017
21-Sep-17,23.59,23.92,23.92,23.56,186.13K,-1.34,LILA,0.041823505,-6.048703849,-7.286821705,21,9,2017
20-Sep-17,23.91,24.25,24.46,23.82,373.01K,-1.28,LILA,0.123864575,-5.421216849,-6.442901235,20,9,2017
19-Sep-17,24.22,24.42,24.55,24.16,527.14K,-0.86,LILA,-0.040933279,-3.971686984,-5.750675415,19,9,2017
18-Sep-17,24.43,25.05,25.1,24.42,390.69K,-2.16,LILA,0.320384461,-2.224824356,-4.571428571,18,9,2017
15-Sep-17,24.97,25.45,25.45,24.86,695.72K,-1.92,LILA,-0.039277298,-0.274294671,-2.190622598,15,9,2017
14-Sep-17,25.46,25.51,25.68,25.4,376.00K,-0.7,LILA,-0.507020281,0.196386489,-2.707856598,14,9,2017
13-Sep-17,25.64,25.42,25.71,25.31,226.73K,0.83,LILA,-0.039323634,-0.31372549,-2.530674847,13,9,2017
12-Sep-17,25.43,25.67,25.69,25.03,279.93K,-0.74,LILA,0.195160031,1.824672749,-3.314500942,12,9,2017
11-Sep-17,25.62,25.63,26.09,25.59,395.29K,0.39,LILA,0.431034483,-2.953426732,-5.038903298,11,9,2017
8-Sep-17,25.52,25.45,25.58,25.15,137.64K,0.24,LILA,-0.039277298,-2.15301807,-4.143126177,8,9,2017
7-Sep-17,25.46,25.5,25.74,25.3,195.04K,-0.16,LILA,0,-2.485659656,-4.494382022,7,9,2017
6-Sep-17,25.5,25.28,25.61,25.16,326.30K,1.15,LILA,0.277667592,-2.694380293,-4.998121007,6,9,2017
5-Sep-17,25.21,26.36,26.41,25.16,320.72K,-4.54,LILA,-0.189322226,2.528199144,0.266260936,5,9,2017
1-Sep-17,26.41,26.11,26.5,26.08,168.68K,1.54,LILA,0.384467512,0.461716045,-0.873196659,1,9,2017
31-Aug-17,26.01,26.14,26.27,25.95,153.63K,-0.54,LILA,-0.038240918,1.160990712,-0.608365019,31,8,2017
30-Aug-17,26.15,25.93,26.27,25.76,103.44K,0.65,LILA,-0.192455735,0.503875969,-0.384172109,30,8,2017
29-Aug-17,25.98,25.61,26.06,25.47,113.39K,1.05,LILA,-0.388953715,-1.195987654,-0.813323005,29,8,2017
28-Aug-17,25.71,25.93,26.04,25.57,129.96K,-1.08,LILA,-0.230858022,0.077190274,0.816485226,28,8,2017
25-Aug-17,25.99,25.92,26.05,25.67,104.66K,0.58,LILA,0.309597523,-1.257142857,1.527614571,25,8,2017
24-Aug-17,25.84,25.78,26.09,25.67,242.49K,0.16,LILA,-0.07751938,-0.92236741,2.058590657,24,8,2017
23-Aug-17,25.8,25.81,26.06,25.75,105.36K,-0.46,LILA,-0.424382716,-1.563691838,1.454402516,23,8,2017
22-Aug-17,25.92,25.93,26.2,25.86,81.59K,0.04,LILA,0.077190274,-0.575153374,3.886217949,22,8,2017
21-Aug-17,25.91,26.2,26.35,25.7,159.79K,-1.3,LILA,-0.19047619,-1.31826742,5.432595573,21,8,2017
18-Aug-17,26.25,26.01,26.35,25.76,108.06K,0.88,LILA,-0.038431975,-3.630974435,2.603550296,18,8,2017
17-Aug-17,26.02,26.18,26.41,25.93,384.80K,-0.76,LILA,-0.152555301,-1.393596987,3.47826087,17,8,2017
16-Aug-17,26.22,26.22,26.32,25.8,152.31K,0.54,LILA,0.536809816,-1.797752809,3.269003545,16,8,2017
15-Aug-17,26.08,26.54,26.63,25.98,212.85K,-1.77,LILA,-0.037664783,-0.263059,2.431493632,15,8,2017
14-Aug-17,26.55,27.18,27.25,26.51,236.23K,-1.63,LILA,0.703964431,3.385317611,3.859380971,14,8,2017
11-Aug-17,26.99,26.48,27.13,26.47,360.40K,1.66,LILA,-0.263653484,0.53151101,1.417081578,11,8,2017
10-Aug-17,26.55,26.25,26.76,26.15,480.56K,-0.56,LILA,-1.685393258,-0.190114068,1.783637069,10,8,2017
9-Aug-17,26.7,26.54,26.89,26.2,528.22K,0.34,LILA,-0.263059,1.959277756,7.449392713,9,8,2017
8-Aug-17,26.61,26.27,27.85,26.15,660.86K,1.22,LILA,-0.076074553,1.742835012,5.164131305,8,8,2017
7-Aug-17,26.29,26.37,26.61,26.14,295.82K,-0.19,LILA,0.113895216,2.527216174,7.676602695,7,8,2017
4-Aug-17,26.34,26.32,26.49,26.07,316.21K,0.15,LILA,0.076045627,3.094398747,18.02690583,4,8,2017
3-Aug-17,26.3,26.1,26.32,25.93,220.72K,1.04,LILA,0.268920476,3.325415677,18.36734694,3,8,2017
2-Aug-17,26.03,25.88,26.25,25.57,191.52K,0.81,LILA,0.232378002,1.729559748,17.1040724,2,8,2017
1-Aug-17,25.82,25.91,25.96,25.62,234.60K,0.39,LILA,0.738724728,3.806089744,17.239819,1,8,2017
31-Jul-17,25.72,25.53,25.83,25.05,209.11K,0.74,LILA,0,2.736418511,17.27147451,31,7,2017
28-Jul-17,25.53,25.15,25.58,24.95,199.76K,1.07,LILA,-0.435471101,-0.788954635,17.08566108,28,7,2017
27-Jul-17,25.26,25.31,25.8,25.01,166.28K,-0.71,LILA,-0.511006289,0.039525692,17.66620177,27,7,2017
26-Jul-17,25.44,24.99,25.58,24.58,341.89K,1.92,LILA,0.120192308,-1.575423395,17.3790512,26,7,2017
25-Jul-17,24.96,24.9,25.21,24.77,163.08K,0.44,LILA,0.201207243,-3.898108838,17.34213007,25,7,2017
24-Jul-17,24.85,25.27,25.61,24.83,437.45K,-1.97,LILA,-0.315581854,-3.43905235,21.95945946,24,7,2017
