Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,20.75,21.42,21.61,20.68,1.04M,-3.35,LILAK,-0.232883093,-1.38121547,-5.763308403,30,11,2017
29-Nov-17,21.47,21.31,21.98,21.04,689.29K,0.8,LILAK,0.046948357,-1.20537784,-3.136363636,29,11,2017
28-Nov-17,21.3,21.2,21.42,20.92,469.20K,0.42,LILAK,-0.047147572,-2.528735632,-1.349464867,28,11,2017
27-Nov-17,21.21,21.69,21.72,21.01,438.66K,-2.17,LILAK,0.046125461,0.323774283,1.592505855,27,11,2017
24-Nov-17,21.68,21.71,21.93,21.57,284.02K,-0.18,LILAK,-0.046040516,-0.958029197,2.405660377,24,11,2017
22-Nov-17,21.72,21.55,21.91,21.27,272.54K,0.7,LILAK,-0.092721372,-3.102517986,-0.873965041,22,11,2017
21-Nov-17,21.57,21.78,21.81,21.35,539.69K,-0.83,LILAK,0.137931034,-1.269265639,0.55401662,21,11,2017
20-Nov-17,21.75,21.58,21.96,21.5,611.40K,0.6,LILAK,-0.185013876,-0.918273646,-1.280878317,20,11,2017
17-Nov-17,21.62,21.94,22.19,21.56,1.58M,-1.37,LILAK,0.091240876,-1.260126013,-0.453720508,17,11,2017
16-Nov-17,21.92,22.22,22.24,21.74,415.40K,-1.44,LILAK,-0.089928058,0.225529995,4.270295636,16,11,2017
15-Nov-17,22.24,22.05,22.54,21.98,670.74K,0.82,LILAK,-0.045330916,0.409836066,0.136239782,15,11,2017
14-Nov-17,22.06,21.8,22.56,21.73,661.70K,1.29,LILAK,0.091827365,0.183823529,-1.801801802,14,11,2017
13-Nov-17,21.78,22.25,22.27,21.71,594.97K,-1.98,LILAK,0.135013501,1.27446518,-2.753496503,13,11,2017
10-Nov-17,22.22,22.14,22.85,22.1,563.28K,0.23,LILAK,-0.135317997,1.049748973,-4.692208351,10,11,2017
9-Nov-17,22.17,21.79,22.3,21.72,514.27K,0.96,LILAK,-0.774134791,-3.413120567,-4.971652857,9,11,2017
8-Nov-17,21.96,21.8,22.21,21.62,673.71K,0.92,LILAK,0.183823529,-4.091509019,-6.956892872,8,11,2017
7-Nov-17,21.76,21.97,21.98,21.66,725.95K,-0.96,LILAK,0,-0.136363636,-8.343763037,7,11,2017
