"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","192.33","197.41","198.73","191.31","5.05M","-1.19"
"Nov 29, 2017","194.64","211.65","211.87","189.26","7.98M","-8.68"
"Nov 28, 2017","213.14","211.63","215.39","209.73","2.50M","1.05"
"Nov 27, 2017","210.93","212.57","213.46","208.00","2.73M","-2.72"
"Nov 24, 2017","216.83","216.08","217.52","215.63","808.73K","0.77"
"Nov 22, 2017","215.17","219.20","219.50","214.24","1.88M","-1.71"
"Nov 21, 2017","218.91","217.15","219.70","216.54","2.15M","1.77"
"Nov 20, 2017","215.10","211.72","216.21","211.55","1.95M","2.20"
"Nov 17, 2017","210.47","216.87","217.00","209.55","1.96M","-1.29"
"Nov 16, 2017","213.22","208.51","214.72","208.50","2.26M","2.58"
"Nov 15, 2017","207.86","210.00","210.85","206.05","2.18M","-0.37"
"Nov 14, 2017","208.64","208.76","209.40","206.55","1.01M","-0.28"
"Nov 13, 2017","209.23","205.37","209.37","204.56","1.46M","0.89"
"Nov 10, 2017","207.39","205.86","207.65","204.56","1.72M","0.53"
"Nov 09, 2017","206.29","209.38","209.83","203.25","2.13M","-2.34"
"Nov 08, 2017","211.24","209.20","211.41","206.88","1.57M","0.98"
"Nov 07, 2017","209.19","206.58","209.85","206.50","1.36M","1.22"
"Nov 06, 2017","206.67","207.57","207.87","204.40","2.25M","-0.19"
"Nov 03, 2017","207.07","207.20","207.95","205.02","1.88M","0.12"
"Nov 02, 2017","206.82","203.00","207.02","201.51","2.37M","1.92"
"Nov 01, 2017","202.92","210.45","210.45","200.54","2.81M","-2.71"
"Oct 31, 2017","208.57","207.33","210.09","206.52","1.65M","1.15"
"Oct 30, 2017","206.20","206.87","208.20","204.50","1.39M","-0.87"
"Oct 27, 2017","208.00","208.06","208.40","204.50","1.98M","0.59"
"Oct 26, 2017","206.78","204.70","208.65","204.28","1.87M","1.83"
"Oct 25, 2017","203.07","205.80","205.80","199.00","2.66M","-1.35"
"Oct 24, 2017","205.84","206.67","206.76","203.27","1.98M","-0.02"
"Oct 23, 2017","205.89","206.22","208.41","204.05","2.84M","0.27"
"Oct 20, 2017","205.34","202.50","206.34","202.44","3.11M","2.17"
"Oct 19, 2017","200.98","198.39","201.00","194.93","3.02M","0.24"
"Oct 18, 2017","200.49","197.08","200.91","193.12","5.40M","3.05"
"Oct 17, 2017","194.55","195.09","195.49","191.90","3.84M","1.14"
"Oct 16, 2017","192.36","191.00","193.85","190.34","2.84M","1.30"
"Oct 13, 2017","189.90","188.64","190.31","187.52","1.56M","1.56"
"Oct 12, 2017","186.99","186.11","189.11","186.11","2.14M","0.44"
"Oct 11, 2017","186.18","184.22","186.21","183.95","1.63M","0.69"
"Oct 10, 2017","184.90","186.13","186.35","181.95","1.57M","0.13"
"Oct 09, 2017","184.66","185.00","185.95","183.73","1.11M","-0.09"
"Oct 06, 2017","184.83","182.58","185.03","182.36","1.02M","1.10"
"Oct 05, 2017","182.82","185.27","185.57","180.79","1.59M","-1.19"
"Oct 04, 2017","185.02","183.97","185.27","182.10","2.36M","0.08"
"Oct 03, 2017","184.87","186.51","186.70","182.82","1.48M","-0.58"
"Oct 02, 2017","185.95","185.04","187.57","183.45","2.10M","0.49"
"Sep 29, 2017","185.04","182.90","185.23","181.42","1.79M","1.77"
"Sep 28, 2017","181.82","178.59","182.08","177.69","2.06M","1.35"
"Sep 27, 2017","179.39","175.10","180.62","173.06","3.04M","5.87"
"Sep 26, 2017","169.44","172.32","172.66","167.52","2.55M","-0.43"
"Sep 25, 2017","170.17","176.00","176.00","170.00","2.21M","-3.71"
"Sep 22, 2017","176.73","171.71","176.96","171.40","1.58M","2.58"
"Sep 21, 2017","172.28","173.17","173.54","170.13","2.17M","-0.43"
"Sep 20, 2017","173.02","177.41","177.64","170.40","2.34M","-2.31"
"Sep 19, 2017","177.12","177.57","178.03","176.00","2.15M","-0.11"
"Sep 18, 2017","177.31","174.41","178.18","173.95","2.82M","2.50"
"Sep 15, 2017","172.99","172.61","174.13","171.85","2.69M","0.24"
"Sep 14, 2017","172.58","170.84","174.37","170.29","1.94M","0.62"
"Sep 13, 2017","171.52","172.29","172.49","169.88","1.43M","-0.09"
"Sep 12, 2017","171.67","170.22","172.56","168.93","1.69M","1.01"
"Sep 11, 2017","169.96","167.51","170.65","167.41","1.88M","2.54"
"Sep 08, 2017","165.75","167.74","168.70","165.30","1.73M","-1.68"
"Sep 07, 2017","168.59","165.33","168.70","164.84","1.36M","2.17"
"Sep 06, 2017","165.01","165.25","165.85","163.04","1.94M","0.55"
"Sep 05, 2017","164.10","165.69","166.40","162.52","1.54M","-1.65"
"Sep 01, 2017","166.86","166.02","169.15","165.44","1.57M","0.53"
"Aug 31, 2017","165.98","165.62","167.32","165.18","1.79M","0.60"
"Aug 30, 2017","164.99","162.43","165.00","161.77","1.57M","1.64"
"Aug 29, 2017","162.32","158.62","162.84","158.10","1.23M","1.03"
"Aug 28, 2017","160.67","158.33","161.04","157.74","1.26M","1.78"
"Aug 25, 2017","157.86","159.30","159.97","156.52","1.27M","-0.60"
"Aug 24, 2017","158.82","162.21","162.80","158.09","1.47M","-1.78"
"Aug 23, 2017","161.70","163.14","163.97","160.74","1.82M","-1.29"
"Aug 22, 2017","163.81","159.21","164.17","159.21","2.52M","3.42"
"Aug 21, 2017","158.40","161.12","161.46","157.02","1.55M","-1.30"
"Aug 18, 2017","160.49","160.20","161.87","158.35","1.92M","1.28"
"Aug 17, 2017","158.46","162.50","163.57","158.30","1.96M","-2.92"
"Aug 16, 2017","163.22","161.45","165.19","160.64","5.10M","1.88"
"Aug 15, 2017","160.21","158.59","160.61","157.77","1.82M","1.05"
"Aug 14, 2017","158.55","156.60","158.92","156.21","2.13M","2.78"
"Aug 11, 2017","154.26","149.85","154.43","149.82","1.79M","3.23"
"Aug 10, 2017","149.44","153.86","154.19","149.04","2.61M","-3.71"
"Aug 09, 2017","155.20","155.46","156.36","153.37","1.96M","-0.35"
"Aug 08, 2017","155.75","155.85","157.86","154.05","2.75M","-0.06"
"Aug 07, 2017","155.84","150.45","155.90","150.03","2.75M","3.86"
"Aug 04, 2017","150.05","149.35","152.26","148.36","2.15M","0.77"
"Aug 03, 2017","148.90","149.50","151.49","148.26","3.15M","-1.75"
"Aug 02, 2017","151.55","158.97","158.98","149.77","4.79M","-3.75"
"Aug 01, 2017","157.46","160.44","160.49","157.17","2.59M","-1.25"
"Jul 31, 2017","159.46","162.60","163.00","158.79","2.44M","-1.32"
"Jul 28, 2017","161.60","164.25","164.97","160.78","2.74M","-1.92"
"Jul 27, 2017","164.76","168.92","170.00","161.27","5.67M","-2.13"
"Jul 26, 2017","168.34","165.40","168.44","165.22","3.31M","2.36"
"Jul 25, 2017","164.46","164.08","164.82","162.47","2.08M","0.21"
"Jul 24, 2017","164.12","163.50","164.68","163.15","1.45M","0.36"
"Jul 21, 2017","163.53","163.92","163.91","162.29","1.85M","-0.77"
"Jul 20, 2017","164.80","164.98","165.12","161.82","2.38M","0.35"
"Jul 19, 2017","164.23","160.50","164.54","160.25","2.71M","3.06"
"Jul 18, 2017","159.35","157.00","159.59","156.24","1.83M","1.51"
"Jul 17, 2017","156.98","157.78","158.31","155.75","1.66M","-0.20"
"Jul 14, 2017","157.30","155.69","157.61","154.96","1.46M","1.52"
"Jul 13, 2017","154.94","155.05","156.31","154.16","1.46M","0.23"
"Jul 12, 2017","154.58","155.41","156.35","152.92","1.78M","0.56"
"Jul 11, 2017","153.72","151.31","154.82","151.01","2.75M","1.91"
"Jul 10, 2017","150.84","148.73","151.00","147.86","2.28M","1.83"
"Jul 07, 2017","148.13","147.00","149.68","146.44","2.96M","2.95"
"Jul 06, 2017","143.89","141.44","144.72","140.67","2.80M","0.95"
"Jul 05, 2017","142.53","140.42","142.70","139.94","2.62M","2.33"
"Jul 03, 2017","139.29","142.71","143.38","139.24","1.57M","-1.51"
"Jun 30, 2017","141.43","143.37","143.57","140.83","2.94M","-0.65"
"Jun 29, 2017","142.35","146.08","146.50","140.01","3.11M","-3.71"
"Jun 28, 2017","147.83","145.17","148.17","142.80","2.91M","2.22"
"Jun 27, 2017","144.62","148.26","148.57","144.44","3.41M","-2.93"
"Jun 26, 2017","148.99","152.46","153.61","148.36","2.61M","-1.84"
"Jun 23, 2017","151.78","149.81","152.82","149.52","3.07M","1.16"
