Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,192.33,197.41,198.73,191.31,5.05M,-1.19,LRCX,1.423140156,-8.253938746,-2.715355805,30,11,2017
29-Nov-17,194.64,211.65,211.87,189.26,7.98M,-8.68,LRCX,-0.699071033,-3.31643141,1.476722443,29,11,2017
28-Nov-17,213.14,211.63,215.39,209.73,2.50M,1.05,LRCX,0.331863651,-1.613203161,2.633365664,28,11,2017
27-Nov-17,210.93,212.57,213.46,208,2.73M,-2.72,LRCX,-1.964672785,0.997766903,2.197115385,27,11,2017
24-Nov-17,216.83,216.08,217.52,215.63,808.73K,0.77,LRCX,0.422921411,1.341337586,4.497533611,24,11,2017
22-Nov-17,215.17,219.2,219.5,214.24,1.88M,-1.71,LRCX,0.132474533,5.455595112,7.943073817,22,11,2017
21-Nov-17,218.91,217.15,219.7,216.54,2.15M,1.77,LRCX,0.953045095,4.078796012,5.494558881,21,11,2017
20-Nov-17,215.1,211.72,216.21,211.55,1.95M,2.2,LRCX,0.593908871,1.190077905,2.831609112,20,11,2017
17-Nov-17,210.47,216.87,217,209.55,1.96M,-1.29,LRCX,1.711846919,4.571097931,5.615077433,17,11,2017
16-Nov-17,213.22,208.51,214.72,208.5,2.26M,2.58,LRCX,0.312710478,1.076154928,3.746641457,16,11,2017
15-Nov-17,207.86,210,210.85,206.05,2.18M,-0.37,LRCX,0.651840491,-0.587010036,4.743378722,15,11,2017
14-Nov-17,208.64,208.76,209.4,206.55,1.01M,-0.28,LRCX,-0.224633179,-0.205554759,7.304034952,14,11,2017
13-Nov-17,209.23,205.37,209.37,204.56,1.46M,0.89,LRCX,-0.974010319,-0.629022113,6.763360366,13,11,2017
10-Nov-17,207.39,205.86,207.65,204.56,1.72M,0.53,LRCX,-0.208444423,-0.584343459,8.404423381,10,11,2017
9-Nov-17,206.29,209.38,209.83,203.25,2.13M,-2.34,LRCX,-0.880515054,1.237791316,11.97390235,9,11,2017
8-Nov-17,211.24,209.2,211.41,206.88,1.57M,0.98,LRCX,0.004780343,3.094815691,12.36437856,8,11,2017
7-Nov-17,209.19,206.58,209.85,206.5,1.36M,1.22,LRCX,-0.043547685,-0.954116124,11.7252569,7,11,2017
6-Nov-17,206.67,207.57,207.87,204.4,2.25M,-0.19,LRCX,0.241464239,0.664403492,12.40658508,6,11,2017
3-Nov-17,207.07,207.2,207.95,205.02,1.88M,0.12,LRCX,0.183734648,-0.384615385,12.10301358,3,11,2017
2-Nov-17,206.82,203,207.02,201.51,2.37M,1.92,LRCX,0.039424404,-1.82802979,11.03817963,2,11,2017
1-Nov-17,202.92,210.45,210.45,200.54,2.81M,-2.71,LRCX,0.901376037,3.634214803,13.74446006,1,11,2017
31-Oct-17,208.57,207.33,210.09,206.52,1.65M,1.15,LRCX,0.548011639,0.723863195,12.14907773,31,10,2017
30-Oct-17,206.2,206.87,208.2,204.5,1.39M,-0.87,LRCX,-0.543269231,0.475982321,11.25033611,30,10,2017
27-Oct-17,208,208.06,208.4,204.5,1.98M,0.59,LRCX,0.619015379,1.324632317,12.44055339,27,10,2017
26-Oct-17,206.78,204.7,208.65,204.28,1.87M,1.83,LRCX,0.802678879,1.850930441,12.58387416,26,10,2017
25-Oct-17,203.07,205.8,205.8,199,2.66M,-1.35,LRCX,-0.019432569,2.648511148,14.72211383,25,10,2017
24-Oct-17,205.84,206.67,206.76,203.27,1.98M,-0.02,LRCX,0.378843072,6.229760987,21.9723796,24,10,2017
23-Oct-17,205.89,206.22,208.41,204.05,2.84M,0.27,LRCX,0.428557514,7.205240175,21.18469766,23,10,2017
20-Oct-17,205.34,202.5,206.34,202.44,3.11M,2.17,LRCX,0.756294159,6.63507109,14.5815651,20,10,2017
19-Oct-17,200.98,198.39,201,194.93,3.02M,0.24,LRCX,-1.047433787,6.096582705,15.15556072,19,10,2017
18-Oct-17,200.49,197.08,200.91,193.12,5.40M,3.05,LRCX,1.300436906,5.854549361,13.90590683,18,10,2017
17-Oct-17,194.55,195.09,195.49,191.9,3.84M,1.14,LRCX,1.419213974,5.511087074,10.14566396,17,10,2017
16-Oct-17,192.36,191,193.85,190.34,2.84M,1.3,LRCX,0.579252238,3.433336944,7.720940725,16,10,2017
13-Oct-17,189.9,188.64,190.31,187.52,1.56M,1.56,LRCX,0.882400128,2.061353676,9.046765709,13,10,2017
12-Oct-17,186.99,186.11,189.11,186.11,2.14M,0.44,LRCX,-0.037598023,1.799584291,7.839842392,12,10,2017
11-Oct-17,186.18,184.22,186.21,183.95,1.63M,0.69,LRCX,-0.36776636,-0.432385688,7.404384328,11,10,2017
10-Oct-17,184.9,186.13,186.35,181.95,1.57M,0.13,LRCX,0.796057619,0.681560015,8.423137415,10,10,2017
9-Oct-17,184.66,185,185.95,183.73,1.11M,-0.09,LRCX,0.091976411,-0.510890024,8.849140974,9,10,2017
6-Oct-17,184.83,182.58,185.03,182.36,1.02M,1.1,LRCX,-0.131276666,-1.329442283,10.15384615,6,10,2017
5-Oct-17,182.82,185.27,185.57,180.79,1.59M,-1.19,LRCX,0.135120528,1.897481025,9.893825257,5,10,2017
4-Oct-17,185.02,183.97,185.27,182.1,2.36M,0.08,LRCX,-0.486828582,2.553096605,11.49021271,4,10,2017
3-Oct-17,184.87,186.51,186.7,182.82,1.48M,-0.58,LRCX,0.301156225,10.07436261,13.65630713,3,10,2017
2-Oct-17,185.95,185.04,187.57,183.45,2.10M,0.49,LRCX,0,8.738320503,10.89536138,2,10,2017
29-Sep-17,185.04,182.9,185.23,181.42,1.79M,1.77,LRCX,0.59399406,3.491201267,10.19399928,29,9,2017
