Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,55.81,56.65,56.65,55.22,386.96K,-0.85,LVNTA,0.639545212,-2.141993436,0.17683466,30,11,2017
29-Nov-17,56.29,55.9,56.44,55.71,521.84K,0.86,LVNTA,0.161261423,-4.362703165,-1.860955056,29,11,2017
28-Nov-17,55.81,55.68,56.03,54.87,404.66K,0.56,LVNTA,0.324324324,-3.383654347,0.505415162,28,11,2017
27-Nov-17,55.5,57.67,57.67,55.5,493.35K,-3.75,LVNTA,0.017343045,-0.051993068,5.719523373,27,11,2017
24-Nov-17,57.66,57.98,58.77,57.27,265.11K,-0.4,LVNTA,0.155467266,1.576734408,7.449962936,24,11,2017
22-Nov-17,57.89,58.47,58.74,57.69,294.63K,-0.96,LVNTA,0.03421728,4.522702896,3.541703559,22,11,2017
21-Nov-17,58.45,57.79,58.75,57.55,645.95K,1.42,LVNTA,0.277633177,2.957420274,2.737777778,21,11,2017
20-Nov-17,57.63,57.75,58.45,57.56,388.80K,-0.12,LVNTA,0.086655113,1.83389173,2.357320099,20,11,2017
17-Nov-17,57.7,57.4,58.44,57.08,833.04K,1.09,LVNTA,0.560616678,1.467208768,-0.554400554,17,11,2017
16-Nov-17,57.08,56.21,57.42,55.93,492.70K,2.04,LVNTA,0.482659993,-0.142121158,-1.730769231,16,11,2017
15-Nov-17,55.94,56.06,56.25,55.14,435.61K,-0.34,LVNTA,-0.124710493,-0.532292406,-2.75802255,15,11,2017
14-Nov-17,56.13,56.57,56.68,55.65,449.28K,-1.02,LVNTA,-0.246870041,-1.514623955,-2.263303386,14,11,2017
13-Nov-17,56.71,56.46,56.84,56.37,269.12K,0.25,LVNTA,-0.194449355,-3.305360507,-3.23907455,13,11,2017
10-Nov-17,56.57,56.19,56.76,55.95,310.17K,0.5,LVNTA,-0.177651448,-0.671734135,-3.087271473,10,11,2017
9-Nov-17,56.29,55.76,56.6,55.43,530.56K,-0.12,LVNTA,-1.064584812,-2.5515554,-3.261623872,9,11,2017
8-Nov-17,56.36,57.44,57.65,56.33,899.15K,-1.88,LVNTA,0,1.57382847,-2.478777589,8,11,2017
7-Nov-17,57.44,58.12,58.74,57.14,305.29K,-1.63,LVNTA,-0.462407947,2.036516854,-1.491525424,7,11,2017
6-Nov-17,58.39,56.46,59.77,56.35,646.19K,3.22,LVNTA,-0.194449355,1.913357401,-4.386113463,6,11,2017
