Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,127,126.14,127.97,125.65,3.10M,0.4,MAR,-0.276701716,-0.197800459,4.976697736,30,11,2017
29-Nov-17,126.49,127.25,127.43,125.61,2.72M,-0.32,MAR,0.275807723,-0.28992321,6.503180449,29,11,2017
28-Nov-17,126.9,127.25,127.55,126.56,3.07M,-0.02,MAR,0.252107461,1.064252244,7.365845427,28,11,2017
27-Nov-17,126.93,126.33,127.37,126.33,2.56M,0.34,MAR,-0.134387352,0.677398789,6.275763439,27,11,2017
24-Nov-17,126.5,126.51,127.1,126.38,729.35K,0.09,MAR,0.09494422,1.71249397,6.480935948,24,11,2017
22-Nov-17,126.39,127.96,128,126.07,2.32M,-0.96,MAR,0.266415922,4.662195321,9.99742113,22,11,2017
21-Nov-17,127.62,126.33,128.37,126.33,3.48M,1.36,MAR,0.333571599,2.657240371,8.149987159,21,11,2017
20-Nov-17,125.91,125.33,126.24,125.06,1.94M,0.34,MAR,-0.119540963,4.103330841,8.689619287,20,11,2017
17-Nov-17,125.48,123.98,125.64,123.77,4.66M,0.88,MAR,-0.321595112,3.222046457,7.789949574,17,11,2017
16-Nov-17,124.38,121.94,124.42,121.5,3.49M,1.73,MAR,-0.261737281,2.634458379,5.850694444,16,11,2017
15-Nov-17,122.26,122.91,122.96,121.38,3.04M,-0.65,MAR,-0.12189176,2.442073679,6.167400881,15,11,2017
14-Nov-17,123.06,120.08,123.1,119.95,2.14M,2.22,MAR,-0.25749647,-0.670030606,4.38108484,14,11,2017
13-Nov-17,120.39,119.67,120.88,119.6,2.39M,0.23,MAR,-0.366330863,-1.893753074,4.287581699,13,11,2017
10-Nov-17,120.11,119.04,120.87,118.01,3.38M,1.09,MAR,0.193586398,-2.06499383,3.414125619,10,11,2017
9-Nov-17,118.81,119.26,120.12,118.13,3.32M,-0.98,MAR,-0.600100017,-0.317619525,4.193604753,9,11,2017
8-Nov-17,119.98,121,124.34,119.19,6.16M,-0.75,MAR,0.090991811,0.699067909,6.019451503,8,11,2017
7-Nov-17,120.89,122.21,123.31,120.66,5.25M,-0.89,MAR,0.188555501,2.284901239,7.12657784,7,11,2017
6-Nov-17,121.98,121.34,123.03,120.85,2.84M,0.35,MAR,-0.172768408,2.379345258,7.609081234,6,11,2017
3-Nov-17,121.55,119.69,121.58,119.61,4.04M,1.6,MAR,0.041792043,0.689829225,7.095561918,3,11,2017
2-Nov-17,119.64,120.44,121.25,119.02,3.71M,-0.43,MAR,0.233022636,1.371938389,8.241215062,2,11,2017
1-Nov-17,120.16,120.51,120.92,119.6,1.38M,0.57,MAR,0.862068966,3.593226167,10.74251057,1,11,2017
31-Oct-17,119.48,118.62,119.91,118.32,1.71M,0.81,MAR,0.084373945,1.549524869,8.427787934,31,10,2017
30-Oct-17,118.52,118.67,118.97,117.52,1.84M,-0.29,MAR,-0.168251031,2.913884312,7.364516421,30,10,2017
27-Oct-17,118.87,117.41,119.42,117.27,2.07M,0.05,MAR,-1.178351991,2.077899496,6.484672592,27,10,2017
26-Oct-17,118.81,117.53,119.36,116.4,2.64M,2.13,MAR,1.031548182,2.022569444,6.845454545,26,10,2017
25-Oct-17,116.33,116.11,117.04,115.57,2.89M,-0.41,MAR,-0.599263762,0.293685756,7.15208564,25,10,2017
24-Oct-17,116.81,115.77,117.09,115.44,1.70M,1.3,MAR,0.398924638,0.634561892,7.125011567,24,10,2017
23-Oct-17,115.31,115.06,115.52,114.71,1.41M,0.25,MAR,0.034776561,0.270152505,5.685680169,23,10,2017
20-Oct-17,115.02,115.49,115.61,114.4,2.55M,-0.16,MAR,0.251736111,0.330119017,7.054134223,20,10,2017
19-Oct-17,115.2,115.35,115.41,114.54,1.70M,-0.49,MAR,-0.362788287,0.777564215,7.232499768,19,10,2017
18-Oct-17,115.77,115.32,116.67,115.05,2.47M,0.63,MAR,0.243393602,1.042670639,7.085151825,18,10,2017
17-Oct-17,115.04,114.55,115.08,114.17,744.00K,0.25,MAR,-0.174291939,0.411991585,6.707033069,17,10,2017
16-Oct-17,114.75,115,115.4,113.81,4.02M,-0.31,MAR,-0.095560768,1.986520043,8.963426189,16,10,2017
13-Oct-17,115.11,115,115.31,114.4,1.69M,0.57,MAR,0.471780535,2.899069435,9.118512193,13,10,2017
12-Oct-17,114.46,114.07,114.87,113.65,1.74M,0.29,MAR,-0.052571629,2.516401546,7.218723564,12,10,2017
11-Oct-17,114.13,113.89,114.41,113.69,1.34M,0.04,MAR,-0.16654979,4.659070024,6.668539852,11,10,2017
