"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","86.99","87.19","88.75","86.67","3.67M","0.47"
"Nov 29, 2017","86.58","90.21","90.30","85.95","4.39M","-4.42"
"Nov 28, 2017","90.58","89.15","90.68","88.85","2.17M","1.86"
"Nov 27, 2017","88.93","90.47","90.62","88.63","2.57M","-2.24"
"Nov 24, 2017","90.97","90.29","91.04","90.22","727.94K","0.63"
"Nov 22, 2017","90.40","91.66","92.26","90.39","1.63M","-1.60"
"Nov 21, 2017","91.87","91.94","92.62","91.61","1.57M","0.53"
"Nov 20, 2017","91.39","91.48","91.89","91.14","1.46M","0.10"
"Nov 17, 2017","91.30","91.02","91.59","90.64","2.10M","0.57"
"Nov 16, 2017","90.78","89.76","91.06","89.63","1.79M","1.33"
"Nov 15, 2017","89.59","90.46","90.70","89.28","1.49M","-1.56"
"Nov 14, 2017","91.01","90.67","91.12","90.01","1.51M","-0.01"
"Nov 13, 2017","91.02","91.01","91.33","90.47","1.40M","-0.59"
"Nov 10, 2017","91.56","90.88","91.67","90.36","1.83M","0.83"
"Nov 09, 2017","90.81","92.33","92.44","89.58","3.32M","-2.15"
"Nov 08, 2017","92.81","91.35","93.12","90.91","4.61M","1.50"
"Nov 07, 2017","91.44","95.00","95.92","90.50","4.75M","-4.11"
"Nov 06, 2017","95.36","94.31","95.62","94.17","3.07M","1.82"
"Nov 03, 2017","93.66","93.72","94.02","92.53","1.39M","0.21"
"Nov 02, 2017","93.46","92.38","93.91","92.13","1.40M","0.51"
"Nov 01, 2017","92.99","94.30","95.14","92.52","2.95M","-1.91"
"Oct 31, 2017","94.80","95.23","95.69","94.62","1.23M","-0.43"
"Oct 30, 2017","95.21","94.21","95.49","93.96","1.99M","0.52"
"Oct 27, 2017","94.72","93.81","94.81","92.73","1.97M","1.72"
"Oct 26, 2017","93.12","92.84","93.64","92.84","1.26M","0.87"
"Oct 25, 2017","92.32","92.87","93.20","91.57","1.64M","-1.06"
"Oct 24, 2017","93.31","92.63","93.41","92.53","877.12K","0.76"
"Oct 23, 2017","92.61","93.11","93.39","92.29","1.69M","-0.13"
"Oct 20, 2017","92.73","93.89","94.66","92.50","1.81M","-0.34"
"Oct 19, 2017","93.05","91.60","93.11","90.55","1.54M","1.01"
"Oct 18, 2017","92.12","91.59","92.36","90.39","1.66M","0.46"
"Oct 17, 2017","91.70","91.79","91.87","91.17","960.04K","-0.21"
"Oct 16, 2017","91.89","92.23","92.29","91.60","834.05K","0.14"
"Oct 13, 2017","91.76","92.24","92.51","91.41","1.05M","-0.02"
"Oct 12, 2017","91.78","91.47","92.40","91.47","1.12M","-0.16"
"Oct 11, 2017","91.93","91.73","92.13","91.37","1.12M","0.01"
"Oct 10, 2017","91.92","92.00","92.33","91.10","1.10M","0.47"
"Oct 09, 2017","91.49","91.85","91.99","91.26","1.10M","-0.07"
"Oct 06, 2017","91.55","90.91","91.59","90.29","1.35M","0.27"
"Oct 05, 2017","91.30","91.81","91.82","90.75","1.83M","-0.33"
"Oct 04, 2017","91.60","90.67","91.61","90.02","2.56M","0.97"
"Oct 03, 2017","90.72","90.55","90.95","90.26","1.72M","0.19"
"Oct 02, 2017","90.55","90.37","91.23","90.15","1.95M","0.86"
"Sep 29, 2017","89.78","89.11","89.99","88.87","2.19M","0.72"
"Sep 28, 2017","89.14","88.63","89.28","88.29","1.94M","0.25"
"Sep 27, 2017","88.92","88.49","89.52","88.24","1.77M","1.32"
"Sep 26, 2017","87.76","88.80","89.29","87.19","1.78M","-0.35"
"Sep 25, 2017","88.07","89.05","89.38","87.59","1.61M","-1.81"
"Sep 22, 2017","89.69","88.09","89.79","88.09","1.30M","1.48"
"Sep 21, 2017","88.38","88.47","88.77","87.39","1.77M","0.07"
"Sep 20, 2017","88.32","90.82","90.91","86.77","3.30M","-2.92"
"Sep 19, 2017","90.98","91.11","91.83","90.40","2.20M","-0.03"
"Sep 18, 2017","91.01","90.00","91.24","89.93","2.33M","1.55"
"Sep 15, 2017","89.62","89.78","90.57","89.33","4.08M","0.43"
"Sep 14, 2017","89.24","88.21","89.73","88.18","3.19M","1.02"
"Sep 13, 2017","88.34","88.03","88.54","87.83","1.44M","-0.12"
"Sep 12, 2017","88.45","88.62","88.89","87.75","1.55M","0.08"
"Sep 11, 2017","88.38","87.80","88.48","86.88","1.95M","2.09"
"Sep 08, 2017","86.57","87.30","87.61","86.37","1.62M","-0.94"
"Sep 07, 2017","87.39","86.19","87.50","85.71","1.51M","1.47"
"Sep 06, 2017","86.12","86.15","86.54","85.00","2.15M","-0.43"
"Sep 05, 2017","86.49","86.99","87.77","85.48","2.14M","-1.55"
"Sep 01, 2017","87.85","86.96","88.00","86.71","1.70M","1.21"
"Aug 31, 2017","86.80","85.84","86.97","85.55","2.11M","1.31"
"Aug 30, 2017","85.68","84.00","85.75","83.99","2.86M","2.21"
"Aug 29, 2017","83.83","82.89","84.00","82.86","1.52M","0.08"
"Aug 28, 2017","83.76","83.06","83.93","82.71","1.16M","1.37"
"Aug 25, 2017","82.63","82.82","83.22","82.45","770.34K","-0.07"
"Aug 24, 2017","82.69","82.95","83.49","82.35","1.46M","-0.25"
"Aug 23, 2017","82.90","82.01","83.12","81.80","1.24M","0.23"
"Aug 22, 2017","82.71","81.89","82.93","81.89","1.33M","1.45"
"Aug 21, 2017","81.53","81.85","81.92","80.92","913.19K","-0.06"
"Aug 18, 2017","81.58","81.92","82.37","81.33","1.35M","-0.09"
"Aug 17, 2017","81.65","83.39","83.54","81.60","1.80M","-2.98"
"Aug 16, 2017","84.16","84.39","84.77","83.66","1.34M","-0.15"
"Aug 15, 2017","84.29","84.06","84.44","83.29","1.69M","0.32"
"Aug 14, 2017","84.02","83.38","84.47","83.02","2.07M","2.20"
"Aug 11, 2017","82.21","81.40","82.72","81.37","1.41M","1.19"
"Aug 10, 2017","81.24","82.95","83.26","81.11","2.29M","-2.82"
"Aug 09, 2017","83.60","83.92","84.21","83.11","1.38M","-1.21"
"Aug 08, 2017","84.62","84.93","85.94","84.23","2.63M","-0.42"
"Aug 07, 2017","84.98","83.58","85.04","83.02","2.34M","1.78"
"Aug 04, 2017","83.49","81.43","83.83","80.81","5.02M","3.48"
"Aug 03, 2017","80.68","79.87","81.00","79.57","3.09M","1.08"
"Aug 02, 2017","79.82","80.68","81.10","79.14","1.84M","-0.63"
"Aug 01, 2017","80.33","80.61","80.80","80.03","1.20M","0.36"
"Jul 31, 2017","80.04","81.00","81.36","79.95","1.86M","-0.82"
"Jul 28, 2017","80.70","80.67","80.90","80.07","1.25M","-0.28"
"Jul 27, 2017","80.93","82.98","83.19","79.80","2.08M","-2.13"
"Jul 26, 2017","82.69","81.55","83.24","81.40","2.23M","2.16"
"Jul 25, 2017","80.94","80.50","81.39","80.12","1.50M","0.48"
"Jul 24, 2017","80.55","81.00","81.24","80.38","1.80M","-0.41"
"Jul 21, 2017","80.88","82.00","82.05","80.66","2.63M","-2.60"
"Jul 20, 2017","83.04","82.51","83.38","82.05","1.71M","0.89"
"Jul 19, 2017","82.31","82.07","82.48","81.71","2.10M","0.91"
"Jul 18, 2017","81.57","80.81","81.61","80.39","1.19M","0.67"
"Jul 17, 2017","81.03","80.90","81.35","80.36","1.46M","0.24"
"Jul 14, 2017","80.84","79.88","81.02","79.73","1.42M","1.70"
"Jul 13, 2017","79.49","80.38","80.58","79.35","2.24M","-0.84"
"Jul 12, 2017","80.16","79.93","81.25","79.54","3.13M","1.33"
"Jul 11, 2017","79.11","78.76","79.63","78.61","1.38M","0.44"
"Jul 10, 2017","78.76","78.39","79.08","77.95","1.77M","0.51"
"Jul 07, 2017","78.36","77.48","79.01","77.21","1.85M","1.61"
"Jul 06, 2017","77.12","77.10","78.18","76.50","1.66M","-1.05"
"Jul 05, 2017","77.94","76.02","78.11","76.02","3.10M","2.81"
"Jul 03, 2017","75.81","77.73","77.99","75.80","1.13M","-1.78"
"Jun 30, 2017","77.18","77.83","78.27","76.96","2.42M","-0.26"
"Jun 29, 2017","77.38","79.25","79.34","76.31","3.25M","-3.07"
"Jun 28, 2017","79.83","79.05","79.98","77.55","3.23M","1.42"
"Jun 27, 2017","78.71","80.05","80.42","78.66","2.48M","-1.98"
"Jun 26, 2017","80.30","81.60","82.71","80.22","1.68M","-1.58"
"Jun 23, 2017","81.59","80.22","81.71","79.80","2.71M","1.90"
"Jun 22, 2017","80.07","80.78","81.11","80.02","2.75M","-0.94"
"Jun 21, 2017","80.83","80.67","81.17","79.89","4.79M","0.60"
"Jun 20, 2017","80.35","82.71","82.84","80.27","2.33M","-2.74"
"Jun 19, 2017","82.61","81.96","83.04","81.81","2.47M","1.70"
"Jun 16, 2017","81.23","81.81","82.18","80.77","4.07M","-0.42"
"Jun 15, 2017","81.57","81.06","81.84","80.71","2.47M","-0.89"
"Jun 14, 2017","82.30","83.90","84.10","81.38","2.26M","-1.47"
"Jun 13, 2017","83.53","83.63","84.50","82.05","3.27M","0.54"
"Jun 12, 2017","83.08","81.83","83.10","80.30","4.12M","-0.48"
"Jun 09, 2017","83.48","87.25","87.49","81.72","4.31M","-3.89"
"Jun 08, 2017","86.86","86.58","86.90","85.64","1.74M","0.65"
"Jun 07, 2017","86.30","85.56","86.51","85.32","2.77M","1.30"
"Jun 06, 2017","85.19","84.32","85.60","83.56","3.24M","0.80"
"Jun 05, 2017","84.51","84.55","85.55","84.41","2.62M","0.20"
"Jun 02, 2017","84.34","83.74","84.63","82.89","2.30M","1.09"
"Jun 01, 2017","83.43","83.62","83.98","83.22","2.02M","0.16"
"May 31, 2017","83.30","83.09","84.00","82.48","2.58M","0.96"
"May 30, 2017","82.51","81.82","82.86","81.70","2.49M","0.99"
"May 26, 2017","81.70","81.49","81.79","81.06","1.81M","-0.09"
"May 25, 2017","81.77","82.00","82.36","81.58","2.38M","0.13"
"May 24, 2017","81.66","81.53","81.81","81.08","1.87M","0.38"
"May 23, 2017","81.35","81.27","81.94","80.64","1.92M","0.30"
"May 22, 2017","81.11","80.29","81.31","80.18","1.69M","1.16"
"May 19, 2017","80.18","79.48","80.42","79.37","1.77M","1.06"
"May 18, 2017","79.34","78.39","79.75","77.88","2.62M","1.28"
"May 17, 2017","78.34","80.90","81.22","78.24","2.90M","-4.03"
"May 16, 2017","81.63","79.92","81.73","79.71","2.59M","1.87"
"May 15, 2017","80.13","79.06","80.14","78.97","2.27M","1.43"
"May 12, 2017","79.00","79.00","79.27","78.62","1.92M","-0.05"
"May 11, 2017","79.04","78.39","79.56","77.97","3.71M","0.68"
"May 10, 2017","78.51","79.89","80.20","77.67","6.54M","2.69"
"May 09, 2017","76.45","75.46","76.48","75.18","3.84M","1.31"
"May 08, 2017","75.46","75.33","75.83","74.86","2.22M","0.39"
"May 05, 2017","75.17","75.37","75.37","74.55","2.15M","0.21"
"May 04, 2017","75.01","75.34","75.64","74.83","2.31M","-0.32"
"May 03, 2017","75.25","75.53","75.76","74.97","2.45M","-0.58"
"May 02, 2017","75.69","76.10","76.15","75.12","2.19M","-0.62"
"May 01, 2017","76.16","75.92","76.26","75.05","1.24M","0.77"
"Apr 28, 2017","75.58","76.72","76.72","75.41","2.22M","-1.52"
"Apr 27, 2017","76.75","76.55","77.32","76.46","2.07M","0.79"
"Apr 26, 2017","76.15","76.73","76.81","75.75","2.32M","-0.76"
"Apr 25, 2017","76.73","76.00","76.80","75.76","2.74M","1.03"
"Apr 24, 2017","75.95","75.48","76.10","75.11","1.61M","2.04"
"Apr 21, 2017","74.43","74.76","75.00","73.87","2.96M","-1.59"
"Apr 20, 2017","75.63","75.51","75.96","75.15","3.21M","1.03"
"Apr 19, 2017","74.86","74.54","75.43","74.47","3.28M","0.98"
"Apr 18, 2017","74.13","72.60","74.31","72.56","2.33M","1.52"
"Apr 17, 2017","73.02","72.55","73.18","72.36","1.43M","1.08"
"Apr 13, 2017","72.24","72.02","72.89","71.91","2.72M","0.12"
"Apr 12, 2017","72.15","72.63","72.70","71.71","3.23M","-0.70"
"Apr 11, 2017","72.66","73.04","73.13","71.40","3.51M","-1.02"
"Apr 10, 2017","73.41","74.06","74.37","73.28","1.91M","-0.88"
"Apr 07, 2017","74.06","73.56","74.26","73.27","2.49M","0.73"
"Apr 06, 2017","73.52","72.90","73.81","72.12","2.06M","0.68"
"Apr 05, 2017","73.02","73.53","74.47","72.81","1.95M","-0.59"
"Apr 04, 2017","73.45","73.76","74.59","73.24","2.20M","0.33"
"Apr 03, 2017","73.21","73.94","74.46","72.46","2.10M","-0.77"
"Mar 31, 2017","73.78","73.71","74.33","73.00","2.37M","-0.14"
"Mar 30, 2017","73.88","73.63","74.37","73.50","1.33M","0.27"
"Mar 29, 2017","73.68","73.14","73.88","73.01","2.55M","0.24"
"Mar 28, 2017","73.50","72.81","74.04","72.61","2.03M","0.93"
"Mar 27, 2017","72.82","72.60","73.42","71.88","1.90M","-0.45"
"Mar 24, 2017","73.15","73.59","74.12","72.95","2.02M","0.55"
"Mar 23, 2017","72.75","73.38","73.38","72.48","1.79M","-1.02"
"Mar 22, 2017","73.50","72.51","73.69","72.35","2.24M","1.60"
"Mar 21, 2017","72.34","74.63","74.82","72.23","2.58M","-2.70"
"Mar 20, 2017","74.35","74.40","74.78","74.21","1.43M","0.09"
"Mar 17, 2017","74.28","74.48","74.86","74.14","3.40M","0.22"
"Mar 16, 2017","74.12","74.75","74.90","73.84","1.70M","-0.54"
"Mar 15, 2017","74.52","74.17","74.65","73.68","2.25M","0.72"
"Mar 14, 2017","73.99","74.31","74.31","73.71","1.79M","-0.68"
"Mar 13, 2017","74.50","74.08","74.58","73.87","1.62M","0.74"
"Mar 10, 2017","73.95","74.11","74.39","73.75","1.53M","0.64"
