Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,86.99,87.19,88.75,86.67,3.67M,0.47,MCHP,0.704550705,-3.550884956,-6.23722981,30,11,2017
29-Nov-17,86.58,90.21,90.3,85.95,4.39M,-4.42,MCHP,-0.408478693,-1.806901056,-4.841772152,29,11,2017
28-Nov-17,90.58,89.15,90.68,88.85,2.17M,1.86,MCHP,0.247385584,-2.45103403,-6.364877639,28,11,2017
27-Nov-17,88.93,90.47,90.62,88.63,2.57M,-2.24,MCHP,-0.549631747,-0.909090909,-4.486908784,27,11,2017
24-Nov-17,90.97,90.29,91.04,90.22,727.94K,0.63,MCHP,-0.121681416,-0.539766468,-3.039089347,24,11,2017
22-Nov-17,90.4,91.66,92.26,90.39,1.63M,-1.6,MCHP,-0.228583869,2.310525728,-0.714904679,22,11,2017
21-Nov-17,91.87,91.94,92.62,91.61,1.57M,0.53,MCHP,0.601816391,1.021865729,-1.468224199,21,11,2017
20-Nov-17,91.39,91.48,91.89,91.14,1.46M,0.1,MCHP,0.197152245,0.505383432,-1.220170608,20,11,2017
17-Nov-17,91.3,91.02,91.59,90.64,2.10M,0.57,MCHP,0.264375413,-0.589777195,-1.84406341,17,11,2017
16-Nov-17,90.78,89.76,91.06,89.63,1.79M,1.33,MCHP,0.189753321,-1.156260324,-3.535733477,16,11,2017
15-Nov-17,89.59,90.46,90.7,89.28,1.49M,-1.56,MCHP,-0.604329195,-2.532054735,-1.801997395,15,11,2017
14-Nov-17,91.01,90.67,91.12,90.01,1.51M,-0.01,MCHP,-0.384530872,-0.84208224,-1.123227917,14,11,2017
13-Nov-17,91.02,91.01,91.33,90.47,1.40M,-0.59,MCHP,-0.600698995,-4.561661074,-0.957666775,13,11,2017
10-Nov-17,91.56,90.88,91.67,90.36,1.83M,0.83,MCHP,0.077084022,-2.968182789,-0.95902354,10,11,2017
9-Nov-17,90.81,92.33,92.44,89.58,3.32M,-2.15,MCHP,-0.517185648,-1.2090734,0.599259098,9,11,2017
8-Nov-17,92.81,91.35,93.12,90.91,4.61M,1.5,MCHP,-0.098425197,-1.763630498,-0.630914826,8,11,2017
7-Nov-17,91.44,95,95.92,90.5,4.75M,-4.11,MCHP,-0.377516779,0.210970464,3.350739774,7,11,2017
6-Nov-17,95.36,94.31,95.62,94.17,3.07M,1.82,MCHP,0.693999573,-0.945278857,3.082304077,6,11,2017
3-Nov-17,93.66,93.72,94.02,92.53,1.39M,0.21,MCHP,0.27819388,-1.055743243,2.370289459,3,11,2017
2-Nov-17,93.46,92.38,93.91,92.13,1.40M,0.51,MCHP,-0.655984514,-0.79467354,1.182913472,2,11,2017
1-Nov-17,92.99,94.3,95.14,92.52,2.95M,-1.91,MCHP,-0.52742616,2.144714038,2.947598253,1,11,2017
31-Oct-17,94.8,95.23,95.69,94.62,1.23M,-0.43,MCHP,0.021006197,2.057657271,4.971340388,31,10,2017
30-Oct-17,95.21,94.21,95.49,93.96,1.99M,0.52,MCHP,-0.538429054,1.727675197,4.041965765,30,10,2017
27-Oct-17,94.72,93.81,94.81,92.73,1.97M,1.72,MCHP,0.740979381,1.164671627,4.488750278,27,10,2017
26-Oct-17,93.12,92.84,93.64,92.84,1.26M,0.87,MCHP,0.563258232,-0.225685116,4.150774063,26,10,2017
25-Oct-17,92.32,92.87,93.2,91.57,1.64M,-1.06,MCHP,-0.471546458,0.814155449,4.442195232,25,10,2017
24-Oct-17,93.31,92.63,93.41,92.53,877.12K,0.76,MCHP,0.02159594,1.014176663,5.54922516,24,10,2017
23-Oct-17,92.61,93.11,93.39,92.29,1.69M,-0.13,MCHP,0.409791869,1.327674393,5.722720563,23,10,2017
20-Oct-17,92.73,93.89,94.66,92.5,1.81M,-0.34,MCHP,0.902740462,2.321272886,4.682796298,20,10,2017
19-Oct-17,93.05,91.6,93.11,90.55,1.54M,1.01,MCHP,-0.564481112,-0.196121159,3.643358226,19,10,2017
18-Oct-17,92.12,91.59,92.36,90.39,1.66M,0.46,MCHP,-0.119956379,-0.369846622,3.702445652,18,10,2017
17-Oct-17,91.7,91.79,91.87,91.17,960.04K,-0.21,MCHP,-0.10882577,-0.141427328,0.890305562,17,10,2017
16-Oct-17,91.89,92.23,92.29,91.6,834.05K,0.14,MCHP,0.512205754,0.808831566,1.340512032,16,10,2017
13-Oct-17,91.76,92.24,92.51,91.41,1.05M,-0.02,MCHP,0.501198518,0.75368651,2.923454586,13,10,2017
12-Oct-17,91.78,91.47,92.4,91.47,1.12M,-0.16,MCHP,-0.500380724,0.186199343,2.498879426,12,10,2017
11-Oct-17,91.93,91.73,92.13,91.37,1.12M,0.01,MCHP,-0.20670148,0.141921397,3.83744623,11,10,2017
10-Oct-17,91.92,92,92.33,91.1,1.10M,0.47,MCHP,0.557437971,1.410934744,4.013566987,10,10,2017
9-Oct-17,91.49,91.85,91.99,91.26,1.10M,-0.07,MCHP,0.327689787,1.4356709,3.926227653,9,10,2017
6-Oct-17,91.55,90.91,91.59,90.29,1.35M,0.27,MCHP,-0.427163198,1.258632212,5.013284048,6,10,2017
5-Oct-17,91.3,91.81,91.82,90.75,1.83M,-0.33,MCHP,0.229257642,2.995288311,5.057786932,5,10,2017
4-Oct-17,91.6,90.67,91.61,90.02,2.56M,0.97,MCHP,-0.055114638,1.968061179,5.283325592,4,10,2017
3-Oct-17,90.72,90.55,90.95,90.26,1.72M,0.19,MCHP,0,3.179124886,4.694184299,3,10,2017
2-Oct-17,90.55,90.37,91.23,90.15,1.95M,0.86,MCHP,0.657161951,2.611558987,2.868525896,2,10,2017
29-Sep-17,89.78,89.11,89.99,88.87,2.19M,0.72,MCHP,-0.033654925,-0.64667187,2.661290323,29,9,2017
28-Sep-17,89.14,88.63,89.28,88.29,1.94M,0.25,MCHP,-0.326135852,0.282869427,3.443043884,28,9,2017
27-Sep-17,88.92,88.49,89.52,88.24,1.77M,1.32,MCHP,0.831814038,0.192481884,5.55886914,27,9,2017
26-Sep-17,87.76,88.8,89.29,87.19,1.78M,-0.35,MCHP,0.828886113,-2.396131018,6.017191977,26,9,2017
25-Sep-17,88.07,89.05,89.38,87.59,1.61M,-1.81,MCHP,-0.71356896,-2.153609493,7.769575215,25,9,2017
22-Sep-17,89.69,88.09,89.79,88.09,1.30M,1.48,MCHP,-0.328128536,-1.707208212,6.530414802,22,9,2017
21-Sep-17,88.38,88.47,88.77,87.39,1.77M,0.07,MCHP,0.169836957,-0.862841775,6.71893848,21,9,2017
20-Sep-17,88.32,90.82,90.91,86.77,3.30M,-2.92,MCHP,-0.175862827,2.807335295,9.805343973,20,9,2017
19-Sep-17,90.98,91.11,91.83,90.4,2.20M,-0.03,MCHP,0.109878035,3.007348785,11.75027597,19,9,2017
18-Sep-17,91.01,90,91.24,89.93,2.33M,1.55,MCHP,0.424012497,1.83299389,10.32115715,18,9,2017
15-Sep-17,89.62,89.78,90.57,89.33,4.08M,0.43,MCHP,0.605109816,3.70798198,9.957134109,15,9,2017
14-Sep-17,89.24,88.21,89.73,88.18,3.19M,1.02,MCHP,-0.147158705,0.938322463,4.812262357,14,9,2017
13-Sep-17,88.34,88.03,88.54,87.83,1.44M,-0.12,MCHP,-0.474844545,2.217835578,4.437062522,13,9,2017
12-Sep-17,88.45,88.62,88.89,87.75,1.55M,0.08,MCHP,0.27155465,2.462712452,5.474886932,12,9,2017
11-Sep-17,88.38,87.8,88.48,86.88,1.95M,2.09,MCHP,1.420815525,-0.056915196,6.799659409,11,9,2017
8-Sep-17,86.57,87.3,87.61,86.37,1.62M,-0.94,MCHP,-0.102986612,0.576036866,7.459379616,8,9,2017
7-Sep-17,87.39,86.19,87.5,85.71,1.51M,1.47,MCHP,0.081281932,0.595238095,3.098086124,7,9,2017
6-Sep-17,86.12,86.15,86.54,85,2.15M,-0.43,MCHP,-0.39310903,2.767505666,1.808083195,6,9,2017
5-Sep-17,86.49,86.99,87.77,85.48,2.14M,-1.55,MCHP,-0.978941377,3.856255969,2.365262415,5,9,2017
1-Sep-17,87.85,86.96,88,86.71,1.70M,1.21,MCHP,0.184331797,5.24022752,4.15618637,1,9,2017
31-Aug-17,86.8,85.84,86.97,85.55,2.11M,1.31,MCHP,0.186741363,3.809408635,6.395637085,31,8,2017
30-Aug-17,85.68,84,85.75,83.99,2.86M,2.21,MCHP,0.202791363,1.326899879,5.236782761,30,8,2017
29-Aug-17,83.83,82.89,84,82.86,1.52M,0.08,MCHP,-1.038681948,0.217627856,3.186854226,29,8,2017
28-Aug-17,83.76,83.06,83.93,82.71,1.16M,1.37,MCHP,0.520392109,1.876609837,3.773113443,28,8,2017
25-Aug-17,82.63,82.82,83.22,82.45,770.34K,-0.07,MCHP,0.15721369,1.519980387,2.627013631,25,8,2017
24-Aug-17,82.69,82.95,83.49,82.35,1.46M,-0.25,MCHP,0.060313631,1.592161666,2.495984184,24,8,2017
23-Aug-17,82.9,82.01,83.12,81.8,1.24M,0.23,MCHP,-0.846330553,-2.554657795,-0.822348531,23,8,2017
22-Aug-17,82.71,81.89,82.93,81.89,1.33M,1.45,MCHP,0.441555256,-2.847312848,1.17370892,22,8,2017
21-Aug-17,81.53,81.85,81.92,80.92,913.19K,-0.06,MCHP,0.330963471,-2.5827184,1.613904407,21,8,2017
18-Aug-17,81.58,81.92,82.37,81.33,1.35M,-0.09,MCHP,0.330679731,-0.352755139,1.285855589,18,8,2017
17-Aug-17,81.65,83.39,83.54,81.6,1.80M,-2.98,MCHP,-0.914923954,2.646479567,0.421483622,17,8,2017
16-Aug-17,84.16,84.39,84.77,83.66,1.34M,-0.15,MCHP,0.118638035,0.944976077,2.527031952,16,8,2017
15-Aug-17,84.29,84.06,84.44,83.29,1.69M,0.32,MCHP,0.047607712,-0.661782085,3.052592865,15,8,2017
14-Aug-17,84.02,83.38,84.47,83.02,2.07M,2.2,MCHP,1.423184527,-1.882795952,2.900160434,14,8,2017
11-Aug-17,82.21,81.4,82.72,81.37,1.41M,1.19,MCHP,0.196947317,-2.503293808,0.692726373,11,8,2017
10-Aug-17,81.24,82.95,83.26,81.11,2.29M,-2.82,MCHP,-0.777511962,2.813584531,4.352748773,10,8,2017
9-Aug-17,83.6,83.92,84.21,83.11,1.38M,-1.21,MCHP,-0.827227606,5.136557254,4.690618762,9,8,2017
8-Aug-17,84.62,84.93,85.94,84.23,2.63M,-0.42,MCHP,-0.058837373,5.726378688,7.3568449,8,8,2017
7-Aug-17,84.98,83.58,85.04,83.02,2.34M,1.78,MCHP,0.107797341,4.422788606,6.119857796,7,8,2017
4-Aug-17,83.49,81.43,83.83,80.81,5.02M,3.48,MCHP,0.929598413,0.904584882,3.917815212,4,8,2017
3-Aug-17,80.68,79.87,81,79.57,3.09M,1.08,MCHP,0.062640942,-1.309773879,3.565871369,3,8,2017
2-Aug-17,79.82,80.68,81.1,79.14,1.84M,-0.63,MCHP,0.435702726,-2.43076551,3.515524763,2,8,2017
1-Aug-17,80.33,80.61,80.8,80.03,1.20M,0.36,MCHP,0.712143928,-0.407709414,6.33161852,1,8,2017
31-Jul-17,80.04,81,81.36,79.95,1.86M,-0.82,MCHP,0.371747212,0.558659218,4.949468774,31,7,2017
28-Jul-17,80.7,80.67,80.9,80.07,1.25M,-0.28,MCHP,-0.321265291,-0.259643917,4.251744637,28,7,2017
27-Jul-17,80.93,82.98,83.19,79.8,2.08M,-2.13,MCHP,0.350707462,-0.072254335,3.945885006,27,7,2017
