Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,42.94,43,43.34,42.76,9.42M,0,MDLZ,0.139729856,1.582801795,4.191906954,30,11,2017
29-Nov-17,42.94,42.64,43.43,42.59,8.95M,0.77,MDLZ,0.070406008,0.756143667,2.920588945,29,11,2017
28-Nov-17,42.61,42.59,42.76,42.41,5.77M,0.33,MDLZ,0.28255239,1.139871764,8.371501272,28,11,2017
27-Nov-17,42.47,42.23,42.63,42.22,6.48M,0.76,MDLZ,0.189798339,-0.165484634,3.810226155,27,11,2017
24-Nov-17,42.15,42.26,42.53,42.09,3.46M,-0.43,MDLZ,-0.165367352,0.165916094,3.299926668,24,11,2017
22-Nov-17,42.33,42.45,42.45,42.09,5.87M,0.02,MDLZ,0.307183365,1.191895113,3.334956183,22,11,2017
21-Nov-17,42.32,42.3,42.34,42.04,6.33M,0.5,MDLZ,0.45119924,-0.540794733,2.944755415,21,11,2017
20-Nov-17,42.11,42.3,42.62,41.98,6.25M,-0.45,MDLZ,0,0.594530321,3.070175439,20,11,2017
17-Nov-17,42.3,42.25,42.77,42.15,9.18M,0.26,MDLZ,0.142213795,0.715137068,2.998537299,17,11,2017
16-Nov-17,42.19,41.95,42.51,41.9,6.83M,0.57,MDLZ,0,1.451027811,2.995335134,16,11,2017
15-Nov-17,41.95,42.47,42.64,41.88,8.70M,-1.36,MDLZ,-0.141076887,2.091346154,4.067630483,15,11,2017
14-Nov-17,42.53,41.98,42.63,41.77,8.43M,1.14,MDLZ,-0.16646849,1.868478525,2.06661804,14,11,2017
13-Nov-17,42.05,41.83,42.19,41.83,6.89M,0.24,MDLZ,-0.286054827,3.488372093,0.673886883,13,11,2017
10-Nov-17,41.95,41.12,42.08,41.03,10.15M,1.45,MDLZ,-0.556227328,0.366121552,-1.343570058,10,11,2017
9-Nov-17,41.35,41.31,41.63,41.22,6.75M,-0.6,MDLZ,-0.697115385,0.364431487,-1.195886152,9,11,2017
8-Nov-17,41.6,40.97,41.77,40.97,11.39M,0.95,MDLZ,-0.582382917,-0.726920281,-1.774154879,8,11,2017
7-Nov-17,41.21,40.52,41.27,40.36,7.54M,1.95,MDLZ,0.247402276,-2.196475984,-2.243667069,7,11,2017
6-Nov-17,40.42,40.94,40.95,40.2,5.57M,-1.34,MDLZ,-0.07322431,4.17302799,0.318549375,6,11,2017
3-Nov-17,40.97,41.16,41.35,40.9,5.15M,-0.46,MDLZ,0,1.179941003,0.07293946,3,11,2017
2-Nov-17,41.16,41.26,41.46,40.89,6.90M,-0.27,MDLZ,-0.024230676,0.855536544,0.389294404,2,11,2017
1-Nov-17,41.27,41.85,41.88,41.22,7.62M,-0.39,MDLZ,1.013758146,1.874391431,2.023403218,1,11,2017
31-Oct-17,41.43,42.33,42.49,41.33,16.67M,5.42,MDLZ,7.709923664,3.01776588,3.395212506,31,10,2017
30-Oct-17,39.3,40.46,40.67,39.19,13.98M,-3.39,MDLZ,-0.540806293,-1.413255361,-1.557177616,30,10,2017
27-Oct-17,40.68,40.38,40.89,40.36,9.95M,-0.56,MDLZ,-1.295526766,-1.560214529,-0.688637482,27,10,2017
