"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","275.14","271.44","276.48","270.36","866.18K","2.78"
"Nov 29, 2017","267.70","269.73","272.42","266.21","830.09K","-0.79"
"Nov 28, 2017","269.84","270.79","272.16","263.71","498.65K","-1.02"
"Nov 27, 2017","272.62","272.38","277.89","271.02","648.62K","0.46"
"Nov 24, 2017","271.38","265.76","272.60","265.33","243.07K","2.06"
"Nov 22, 2017","265.89","267.74","269.01","263.43","313.85K","-1.07"
"Nov 21, 2017","268.76","266.50","270.36","265.84","371.67K","1.10"
"Nov 20, 2017","265.84","268.60","271.98","263.57","508.85K","-1.44"
"Nov 17, 2017","269.73","265.17","270.60","259.12","676.41K","2.76"
"Nov 16, 2017","262.48","263.49","267.88","259.10","705.11K","-0.40"
"Nov 15, 2017","263.54","260.30","266.96","258.06","361.09K","0.40"
"Nov 14, 2017","262.49","264.39","267.07","259.18","383.61K","-1.72"
"Nov 13, 2017","267.08","265.23","273.68","262.74","497.54K","-1.40"
"Nov 10, 2017","270.87","264.60","273.75","261.54","839.31K","1.67"
"Nov 09, 2017","266.41","253.98","268.60","250.83","1.25M","2.43"
"Nov 08, 2017","260.10","264.01","268.00","259.01","563.97K","-2.08"
"Nov 07, 2017","265.63","269.31","269.35","259.51","608.11K","-1.08"
"Nov 06, 2017","268.53","265.63","274.45","263.06","773.39K","0.44"
"Nov 03, 2017","267.35","256.25","273.78","251.97","2.94M","13.28"
"Nov 02, 2017","236.00","240.48","240.48","234.67","1.01M","-1.26"
"Nov 01, 2017","239.02","242.50","243.89","233.58","689.14K","-0.54"
"Oct 31, 2017","240.31","236.24","240.93","233.50","436.50K","2.48"
"Oct 30, 2017","234.50","232.02","237.50","229.63","694.45K","-0.66"
"Oct 27, 2017","236.05","231.40","238.82","228.97","872.30K","3.08"
"Oct 26, 2017","229.00","226.30","230.00","222.74","1.05M","3.38"
"Oct 25, 2017","221.51","224.45","228.13","217.06","860.95K","-1.73"
"Oct 24, 2017","225.42","226.50","230.85","222.10","1.10M","-0.41"
"Oct 23, 2017","226.35","227.56","232.50","223.22","1.24M","-3.98"
"Oct 20, 2017","235.73","237.00","237.65","233.80","782.97K","-0.11"
"Oct 19, 2017","236.00","241.91","241.91","233.20","859.00K","-2.64"
"Oct 18, 2017","242.41","240.06","243.80","237.22","1.23M","3.25"
"Oct 17, 2017","234.79","232.17","237.51","230.87","1.10M","0.77"
"Oct 16, 2017","233.00","245.11","248.90","228.74","2.24M","-4.86"
"Oct 13, 2017","244.90","245.87","251.18","241.50","1.31M","-0.55"
"Oct 12, 2017","246.26","259.00","260.00","241.71","3.16M","-10.28"
"Oct 11, 2017","274.49","274.15","275.91","272.06","572.88K","0.31"
"Oct 10, 2017","273.64","272.23","276.05","269.37","651.90K","1.38"
"Oct 09, 2017","269.92","268.82","272.25","268.00","390.00K","0.41"
"Oct 06, 2017","268.82","268.35","272.71","265.03","427.68K","-0.52"
"Oct 05, 2017","270.23","265.68","271.54","263.83","590.95K","2.43"
"Oct 04, 2017","263.81","264.36","270.97","260.01","679.15K","-0.21"
"Oct 03, 2017","264.36","262.57","264.61","256.27","646.01K","0.27"
"Oct 02, 2017","263.65","258.92","266.98","258.92","612.12K","1.82"
"Sep 29, 2017","258.93","263.60","265.90","257.84","657.24K","-1.17"
"Sep 28, 2017","261.99","266.16","268.74","260.07","585.64K","-2.02"
"Sep 27, 2017","267.40","270.08","275.29","266.84","499.44K","-0.69"
"Sep 26, 2017","269.27","271.51","273.66","265.11","547.07K","-0.35"
"Sep 25, 2017","270.22","279.73","279.82","262.23","1.10M","-3.31"
"Sep 22, 2017","279.46","280.07","283.68","279.27","507.33K","-0.86"
"Sep 21, 2017","281.87","291.30","291.85","279.61","581.48K","-2.87"
"Sep 20, 2017","290.20","289.33","296.35","287.06","720.50K","0.08"
"Sep 19, 2017","289.97","289.19","290.25","285.00","463.61K","0.09"
"Sep 18, 2017","289.71","282.95","290.97","281.75","606.78K","2.48"
"Sep 15, 2017","282.71","287.51","289.43","281.28","811.10K","-1.81"
"Sep 14, 2017","287.92","290.57","292.44","287.54","465.36K","-1.47"
"Sep 13, 2017","292.21","290.00","293.31","287.57","381.02K","0.49"
"Sep 12, 2017","290.79","284.17","295.68","281.88","1.11M","1.94"
"Sep 11, 2017","285.26","265.08","286.66","265.07","1.29M","9.72"
"Sep 08, 2017","259.98","258.21","262.25","258.21","342.54K","0.50"
"Sep 07, 2017","258.68","258.92","260.95","256.16","432.03K","0.31"
"Sep 06, 2017","257.88","257.67","259.35","251.92","466.37K","0.49"
"Sep 05, 2017","256.63","252.60","257.76","251.51","596.05K","1.87"
"Sep 01, 2017","251.91","258.01","258.73","251.37","513.56K","-2.54"
"Aug 31, 2017","258.47","248.99","259.40","247.29","948.34K","4.75"
"Aug 30, 2017","246.75","242.31","247.13","240.15","1.34M","2.43"
"Aug 29, 2017","240.90","240.00","243.75","238.25","612.12K","-0.68"
