Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,275.14,271.44,276.48,270.36,866.18K,2.78,MELI,1.397086291,2.087329347,13.56371852,30,11,2017
29-Nov-17,267.7,269.73,272.42,266.21,830.09K,-0.79,MELI,-0.040764898,0.360916803,12.24252008,29,11,2017
28-Nov-17,269.84,270.79,272.16,263.71,498.65K,-1.02,MELI,-0.671264031,1.862022269,15.47547974,28,11,2017
27-Nov-17,272.62,272.38,277.89,271.02,648.62K,0.46,MELI,0.368486992,0.982463945,15.39080703,27,11,2017
24-Nov-17,271.38,265.76,272.6,265.33,243.07K,2.06,MELI,-0.048892399,1.249619019,16.05240175,24,11,2017
22-Nov-17,265.89,267.74,269.01,263.43,313.85K,-1.07,MELI,-0.379520762,1.593685968,20.8703896,22,11,2017
21-Nov-17,268.76,266.5,270.36,265.84,371.67K,1.1,MELI,0.248269636,1.527677245,18.22376009,21,11,2017
20-Nov-17,265.84,268.6,271.98,263.57,508.85K,-1.44,MELI,-0.418937456,0.569117867,18.66578308,20,11,2017
17-Nov-17,269.73,265.17,270.6,259.12,676.41K,2.76,MELI,1.024839988,-2.104330491,12.48886438,17,11,2017
16-Nov-17,262.48,263.49,267.88,259.1,705.11K,-0.4,MELI,-0.018972452,-1.096054953,11.64830508,16,11,2017
15-Nov-17,263.54,260.3,266.96,258.06,361.09K,0.4,MELI,-0.834317498,0.076893502,7.380058578,15,11,2017
14-Nov-17,262.49,264.39,267.07,259.18,383.61K,-1.72,MELI,-1.007188857,-0.466814742,12.60701052,14,11,2017
13-Nov-17,267.08,265.23,273.68,262.74,497.54K,-1.4,MELI,-2.082179643,-1.228912971,13.83261803,13,11,2017
10-Nov-17,270.87,264.6,273.75,261.54,839.31K,1.67,MELI,-0.679403926,-1.028614176,8.044099633,10,11,2017
9-Nov-17,266.41,253.98,268.6,250.83,1.25M,2.43,MELI,-2.352941176,7.618644068,3.134898075,9,11,2017
8-Nov-17,260.1,264.01,268,259.01,563.97K,-2.08,MELI,-0.609870873,10.45519203,-3.817989726,8,11,2017
7-Nov-17,265.63,269.31,269.35,259.51,608.11K,-1.08,MELI,0.290470339,12.06774583,-1.582370998,7,11,2017
6-Nov-17,268.53,265.63,274.45,263.06,773.39K,0.44,MELI,-0.643351412,13.2750533,-1.58935981,6,11,2017
3-Nov-17,267.35,256.25,273.78,251.97,2.94M,13.28,MELI,8.580508475,8.557509002,-4.67599137,3,11,2017
2-Nov-17,236,240.48,240.48,234.67,1.01M,-1.26,MELI,0.610827546,5.013100437,-11.00914036,2,11,2017
1-Nov-17,239.02,242.5,243.89,233.58,689.14K,-0.54,MELI,0.911322875,9.475870164,-8.077783253,1,11,2017
31-Oct-17,240.31,236.24,240.93,233.5,436.50K,2.48,MELI,0.742004264,4.799929021,-10.63701014,31,10,2017
30-Oct-17,234.5,232.02,237.5,229.63,694.45K,-0.66,MELI,-1.70726541,2.504970179,-11.99696567,30,10,2017
27-Oct-17,236.05,231.4,238.82,228.97,872.30K,3.08,MELI,1.048034934,-1.83684724,-10.6322172,27,10,2017
26-Oct-17,229,226.3,230,222.74,1.05M,3.38,MELI,2.16243059,-4.110169492,-13.62265735,26,10,2017
25-Oct-17,221.51,224.45,228.13,217.06,860.95K,-1.73,MELI,-0.43030787,-7.408935275,-16.06207928,25,10,2017
24-Oct-17,225.42,226.5,230.85,222.1,1.10M,-0.41,MELI,0.066269052,-3.530814771,-15.88368552,24,10,2017
