"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","62.67","61.82","62.75","61.60","2.72M","1.26"
"Nov 29, 2017","61.89","62.10","62.21","61.46","1.46M","-0.32"
"Nov 28, 2017","62.09","62.35","62.68","61.55","2.87M","0.52"
"Nov 27, 2017","61.77","61.76","61.98","61.39","1.26M","0.03"
"Nov 24, 2017","61.75","61.06","61.82","61.06","573.60K","0.78"
"Nov 22, 2017","61.27","61.41","61.68","60.87","1.15M","0.00"
"Nov 21, 2017","61.27","61.34","61.80","61.04","2.55M","0.18"
"Nov 20, 2017","61.16","60.53","61.83","60.15","2.45M","-1.62"
"Nov 17, 2017","62.17","61.98","62.64","61.74","1.80M","0.27"
"Nov 16, 2017","62.00","61.65","62.57","61.36","2.73M","0.65"
"Nov 15, 2017","61.60","62.54","62.66","61.46","3.38M","-1.64"
"Nov 14, 2017","62.63","61.73","62.80","61.20","2.97M","0.69"
"Nov 13, 2017","62.20","60.97","62.42","60.84","2.93M","1.70"
"Nov 10, 2017","61.16","58.60","61.34","58.27","4.59M","4.23"
"Nov 09, 2017","58.68","56.00","59.88","56.00","4.81M","1.17"
"Nov 08, 2017","58.00","57.92","58.30","57.66","3.26M","0.14"
"Nov 07, 2017","57.92","57.50","57.92","57.36","1.72M","0.70"
"Nov 06, 2017","57.52","57.70","57.80","57.33","1.62M","-0.26"
"Nov 03, 2017","57.67","57.21","57.91","57.09","1.37M","0.38"
"Nov 02, 2017","57.45","57.91","57.93","57.39","1.28M","-0.61"
"Nov 01, 2017","57.80","58.34","58.43","57.60","1.74M","-0.22"
"Oct 31, 2017","57.93","57.00","58.54","56.96","2.41M","1.94"
"Oct 30, 2017","56.83","56.86","57.00","56.16","1.65M","0.14"
"Oct 27, 2017","56.75","56.38","57.08","55.92","1.65M","0.00"
"Oct 26, 2017","56.75","56.74","57.02","56.50","1.21M","0.44"
"Oct 25, 2017","56.50","56.41","56.60","55.90","1.27M","-0.58"
"Oct 24, 2017","56.83","56.26","56.95","56.03","1.36M","0.83"
"Oct 23, 2017","56.36","56.50","56.70","56.18","1.24M","-0.18"
"Oct 20, 2017","56.46","56.18","56.53","56.07","1.81M","0.84"
"Oct 19, 2017","55.99","56.22","56.33","55.83","1.18M","-0.53"
"Oct 18, 2017","56.29","56.31","56.49","55.92","1.22M","-0.41"
"Oct 17, 2017","56.52","56.29","56.75","55.94","1.47M","0.53"
"Oct 16, 2017","56.22","55.88","56.27","55.88","1.58M","0.70"
"Oct 13, 2017","55.83","56.01","56.17","55.76","970.76K","-0.23"
"Oct 12, 2017","55.96","55.66","56.01","55.51","1.40M","0.47"
"Oct 11, 2017","55.70","55.30","55.89","55.22","1.37M","0.61"
"Oct 10, 2017","55.36","55.46","55.72","55.21","1.00M","-0.05"
"Oct 09, 2017","55.39","55.49","55.73","55.26","750.83K","0.04"
"Oct 06, 2017","55.37","55.23","55.54","55.08","1.10M","-0.05"
"Oct 05, 2017","55.40","55.48","55.62","55.15","1.30M","0.33"
"Oct 04, 2017","55.22","55.37","55.43","54.80","1.88M","-0.09"
"Oct 03, 2017","55.27","55.24","55.69","54.99","1.53M","0.24"
"Oct 02, 2017","55.14","55.25","55.87","55.03","1.38M","-0.20"
"Sep 29, 2017","55.25","55.46","55.95","55.06","2.13M","-0.41"
"Sep 28, 2017","55.48","54.64","55.73","54.42","3.03M","1.09"
"Sep 27, 2017","54.88","55.21","55.21","54.23","5.82M","-0.58"
"Sep 26, 2017","55.20","55.22","55.51","55.15","1.98M","0.05"
"Sep 25, 2017","55.17","55.82","55.99","55.13","1.67M","-1.15"
