Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,62.67,61.82,62.75,61.6,2.72M,1.26,MNST,-0.113103894,0.897666068,6.955017301,30,11,2017
29-Nov-17,61.89,62.1,62.21,61.46,1.46M,-0.32,MNST,0.016105653,1.354659703,7.198342828,29,11,2017
28-Nov-17,62.09,62.35,62.68,61.55,2.87M,0.52,MNST,0.938967136,1.945716154,9.713179659,28,11,2017
27-Nov-17,61.77,61.76,61.98,61.39,1.26M,0.03,MNST,0.016194332,-0.659482065,8.828193833,27,11,2017
24-Nov-17,61.75,61.06,61.82,61.06,573.60K,0.78,MNST,-0.342745226,-1.516129032,7.594713656,24,11,2017
22-Nov-17,61.27,61.41,61.68,60.87,1.15M,0,MNST,0.228496817,-0.308441558,8.690265487,22,11,2017
21-Nov-17,61.27,61.34,61.8,61.04,2.55M,0.18,MNST,0.294310007,-2.059715791,7.935949323,21,11,2017
20-Nov-17,61.16,60.53,61.83,60.15,2.45M,-1.62,MNST,-2.637928261,-2.68488746,7.398864443,20,11,2017
17-Nov-17,62.17,61.98,62.64,61.74,1.80M,0.27,MNST,-0.032258065,1.340745585,9.776833156,17,11,2017
16-Nov-17,62,61.65,62.57,61.36,2.73M,0.65,MNST,0.081168831,5.061349693,10.10894803,16,11,2017
15-Nov-17,61.6,62.54,62.66,61.46,3.38M,-1.64,MNST,-0.143701102,7.827586207,11.10321549,15,11,2017
14-Nov-17,62.63,61.73,62.8,61.2,2.97M,0.69,MNST,-0.75562701,6.578038674,9.217975938,14,11,2017
13-Nov-17,62.2,60.97,62.42,60.84,2.93M,1.7,MNST,-0.310660562,5.997913769,8.448950551,13,11,2017
10-Nov-17,61.16,58.6,61.34,58.27,4.59M,4.23,MNST,-0.136332652,1.612623548,4.961490238,10,11,2017
9-Nov-17,58.68,56,59.88,56,4.81M,1.17,MNST,-3.448275862,-2.523933856,0.071479628,9,11,2017
