"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","84.17","83.51","84.52","83.34","33.05M","1.00"
"Nov 29, 2017","83.34","84.71","84.92","83.17","27.38M","-1.81"
"Nov 28, 2017","84.88","84.07","85.06","84.02","21.93M","1.20"
"Nov 27, 2017","83.87","83.31","83.98","83.30","18.27M","0.73"
"Nov 24, 2017","83.26","83.01","83.43","82.78","7.43M","0.18"
"Nov 22, 2017","83.11","83.83","83.90","83.04","20.55M","-0.73"
"Nov 21, 2017","83.72","82.74","83.84","82.74","21.24M","1.44"
"Nov 20, 2017","82.53","82.40","82.59","82.25","16.31M","0.16"
"Nov 17, 2017","82.40","83.12","83.12","82.24","22.08M","-0.96"
"Nov 16, 2017","83.20","83.10","83.42","82.94","20.96M","0.27"
"Nov 15, 2017","82.98","83.47","83.69","82.69","19.38M","-1.27"
"Nov 14, 2017","84.05","83.50","84.10","82.98","18.80M","0.14"
"Nov 13, 2017","83.93","83.66","83.94","83.46","14.20M","0.07"
"Nov 10, 2017","83.87","83.79","84.09","83.23","19.40M","-0.26"
"Nov 09, 2017","84.09","84.11","84.27","82.90","21.18M","-0.56"
"Nov 08, 2017","84.56","84.14","84.61","83.83","18.03M","0.34"
"Nov 07, 2017","84.27","84.77","84.90","83.93","17.94M","-0.24"
"Nov 06, 2017","84.47","84.20","84.70","84.08","19.86M","0.39"
"Nov 03, 2017","84.14","84.08","84.54","83.40","17.63M","0.11"
"Nov 02, 2017","84.05","83.35","84.46","83.12","23.99M","1.05"
"Nov 01, 2017","83.18","83.68","83.76","82.88","22.31M","0.00"
"Oct 31, 2017","83.18","84.36","84.36","83.11","27.09M","-0.85"
"Oct 30, 2017","83.89","83.70","84.33","83.11","31.76M","0.10"
"Oct 27, 2017","83.81","84.37","86.20","83.61","71.07M","6.41"
"Oct 26, 2017","78.76","79.20","79.42","78.75","32.12M","0.17"
"Oct 25, 2017","78.63","78.58","79.10","78.01","20.41M","-0.29"
"Oct 24, 2017","78.86","78.90","79.20","78.46","17.52M","0.04"
"Oct 23, 2017","78.83","78.99","79.34","78.76","20.63M","0.03"
"Oct 20, 2017","78.81","78.32","78.97","78.22","22.87M","1.16"
"Oct 19, 2017","77.91","77.57","77.93","77.35","15.09M","0.39"
"Oct 18, 2017","77.61","77.67","77.85","77.37","13.30M","0.03"
"Oct 17, 2017","77.59","77.47","77.62","77.25","16.82M","-0.08"
"Oct 16, 2017","77.65","77.42","77.81","77.35","12.38M","0.21"
"Oct 13, 2017","77.49","77.59","77.87","77.29","15.34M","0.48"
"Oct 12, 2017","77.12","76.49","77.29","76.37","16.88M","0.92"
"Oct 11, 2017","76.42","76.36","76.46","75.95","15.39M","0.17"
"Oct 10, 2017","76.29","76.33","76.63","76.14","13.94M","0.00"
"Oct 09, 2017","76.29","75.97","76.55","75.86","11.39M","0.38"
"Oct 06, 2017","76.00","75.67","76.03","75.54","13.96M","0.04"
"Oct 05, 2017","75.97","75.22","76.12","74.96","21.20M","1.71"
"Oct 04, 2017","74.69","74.00","74.72","73.71","13.32M","0.58"
"Oct 03, 2017","74.26","74.67","74.88","74.19","12.19M","-0.47"
"Oct 02, 2017","74.61","74.71","75.01","74.30","15.30M","0.16"
"Sep 29, 2017","74.49","73.94","74.53","73.88","17.08M","0.84"
"Sep 28, 2017","73.87","73.54","73.97","73.31","10.88M","0.03"
"Sep 27, 2017","73.85","73.55","74.17","73.17","19.57M","0.81"
"Sep 26, 2017","73.26","73.67","73.81","72.99","18.02M","0.00"
"Sep 25, 2017","73.26","74.09","74.25","72.92","24.15M","-1.55"
