Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,84.17,83.51,84.52,83.34,33.05M,1,MSFT,0.203983681,0.481289857,0.396729983,30,11,2017
29-Nov-17,83.34,84.71,84.92,83.17,27.38M,-1.81,MSFT,-0.200282752,1.182513139,1.839384467,29,11,2017
28-Nov-17,84.88,84.07,85.06,84.02,21.93M,1.2,MSFT,0.23846429,1.865988126,0.214566694,28,11,2017
27-Nov-17,83.87,83.31,83.98,83.3,18.27M,0.73,MSFT,0.060052847,1.104368932,-0.596587519,27,11,2017
24-Nov-17,83.26,83.01,83.43,82.78,7.43M,0.18,MSFT,-0.120322464,-0.228365385,5.396140173,24,11,2017
22-Nov-17,83.11,83.83,83.9,83.04,20.55M,-0.73,MSFT,0.131390349,1.024343215,6.613251939,22,11,2017
21-Nov-17,83.72,82.74,83.84,82.74,21.24M,1.44,MSFT,0.254452926,-1.558596074,4.92011159,21,11,2017
20-Nov-17,82.53,82.4,82.59,82.25,16.31M,0.16,MSFT,0,-1.822947695,4.528732716,20,11,2017
17-Nov-17,82.4,83.12,83.12,82.24,22.08M,-0.96,MSFT,-0.096153846,-0.894241087,5.468849131,17,11,2017
16-Nov-17,83.2,83.1,83.42,82.94,20.96M,0.27,MSFT,0.14461316,-1.177310025,6.661532538,16,11,2017
15-Nov-17,82.98,83.47,83.69,82.69,19.38M,-1.27,MSFT,-0.690065437,-1.289025544,7.55057338,15,11,2017
14-Nov-17,84.05,83.5,84.1,82.98,18.80M,0.14,MSFT,-0.512331705,-0.913729678,7.616960949,14,11,2017
13-Nov-17,83.93,83.66,83.94,83.46,14.20M,0.07,MSFT,-0.250387504,-0.958920327,7.739858339,13,11,2017
10-Nov-17,83.87,83.79,84.09,83.23,19.40M,-0.26,MSFT,-0.356760614,-0.415973378,8.130081301,10,11,2017
9-Nov-17,84.09,84.11,84.27,82.9,21.18M,-0.56,MSFT,-0.532166509,0.07138608,9.06379668,9,11,2017
8-Nov-17,84.56,84.14,84.61,83.83,18.03M,0.34,MSFT,-0.15426605,1.154123587,10.10206752,8,11,2017
7-Nov-17,84.27,84.77,84.9,83.93,17.94M,-0.24,MSFT,0.355155677,1.911517192,11.1154804,7,11,2017
6-Nov-17,84.47,84.2,84.7,84.08,19.86M,0.39,MSFT,0.071309722,0.369531529,10.36833137,6,11,2017
3-Nov-17,84.14,84.08,84.54,83.4,17.63M,0.11,MSFT,0.03569304,0.32215726,10.63157895,3,11,2017
2-Nov-17,84.05,83.35,84.46,83.12,23.99M,1.05,MSFT,0.204376052,5.827831386,9.714360932,2,11,2017
1-Nov-17,83.18,83.68,83.76,82.88,22.31M,0,MSFT,0.601106035,6.422485057,12.03641719,1,11,2017
31-Oct-17,83.18,84.36,84.36,83.11,27.09M,-0.85,MSFT,0.56025748,6.974384986,13.60086184,31,10,2017
