"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","42.39","44.16","44.53","41.86","63.90M","-3.09"
"Nov 29, 2017","43.74","47.50","47.60","43.27","81.37M","-8.74"
"Nov 28, 2017","47.93","48.45","48.86","47.82","30.63M","-0.25"
"Nov 27, 2017","48.05","47.96","48.39","47.09","44.47M","-3.28"
"Nov 24, 2017","49.68","49.32","49.88","49.03","14.20M","1.10"
"Nov 22, 2017","49.14","49.85","49.89","48.62","28.71M","-0.53"
"Nov 21, 2017","49.40","48.36","49.63","48.15","35.76M","3.69"
"Nov 20, 2017","47.64","46.51","47.86","46.40","26.97M","3.21"
"Nov 17, 2017","46.16","46.54","46.55","45.73","22.61M","-0.04"
"Nov 16, 2017","46.18","45.73","46.29","45.29","24.19M","1.81"
"Nov 15, 2017","45.36","45.19","45.74","44.62","22.43M","-0.96"
"Nov 14, 2017","45.80","45.58","46.00","44.80","29.90M","0.44"
"Nov 13, 2017","45.60","44.50","45.87","44.19","30.52M","1.83"
"Nov 10, 2017","44.78","43.76","44.84","43.71","33.84M","2.94"
"Nov 09, 2017","43.50","43.69","43.69","42.58","32.50M","-1.34"
"Nov 08, 2017","44.09","43.85","44.14","43.45","19.52M","0.32"
"Nov 07, 2017","43.95","43.58","44.24","43.33","32.42M","1.62"
"Nov 06, 2017","43.25","43.85","44.01","42.45","28.84M","-1.05"
"Nov 03, 2017","43.71","44.77","45.00","43.35","27.69M","-1.42"
"Nov 02, 2017","44.34","44.08","44.75","43.72","25.81M","-0.09"
"Nov 01, 2017","44.38","44.79","45.33","43.78","38.84M","0.16"
"Oct 31, 2017","44.31","42.25","44.57","42.20","61.97M","6.39"
"Oct 30, 2017","41.65","40.73","41.86","40.68","29.12M","1.96"
"Oct 27, 2017","40.85","40.59","40.94","40.04","31.09M","0.62"
"Oct 26, 2017","40.60","41.17","41.18","40.31","27.45M","-1.12"
"Oct 25, 2017","41.06","41.31","41.59","40.31","31.06M","-1.30"
"Oct 24, 2017","41.60","41.74","42.01","41.43","26.30M","0.10"
"Oct 23, 2017","41.56","41.85","42.19","41.40","26.84M","0.14"
"Oct 20, 2017","41.50","42.00","42.17","41.44","36.29M","0.46"
"Oct 19, 2017","41.31","41.18","41.50","39.80","47.68M","-0.82"
"Oct 18, 2017","41.65","41.04","41.95","40.81","43.53M","3.12"
"Oct 17, 2017","40.39","41.14","41.40","40.25","41.23M","-2.65"
"Oct 16, 2017","41.49","40.88","41.57","40.51","33.70M","2.70"
"Oct 13, 2017","40.40","40.78","41.17","40.32","35.37M","-0.44"
"Oct 12, 2017","40.58","41.21","41.75","40.29","66.79M","-2.48"
"Oct 11, 2017","41.61","40.84","42.07","40.80","53.02M","-0.88"
"Oct 10, 2017","41.98","41.45","42.00","40.45","48.21M","2.49"
"Oct 09, 2017","40.96","39.72","40.99","39.62","27.28M","3.25"
"Oct 06, 2017","39.67","39.00","39.67","38.81","25.15M","0.76"
"Oct 05, 2017","39.37","39.80","39.86","39.25","22.50M","-0.48"
"Oct 04, 2017","39.56","40.14","40.43","38.91","37.91M","-2.01"
"Oct 03, 2017","40.37","39.93","40.54","39.85","27.32M","0.90"
"Oct 02, 2017","40.01","39.60","40.37","39.36","54.24M","1.73"
"Sep 29, 2017","39.33","37.98","39.36","37.81","48.71M","3.61"
"Sep 28, 2017","37.96","37.15","38.46","36.82","52.57M","2.35"
"Sep 27, 2017","37.09","36.26","37.15","35.92","84.59M","8.51"
"Sep 26, 2017","34.18","35.23","35.37","34.09","55.11M","-1.98"
"Sep 25, 2017","34.87","36.04","36.15","34.54","35.61M","-3.33"
"Sep 22, 2017","36.07","35.60","36.22","35.60","21.56M","0.45"
"Sep 21, 2017","35.91","35.93","36.25","35.40","22.46M","-0.17"
"Sep 20, 2017","35.97","36.03","36.60","35.34","42.24M","0.06"
"Sep 19, 2017","35.95","35.50","36.10","35.50","26.39M","1.47"
"Sep 18, 2017","35.43","35.13","35.80","35.02","41.33M","2.25"
"Sep 15, 2017","34.65","34.64","35.00","34.38","37.42M","0.20"
"Sep 14, 2017","34.58","34.43","34.85","34.30","23.01M","-0.03"
"Sep 13, 2017","34.59","34.56","34.80","34.02","41.59M","0.87"
"Sep 12, 2017","34.29","33.69","34.54","33.56","38.69M","2.54"
"Sep 11, 2017","33.44","32.90","33.44","32.81","31.01M","3.05"
"Sep 08, 2017","32.45","32.80","33.02","32.31","19.65M","-1.04"
"Sep 07, 2017","32.79","32.47","32.90","32.45","25.35M","1.67"
"Sep 06, 2017","32.25","32.07","32.70","32.06","29.29M","0.56"
"Sep 05, 2017","32.07","32.45","32.74","31.65","28.96M","-1.63"
"Sep 01, 2017","32.60","32.13","32.88","32.13","26.03M","1.97"
"Aug 31, 2017","31.97","31.61","32.02","31.48","25.69M","1.14"
"Aug 30, 2017","31.61","31.65","31.68","31.38","17.47M","0.41"
"Aug 29, 2017","31.48","30.75","31.53","30.70","23.15M","1.29"
