Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,42.39,44.16,44.53,41.86,63.90M,-3.09,MU,0.960219479,-10.13431013,-0.495718792,30,11,2017
29-Nov-17,43.74,47.5,47.6,43.27,81.37M,-8.74,MU,-0.897141665,-3.846153846,7.199277815,29,11,2017
28-Nov-17,47.93,48.45,48.86,47.82,30.63M,-0.25,MU,0.832466181,1.700251889,16.32653061,28,11,2017
27-Nov-17,48.05,47.96,48.39,47.09,44.47M,-3.28,MU,-3.46215781,3.899480069,17.40514076,27,11,2017
24-Nov-17,49.68,49.32,49.88,49.03,14.20M,1.1,MU,0.366300366,6.799480294,21.47783251,24,11,2017
22-Nov-17,49.14,49.85,49.89,48.62,28.71M,-0.53,MU,0.910931174,9.898589065,21.40769605,22,11,2017
21-Nov-17,49.4,48.36,49.63,48.15,35.76M,3.69,MU,1.511335013,5.589519651,16.25,21,11,2017
20-Nov-17,47.64,46.51,47.86,46.4,26.97M,3.21,MU,0.758232236,1.995614035,11.91049086,20,11,2017
17-Nov-17,46.16,46.54,46.55,45.73,22.61M,-0.04,MU,0.77955825,3.930326038,12.14457831,17,11,2017
16-Nov-17,46.18,45.73,46.29,45.29,24.19M,1.81,MU,0.815696649,5.126436782,10.69958848,16,11,2017
15-Nov-17,45.36,45.19,45.74,44.62,22.43M,-0.96,MU,-1.331877729,2.494896802,8.49939976,15,11,2017
14-Nov-17,45.8,45.58,46,44.8,29.90M,0.44,MU,-0.043859649,3.708759954,12.84971528,14,11,2017
13-Nov-17,45.6,44.5,45.87,44.19,30.52M,1.83,MU,-0.625279142,2.89017341,7.254760183,13,11,2017
10-Nov-17,44.78,43.76,44.84,43.71,33.84M,2.94,MU,0.597701149,0.1143903,8.316831683,10,11,2017
9-Nov-17,43.5,43.69,43.69,42.58,32.50M,-1.34,MU,-0.907235201,-1.465944971,7.663873829,9,11,2017
8-Nov-17,44.09,43.85,44.14,43.45,19.52M,0.32,MU,-0.227531286,-1.194231636,5.383321317,8,11,2017
7-Nov-17,43.95,43.58,44.24,43.33,32.42M,1.62,MU,0.76300578,-1.647483638,3.811338733,7,11,2017
6-Nov-17,43.25,43.85,44.01,42.45,28.84M,-1.05,MU,0.320292839,5.282112845,7.055664063,6,11,2017
3-Nov-17,43.71,44.77,45,43.35,27.69M,-1.42,MU,0.969778981,9.596083231,12.85606252,3,11,2017
2-Nov-17,44.34,44.08,44.75,43.72,25.81M,-0.09,MU,-0.675980171,8.571428571,11.96342393,2,11,2017
1-Nov-17,44.38,44.79,45.33,43.78,38.84M,0.16,MU,1.083276913,9.084266926,13.22042467,1,11,2017
31-Oct-17,44.31,42.25,44.57,42.2,61.97M,6.39,MU,1.44057623,1.5625,4.656923458,31,10,2017
30-Oct-17,41.65,40.73,41.86,40.68,29.12M,1.96,MU,-0.29375765,-1.997112608,1.799550112,30,10,2017
27-Oct-17,40.85,40.59,40.94,40.04,31.09M,0.62,MU,-0.024630542,-2.192771084,3.203661327,27,10,2017
26-Oct-17,40.6,41.17,41.18,40.31,27.45M,-1.12,MU,0.267900633,-0.338900992,8.456269758,26,10,2017
25-Oct-17,41.06,41.31,41.59,40.31,31.06M,-1.3,MU,-0.697115385,-0.816326531,11.37772985,25,10,2017
24-Oct-17,41.6,41.74,42.01,41.43,26.30M,0.1,MU,0.433108758,3.342411488,22.11819778,24,10,2017
23-Oct-17,41.56,41.85,42.19,41.4,26.84M,0.14,MU,0.843373494,0.867678959,20.01720677,23,10,2017
20-Oct-17,41.5,42,42.17,41.44,36.29M,0.46,MU,1.670297749,3.96039604,16.44025506,20,10,2017
19-Oct-17,41.31,41.18,41.5,39.8,47.68M,-0.82,MU,-1.128451381,1.478560867,14.67557783,19,10,2017
18-Oct-17,41.65,41.04,41.95,40.81,43.53M,3.12,MU,1.609309235,-1.369863014,14.09507923,18,10,2017
17-Oct-17,40.39,41.14,41.4,40.25,41.23M,-2.65,MU,-0.843576765,-2.000952835,14.43671766,17,10,2017
16-Oct-17,41.49,40.88,41.57,40.51,33.70M,2.7,MU,1.188118812,-0.1953125,15.38244426,16,10,2017
13-Oct-17,40.4,40.78,41.17,40.32,35.37M,-0.44,MU,0.492853622,2.798084195,17.69119769,13,10,2017
12-Oct-17,40.58,41.21,41.75,40.29,66.79M,-2.48,MU,-0.961307378,4.673609347,19.17293233,12,10,2017
11-Oct-17,41.61,40.84,42.07,40.8,53.02M,-0.88,MU,-2.715578847,3.235591507,18.06880601,11,10,2017
10-Oct-17,41.98,41.45,42,40.45,48.21M,2.49,MU,1.196289063,2.675253901,20.88072324,10,10,2017
9-Oct-17,40.96,39.72,40.99,39.62,27.28M,3.25,MU,0.126039829,-0.724818795,18.77990431,9,10,2017
6-Oct-17,39.67,39,39.67,38.81,25.15M,0.76,MU,-0.93980188,-0.839054157,20.18489985,6,10,2017
5-Oct-17,39.37,39.8,39.86,39.25,22.50M,-0.48,MU,0.606673407,4.847207587,21.37846905,5,10,2017
4-Oct-17,39.56,40.14,40.43,38.91,37.91M,-2.01,MU,-0.569729998,8.223240766,24.46511628,4,10,2017
3-Oct-17,40.37,39.93,40.54,39.85,27.32M,0.9,MU,-0.199950012,16.82270334,24.50888681,3,10,2017
2-Oct-17,40.01,39.6,40.37,39.36,54.24M,1.73,MU,0.686498856,13.56466877,21.47239264,2,10,2017
29-Sep-17,39.33,37.98,39.36,37.81,48.71M,3.61,MU,0.052687039,5.295259218,18.79887394,29,9,2017
28-Sep-17,37.96,37.15,38.46,36.82,52.57M,2.35,MU,0.161768671,3.453077137,17.52609934,28,9,2017
27-Sep-17,37.09,36.26,37.15,35.92,84.59M,8.51,MU,6.085430076,0.806227412,15.18424396,27,9,2017
26-Sep-17,34.18,35.23,35.37,34.09,55.11M,-1.98,MU,1.03240608,-2.002781641,13.35263835,26,9,2017
25-Sep-17,34.87,36.04,36.15,34.54,35.61M,-3.33,MU,-0.083171611,1.72170477,18.98316276,25,9,2017
22-Sep-17,36.07,35.6,36.22,35.6,21.56M,0.45,MU,-0.863269284,2.741702742,17.80277962,22,9,2017
21-Sep-17,35.91,35.93,36.25,35.4,22.46M,-0.17,MU,-0.111203781,3.903990746,17.99671593,21,9,2017
20-Sep-17,35.97,36.03,36.6,35.34,42.24M,0.06,MU,0.222531293,4.163052905,18.32512315,20,9,2017
19-Sep-17,35.95,35.5,36.1,35.5,26.39M,1.47,MU,0.197572679,3.528725576,20.0947226,19,9,2017
18-Sep-17,35.43,35.13,35.8,35.02,41.33M,2.25,MU,1.385281385,5.053827751,15.63528637,18,9,2017
15-Sep-17,34.65,34.64,35,34.38,37.42M,0.2,MU,0.1735107,6.748844376,16.9480081,15,9,2017
14-Sep-17,34.58,34.43,34.85,34.3,23.01M,-0.03,MU,-0.462561434,5.001524855,12.18637993,14,9,2017
13-Sep-17,34.59,34.56,34.8,34.02,41.59M,0.87,MU,0.787401575,7.162790698,16.44204852,13,9,2017
