"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","52.33","52.50","52.99","52.13","2.44M","0.42"
"Nov 29, 2017","52.11","53.49","53.62","51.82","2.13M","-3.25"
"Nov 28, 2017","53.86","53.34","53.87","53.17","1.63M","1.07"
"Nov 27, 2017","53.29","53.50","53.81","53.18","1.18M","-1.04"
"Nov 24, 2017","53.85","53.58","53.99","53.54","638.00K","0.62"
"Nov 22, 2017","53.52","54.21","54.35","53.52","877.91K","-1.27"
"Nov 21, 2017","54.21","53.90","54.37","53.87","1.45M","0.61"
"Nov 20, 2017","53.88","53.37","53.97","53.16","1.25M","0.69"
"Nov 17, 2017","53.51","53.79","53.79","53.29","1.17M","-0.06"
"Nov 16, 2017","53.54","53.28","53.76","53.19","1.71M","0.60"
"Nov 15, 2017","53.22","53.37","53.61","52.99","1.95M","-0.82"
"Nov 14, 2017","53.66","53.25","53.81","53.19","1.40M","0.37"
"Nov 13, 2017","53.46","53.21","53.66","52.92","1.39M","-0.15"
"Nov 10, 2017","53.54","53.65","53.84","53.44","2.04M","-0.50"
"Nov 09, 2017","53.81","55.03","55.04","53.24","2.63M","-2.75"
"Nov 08, 2017","55.33","54.74","55.43","54.51","1.67M","1.13"
"Nov 07, 2017","54.71","54.63","54.81","54.07","1.81M","-0.15"
"Nov 06, 2017","54.79","53.64","54.84","53.58","3.21M","2.51"
"Nov 03, 2017","53.45","52.41","53.46","52.05","2.25M","2.12"
"Nov 02, 2017","52.34","52.32","52.52","51.50","2.12M","0.02"
"Nov 01, 2017","52.33","52.90","52.96","52.07","1.52M","-0.40"
"Oct 31, 2017","52.54","52.50","52.94","52.28","1.41M","0.34"
"Oct 30, 2017","52.36","52.07","52.47","52.00","1.64M","0.56"
"Oct 27, 2017","52.07","51.98","52.27","51.70","2.17M","0.12"
"Oct 26, 2017","52.01","51.85","52.20","51.48","2.30M","1.09"
"Oct 25, 2017","51.45","52.06","52.37","51.41","2.18M","-1.70"
"Oct 24, 2017","52.34","51.99","52.42","51.89","2.28M","0.65"
"Oct 23, 2017","52.00","52.27","52.60","51.74","3.22M","-0.17"
"Oct 20, 2017","52.09","52.85","53.10","51.30","4.54M","3.99"
"Oct 19, 2017","50.09","49.77","50.23","49.21","2.49M","0.48"
"Oct 18, 2017","49.85","49.92","50.03","49.54","1.47M","-0.02"
"Oct 17, 2017","49.86","49.49","49.88","49.35","1.34M","0.73"
"Oct 16, 2017","49.50","49.50","49.53","49.21","860.53K","0.30"
"Oct 13, 2017","49.35","49.39","49.65","49.14","1.58M","0.43"
"Oct 12, 2017","49.14","49.09","49.37","48.99","1.45M","-0.04"
"Oct 11, 2017","49.16","48.83","49.21","48.77","1.37M","0.37"
"Oct 10, 2017","48.98","48.94","49.07","48.64","904.85K","0.35"
"Oct 09, 2017","48.81","48.60","48.90","48.60","2.08M","0.49"
"Oct 06, 2017","48.57","48.41","48.75","48.27","1.20M","0.21"
"Oct 05, 2017","48.47","48.59","48.70","48.15","1.20M","0.10"
"Oct 04, 2017","48.42","48.13","48.42","47.94","953.18K","0.67"
"Oct 03, 2017","48.10","48.04","48.28","47.86","1.33M","0.38"
"Oct 02, 2017","47.92","47.76","48.12","47.68","2.01M","0.44"
"Sep 29, 2017","47.71","47.79","48.05","47.61","2.14M","0.10"
"Sep 28, 2017","47.66","47.27","47.69","47.19","1.24M","0.61"
"Sep 27, 2017","47.37","47.21","47.63","46.98","2.03M","1.30"
"Sep 26, 2017","46.76","46.75","47.20","46.62","1.87M","0.13"
"Sep 25, 2017","46.70","46.63","46.83","46.35","2.25M","-0.49"
"Sep 22, 2017","46.93","46.17","47.05","46.05","1.15M","1.08"
"Sep 21, 2017","46.43","46.43","46.62","45.97","2.26M","-0.02"
"Sep 20, 2017","46.44","47.20","47.20","45.80","2.10M","-1.53"
"Sep 19, 2017","47.16","47.43","47.51","47.03","1.79M","-0.30"
"Sep 18, 2017","47.30","47.15","47.67","47.15","1.25M","0.64"
"Sep 15, 2017","47.00","46.93","47.34","46.82","3.06M","0.43"
"Sep 14, 2017","46.80","46.77","47.12","46.59","1.15M","-0.09"
"Sep 13, 2017","46.84","46.65","47.01","46.40","1.92M","0.43"
"Sep 12, 2017","46.64","46.72","46.87","46.38","1.29M","0.26"
"Sep 11, 2017","46.52","46.29","46.70","46.05","1.44M","1.42"
"Sep 08, 2017","45.87","46.35","46.40","45.65","1.77M","-1.06"
"Sep 07, 2017","46.36","46.69","46.69","46.01","2.06M","-0.43"
"Sep 06, 2017","46.56","46.66","47.19","46.20","2.38M","0.26"
