Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,52.33,52.5,52.99,52.13,2.44M,0.42,MXIM,0.748416811,-1.905829596,0.324861456,30,11,2017
29-Nov-17,52.11,53.49,53.62,51.82,2.13M,-3.25,MXIM,-0.686966209,-1.328168235,1.808146174,29,11,2017
28-Nov-17,53.86,53.34,53.87,53.17,1.63M,1.07,MXIM,0.093826234,-1.002227171,1.871657754,28,11,2017
27-Nov-17,53.29,53.5,53.81,53.18,1.18M,-1.04,MXIM,-0.649953575,-0.018688096,2.746303054,27,11,2017
24-Nov-17,53.85,53.58,53.99,53.54,638.00K,0.62,MXIM,0.112107623,0.074710497,3.01865026,24,11,2017
22-Nov-17,53.52,54.21,54.35,53.52,877.91K,-1.27,MXIM,0,1.860202931,5.364431487,22,11,2017
21-Nov-17,54.21,53.9,54.37,53.87,1.45M,0.61,MXIM,0.037119525,0.447260529,2.980512037,21,11,2017
20-Nov-17,53.88,53.37,53.97,53.16,1.25M,0.69,MXIM,-0.26163334,-0.168350168,2.634615385,20,11,2017
17-Nov-17,53.51,53.79,53.79,53.29,1.17M,-0.06,MXIM,0.466940605,0.466940605,3.263582261,17,11,2017
16-Nov-17,53.54,53.28,53.76,53.19,1.71M,0.6,MXIM,0.112739572,-0.984947036,6.368536634,16,11,2017
15-Nov-17,53.22,53.37,53.61,52.99,1.95M,-0.82,MXIM,-0.540439806,-3.542382071,7.061183551,15,11,2017
14-Nov-17,53.66,53.25,53.81,53.19,1.40M,0.37,MXIM,-0.392817059,-2.668616341,6.799037304,14,11,2017
13-Nov-17,53.46,53.21,53.66,52.92,1.39M,-0.15,MXIM,-0.616361599,-2.883737908,7.494949495,13,11,2017
10-Nov-17,53.54,53.65,53.84,53.44,2.04M,-0.5,MXIM,-0.297342501,0.374181478,8.713272543,10,11,2017
9-Nov-17,53.81,55.03,55.04,53.24,2.63M,-2.75,MXIM,-0.542201337,5.139472679,11.98616199,9,11,2017
8-Nov-17,55.33,54.74,55.43,54.51,1.67M,1.13,MXIM,0.054834582,4.605388878,11.35069162,8,11,2017
7-Nov-17,54.71,54.63,54.81,54.07,1.81M,-0.15,MXIM,-0.292024092,3.977921584,11.53532054,7,11,2017
6-Nov-17,54.79,53.64,54.84,53.58,3.21M,2.51,MXIM,0.355472404,2.444614209,9.895513215,6,11,2017
3-Nov-17,53.45,52.41,53.46,52.05,2.25M,2.12,MXIM,0.133740925,0.65296716,7.906114886,3,11,2017
2-Nov-17,52.34,52.32,52.52,51.5,2.12M,0.02,MXIM,-0.019109497,0.596039223,7.943057561,2,11,2017
1-Nov-17,52.33,52.9,52.96,52.07,1.52M,-0.4,MXIM,0.685192234,2.818270165,9.252375052,1,11,2017
31-Oct-17,52.54,52.5,52.94,52.28,1.41M,0.34,MXIM,0.267379679,0.305693542,9.147609148,31,10,2017
30-Oct-17,52.36,52.07,52.47,52,1.64M,0.56,MXIM,0,0.134615385,8.660267112,30,10,2017
27-Oct-17,52.07,51.98,52.27,51.7,2.17M,0.12,MXIM,-0.057681215,-0.21117297,8.94990568,27,10,2017
26-Oct-17,52.01,51.85,52.2,51.48,2.30M,1.09,MXIM,0.777453839,3.513675384,8.791439362,26,10,2017
25-Oct-17,51.45,52.06,52.37,51.41,2.18M,-1.7,MXIM,-0.534963699,4.4332999,9.900781085,25,10,2017
24-Oct-17,52.34,51.99,52.42,51.89,2.28M,0.65,MXIM,-0.019230769,4.271961492,11.18477331,24,10,2017
23-Oct-17,52,52.27,52.6,51.74,3.22M,-0.17,MXIM,0.345555769,5.595959596,11.92719486,23,10,2017
20-Oct-17,52.09,52.85,53.1,51.3,4.54M,3.99,MXIM,5.510081853,7.092198582,12.61453228,20,10,2017
19-Oct-17,50.09,49.77,50.23,49.21,2.49M,0.48,MXIM,-0.160481444,1.282051282,7.193624812,19,10,2017
18-Oct-17,49.85,49.92,50.03,49.54,1.47M,-0.02,MXIM,0.120336943,1.545972335,7.493540052,18,10,2017
17-Oct-17,49.86,49.49,49.88,49.35,1.34M,0.73,MXIM,-0.02020202,1.041241323,4.940627651,17,10,2017
16-Oct-17,49.5,49.5,49.53,49.21,860.53K,0.3,MXIM,0.303951368,1.413644745,4.651162791,16,10,2017
13-Oct-17,49.35,49.39,49.65,49.14,1.58M,0.43,MXIM,0.508750509,1.68828495,5.085106383,13,10,2017
12-Oct-17,49.14,49.09,49.37,48.99,1.45M,-0.04,MXIM,-0.142392189,1.279141737,4.893162393,12,10,2017
11-Oct-17,49.16,48.83,49.21,48.77,1.37M,0.37,MXIM,-0.306247448,0.846757538,4.248505551,11,10,2017
10-Oct-17,48.98,48.94,49.07,48.64,904.85K,0.35,MXIM,0.266338865,1.746361746,4.931389365,10,10,2017
9-Oct-17,48.81,48.6,48.9,48.6,2.08M,0.49,MXIM,0.061766523,1.41903172,4.471195185,9,10,2017
6-Oct-17,48.57,48.41,48.75,48.27,1.20M,0.21,MXIM,-0.12378791,1.467197652,5.537388271,6,10,2017
5-Oct-17,48.47,48.59,48.7,48.15,1.20M,0.1,MXIM,0.351094589,1.951321863,4.810181191,5,10,2017
4-Oct-17,48.42,48.13,48.42,47.94,953.18K,0.67,MXIM,0.062370062,1.604390965,3.371993127,4,10,2017
