Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,36.53,36.85,36.99,36.31,5.68M,-0.9,MYL,-0.02712968,-1.153433476,0,30,11,2017
29-Nov-17,36.86,36.82,37.6,36.75,4.43M,-0.05,MYL,-0.162689805,-1.101262423,3.108373005,29,11,2017
28-Nov-17,36.88,36.52,37.19,35.92,8.74M,1.15,MYL,0.164563906,0.054794521,-4.49790795,28,11,2017
27-Nov-17,36.46,37.26,37.28,36.12,5.69M,-2.44,MYL,-0.29435376,-0.877893057,-2.842242503,27,11,2017
24-Nov-17,37.37,37.17,37.57,36.89,4.94M,0.24,MYL,-0.295064378,-0.88,-3.629764065,24,11,2017
22-Nov-17,37.28,37.11,37.76,36.99,3.32M,0.13,MYL,-0.322320709,-1.825396825,-4.894925679,22,11,2017
21-Nov-17,37.23,36.17,37.49,36.17,8.03M,2,MYL,-0.904109589,-4.438573316,-7.065775951,21,11,2017
20-Nov-17,36.5,37.4,37.47,36.25,4.33M,-2.9,MYL,-0.505453578,-0.452488688,-2.781388095,20,11,2017
17-Nov-17,37.59,37.43,37.76,36.65,3.38M,0.24,MYL,-0.186666667,-1.912997904,-2.804466372,17,11,2017
16-Nov-17,37.5,37.28,37.6,36.81,4.74M,-0.79,MYL,-1.375661376,-2.100840336,-2.637764429,16,11,2017
15-Nov-17,37.8,37.78,37.95,37.24,2.45M,-0.13,MYL,-0.184940555,1.450053706,0.719808051,15,11,2017
14-Nov-17,37.85,37.29,38.05,37.13,3.73M,0.75,MYL,-0.745275486,1.690755386,-3.243383498,14,11,2017
13-Nov-17,37.57,37.69,38.21,37.37,3.57M,-1.55,MYL,-1.231656184,0.80235357,-1.283394447,13,11,2017
10-Nov-17,38.16,37.93,38.19,37.53,2.45M,0.21,MYL,-0.393907563,6.187010078,-0.052700922,10,11,2017
9-Nov-17,38.08,36.63,38.18,36.57,4.66M,2.26,MYL,-1.638023631,3.650254669,-2.992584746,9,11,2017
8-Nov-17,37.24,36.72,37.75,36.26,5.85M,1.55,MYL,0.136351241,-0.352781547,-4.100287281,8,11,2017
7-Nov-17,36.67,38.39,38.44,36.56,5.19M,-1.93,MYL,2.674511902,7.504900588,-0.156046814,7,11,2017
6-Nov-17,37.39,36.11,38.33,35.7,8.42M,4.68,MYL,1.091825308,-5.570083682,-5.594771242,6,11,2017
3-Nov-17,35.72,35.07,36,35.03,5.47M,1.08,MYL,-0.764006791,-8.552803129,-8.409506399,3,11,2017
2-Nov-17,35.34,36.08,36.37,34.96,7.33M,-4.1,MYL,-2.089552239,-6.455794659,-4.852320675,2,11,2017
1-Nov-17,36.85,35.63,37.25,35.3,5.70M,3.19,MYL,-0.224026883,-8.687852383,-5.740740741,1,11,2017
31-Oct-17,35.71,38.24,38.44,34.72,18.00M,-6.62,MYL,0,-1.74717369,17.55302797,31,10,2017
30-Oct-17,38.24,38.35,38.61,38.12,3.81M,-0.29,MYL,0,-0.311931375,18.40074097,30,10,2017
27-Oct-17,38.35,38.34,38.78,38.23,3.81M,-0.57,MYL,-0.596318382,-0.441443781,22.21868027,27,10,2017
26-Oct-17,38.57,39.25,39.68,38.27,4.49M,-1.15,MYL,0.589441312,2.507182032,27.18729747,26,10,2017
25-Oct-17,39.02,38.66,39.1,38.51,4.60M,0.26,MYL,-0.668036999,3.065849107,21.07735672,25,10,2017
24-Oct-17,38.92,38.5,39.27,38.21,5.91M,1.17,MYL,0.077982844,-0.103788272,23.67491166,24,10,2017
23-Oct-17,38.47,38.48,38.64,38.12,2.57M,-0.1,MYL,-0.077901844,0.785751702,22.23634053,23,10,2017
20-Oct-17,38.51,38.43,38.63,37.95,4.00M,0.57,MYL,0.365630713,1.264822134,22.77955272,20,10,2017
19-Oct-17,38.29,37.3,38.33,37.26,3.00M,2.08,MYL,-0.559850706,-1.218220339,19.39820743,19,10,2017
18-Oct-17,37.51,38.6,38.63,37.27,4.79M,-2.67,MYL,0.155682408,0.809610864,22.96909844,18,10,2017
17-Oct-17,38.54,38.03,38.66,38.01,4.24M,0.94,MYL,-0.392875851,-1.092327698,22.75661717,17,10,2017
16-Oct-17,38.18,38.03,38.54,37.82,6.49M,0.61,MYL,0.210803689,-0.575163399,20.73015873,16,10,2017
13-Oct-17,37.95,37.57,38.34,37.07,4.86M,0.5,MYL,-0.503177966,-1.880386524,17.29628473,13,10,2017
12-Oct-17,37.76,38.25,38.26,37.6,3.95M,-1.38,MYL,-0.104465918,0.870253165,16.36750837,12,10,2017
11-Oct-17,38.29,38.27,38.7,38.15,2.77M,-0.42,MYL,-0.468140442,1.243386243,14.03456496,11,10,2017
10-Oct-17,38.45,38.1,38.59,37.72,4.54M,0.52,MYL,-0.392156863,17.12265601,13.39285714,10,10,2017
9-Oct-17,38.25,38.16,38.54,38,4.01M,-0.1,MYL,-0.339514233,17.81414017,15.49636804,9,10,2017
6-Oct-17,38.29,37.93,38.51,37.65,6.28M,0.98,MYL,0.026371308,20.91169908,18.16199377,6,10,2017
5-Oct-17,37.92,38,38.48,36.39,11.21M,0.32,MYL,0.529100529,23.1367466,19.08492636,5,10,2017
4-Oct-17,37.8,38,39.24,37.41,36.95M,16.2,MYL,16.81524746,19.01033511,17.86600496,4,10,2017
3-Oct-17,32.53,32.47,32.64,31.84,4.17M,0.43,MYL,0.246989812,4.304529393,2.785691675,3,10,2017
2-Oct-17,32.39,31.18,32.41,31.03,5.52M,3.25,MYL,-0.605674211,-0.952986023,-1.235350016,2,10,2017
29-Sep-17,31.37,31.45,32.27,31.22,8.83M,1.65,MYL,1.911860013,0.479233227,-0.095298602,29,9,2017
28-Sep-17,30.86,32.01,32.03,30.73,5.67M,-3.35,MYL,0.250548074,2.464788732,4.642039882,28,9,2017
27-Sep-17,31.93,31.23,32.03,31.18,3.95M,2.57,MYL,0.321233537,-0.50971647,2.393442623,27,9,2017
26-Sep-17,31.13,31.37,31.87,31.09,4.58M,-1.11,MYL,-0.349428208,1.258876695,1.751540707,26,9,2017
25-Sep-17,31.48,31.19,31.94,31.13,4.42M,0.58,MYL,-0.3514377,-0.984126984,2.161808058,25,9,2017
22-Sep-17,31.3,31.27,31.45,30.69,5.20M,0.19,MYL,0.09603073,-2.372775523,3.50877193,22,9,2017
21-Sep-17,31.24,31.27,31.52,30.94,4.84M,-0.48,MYL,-0.382287353,-4.867660481,3.133245383,21,9,2017
20-Sep-17,31.39,31.12,31.69,30.95,6.28M,1.32,MYL,0.451904454,-7.270560191,1.269118126,20,9,2017
19-Sep-17,30.98,31.52,31.69,30.72,7.12M,-1.65,MYL,0.063492063,-6.19047619,3.547963206,19,9,2017
18-Sep-17,31.5,32.02,32.36,31.35,7.75M,-1.65,MYL,-0.031220731,-3.08716707,4.231770833,18,9,2017
15-Sep-17,32.03,32.86,32.86,31.8,20.18M,-2.56,MYL,-0.030422878,2.367601246,7.52617801,15,9,2017
14-Sep-17,32.87,33.48,33.58,32.8,4.94M,-2.06,MYL,-0.238379023,4.920087747,9.878569084,14,9,2017
13-Sep-17,33.56,33.31,33.64,33.28,4.16M,-0.12,MYL,-0.863095238,3.318858561,10.55426485,13,9,2017
12-Sep-17,33.6,33.32,33.67,33.21,5.75M,1.69,MYL,0.847457627,5.476416588,12.45359433,12,9,2017
11-Sep-17,33.04,32.54,33.26,32.46,5.57M,2.93,MYL,1.370716511,3.072537219,5.375647668,11,9,2017
8-Sep-17,32.1,31.88,32.21,31.62,4.19M,0.6,MYL,-0.094014416,1.27064803,-1.269742954,8,9,2017
7-Sep-17,31.91,32.5,32.97,31.78,6.36M,-1.02,MYL,0.806451613,6.243870546,1.309226933,7,9,2017
6-Sep-17,32.24,31.95,32.52,31.82,6.24M,2.06,MYL,1.13960114,4.754098361,0.503302925,6,9,2017
5-Sep-17,31.59,31.76,32,31.32,5.66M,0.06,MYL,0.601837187,3.016542329,-0.75,5,9,2017
1-Sep-17,31.57,31.51,31.88,31.16,4.18M,0.29,MYL,0.095298602,3.209957419,-4.283110571,1,9,2017
31-Aug-17,31.48,30.81,31.71,30.8,6.69M,2.91,MYL,0.719189278,1.986097319,-11.21037464,31,8,2017
30-Aug-17,30.59,30.4,30.73,29.53,7.09M,0.3,MYL,-0.327868852,0.263852243,-17.65980498,30,8,2017
29-Aug-17,30.5,30.56,30.6,30.2,4.72M,-1.07,MYL,-0.875770354,-0.553205337,-20.80849961,29,8,2017
28-Aug-17,30.83,30.77,31.08,30.59,3.92M,0.98,MYL,0.786112021,1.084099869,-21.0823288,28,8,2017
25-Aug-17,30.53,30.27,30.78,30.21,3.86M,1.06,MYL,0.198609732,-1.46484375,-21.86370676,25,8,2017
24-Aug-17,30.21,30.14,30.8,30.1,6.24M,-0.36,MYL,-0.593667546,-1.37434555,-21.69394648,24,8,2017
23-Aug-17,30.32,30.51,30.8,30.17,3.89M,-1.33,MYL,-0.715912789,0.131276666,-22.14850727,23,8,2017
22-Aug-17,30.73,30.32,30.83,30.03,4.60M,0.95,MYL,-0.394218134,0.63060073,-21.89592993,22,8,2017
21-Aug-17,30.44,30.71,31.05,30.34,5.72M,-0.91,MYL,-0.032552083,3.644954438,-20.76883385,21,8,2017
18-Aug-17,30.72,30.5,31.23,30.5,7.19M,0.52,MYL,-0.196335079,-1.230569948,-22.13428644,18,8,2017
