Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,54.16,54,54.69,52.36,3.50M,-2.04,NCLH,-2.333152469,-2.368468631,-0.36900369,30,11,2017
29-Nov-17,55.29,55.48,56.21,55.12,1.64M,-0.04,NCLH,0.307358525,0,-0.484304933,29,11,2017
28-Nov-17,55.31,55.62,55.83,54.92,1.77M,-0.54,NCLH,0.017982377,1.700493692,1.496350365,28,11,2017
27-Nov-17,55.61,55.55,56.03,55.47,1.23M,0.2,NCLH,0.09009009,1.294675419,-0.161754134,27,11,2017
24-Nov-17,55.5,55.41,55.74,55.01,550.82K,0.34,NCLH,0.180799132,2.668148972,0.892206846,24,11,2017
22-Nov-17,55.31,55.42,56,55.11,1.28M,-0.31,NCLH,-0.10814708,0.635554749,1.149844862,22,11,2017
21-Nov-17,55.48,54.93,55.88,54.8,2.03M,1.44,NCLH,0.438837082,-0.308529946,0.493962678,21,11,2017
20-Nov-17,54.69,54.78,55.09,54.28,2.33M,-0.27,NCLH,-0.10940919,-0.886556902,1.973194341,20,11,2017
17-Nov-17,54.84,54.12,54.9,53.69,3.96M,1.61,NCLH,0.277932185,-2.009777295,0.72585148,17,11,2017
16-Nov-17,53.97,53.85,54.3,53.5,6.23M,-2,NCLH,-2.215362266,-5.343645632,-0.590732878,16,11,2017
15-Nov-17,55.07,55.09,55.19,54.58,1.36M,-0.05,NCLH,-0.01814882,-0.845932325,-4.141291108,15,11,2017
14-Nov-17,55.1,55.08,55.22,54.1,1.31M,-0.31,NCLH,-0.343766962,-0.505780347,-6.022862993,14,11,2017
13-Nov-17,55.27,54.91,55.34,54.65,1.72M,0.07,NCLH,-0.579395256,-0.633369526,-6.805838425,13,11,2017
10-Nov-17,55.23,55.75,56.06,54.07,2.28M,-2.92,NCLH,-2.003867112,1.308377249,-5.090228124,10,11,2017
9-Nov-17,56.89,55.74,58.27,55.29,3.12M,2.39,NCLH,0.323974082,1.511564378,-5.300713558,9,11,2017
8-Nov-17,55.56,55.37,55.63,54.81,1.42M,0.36,NCLH,0.018063584,2.158671587,-5.833333333,8,11,2017
7-Nov-17,55.36,56.55,57.37,54.97,1.83M,0.18,NCLH,2.33441911,1.434977578,-4.411764706,7,11,2017
6-Nov-17,55.26,55,56.12,54.905,1.52M,0.42,NCLH,-0.054515719,0.364963504,-6.605535745,6,11,2017
3-Nov-17,55.03,54.91,55.09,54.53,923.23K,0.22,NCLH,0,-1.312005751,-6.679129844,3,11,2017
2-Nov-17,54.91,54.27,55.17,54.205,2.14M,1.31,NCLH,0.129151292,-1.183539694,-7.087827427,2,11,2017
1-Nov-17,54.2,56.06,56.1,54.04,2.25M,-2.78,NCLH,0.556053812,2.31794123,0.142908181,1,11,2017
31-Oct-17,55.75,54.82,55.98,54.715,1.45M,1.73,NCLH,0.03649635,0.292718624,0.164443632,31,10,2017
30-Oct-17,54.8,55.29,55.67,54.67,974.30K,-1.51,NCLH,-0.629043853,2.92256143,1.598676957,30,10,2017
27-Oct-17,55.64,54.8,56.28,54.49,2.32M,1.31,NCLH,-0.218499636,1.991438675,1.38760407,27,10,2017
26-Oct-17,54.92,54.8,55.25,54.53,1.38M,0.24,NCLH,0.018251506,1.163005354,2.143522833,26,10,2017
25-Oct-17,54.79,54.67,55.19,54.38,2.43M,0.24,NCLH,0.018294914,-4.872107186,3.482869582,25,10,2017
24-Oct-17,54.66,53.63,54.78,53.5,2.49M,1.75,NCLH,-0.167535369,-8.496843542,-2.295500091,24,10,2017
23-Oct-17,53.72,53.76,54.101,53.531,1.99M,-0.02,NCLH,0.055834729,-8.757637475,0.298507463,23,10,2017
20-Oct-17,53.73,54.87,54.94,53.45,3.47M,-0.81,NCLH,1.292228171,-6.588355465,1.5734913,20,10,2017
19-Oct-17,54.17,56.4,56.52,53.8,7.96M,-5.74,NCLH,-1.861840961,-4.179408767,3.676470588,19,10,2017
18-Oct-17,57.47,58.45,58.45,57.13,4.22M,-1.95,NCLH,-0.272990957,-0.595238095,7.523914643,18,10,2017
17-Oct-17,58.61,58.69,59,58.44,2.38M,-0.53,NCLH,-0.39035981,-0.794455713,5.82401731,17,10,2017
16-Oct-17,58.92,58.83,59.15,58.4,2.09M,0.31,NCLH,0.153217569,-0.10188487,4.401064774,16,10,2017
13-Oct-17,58.74,59.43,59.6,58.22,3.97M,-0.2,NCLH,0.968399592,1.002719239,4.740923511,13,10,2017
12-Oct-17,58.86,58.56,59.3,58.43,33.55M,0.1,NCLH,-0.408163265,0.256805342,1.455301455,12,10,2017
11-Oct-17,58.8,59.15,59.42,58.58,2.73M,-0.61,NCLH,-0.016903313,5.662736692,2.35334833,11,10,2017
10-Oct-17,59.16,59.19,59.535,58.985,2.67M,0.46,NCLH,0.50942435,8.14909556,3.479020979,10,10,2017
9-Oct-17,58.89,58.75,59.66,58.71,2.21M,0.08,NCLH,-0.152957172,7.956633591,3.706972639,9,10,2017
6-Oct-17,58.84,58.25,59.4,58.25,3.03M,0.74,NCLH,-0.273925698,7.770582794,5.678519594,6,10,2017
5-Oct-17,58.41,58.01,58.54,57.53,7.77M,4.34,NCLH,3.626295105,8.126747437,3.848907984,5,10,2017
4-Oct-17,55.98,54.58,56.2,54.53,1.58M,2.28,NCLH,-0.274072721,3.31251183,-4.446778711,4,10,2017
3-Oct-17,54.73,54.46,55.11,54.03,1.21M,0.57,NCLH,0.073502389,-0.783384952,-3.933674369,3,10,2017
2-Oct-17,54.42,53.94,54.53,53.6,1.11M,0.68,NCLH,-0.203515264,0.634328358,-7.857874957,2,10,2017
29-Sep-17,54.05,53.46,54.15,52.44,2.52M,0.75,NCLH,-0.354147251,-1.036653091,-10.09081736,29,9,2017
28-Sep-17,53.65,52.52,53.93,51.99,2.53M,1.55,NCLH,-0.58678781,-3.455882353,-9.790450017,28,9,2017
27-Sep-17,52.83,54.99,55.04,52.74,1.97M,-3.75,NCLH,0.182182547,1.158940397,-4.597501735,27,9,2017
26-Sep-17,54.89,54.46,55.68,54.26,2.55M,2.41,NCLH,1.604477612,-1.803101334,-5.90877678,26,9,2017
25-Sep-17,53.6,53.74,54.11,53.23,1.42M,-0.78,NCLH,-0.518326546,-4.63176575,-6.895356895,25,9,2017
22-Sep-17,54.02,54.09,54.81,53.75,1.39M,-0.7,NCLH,-0.569852941,-4.670426507,-6.305213927,22,9,2017
21-Sep-17,54.4,54.54,54.83,53.95,1.23M,0.07,NCLH,0.331125828,-5.509355509,-4.566929134,21,9,2017
20-Sep-17,54.36,55.36,55.42,53.71,2.23M,-1.98,NCLH,-0.180310133,-4.204879737,-2.706502636,20,9,2017
19-Sep-17,55.46,56.27,56.27,55.29,1.51M,-1.58,NCLH,-0.141969831,-1.625874126,0.733977802,19,9,2017
18-Sep-17,56.35,56.7,57.21,56.28,1.46M,-0.69,NCLH,-0.070497004,0.088261253,1.64933668,18,9,2017
15-Sep-17,56.74,56.55,56.74,55.28,3.94M,-1.7,NCLH,-2.027027027,2.594339623,0.658597366,15,9,2017
