Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,187.58,190.31,190.86,186.68,6.63M,-0.3,NFLX,1.148020197,-3.061328443,-3.883838384,30,11,2017
29-Nov-17,188.15,198.91,199.03,184.32,14.20M,-5.54,NFLX,-0.135555779,1.36574428,1.262536272,29,11,2017
28-Nov-17,199.18,195.34,199.68,194.01,6.98M,2.12,NFLX,0.148679826,0.638845956,-1.527448707,28,11,2017
27-Nov-17,195.05,195.56,195.85,194,3.21M,-0.36,NFLX,-0.09706258,1.221532091,-1.994587551,27,11,2017
24-Nov-17,195.75,196.65,196.9,195.33,2.16M,-0.29,NFLX,0.16809291,0.583090379,0.737667128,24,11,2017
22-Nov-17,196.32,196.58,196.75,193.63,5.90M,0.05,NFLX,0.178362126,2.321465751,1.450172885,22,11,2017
21-Nov-17,196.23,195.04,197.52,194.97,4.79M,1.1,NFLX,0.48428645,-0.342343263,-0.499948985,21,11,2017
20-Nov-17,194.1,193.3,194.32,191.9,3.83M,0.47,NFLX,0.051759834,-0.912446176,0.431236037,20,11,2017
17-Nov-17,193.2,195.74,195.95,192.65,3.91M,-1.18,NFLX,0.117641041,1.937298198,0.813761846,17,11,2017
16-Nov-17,195.51,194.33,197.7,193.75,5.68M,1.76,NFLX,1.150322715,0.221763796,-0.409983088,16,11,2017
15-Nov-17,192.12,194.54,195.42,191.53,4.20M,-1.83,NFLX,-0.59782331,-0.967216453,-0.511404316,15,11,2017
14-Nov-17,195.71,193.64,195.88,193,3.45M,0.32,NFLX,-0.738158704,-1.148603808,-2.927611791,14,11,2017
13-Nov-17,195.08,191.12,196.05,191,4.61M,1.59,NFLX,-0.468701177,-4.502073652,-5.703572133,13,11,2017
10-Nov-17,192.02,191.61,192.59,189.5,6.62M,-0.97,NFLX,-1.181021145,-4.19979001,-3.950072685,10,11,2017
9-Nov-17,193.9,194.46,194.49,190.81,5.98M,-1.29,NFLX,-1.007941356,-2.438290187,-0.714796283,9,11,2017
8-Nov-17,196.44,196,197.09,194.74,4.24M,0.28,NFLX,0.056153964,-1.01010101,0.538599641,8,11,2017
7-Nov-17,195.89,200,200.61,194.8,6.47M,-2.12,NFLX,-0.064957777,1.817441328,2.522042239,7,11,2017
6-Nov-17,200.13,200,202.48,198.09,5.85M,0.06,NFLX,-0.00499975,0.821696829,1.589881648,6,11,2017
3-Nov-17,200.01,199.8,200.55,197.99,3.68M,0.35,NFLX,0.240818784,0.130299689,0.898899101,3,11,2017
2-Nov-17,199.32,197.45,199.44,197.09,3.61M,0.67,NFLX,-0.277777778,1.147482199,1.574155049,2,11,2017
