Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,328.71,323.06,330.81,318.2,1.52M,1.32,NTES,-0.419209666,-7.086568881,17.06344893,30,11,2017
29-Nov-17,324.42,330.63,331.21,318.19,1.72M,-2.28,NTES,-0.409650893,-4.165217391,17.27795119,29,11,2017
28-Nov-17,331.99,332.4,336.58,326.5,1.46M,-0.46,NTES,-0.338800108,-3.391751678,20.21265054,28,11,2017
27-Nov-17,333.53,341,343.08,332.57,984.99K,-3.1,NTES,-0.932570233,-7.210884354,20.26946002,27,11,2017
24-Nov-17,344.21,342,347,340.75,705.82K,-1,NTES,-1.639344262,4.830799411,23.88611171,24,11,2017
22-Nov-17,347.7,344.06,355.39,344.06,2.01M,0.78,NTES,-0.272463768,13.75012398,25.01725955,22,11,2017
21-Nov-17,345,348.5,355.9,343.89,2.19M,0.27,NTES,1.287528701,16.72695606,24.22470949,21,11,2017
20-Nov-17,344.07,362,363,338.52,3.48M,-6.38,NTES,-1.496598639,19.80407731,31.59329674,20,11,2017
17-Nov-17,367.5,340,375.1,340,6.05M,12.65,NTES,4.217753801,12.25938521,22.90785526,17,11,2017
16-Nov-17,326.24,310.81,332.19,305.1,3.65M,7.86,NTES,2.757298244,-0.655245158,12.32337104,16,11,2017
15-Nov-17,302.47,297.01,304.29,296,1.54M,1.31,NTES,-0.519158628,-5.465020052,6.941994023,15,11,2017
14-Nov-17,298.56,300.61,301.87,294.2,1.07M,-1.19,NTES,-0.512973259,-1.950487622,7.418259782,14,11,2017
13-Nov-17,302.16,301.15,308.49,301,1.14M,-0.23,NTES,-0.567900419,-2.757596306,6.571590346,13,11,2017
10-Nov-17,302.87,309.61,310.92,302.32,1.96M,-3.19,NTES,-1.038803299,10.37002709,10.71339174,10,11,2017
9-Nov-17,312.86,312.53,316.49,307.02,1.11M,-0.42,NTES,-0.52517665,13.19449475,15.00220783,9,11,2017
8-Nov-17,314.18,306,320.67,305.01,1.43M,2.48,NTES,-0.192439414,10.88161757,13.83928571,8,11,2017
7-Nov-17,306.59,308.5,311.72,305.83,1.43M,-1,NTES,-0.384255223,9.428206583,14.54349683,7,11,2017
