Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,200.71,199.2,202.68,196.65,20.59M,2.18,NVDA,1.415334487,-7.31866189,-3.861003861,30,11,2017
29-Nov-17,196.42,210.01,210.12,191.23,34.92M,-6.78,NVDA,-0.332210147,-2.795649155,1.54731396,29,11,2017
28-Nov-17,210.71,214.35,214.73,208.24,12.82M,-1.6,NVDA,0.098066685,0.126121076,5.15600471,28,11,2017
27-Nov-17,214.14,217.31,217.36,214.01,10.57M,-1.3,NVDA,0.161320059,2.815102195,7.653819479,27,11,2017
24-Nov-17,216.96,215.59,217,214.6,4.52M,0.94,NVDA,0.307076723,1.880818487,10.16914508,24,11,2017
22-Nov-17,214.93,217,217,213.61,8.92M,-0.52,NVDA,0.439713029,3.343175541,12.05204998,22,11,2017
21-Nov-17,216.05,215.69,216.52,214.4,9.98M,0.92,NVDA,0.752055306,0.705014474,8.561505939,21,11,2017
20-Nov-17,214.08,211.99,214.57,210.5,9.90M,1.29,NVDA,0.298069644,-0.300992334,7.817109145,20,11,2017
17-Nov-17,211.36,213.92,215.35,210.75,12.89M,-0.12,NVDA,1.09163083,-1.027112057,8.643981717,17,11,2017
16-Nov-17,211.61,212.98,214.2,211.25,11.04M,0.78,NVDA,1.428707496,3.730761738,7.674418605,16,11,2017
15-Nov-17,209.98,211.95,212,207.8,12.55M,-1.96,NVDA,-1.041180316,1.333907057,7.27300334,15,11,2017
14-Nov-17,214.18,213,214.8,211.23,13.23M,0.73,NVDA,0.174011193,0.457482432,7.711757269,14,11,2017
13-Nov-17,212.63,216.14,217.17,212.01,14.56M,-1.62,NVDA,0,3.105471545,9.200222301,13,11,2017
10-Nov-17,216.14,213.08,218.67,211.63,31.33M,5.27,NVDA,3.779466199,2.103598639,9.502029909,10,11,2017
9-Nov-17,205.32,205.27,206.33,200.37,24.46M,-1.84,NVDA,-1.859820233,-0.325337477,7.454326546,9,11,2017
8-Nov-17,209.16,211.85,212,207.24,13.07M,-1.35,NVDA,-0.084893647,2.244208494,10.95108411,8,11,2017
7-Nov-17,212.03,210.55,212.9,210.06,10.69M,1.14,NVDA,0.438868483,1.80842319,11.44339173,7,11,2017
6-Nov-17,209.63,207.2,209.98,206.7,9.75M,0.45,NVDA,-0.71397767,1.648351648,11.76438859,6,11,2017
3-Nov-17,208.69,207.2,208.69,205.34,8.84M,1.34,NVDA,0.611828688,2.6453978,14.28571429,3,11,2017
2-Nov-17,205.94,206,207.81,203.65,8.56M,-0.61,NVDA,-0.579150579,5.268536972,13.95696189,2,11,2017
1-Nov-17,207.2,209.35,209.97,204.6,12.56M,0.19,NVDA,1.228180455,8.101827946,15.74611599,1,11,2017
31-Oct-17,206.81,205.13,207.89,204.9,10.30M,1.46,NVDA,0.632849294,3.246426414,14.36137593,31,10,2017
30-Oct-17,203.84,201.86,206.09,201.22,12.60M,0.98,NVDA,0,2.665039162,12.77094972,30,10,2017
27-Oct-17,201.86,197.8,201.87,196.75,14.30M,3.15,NVDA,1.078235985,0.457084815,10.6449628,27,10,2017
26-Oct-17,195.69,194.78,196.16,193.81,8.07M,1.05,NVDA,0.578333161,-1.526794742,10.87204007,26,10,2017
25-Oct-17,193.66,197.08,199.22,191.17,20.70M,-2.53,NVDA,-0.80531508,-0.253062051,12.14931998,25,10,2017
24-Oct-17,198.68,196.99,198.75,195.94,10.18M,1.05,NVDA,0.188180246,-0.384323641,14.55571063,24,10,2017
23-Oct-17,196.62,197.78,198.85,195.8,10.72M,-0.14,NVDA,0.446927374,-0.075784368,15.66081871,23,10,2017
20-Oct-17,196.9,198.49,199.59,196.54,11.29M,-0.46,NVDA,0.348837209,2.004213988,10.88826816,20,10,2017
19-Oct-17,197.8,194.44,198,192.45,14.27M,0.11,NVDA,-1.589229679,1.785059938,7.568046028,19,10,2017
18-Oct-17,197.58,198.11,198.14,193.32,14.18M,-0.09,NVDA,0.18204804,3.755106316,6.602453724,18,10,2017
17-Oct-17,197.75,197.09,198.9,196.35,11.96M,-0.09,NVDA,-0.424392462,4.319059969,5.198825727,17,10,2017
16-Oct-17,197.93,195.8,198.05,193.24,14.42M,1.72,NVDA,0.621820237,5.6151896,4.398826979,16,10,2017
13-Oct-17,194.59,193.55,195,191.65,15.72M,1.86,NVDA,1.319164529,6.756756757,7.46210649,13,10,2017
12-Oct-17,191.03,191.08,193.09,189.93,13.21M,0.05,NVDA,0.073321462,5.703379986,12.79811098,12,10,2017
11-Oct-17,190.94,189.6,191,187.74,13.24M,1.06,NVDA,0.354628698,4.82667109,11.28719845,11,10,2017
10-Oct-17,188.93,191.43,192.95,187.26,24.37M,1.91,NVDA,3.257996656,6.723532363,12.8648075,10,10,2017
9-Oct-17,185.39,182.79,186.73,182.03,14.09M,2.26,NVDA,0.82184225,2.117318436,8.159763314,9,10,2017
6-Oct-17,181.3,179.65,181.84,179,7.97M,0.29,NVDA,-0.619571832,0.492252615,9.750137455,6,10,2017
5-Oct-17,180.77,181.86,182,179.56,10.93M,-0.06,NVDA,0.547354453,3.517759563,9.17276984,5,10,2017
4-Oct-17,180.87,179.62,181.77,178.14,10.70M,0.84,NVDA,0.139376707,2.213623172,8.328810084,4,10,2017
3-Oct-17,179.37,179.25,180.58,177.58,9.76M,0.21,NVDA,0.139664804,4.23935799,8.040503888,3,10,2017
2-Oct-17,179,180.8,181.98,177,12.59M,0.13,NVDA,1.135537283,5.730994152,6.065939223,2,10,2017
29-Sep-17,178.77,179.08,179.73,177.25,15.48M,1.76,NVDA,1.935336976,0.044692737,5.689329556,29,9,2017
