Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,236.21,236.59,241.63,235.64,1.37M,-0.05,ORLY,0.114251862,8.204893666,13.98631721,30,11,2017
29-Nov-17,236.32,227.49,241.49,226.25,2.04M,3.44,ORLY,-0.428940342,5.470814595,7.84072055,29,11,2017
28-Nov-17,228.47,217.08,228.88,215.86,1.22M,5.61,ORLY,0.342054174,-1.497413558,1.538893307,28,11,2017
27-Nov-17,216.34,217.13,218.81,214.87,789.44K,0.04,ORLY,0.402293536,-1.523878634,0.041467011,27,11,2017
24-Nov-17,216.26,217.19,219,215.43,388.60K,-1.09,ORLY,-0.667733821,-1.124465082,1.490654206,24,11,2017
22-Nov-17,218.65,216.15,220.89,215.1,580.49K,1.37,ORLY,0.213269044,0.176113454,6.624901342,22,11,2017
21-Nov-17,215.69,220.4,220.47,215.09,822.07K,-2.13,ORLY,0.009075234,2.089026819,8.395219594,21,11,2017
20-Nov-17,220.38,219.91,222.35,218.56,710.06K,-0.05,ORLY,-0.263050478,2.680113928,6.934111354,20,11,2017
17-Nov-17,220.49,219.83,221.31,216.1,756.45K,0.38,ORLY,0.077392334,2.518304342,6.765420107,17,11,2017
16-Nov-17,219.66,215.89,219.94,215.02,675.28K,1.8,ORLY,0.055614775,2.273911602,3.14859054,16,11,2017
15-Nov-17,215.77,215.21,216.67,213.72,588.46K,-0.06,ORLY,-0.314975219,2.652039113,1.042302456,15,11,2017
14-Nov-17,215.89,220,223.38,215.1,1.12M,0.8,ORLY,2.72213662,5.713324684,3.768690156,14,11,2017
13-Nov-17,214.17,214.16,216.99,212.28,734.62K,-0.12,ORLY,-0.125915217,2.537584985,2.459094823,13,11,2017
10-Nov-17,214.43,210.57,215.48,210.04,851.07K,1.58,ORLY,-0.246340424,-0.908235294,0.405302308,10,11,2017
9-Nov-17,211.09,209.11,211.95,207.31,618.61K,0.69,ORLY,-0.257572144,-2.521909379,1.014443747,9,11,2017
8-Nov-17,209.65,208.36,212,207.84,740.50K,0.74,ORLY,0.120128778,0.385430719,-0.028788024,8,11,2017
7-Nov-17,208.11,208.62,209.97,206.54,618.51K,-0.36,ORLY,-0.114909509,-1.104527139,-0.595606804,7,11,2017
6-Nov-17,208.86,211.57,212.22,208.45,705.57K,-1.71,ORLY,-0.437647059,-1.03840217,1.804446155,6,11,2017
3-Nov-17,212.5,211.69,213.64,210.52,1.20M,-0.94,ORLY,-1.319224315,-2.464983413,-0.587019818,3,11,2017
2-Nov-17,214.52,207.5,214.79,207.5,1.08M,3.35,ORLY,-0.028907304,-3.037383178,-1.74258926,2,11,2017
1-Nov-17,207.56,211.24,212.72,205.65,972.14K,-1.61,ORLY,0.137473335,4.202841358,-0.433634992,1,11,2017
31-Oct-17,210.95,213.91,215.02,210.53,864.48K,-1.33,ORLY,0.056129847,5.20336399,-0.018695957,31,10,2017
30-Oct-17,213.79,216.88,216.88,212.92,831.78K,-1.5,ORLY,-0.07371913,5.460734257,0.687093779,30,10,2017
27-Oct-17,217.04,212.29,217.91,209.37,1.51M,1.42,ORLY,-0.799065421,3.103448276,-1.430097042,27,10,2017
26-Oct-17,214,192,215.82,190,4.26M,5.56,ORLY,-5.288082084,-8.265647396,-10.81382386,26,10,2017
25-Oct-17,202.72,201.58,204.72,201.08,1.65M,-0.3,ORLY,-0.860669847,-5.357059017,-6.027691017,25,10,2017
24-Oct-17,203.33,204.48,207.38,201.1,1.25M,-1.13,ORLY,-0.56892779,-3.551719259,-3.977459498,24,10,2017
23-Oct-17,205.65,205.8,208.92,205.06,979.17K,-0.12,ORLY,-0.048567266,-1.540522438,-4.345805252,23,10,2017
20-Oct-17,205.9,209.65,210.42,205.47,1.29M,-1.62,ORLY,0.16722408,-0.033377837,0.02862732,20,10,2017
19-Oct-17,209.3,209.8,209.99,205.9,1.73M,-1.73,ORLY,-1.497722898,1.347760978,3.727875012,19,10,2017
18-Oct-17,212.99,212.35,214,210.95,1.04M,0.46,ORLY,0.160369794,1.885615584,4.472104693,18,10,2017
17-Oct-17,212.01,208.6,213.23,208.21,776.27K,1.43,ORLY,-0.200937709,-0.605136513,2.804198906,17,10,2017
16-Oct-17,209.02,209.55,211.09,208.4,656.49K,-0.33,ORLY,-0.081060462,0.83245116,-0.252284844,16,10,2017
13-Oct-17,209.72,207.76,210.25,206.89,915.48K,1.31,ORLY,0.362301338,-2.432610125,-1.000667111,13,10,2017
12-Oct-17,207.01,208.99,208.99,205.47,707.09K,-0.68,ORLY,0.27348623,-1.037030022,0.897986772,12,10,2017
11-Oct-17,208.42,209.32,210.58,207.34,500.34K,-0.69,ORLY,-0.262066994,-1.338612368,0.629777415,11,10,2017
10-Oct-17,209.87,207.82,212.25,207.82,731.35K,0.99,ORLY,0,-2.86515541,4.290660912,10,10,2017
9-Oct-17,207.82,212.41,213.01,207.71,637.68K,-2.4,ORLY,-0.248896403,-1.388115135,8.146224734,9,10,2017
6-Oct-17,212.94,211.32,214.27,208.64,730.34K,0.83,ORLY,0.066294157,-1.880484747,6.137619287,6,10,2017
5-Oct-17,211.18,212.79,212.95,209.93,813.79K,-0.46,ORLY,0.296945701,-1.156633222,6.193232858,5,10,2017
4-Oct-17,212.16,213.94,215.65,209.89,681.08K,-0.84,ORLY,-0.004673989,-0.265721878,5.764287127,4,10,2017
3-Oct-17,213.95,215.23,216.26,213.34,592.57K,-0.67,ORLY,-0.078922934,1.070673867,7.410919253,3,10,2017
2-Oct-17,215.4,215.98,215.98,214.14,587.64K,0.01,ORLY,0.283233505,0.385777365,9.640083253,2,10,2017
29-Sep-17,215.37,215.09,216.58,214.22,730.68K,0.04,ORLY,-0.088257153,2.624171001,9.667057564,29,9,2017
28-Sep-17,215.28,213.6,215.63,212.49,575.25K,0.36,ORLY,-0.424222647,5.606644912,7.829774345,28,9,2017
27-Sep-17,214.51,213.02,214.99,211.92,804.60K,0.73,ORLY,0.032871566,4.801731772,8.121002944,27,9,2017
26-Sep-17,212.95,216.58,216.58,212.46,851.86K,-1.02,ORLY,0.664652568,6.736976985,9.350701808,26,9,2017
25-Sep-17,215.15,209.71,219.98,209.46,1.81M,2.65,ORLY,0.05725464,-0.176123382,3.67312636,25,9,2017
22-Sep-17,209.59,202.67,209.82,202.58,1.03M,3.62,ORLY,0.202709384,-3.426093586,3.171451843,22,9,2017
21-Sep-17,202.26,204.17,205.67,200.27,1.17M,-0.49,ORLY,0.44770245,-1.429054217,4.563146574,21,9,2017
20-Sep-17,203.26,202.25,206.84,201.65,1.13M,0.17,ORLY,-0.32526736,-2.76909764,2.151623819,20,9,2017
19-Sep-17,202.91,213.13,216.61,201.05,2.61M,-3.41,ORLY,1.451827875,6.955387163,7.750252781,19,9,2017
18-Sep-17,210.08,210.21,211.35,208.34,1.37M,0.1,ORLY,0.166777852,7.026118833,6.209579628,18,9,2017
15-Sep-17,209.86,207.34,212.09,206.1,1.97M,1.32,ORLY,0.101385603,4.138623807,3.344464935,15,9,2017
14-Sep-17,207.13,207.11,209.24,206.43,1.17M,-0.42,ORLY,-0.432671506,3.358618625,2.743327711,14,9,2017
13-Sep-17,208.01,199.31,209.79,199.25,1.49M,4.39,ORLY,0.020073267,-1.468261815,1.68877551,13,9,2017
12-Sep-17,199.27,196.06,201,194.06,1.62M,1.46,ORLY,-0.178198666,-2.155903783,-1.199354969,12,9,2017
11-Sep-17,196.41,199.16,200.74,196.2,939.99K,-1.35,ORLY,0.03013561,1.10157876,0.125684983,11,9,2017
8-Sep-17,199.1,200.42,201.42,198.26,683.96K,-0.64,ORLY,0.019962072,2.187324734,1.622553494,8,9,2017
7-Sep-17,200.38,202.63,203.42,198.5,887.67K,-0.94,ORLY,0.173027487,2.291887526,-0.265787272,7,9,2017
