Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,67.31,66.65,67.88,66.43,3.75M,1.1,PAYX,0.105136678,3.04576376,3.913314624,30,11,2017
29-Nov-17,66.58,65.78,66.93,65.39,3.21M,1.19,PAYX,-0.030395137,1.013513514,3.119611224,29,11,2017
28-Nov-17,65.8,64.85,65.8,64.8,1.57M,1.73,PAYX,0.262832406,-0.506290273,0.589421436,28,11,2017
27-Nov-17,64.68,64.64,64.86,64.28,1.24M,-0.02,PAYX,-0.077291699,-0.431300062,-1.162079511,27,11,2017
24-Nov-17,64.69,64.6,64.89,64.42,538.86K,0.02,PAYX,-0.123685838,-1.584399756,0.015482273,24,11,2017
22-Nov-17,64.68,65.21,65.31,64.63,927.43K,-0.68,PAYX,0.138206388,0.975534221,1.763420724,22,11,2017
21-Nov-17,65.12,65.28,65.39,65,1.53M,-0.09,PAYX,0.153421295,-0.137677834,2.191609267,21,11,2017
20-Nov-17,65.18,64.98,65.28,64.75,1.33M,0.4,PAYX,0.092421442,-0.184331797,0.994715574,20,11,2017
17-Nov-17,64.92,65.43,65.49,64.65,1.74M,-1.1,PAYX,-0.319926874,1.331887874,2.170518426,17,11,2017
16-Nov-17,65.64,64.87,66.31,64.78,1.76M,1.64,PAYX,0.449055435,0.169857937,2.141395056,16,11,2017
15-Nov-17,64.58,65.34,65.81,64.46,1.84M,-1.21,PAYX,-0.045892611,1.223857475,3.664921466,15,11,2017
14-Nov-17,65.37,64.71,65.54,64.42,1.58M,0.41,PAYX,-0.599078341,0.684611794,2.877583466,14,11,2017
13-Nov-17,65.1,64.54,65.25,64.34,1.78M,0.82,PAYX,-0.046461205,0.84375,1.717888101,13,11,2017
10-Nov-17,64.57,64.61,64.67,64.35,1.33M,-0.29,PAYX,-0.23162446,0.968901391,1.349019608,10,11,2017
9-Nov-17,64.76,64.12,64.9,64.12,1.77M,0.33,PAYX,-0.666150271,-0.650759219,-0.465693884,9,11,2017
8-Nov-17,64.55,64.15,64.6,64.09,1.10M,0.44,PAYX,-0.186712307,0.015590895,1.055450536,8,11,2017
7-Nov-17,64.27,64.13,64.38,63.82,1.70M,0.42,PAYX,0.203125,0.532998903,0.659237168,7,11,2017
6-Nov-17,64,63.7,64.07,63.48,1.40M,0.02,PAYX,-0.453195812,-1.194353963,0.078554595,6,11,2017
3-Nov-17,63.99,64.42,64.43,63.93,1.57M,-0.85,PAYX,-0.185931205,-1.498470948,1.257466206,3,11,2017
2-Nov-17,64.54,64.32,64.67,63.54,2.00M,0.62,PAYX,0.280636109,-0.418021366,1.691699605,2,11,2017
1-Nov-17,64.14,63.87,64.28,63.56,1.64M,0.55,PAYX,0.125411507,-0.327715356,2.012458074,1,11,2017
31-Oct-17,63.79,64.01,64.11,63.51,1.46M,-1.05,PAYX,-0.71351016,0.203506575,3.258590095,31,10,2017
30-Oct-17,64.47,65.4,65.54,64.36,2.54M,-1.42,PAYX,0,1.647497669,9.346263167,30,10,2017
27-Oct-17,65.4,64.55,65.62,64.23,3.00M,1.25,PAYX,-0.061929091,0.796377264,7.655103402,27,10,2017
26-Oct-17,64.59,64.42,64.84,64.23,1.37M,0.8,PAYX,0.530586767,1.432845221,6.90341852,26,10,2017
25-Oct-17,64.08,63.73,64.11,63.32,2.33M,0.31,PAYX,-0.234815279,1.110582262,5.6006628,25,10,2017
24-Oct-17,63.88,64.6,64.66,63.78,1.82M,-0.71,PAYX,0.404103202,2.702702703,7.774441108,24,10,2017
23-Oct-17,64.34,64.09,64.58,64.06,1.68M,0.47,PAYX,0.078076202,1.008668243,6.763285024,23,10,2017
20-Oct-17,64.04,63.54,64.11,63.48,1.40M,0.83,PAYX,0.047236656,-0.329411765,6.343096234,20,10,2017
19-Oct-17,63.51,62.85,63.6,62.79,1.49M,0.76,PAYX,-0.285578296,-2.437131326,8.00824884,19,10,2017
18-Oct-17,63.03,62.95,63.37,62.94,1.03M,0.21,PAYX,0.079491256,-0.834908633,7.588446419,18,10,2017
17-Oct-17,62.9,63.54,63.63,62.86,1.59M,-0.87,PAYX,0.141843972,-0.266834092,9.41966592,17,10,2017
16-Oct-17,63.45,63.71,63.89,63.22,1.14M,-0.47,PAYX,-0.062745098,0.094265515,9.693526171,16,10,2017
13-Oct-17,63.75,64.39,64.75,63.74,2.08M,-1.04,PAYX,-0.046569388,1.210311223,11.30509939,13,10,2017
12-Oct-17,64.42,63.45,64.44,63.35,2.06M,1.48,PAYX,-0.047258979,0.316205534,10.3286385,12,10,2017
11-Oct-17,63.48,63.72,63.74,63.26,2.91M,-0.36,PAYX,0.015696123,1.772879732,9.786354238,11,10,2017
10-Oct-17,63.71,63.84,64.08,63.34,2.56M,0.09,PAYX,0.298507463,2.984352315,9.766162311,10,10,2017
9-Oct-17,63.65,63.64,64,63.52,2.95M,0.05,PAYX,0.031436655,6.403611436,11.00645386,9,10,2017
6-Oct-17,63.62,63.15,63.68,62.9,3.31M,0.58,PAYX,-0.158102767,5.320213476,10.98418278,6,10,2017
5-Oct-17,63.25,63.04,63.31,62.4,2.40M,1.02,PAYX,0.686791247,4.613342184,10.57709174,5,10,2017
4-Oct-17,62.61,62.08,63.06,61.95,3.11M,1,PAYX,0.145184707,2.866611433,8.531468531,4,10,2017
3-Oct-17,61.99,62,62.92,61.02,7.62M,3.64,PAYX,3.661595051,3.436770103,9.328160818,3,10,2017
2-Oct-17,59.81,59.95,60.16,59.34,4.56M,-0.25,PAYX,-0.016677785,-0.1332667,5.046434204,2,10,2017
29-Sep-17,59.96,60.17,60.65,59.86,2.27M,-0.5,PAYX,-0.149352805,0.70292887,5.505874101,29,9,2017
28-Sep-17,60.26,59.82,60.41,59.82,1.44M,-0.15,PAYX,-0.878210439,2.801168586,5.651713176,28,9,2017
27-Sep-17,60.35,60.17,60.5,59.99,1.59M,0.68,PAYX,0.38371705,2.83712186,6.326206043,27,9,2017
26-Sep-17,59.94,60.26,60.29,59.77,1.88M,-0.15,PAYX,0.383141762,3.771310487,6.673747566,26,9,2017
25-Sep-17,60.03,59.52,60.05,59.5,2.37M,0.47,PAYX,-0.384937238,2.479338843,5.869797225,25,9,2017
22-Sep-17,59.75,58.22,59.84,58.22,2.71M,2.68,PAYX,0.05155525,0.639585134,4.825351098,22,9,2017
21-Sep-17,58.19,58.58,58.7,58.09,1.56M,-0.55,PAYX,0.119637669,1.860545992,5.038551192,21,9,2017
20-Sep-17,58.51,58,58.65,58,1.66M,0.76,PAYX,-0.120544171,-0.068917988,3.368383532,20,9,2017
19-Sep-17,58.07,58.13,58.29,57.91,1.19M,-0.02,PAYX,0.086088154,-0.051581843,4.23166577,19,9,2017
18-Sep-17,58.08,57.86,58.13,57.66,806.25K,0.4,PAYX,0.017286085,0.924472353,5.219130751,18,9,2017
15-Sep-17,57.85,57.53,57.95,57.36,2.08M,0.59,PAYX,0.034776561,1.107205624,4.6380502,15,9,2017
14-Sep-17,57.51,57.72,57.85,57.23,1.81M,-0.91,PAYX,-0.551343901,1.245395545,2.631578947,14,9,2017
13-Sep-17,58.04,58.08,58.36,57.83,1.40M,-0.21,PAYX,-0.137551582,1.538461538,4.479222882,13,9,2017
12-Sep-17,58.16,57.55,58.79,57.53,2.24M,1.45,PAYX,0.383743241,1.481220243,4.788783685,12,9,2017
11-Sep-17,57.33,57.14,57.5,57.09,1.38M,0.76,PAYX,0.421792619,0.122656387,5.34660767,11,9,2017
8-Sep-17,56.9,56.93,57.23,56.82,1.32M,-0.19,PAYX,-0.140326259,-0.175346309,3.924790069,8,9,2017
7-Sep-17,57.01,57.09,57.27,56.9,1.14M,-0.33,PAYX,-0.192307692,0.830095373,3.970132945,7,9,2017
6-Sep-17,57.2,56.97,57.27,56.59,1.60M,0.86,PAYX,0.458472932,0.671496731,3.506540698,6,9,2017
