"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","70.33","69.04","70.50","68.83","2.36M","1.91"
"Nov 29, 2017","69.01","67.43","69.63","67.25","2.26M","0.70"
"Nov 28, 2017","68.53","67.50","68.57","66.92","2.97M","2.44"
"Nov 27, 2017","66.90","67.03","67.43","66.84","2.50M","-0.06"
"Nov 24, 2017","66.94","67.60","68.36","66.69","948.39K","-1.37"
"Nov 22, 2017","67.87","67.82","68.34","67.70","1.05M","0.27"
"Nov 21, 2017","67.69","68.07","68.35","67.61","1.23M","-0.01"
"Nov 20, 2017","67.70","66.75","67.99","66.69","2.19M","1.51"
"Nov 17, 2017","66.69","69.00","69.00","66.33","5.38M","-4.32"
"Nov 16, 2017","69.70","68.35","69.87","68.20","1.64M","2.21"
"Nov 15, 2017","68.19","68.55","69.06","67.67","1.90M","-0.70"
"Nov 14, 2017","68.67","68.95","69.24","68.44","1.41M","-0.94"
"Nov 13, 2017","69.32","69.10","69.39","68.91","981.52K","-0.39"
"Nov 10, 2017","69.59","69.09","69.80","68.75","1.01M","0.24"
"Nov 09, 2017","69.42","70.00","70.38","69.07","2.32M","-1.56"
"Nov 08, 2017","70.52","70.39","70.60","70.01","989.82K","0.06"
"Nov 07, 2017","70.48","70.56","70.87","70.04","1.69M","-0.18"
"Nov 06, 2017","70.61","71.44","71.44","70.55","1.50M","-1.00"
"Nov 03, 2017","71.32","71.84","72.12","70.77","2.31M","-0.89"
"Nov 02, 2017","71.96","70.87","72.24","70.43","2.19M","1.38"
"Nov 01, 2017","70.98","72.37","72.48","70.58","2.09M","-1.05"
"Oct 31, 2017","71.73","70.65","72.20","70.58","2.76M","1.82"
"Oct 30, 2017","70.45","71.37","71.40","70.11","2.08M","-1.98"
"Oct 27, 2017","71.87","71.17","71.97","71.01","2.36M","-0.29"
"Oct 26, 2017","72.08","70.79","72.37","70.48","3.56M","2.63"
"Oct 25, 2017","70.23","69.90","70.89","69.43","3.71M","-0.21"
"Oct 24, 2017","70.38","73.80","74.20","68.86","7.51M","-5.72"
"Oct 23, 2017","74.65","75.00","75.68","74.54","2.60M","-0.36"
"Oct 20, 2017","74.92","74.17","75.13","73.90","2.19M","1.56"
"Oct 19, 2017","73.77","72.49","73.80","72.25","2.68M","1.61"
"Oct 18, 2017","72.60","72.67","72.85","72.49","2.84M","-0.14"
"Oct 17, 2017","72.70","72.70","73.00","72.48","1.92M","-0.01"
"Oct 16, 2017","72.71","72.90","72.92","72.42","3.03M","0.03"
"Oct 13, 2017","72.69","73.02","73.17","72.57","2.62M","-0.33"
"Oct 12, 2017","72.93","72.56","73.25","72.34","2.73M","0.10"
"Oct 11, 2017","72.86","72.88","73.32","72.62","1.87M","-0.76"
"Oct 10, 2017","73.42","73.56","73.59","73.07","1.66M","0.16"
"Oct 09, 2017","73.30","73.50","73.73","72.86","2.04M","0.03"
"Oct 06, 2017","73.28","74.12","74.21","72.92","3.99M","-1.94"
"Oct 05, 2017","74.73","74.70","74.79","73.68","1.66M","0.50"
"Oct 04, 2017","74.36","74.25","74.66","73.53","2.11M","0.81"
"Oct 03, 2017","73.76","73.25","74.19","72.93","1.79M","1.15"
"Oct 02, 2017","72.92","72.24","72.98","72.17","969.28K","0.80"
"Sep 29, 2017","72.34","72.50","73.01","72.24","1.14M","-0.04"
"Sep 28, 2017","72.37","71.93","72.65","71.50","1.12M","-0.44"
"Sep 27, 2017","72.69","71.99","73.29","71.98","1.75M","1.14"
"Sep 26, 2017","71.87","72.27","72.41","71.80","997.76K","-0.25"
"Sep 25, 2017","72.05","71.37","72.22","71.24","1.80M","0.88"
"Sep 22, 2017","71.42","70.48","71.50","70.48","1.14M","1.00"
"Sep 21, 2017","70.71","71.00","71.37","70.68","1.22M","-0.18"
"Sep 20, 2017","70.84","70.51","71.28","70.40","1.73M","-0.08"
"Sep 19, 2017","70.90","70.67","71.01","70.31","1.35M","0.06"
"Sep 18, 2017","70.86","70.00","71.36","69.88","2.21M","1.34"
"Sep 15, 2017","69.92","69.24","69.98","68.72","2.15M","1.01"
"Sep 14, 2017","69.22","68.75","69.48","68.73","1.31M","0.14"
"Sep 13, 2017","69.12","68.58","69.19","68.41","1.19M","0.55"
"Sep 12, 2017","68.74","67.72","68.84","67.58","1.35M","1.54"
"Sep 11, 2017","67.70","67.84","68.10","67.47","1.43M","0.15"
"Sep 08, 2017","67.60","66.75","67.82","66.37","1.67M","1.15"
"Sep 07, 2017","66.83","65.52","66.91","65.31","2.34M","2.44"
"Sep 06, 2017","65.24","65.57","65.98","65.08","2.37M","-0.08"
"Sep 05, 2017","65.29","65.81","65.84","64.95","1.61M","-0.87"
"Sep 01, 2017","65.86","66.55","66.55","65.85","962.68K","-0.71"
"Aug 31, 2017","66.33","66.34","66.53","66.00","1.16M","0.38"
"Aug 30, 2017","66.08","65.11","66.11","64.76","1.40M","1.41"
"Aug 29, 2017","65.16","64.20","65.24","64.12","1.67M","1.18"
