Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,70.33,69.04,70.5,68.83,2.36M,1.91,PCAR,0.043471961,1.723883896,-2.733164272,30,11,2017
29-Nov-17,69.01,67.43,69.63,67.25,2.26M,0.7,PCAR,-1.605136437,-0.384104004,-5.994702356,29,11,2017
28-Nov-17,68.53,67.5,68.57,66.92,2.97M,2.44,PCAR,0.896860987,-0.295420975,-4.187366927,28,11,2017
27-Nov-17,66.9,67.03,67.43,66.84,2.50M,-0.06,PCAR,0.13444876,0.509821562,-6.734381522,27,11,2017
24-Nov-17,66.94,67.6,68.36,66.69,948.39K,-1.37,PCAR,-0.397819361,-3.012912482,-6.215316315,24,11,2017
22-Nov-17,67.87,67.82,68.34,67.7,1.05M,0.27,PCAR,0.192052002,-0.542601554,-3.431581945,22,11,2017
21-Nov-17,67.69,68.07,68.35,67.61,1.23M,-0.01,PCAR,0.546528804,-0.873743993,-3.282182438,21,11,2017
20-Nov-17,67.7,66.75,67.99,66.69,2.19M,1.51,PCAR,0.089968511,-3.707443739,-10.58271936,20,11,2017
17-Nov-17,66.69,69,69,66.33,5.38M,-4.32,PCAR,-1.004304161,-0.847822963,-7.901761879,17,11,2017
16-Nov-17,69.7,68.35,69.87,68.2,1.64M,2.21,PCAR,0.23463851,-1.541342553,-7.347160092,16,11,2017
15-Nov-17,68.19,68.55,69.06,67.67,1.90M,-0.7,PCAR,-0.174748799,-2.793533749,-5.578512397,15,11,2017
14-Nov-17,68.67,68.95,69.24,68.44,1.41M,-0.94,PCAR,-0.533756492,-2.170828604,-5.158184319,14,11,2017
13-Nov-17,69.32,69.1,69.39,68.91,981.52K,-0.39,PCAR,-0.704124156,-2.138507294,-4.964929171,13,11,2017
10-Nov-17,69.59,69.09,69.8,68.75,1.01M,0.24,PCAR,-0.475367329,-3.126752664,-4.952538176,10,11,2017
9-Nov-17,69.42,70,70.38,69.07,2.32M,-1.56,PCAR,-0.737379467,-2.723735409,-4.017551076,9,11,2017
8-Nov-17,70.52,70.39,70.6,70.01,989.82K,0.06,PCAR,-0.1276958,-0.831220062,-3.390063135,8,11,2017
7-Nov-17,70.48,70.56,70.87,70.04,1.69M,-0.18,PCAR,-0.0708115,-1.631116688,-3.89539635,7,11,2017
6-Nov-17,70.61,71.44,71.44,70.55,1.50M,-1,PCAR,0.168255749,1.405251952,-2.537517053,6,11,2017
3-Nov-17,71.32,71.84,72.12,70.77,2.31M,-0.89,PCAR,-0.166759311,-0.041742034,-1.965065502,3,11,2017
2-Nov-17,71.96,70.87,72.24,70.43,2.19M,1.38,PCAR,-0.154973232,-1.678690344,-5.165261608,2,11,2017
1-Nov-17,70.98,72.37,72.48,70.58,2.09M,-1.05,PCAR,0.892234769,3.047130856,-2.676169984,1,11,2017
31-Oct-17,71.73,70.65,72.2,70.58,2.76M,1.82,PCAR,0.283889283,0.383631714,-4.21637744,31,10,2017
30-Oct-17,70.45,71.37,71.4,70.11,2.08M,-1.98,PCAR,-0.69570057,-4.39383791,-2.125617115,30,10,2017
27-Oct-17,71.87,71.17,71.97,71.01,2.36M,-0.29,PCAR,-1.262486127,-5.005339028,-1.617362455,27,10,2017
26-Oct-17,72.08,70.79,72.37,70.48,3.56M,2.63,PCAR,0.797380037,-4.039582486,-2.183225093,26,10,2017
25-Oct-17,70.23,69.9,70.89,69.43,3.71M,-0.21,PCAR,-0.682011935,-3.719008264,-3.838217086,25,10,2017
24-Oct-17,70.38,73.8,74.2,68.86,7.51M,-5.72,PCAR,-1.138647019,1.5130674,2.685404202,24,10,2017
23-Oct-17,74.65,75,75.68,74.54,2.60M,-0.36,PCAR,0.106780566,3.149498006,4.094378904,23,10,2017
20-Oct-17,74.92,74.17,75.13,73.9,2.19M,1.56,PCAR,0.542225837,2.036043472,3.850462055,20,10,2017
19-Oct-17,73.77,72.49,73.8,72.25,2.68M,1.61,PCAR,-0.151515152,-0.60331825,2.517324282,19,10,2017
18-Oct-17,72.6,72.67,72.85,72.49,2.84M,-0.14,PCAR,-0.041265475,-0.260774087,2.583286279,18,10,2017
17-Oct-17,72.7,72.7,73,72.48,1.92M,-0.01,PCAR,-0.013753266,-0.980659221,2.538787024,17,10,2017
16-Oct-17,72.71,72.9,72.92,72.42,3.03M,0.03,PCAR,0.28889806,-0.545702592,2.878916173,16,10,2017
13-Oct-17,72.69,73.02,73.17,72.57,2.62M,-0.33,PCAR,0.123406006,-0.354803493,4.433638444,13,10,2017
12-Oct-17,72.93,72.56,73.25,72.34,2.73M,0.1,PCAR,-0.411748559,-2.903786966,4.82519503,12,10,2017
