Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,"1,739.71","1,740.95","1,750.22","1,729.51",443.70K,0.3,PCLN,0.374758569,-1.036840819,-8.996581393,30,11,2017
29-Nov-17,"1,734.45","1,753.13","1,753.13","1,717.97",540.41K,-1,PCLN,0.063355441,-0.766413648,-8.307182159,29,11,2017
28-Nov-17,"1,752.02","1,763.32","1,767.36","1,750.11",352.52K,-0.65,PCLN,-0.00453669,0.530210602,-6.192910684,28,11,2017
27-Nov-17,"1,763.40","1,760.15","1,777.08","1,746.39",443.25K,0.28,PCLN,0.098383776,0.740032738,-6.915681256,27,11,2017
24-Nov-17,"1,758.42","1,758.17","1,765.74","1,754.38",186.65K,-0.04,PCLN,-0.05798123,1.53148731,-9.339500539,24,11,2017
22-Nov-17,"1,759.19","1,771.59","1,774.85","1,756.03",369.36K,-0.42,PCLN,0.278490041,2.595003417,-8.151139822,22,11,2017
21-Nov-17,"1,766.67","1,766.51","1,771.41","1,758.00",539.93K,0.72,PCLN,0.71207854,2.733934283,-8.579457535,21,11,2017
20-Nov-17,"1,754.02","1,750.99","1,773.08","1,747.88",513.27K,0.39,PCLN,0.21577134,1.674650872,-9.48851154,20,11,2017
17-Nov-17,"1,747.22","1,731.00","1,749.60","1,727.34",504.36K,0.9,PCLN,-0.037536454,1.988510826,-10.87013609,17,11,2017
16-Nov-17,"1,731.65","1,735.54","1,741.92","1,727.45",522.37K,0.28,PCLN,0.507302609,1.902368566,-9.97582812,16,11,2017
15-Nov-17,"1,726.78","1,715.78","1,730.03","1,706.03",525.45K,0.42,PCLN,-0.21634196,3.29117277,-11.64290092,15,11,2017
14-Nov-17,"1,719.50","1,710.02","1,728.26","1,709.98",525.37K,-0.15,PCLN,-0.704352118,3.907104489,-11.60540286,14,11,2017
13-Nov-17,"1,722.15","1,688.40","1,722.35","1,683.28",507.33K,1.47,PCLN,-0.521431728,-11.27693116,-12.76898039,13,11,2017
10-Nov-17,"1,697.25","1,700.00","1,709.52","1,682.69",725.53K,-0.35,PCLN,-0.184365349,-10.26608744,-11.87417706,10,11,2017
9-Nov-17,"1,703.14","1,656.93","1,707.22","1,640.17",1.24M,2.53,PCLN,-0.251638964,-13.30148498,-13.65434222,9,11,2017
