Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,75.73,73.77,75.87,73.54,15.96M,3.39,PYPL,0.709897611,-4.898801083,1.920420006,30,11,2017
29-Nov-17,73.25,77.95,77.98,71.67,25.20M,-5.84,PYPL,0.205681964,0.231451717,7.428335171,29,11,2017
28-Nov-17,77.79,77.95,78.23,77.24,8.74M,-0.06,PYPL,0.141315519,2.552295751,9.557273366,28,11,2017
27-Nov-17,77.84,78.63,79.39,77.71,6.78M,-0.93,PYPL,0.076365025,2.945797329,10.65296932,27,11,2017
24-Nov-17,78.57,77.81,78.9,77.7,4.31M,1.29,PYPL,0.309397963,0.141570142,9.069245865,24,11,2017
22-Nov-17,77.57,77.9,77.99,76.62,8.07M,-0.26,PYPL,0.167159573,6.087430206,9.687411997,22,11,2017
21-Nov-17,77.77,77.09,78.43,76.85,10.60M,2.32,PYPL,1.420865676,3.490401396,9.799173907,21,11,2017
20-Nov-17,76.01,76.6,77.32,75.88,6.84M,-0.48,PYPL,0.288033517,3.471565582,9.742120344,20,11,2017
17-Nov-17,76.38,78.01,78.01,75.8,11.89M,-1.7,PYPL,0.398970399,5.433166644,9.919684374,17,11,2017
16-Nov-17,77.7,75.5,77.94,75.28,12.86M,5.82,PYPL,2.819011303,1.889338731,12.26765799,16,11,2017
15-Nov-17,73.43,74.3,74.4,73.19,6.23M,-1.42,PYPL,-0.255067794,-0.628594356,10.46684508,15,11,2017
14-Nov-17,74.49,74.1,74.82,73.62,6.28M,0.62,PYPL,0.094556261,-0.416610671,11.14444278,14,11,2017
13-Nov-17,74.03,73.61,74.29,73.34,6.19M,0.05,PYPL,-0.513582917,-1.511907948,9.359679097,13,11,2017
10-Nov-17,73.99,73.77,74.14,73.56,5.71M,-0.15,PYPL,-0.44534413,0.517781714,7.442470143,10,11,2017
9-Nov-17,74.1,74.02,74.2,72.41,8.88M,-0.9,PYPL,-1.0030761,2.44982699,7.493465001,9,11,2017
8-Nov-17,74.77,74,75,73.31,7.59M,0.48,PYPL,-0.55100121,2.238187345,9.176748303,8,11,2017
7-Nov-17,74.41,75.17,75.45,74.19,7.03M,-0.44,PYPL,0.575327803,3.597023153,13.82495457,7,11,2017
6-Nov-17,74.74,73.72,74.76,73.42,10.16M,1.84,PYPL,0.449652541,3.61208714,11.30907444,6,11,2017
3-Nov-17,73.39,72.37,73.41,71.94,6.73M,1.58,PYPL,0.166089965,1.843512525,9.568508706,3,11,2017
2-Nov-17,72.25,72.46,72.78,72.01,4.54M,-0.18,PYPL,0.11052777,1.569946734,10.08811911,2,11,2017
1-Nov-17,72.38,72.78,72.99,71.69,6.66M,-0.25,PYPL,0.303197354,2.478175162,13.70098422,1,11,2017
31-Oct-17,72.56,71.34,72.74,71.11,7.56M,1.98,PYPL,0.267041462,1.609457342,11.08688882,31,10,2017
30-Oct-17,71.15,71.45,71.54,70.53,7.22M,0.13,PYPL,0.548831973,2.363896848,11.32751636,30,10,2017
27-Oct-17,71.06,71.72,71.79,70.58,9.26M,-0.39,PYPL,0.532660499,1.056784557,12.00999531,27,10,2017
26-Oct-17,71.34,71.46,72.07,71.04,8.02M,0.45,PYPL,0.61954379,6.260223048,11.77850774,26,10,2017
25-Oct-17,71.02,69.94,71.42,69.85,12.76M,1.15,PYPL,-0.384560604,3.984537615,10.43739144,25,10,2017
24-Oct-17,70.21,69.73,70.56,69.67,12.28M,0.59,PYPL,-0.100286533,4.589770511,10.78805211,24,10,2017
23-Oct-17,69.8,71.02,71.33,69.55,12.23M,-1.65,PYPL,0.070452304,5.511811024,11.84251969,23,10,2017
20-Oct-17,70.97,71.33,71.73,69.69,34.28M,5.53,PYPL,6.066914498,3.888727061,9.603564843,20,10,2017
19-Oct-17,67.25,67.3,67.45,66.16,14.55M,-0.01,PYPL,0.059470711,-2.265466163,4.131208417,19,10,2017
18-Oct-17,67.26,67.4,67.5,67,8.08M,0.88,PYPL,1.094945253,-0.560637356,4.108742663,18,10,2017
17-Oct-17,66.67,67.65,67.67,66.35,10.84M,-0.95,PYPL,0.505125539,2.437916414,5.984646718,17,10,2017
16-Oct-17,67.31,69.04,69.2,67.28,9.58M,-1.97,PYPL,0.553451791,4.242790276,9.726636999,16,10,2017
13-Oct-17,68.66,69.49,69.61,68,8.64M,-0.29,PYPL,0.914899797,5.208175625,11.184,13,10,2017
12-Oct-17,68.86,68.02,68.98,67.8,8.89M,1.59,PYPL,0.354086751,3.342449104,9.286632391,12,10,2017
11-Oct-17,67.78,67.25,68.42,66.98,12.01M,2.63,PYPL,1.832222895,5.061709108,8.397807866,11,10,2017
10-Oct-17,66.04,66.6,66.67,65.79,5.83M,-0.29,PYPL,0.558659218,3.706010589,6.457800512,10,10,2017
9-Oct-17,66.23,66.2,66.55,65.9,5.52M,0.27,PYPL,0.227100681,3.147397943,5.683269476,9,10,2017
6-Oct-17,66.05,66,66.41,65.79,6.12M,0.35,PYPL,0.273473108,3.076682805,7.966628497,6,10,2017
5-Oct-17,65.82,64.38,66,64.22,7.45M,2.83,PYPL,0.578034682,0.703894885,3.838709677,5,10,2017
4-Oct-17,64.01,64.3,64.3,63.69,4.44M,-0.33,PYPL,0.124571784,1.531659561,4.996734161,4,10,2017
3-Oct-17,64.22,64.51,64.51,63.76,5.63M,0.06,PYPL,0.514178872,2.494439148,5.288069202,3,10,2017
2-Oct-17,64.18,64.5,65.12,64.1,5.16M,0.23,PYPL,0.734030923,1.57480315,4.946306541,2,10,2017
29-Sep-17,64.03,63.86,64.17,63.5,6.89M,0.16,PYPL,-0.10949476,-1.874615857,3.534370947,29,9,2017
28-Sep-17,63.93,63.62,64.06,63.11,4.15M,0.95,PYPL,0.457918838,-1.562741761,2.994981383,28,9,2017
27-Sep-17,63.33,63.41,63.75,63.16,7.38M,0.62,PYPL,0.74674293,-2.054371331,3.933781347,27,9,2017
26-Sep-17,62.94,63.71,63.76,62.84,8.55M,-0.88,PYPL,0.330708661,-0.187999373,5.25359326,26,9,2017
25-Sep-17,63.5,65,65,62.37,13.16M,-2.43,PYPL,-0.12292563,3.305785124,8.387527097,25,9,2017
22-Sep-17,65.08,64.33,65.24,64.11,6.74M,0.7,PYPL,-0.464180721,2.928,7.216666667,22,9,2017
21-Sep-17,64.63,64.67,64.95,63.91,6.73M,-0.17,PYPL,-0.108124807,3.904241645,7.693588676,21,9,2017
20-Sep-17,64.74,63.99,64.87,63.83,11.90M,1.43,PYPL,0.250665831,3.143133462,5.177514793,20,9,2017
19-Sep-17,63.83,63.01,63.92,62.96,7.77M,1.45,PYPL,0.143038779,0.719309463,6.077441077,19,9,2017
18-Sep-17,62.92,62.62,63.53,62.52,7.69M,0.67,PYPL,0.192,-0.03192848,5.349932705,18,9,2017
15-Sep-17,62.5,62.27,62.8,61.96,9.94M,0.42,PYPL,0.048200514,1.864878129,5.026142688,15,9,2017
14-Sep-17,62.24,62.04,62.37,61.71,5.70M,0.32,PYPL,0,0.064516129,2.902637253,14,9,2017
13-Sep-17,62.04,62.47,62.75,61.58,6.38M,-0.83,PYPL,-0.143861893,2.008491182,4.657396549,13,9,2017
12-Sep-17,62.56,62.95,63.12,62.15,6.28M,-0.13,PYPL,0.494891443,2.741961808,6.586522181,12,9,2017
11-Sep-17,62.64,61.73,63.26,61.62,8.27M,2.47,PYPL,0.981514805,0.43931012,6.357684356,11,9,2017
8-Sep-17,61.13,61.94,62,61.1,4.94M,-1.4,PYPL,-0.096774194,0.42153048,6.756290934,8,9,2017
7-Sep-17,62,61.33,62.13,61.28,5.02M,1.24,PYPL,0.146962769,-0.712319896,2.781967488,7,9,2017
6-Sep-17,61.24,61.74,61.99,60.9,5.35M,-0.05,PYPL,0.767096458,1.19652516,3.799596503,6,9,2017
5-Sep-17,61.27,61.26,61.75,60.58,5.72M,-0.31,PYPL,-0.325414904,1.206013547,2.75075478,5,9,2017
1-Sep-17,61.46,61.98,62.23,61.38,3.44M,-0.36,PYPL,0.486381323,3.351675838,5.300713558,1,9,2017
31-Aug-17,61.68,62,62.03,61.17,6.15M,-0.15,PYPL,0.372349037,3.333333333,6.128038343,31,8,2017
30-Aug-17,61.77,61.05,61.86,60.89,5.70M,1.25,PYPL,0.065563022,1.665278934,3.264546685,30,8,2017
29-Aug-17,61.01,59.82,61.16,59.63,4.36M,0.79,PYPL,-1.17297208,-1.6765286,0.808897877,29,8,2017
28-Aug-17,60.53,60.31,60.53,59.81,4.66M,0.93,PYPL,0.566950142,1.531986532,3.005977797,28,8,2017
25-Aug-17,59.97,60.33,60.58,59.61,4.09M,-0.05,PYPL,0.55,1.49730821,1.908783784,25,8,2017
24-Aug-17,60,60.22,60.43,59.11,4.05M,-0.08,PYPL,0.283097419,1.568561309,0.116375727,24,8,2017
23-Aug-17,60.05,60.3,60.51,59.82,4.53M,-1.3,PYPL,-0.887573964,0.016586499,2.568464024,23,8,2017
22-Aug-17,60.84,59.72,61,59.44,5.84M,2.42,PYPL,0.538720539,0.050259675,2.506007552,22,8,2017
21-Aug-17,59.4,59.33,59.65,58.76,4.24M,-0.07,PYPL,-0.185060565,0.457162208,1.280300444,21,8,2017
18-Aug-17,59.44,59.36,59.82,58.94,4.65M,0.25,PYPL,0.118063754,2.274293591,1.176069542,18,8,2017
17-Aug-17,59.29,60.15,60.28,59.29,6.74M,-1.66,PYPL,-0.23221098,3.67114788,1.793873752,17,8,2017
16-Aug-17,60.29,59.95,60.7,59.6,5.75M,1.01,PYPL,0.43558385,0.469247528,2.742073693,16,8,2017
15-Aug-17,59.69,59.3,59.98,59.23,6.48M,1.07,PYPL,0.406366407,-0.30262273,0.576662144,15,8,2017
14-Aug-17,59.06,58.61,59.28,58.27,7.56M,1.76,PYPL,0.982081323,-1.694062395,1.788815561,14,8,2017
