"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","66.34","66.51","67.10","65.72","15.56M","-0.27"
"Nov 29, 2017","66.52","68.10","68.20","66.03","17.02M","-2.72"
"Nov 28, 2017","68.38","67.59","68.41","67.22","12.86M","0.35"
"Nov 27, 2017","68.14","68.60","68.92","68.04","20.40M","-1.12"
"Nov 24, 2017","68.91","68.51","69.28","68.45","9.23M","1.14"
"Nov 22, 2017","68.13","66.37","68.26","66.24","15.49M","2.19"
"Nov 21, 2017","66.67","65.35","66.93","65.27","11.22M","0.30"
"Nov 20, 2017","66.47","66.18","66.85","65.95","9.75M","-0.37"
"Nov 17, 2017","66.72","66.37","66.95","66.00","13.33M","0.92"
"Nov 16, 2017","66.11","65.77","66.54","65.43","12.34M","0.76"
"Nov 15, 2017","65.61","65.55","66.48","65.24","10.57M","-0.59"
"Nov 14, 2017","66.00","66.16","66.80","65.55","14.04M","-0.74"
"Nov 13, 2017","66.49","64.96","66.82","64.75","24.41M","2.97"
"Nov 10, 2017","64.57","64.36","65.10","63.92","9.63M","-0.05"
"Nov 09, 2017","64.60","64.91","65.33","63.93","15.95M","-1.36"
"Nov 08, 2017","65.49","64.21","65.79","64.21","26.52M","2.17"
"Nov 07, 2017","64.10","62.52","64.16","62.45","23.42M","2.53"
"Nov 06, 2017","62.52","64.54","65.33","62.15","58.90M","1.15"
"Nov 03, 2017","61.81","54.76","64.99","54.21","80.96M","12.71"
"Nov 02, 2017","54.84","53.60","55.68","53.60","17.34M","2.58"
"Nov 01, 2017","53.46","51.47","53.49","50.51","15.62M","4.80"
"Oct 31, 2017","51.01","52.26","52.49","50.02","29.91M","-6.68"
"Oct 30, 2017","54.66","54.16","54.77","54.08","7.08M","0.16"
"Oct 27, 2017","54.57","53.70","54.70","53.36","8.96M","1.43"
"Oct 26, 2017","53.80","54.10","54.39","53.66","5.27M","-0.07"
"Oct 25, 2017","53.84","53.98","54.43","53.48","7.58M","-0.76"
"Oct 24, 2017","54.25","53.44","54.44","53.40","11.42M","1.61"
"Oct 23, 2017","53.39","52.30","53.78","52.13","9.78M","2.63"
"Oct 20, 2017","52.02","52.51","52.59","51.94","8.84M","-0.52"
"Oct 19, 2017","52.29","52.03","52.40","52.01","6.83M","0.15"
"Oct 18, 2017","52.21","52.54","52.67","52.02","6.03M","-0.38"
"Oct 17, 2017","52.41","52.32","52.44","51.85","7.66M","0.06"
"Oct 16, 2017","52.38","52.98","53.00","52.31","5.93M","-0.83"
"Oct 13, 2017","52.82","53.38","53.38","52.74","7.01M","-0.34"
"Oct 12, 2017","53.00","53.88","54.17","52.96","7.06M","-2.07"
"Oct 11, 2017","54.12","53.79","54.38","53.66","9.43M","0.46"
"Oct 10, 2017","53.87","52.95","53.90","52.90","8.76M","1.87"
"Oct 09, 2017","52.88","52.68","52.98","52.38","5.82M","0.74"
"Oct 06, 2017","52.49","52.16","52.63","52.16","4.80M","0.27"
"Oct 05, 2017","52.35","52.17","52.43","51.96","5.18M","0.75"
"Oct 04, 2017","51.96","51.93","52.12","51.67","4.59M","-0.12"
"Oct 03, 2017","52.02","51.99","52.22","51.65","4.38M","0.27"
"Oct 02, 2017","51.88","52.09","52.16","51.70","4.44M","0.08"
"Sep 29, 2017","51.84","51.91","52.04","51.62","5.37M","0.17"
"Sep 28, 2017","51.75","51.38","52.04","51.31","5.73M","0.39"
"Sep 27, 2017","51.55","51.43","51.61","51.15","8.20M","0.82"
"Sep 26, 2017","51.13","51.75","51.87","50.85","9.38M","-0.95"
"Sep 25, 2017","51.62","51.90","52.28","51.61","8.18M","-0.90"
"Sep 22, 2017","52.09","51.82","52.23","51.78","4.11M","0.12"
"Sep 21, 2017","52.03","51.86","52.20","51.71","5.75M","0.10"
"Sep 20, 2017","51.98","52.43","52.52","51.48","8.40M","-0.61"
"Sep 19, 2017","52.30","52.40","52.50","52.06","5.83M","0.10"
"Sep 18, 2017","52.25","52.24","52.37","51.95","6.00M","0.11"
"Sep 15, 2017","52.19","51.95","52.29","51.44","13.18M","1.38"
"Sep 14, 2017","51.48","50.97","51.59","50.67","7.74M","0.92"
"Sep 13, 2017","51.01","50.80","51.11","50.72","6.19M","0.22"
"Sep 12, 2017","50.90","50.60","51.07","50.52","4.53M","0.65"
"Sep 11, 2017","50.57","49.94","50.67","49.91","7.47M","1.87"
"Sep 08, 2017","49.64","50.35","50.45","48.92","12.81M","-1.47"
"Sep 07, 2017","50.38","50.56","50.69","50.25","10.04M","-0.14"
"Sep 06, 2017","50.45","50.19","50.77","49.83","16.21M","0.84"
"Sep 05, 2017","50.03","51.86","51.90","49.83","17.93M","-3.88"
"Sep 01, 2017","52.05","52.53","52.77","51.92","5.30M","-0.42"
"Aug 31, 2017","52.27","52.26","52.59","52.12","8.22M","0.29"
"Aug 30, 2017","52.12","51.75","52.29","51.56","4.88M","0.60"
"Aug 29, 2017","51.81","51.31","51.86","51.28","4.98M","0.00"
"Aug 28, 2017","51.81","51.77","51.81","51.46","4.52M","-0.42"
"Aug 25, 2017","52.03","52.78","52.85","52.02","8.68M","-0.88"
"Aug 24, 2017","52.49","52.37","52.71","52.26","6.20M","0.50"
"Aug 23, 2017","52.23","52.30","52.41","51.78","5.26M","-0.23"
"Aug 22, 2017","52.35","52.21","52.62","52.21","4.44M","0.71"
"Aug 21, 2017","51.98","52.00","52.08","51.50","5.21M","0.12"
"Aug 18, 2017","51.92","52.26","52.41","51.90","6.70M","-0.67"
"Aug 17, 2017","52.27","53.19","53.41","52.27","6.59M","-1.95"
"Aug 16, 2017","53.31","54.06","54.10","53.26","7.41M","-1.04"
"Aug 15, 2017","53.87","53.66","54.08","53.35","7.88M","0.60"
"Aug 14, 2017","53.55","53.04","53.64","52.91","8.12M","1.57"
"Aug 11, 2017","52.72","52.39","53.13","52.29","5.89M","0.73"
"Aug 10, 2017","52.34","52.54","52.75","52.11","10.77M","-0.81"
"Aug 09, 2017","52.77","52.05","52.80","52.00","8.09M","0.92"
"Aug 08, 2017","52.29","52.55","53.33","52.21","10.46M","-0.78"
"Aug 07, 2017","52.70","52.50","52.84","52.49","6.56M","0.15"
"Aug 04, 2017","52.62","53.00","53.00","52.51","8.68M","-0.62"
"Aug 03, 2017","52.95","53.16","53.34","52.75","8.64M","-0.41"
"Aug 02, 2017","53.17","53.30","53.39","52.78","23.08M","-0.45"
"Aug 01, 2017","53.41","53.30","53.43","52.91","9.37M","0.41"
"Jul 31, 2017","53.19","53.10","53.30","52.75","11.30M","0.59"
"Jul 28, 2017","52.88","52.27","52.99","52.27","6.64M","0.74"
"Jul 27, 2017","52.49","53.08","53.37","52.23","14.07M","-1.22"
"Jul 26, 2017","53.14","53.29","53.35","52.74","7.58M","-0.24"
"Jul 25, 2017","53.27","53.20","53.65","53.07","7.11M","0.09"
"Jul 24, 2017","53.22","53.75","53.88","53.09","8.83M","-1.15"
"Jul 21, 2017","53.84","53.66","54.00","53.37","12.11M","-0.24"
"Jul 20, 2017","53.97","55.11","55.43","53.46","35.94M","-4.95"
"Jul 19, 2017","56.78","56.46","56.94","56.01","8.78M","0.87"
"Jul 18, 2017","56.29","56.34","56.38","56.00","7.44M","-0.30"
"Jul 17, 2017","56.46","56.73","56.92","56.39","5.12M","-0.62"
"Jul 14, 2017","56.81","56.50","56.93","56.15","4.44M","1.03"
"Jul 13, 2017","56.23","56.38","56.52","56.17","6.22M","0.05"
"Jul 12, 2017","56.20","55.79","56.31","55.72","6.13M","1.57"
"Jul 11, 2017","55.33","55.63","55.63","55.02","6.12M","-0.56"
"Jul 10, 2017","55.64","55.37","55.88","55.19","5.10M","0.52"
"Jul 07, 2017","55.35","55.04","55.73","54.87","5.36M","1.02"
"Jul 06, 2017","54.79","55.02","55.23","54.73","5.66M","-1.19"
"Jul 05, 2017","55.45","55.01","55.56","54.78","6.82M","0.91"
"Jul 03, 2017","54.95","55.53","56.02","54.92","4.38M","-0.49"
"Jun 30, 2017","55.22","55.60","55.63","55.03","8.78M","0.25"
"Jun 29, 2017","55.08","55.93","55.93","54.55","8.46M","-1.92"
"Jun 28, 2017","56.16","55.40","56.32","55.18","7.54M","1.32"
"Jun 27, 2017","55.43","56.29","56.33","55.41","6.81M","-2.00"
"Jun 26, 2017","56.56","57.09","57.69","56.21","7.34M","-0.62"
"Jun 23, 2017","56.91","56.64","57.44","56.57","11.85M","0.78"
"Jun 22, 2017","56.47","56.24","56.74","56.06","5.56M","0.25"
"Jun 21, 2017","56.33","56.79","56.84","56.12","8.32M","-0.81"
"Jun 20, 2017","56.79","57.46","57.61","56.51","8.18M","-1.42"
"Jun 19, 2017","57.61","56.96","57.66","56.91","7.17M","1.39"
"Jun 16, 2017","56.82","56.98","57.01","56.35","14.56M","-0.19"
"Jun 15, 2017","56.93","56.42","57.17","56.40","5.42M","-0.14"
"Jun 14, 2017","57.01","57.70","57.97","56.67","6.74M","-0.92"
"Jun 13, 2017","57.54","57.95","58.06","57.50","7.11M","0.09"
"Jun 12, 2017","57.49","56.52","57.67","56.48","9.99M","0.77"
"Jun 09, 2017","57.05","58.37","58.49","56.74","13.62M","-1.84"
"Jun 08, 2017","58.12","57.77","58.15","57.61","10.32M","1.03"
"Jun 07, 2017","57.53","58.30","58.49","57.13","10.13M","-1.15"
"Jun 06, 2017","58.20","58.60","58.91","58.18","7.87M","-1.12"
"Jun 05, 2017","58.86","58.50","59.05","58.48","7.96M","0.48"
"Jun 02, 2017","58.58","58.89","58.96","58.35","9.54M","-0.07"
"Jun 01, 2017","58.62","57.45","58.65","57.35","11.56M","2.36"
"May 31, 2017","57.27","57.26","57.73","57.00","14.08M","-0.12"
"May 30, 2017","57.34","57.28","57.74","57.17","11.55M","-0.31"
"May 26, 2017","57.52","57.66","57.98","57.37","8.26M","-1.59"
"May 25, 2017","58.45","58.65","58.95","58.26","9.56M","-0.32"
"May 24, 2017","58.64","59.28","59.62","58.57","8.63M","-0.98"
"May 23, 2017","59.22","59.38","59.89","59.13","14.22M","-0.10"
"May 22, 2017","59.28","58.39","59.54","58.38","20.77M","2.79"
"May 19, 2017","57.67","56.49","57.79","56.20","16.64M","2.76"
"May 18, 2017","56.12","55.58","56.31","55.02","13.13M","1.37"
"May 17, 2017","55.36","55.64","56.08","55.30","14.81M","-1.05"
"May 16, 2017","55.95","55.39","55.98","55.10","9.60M","0.99"
"May 15, 2017","55.40","55.08","55.49","55.08","10.69M","0.14"
"May 12, 2017","55.32","54.50","55.35","54.40","9.11M","1.17"
"May 11, 2017","54.68","55.25","55.30","54.41","13.51M","-1.17"
"May 10, 2017","55.33","55.22","55.43","54.86","8.52M","0.33"
"May 09, 2017","55.15","54.69","55.19","54.63","8.33M","0.97"
"May 08, 2017","54.62","54.99","55.00","54.56","7.03M","-0.56"
"May 05, 2017","54.93","54.93","55.00","54.70","9.11M","0.04"
"May 04, 2017","54.91","54.73","55.00","54.50","11.99M","0.77"
"May 03, 2017","54.49","53.41","54.77","53.25","18.43M","2.25"
"May 02, 2017","53.29","53.65","53.73","52.90","10.45M","-0.58"
"May 01, 2017","53.60","53.65","53.70","53.09","12.99M","-0.26"
"Apr 28, 2017","53.74","51.80","53.95","51.05","34.37M","1.00"
"Apr 27, 2017","53.21","53.24","53.34","52.91","6.96M","0.32"
"Apr 26, 2017","53.04","53.20","53.30","52.91","7.37M","0.08"
"Apr 25, 2017","53.00","53.17","53.49","52.96","11.69M","0.36"
"Apr 24, 2017","52.81","53.01","53.25","52.75","10.78M","0.59"
"Apr 21, 2017","52.50","52.77","52.80","52.21","10.95M","-0.30"
"Apr 20, 2017","52.66","53.22","53.40","51.40","24.66M","0.10"
"Apr 19, 2017","52.61","53.00","53.10","52.30","15.44M","-0.11"
"Apr 18, 2017","52.67","52.60","52.98","52.39","11.26M","-0.42"
"Apr 17, 2017","52.89","52.99","53.13","52.75","10.47M","0.19"
"Apr 13, 2017","52.79","53.13","53.67","52.78","17.01M","-1.12"
"Apr 12, 2017","53.39","54.64","54.65","53.12","24.82M","-3.54"
"Apr 11, 2017","55.35","56.32","56.36","54.72","17.30M","-2.07"
"Apr 10, 2017","56.52","56.43","56.81","56.27","6.04M","0.36"
"Apr 07, 2017","56.32","56.58","56.60","56.19","5.23M","-0.37"
"Apr 06, 2017","56.53","56.44","56.73","56.14","5.76M","0.11"
"Apr 05, 2017","56.47","56.80","57.53","56.42","7.86M","-0.37"
"Apr 04, 2017","56.68","56.30","56.91","56.25","7.12M","0.32"
"Apr 03, 2017","56.50","57.26","57.34","56.04","11.34M","-1.46"
"Mar 31, 2017","57.34","57.46","57.69","56.97","10.06M","0.24"
"Mar 30, 2017","57.20","57.36","57.65","57.19","6.36M","-0.28"
"Mar 29, 2017","57.36","57.09","57.37","56.86","4.04M","-0.03"
"Mar 28, 2017","57.38","56.67","57.61","56.67","5.95M","1.27"
"Mar 27, 2017","56.66","56.72","56.94","56.48","4.73M","-0.46"
"Mar 24, 2017","56.92","57.47","57.47","56.64","5.62M","0.19"
"Mar 23, 2017","56.81","57.16","57.27","56.59","7.72M","-0.40"
"Mar 22, 2017","57.04","56.73","57.12","56.10","9.13M","0.42"
"Mar 21, 2017","56.80","57.93","58.10","56.74","10.09M","-1.75"
"Mar 20, 2017","57.81","57.79","58.07","57.59","7.50M","0.45"
"Mar 17, 2017","57.55","58.57","58.61","57.51","20.06M","-1.37"
"Mar 16, 2017","58.35","58.30","58.73","58.16","7.21M","-0.29"
"Mar 15, 2017","58.52","58.42","58.75","58.18","9.03M","0.52"
"Mar 14, 2017","58.22","58.38","58.38","57.72","6.28M","-0.41"
"Mar 13, 2017","58.46","59.03","59.04","58.20","7.74M","-0.31"
"Mar 10, 2017","58.64","58.36","58.79","58.30","9.75M","1.16"
"Mar 09, 2017","57.97","57.65","58.10","57.40","9.88M","0.35"
"Mar 08, 2017","57.77","56.92","58.08","56.80","13.20M","1.83"
"Mar 07, 2017","56.73","56.60","56.82","56.19","7.13M","0.50"
"Mar 06, 2017","56.45","56.27","56.56","56.07","7.24M","0.02"
"Mar 03, 2017","56.44","56.52","56.57","56.00","6.98M","0.12"
"Mar 02, 2017","56.37","56.95","57.15","56.24","8.45M","-1.12"
"Mar 01, 2017","57.01","56.93","57.08","56.27","11.08M","0.94"
"Feb 28, 2017","56.48","56.49","56.52","55.89","10.39M","-0.44"
"Feb 27, 2017","56.73","56.56","56.98","56.31","7.13M","-0.86"
"Feb 24, 2017","57.22","57.02","57.23","56.50","10.64M","0.14"
"Feb 23, 2017","57.14","57.01","57.30","56.77","10.15M","0.07"
"Feb 22, 2017","57.10","56.78","57.10","56.48","8.71M","0.62"
"Feb 21, 2017","56.75","56.83","57.19","56.58","9.88M","0.51"
"Feb 17, 2017","56.46","56.85","56.94","56.05","12.46M","-0.74"
"Feb 16, 2017","56.88","56.58","56.90","56.45","11.62M","0.69"
"Feb 15, 2017","56.49","55.63","56.50","55.49","14.15M","1.82"
"Feb 14, 2017","55.48","55.43","55.52","54.82","13.07M","1.00"
"Feb 13, 2017","54.93","54.58","55.13","54.26","14.52M","1.72"
"Feb 10, 2017","54.00","53.10","54.28","52.93","14.04M","2.12"
"Feb 09, 2017","52.88","52.91","53.10","52.76","7.62M","-0.02"
"Feb 08, 2017","52.89","53.39","53.39","52.72","9.23M","-0.71"
"Feb 07, 2017","53.27","53.22","53.28","52.76","10.37M","0.74"
"Feb 06, 2017","52.88","53.31","53.41","52.82","8.22M","-0.19"
"Feb 03, 2017","52.98","52.95","53.22","52.75","10.97M","0.61"
"Feb 02, 2017","52.66","52.95","53.10","52.37","14.48M","-0.92"
"Feb 01, 2017","53.15","53.64","53.82","52.86","16.10M","-0.52"
"Jan 31, 2017","53.43","53.61","53.64","52.83","14.00M","-0.34"
"Jan 30, 2017","53.61","54.39","54.40","53.55","14.85M","-1.16"
"Jan 27, 2017","54.24","54.65","54.76","54.00","23.47M","0.35"
"Jan 26, 2017","54.05","55.35","55.49","53.50","37.89M","-5.01"
"Jan 25, 2017","56.90","56.10","56.98","55.50","27.97M","3.45"
"Jan 24, 2017","55.00","55.02","55.77","54.70","41.75M","0.22"
"Jan 23, 2017","54.88","58.67","58.67","53.77","94.44M","-12.72"
"Jan 20, 2017","62.88","65.19","65.74","62.62","20.94M","-2.42"
"Jan 19, 2017","64.44","64.97","65.40","64.36","9.43M","-1.06"
"Jan 18, 2017","65.13","64.67","66.09","63.81","15.88M","1.46"
"Jan 17, 2017","64.19","66.71","66.97","63.15","22.43M","-4.02"
"Jan 13, 2017","66.88","66.25","67.08","66.16","6.18M","1.15"
"Jan 12, 2017","66.12","65.35","66.18","65.05","6.11M","0.03"
"Jan 11, 2017","66.10","65.75","66.11","65.42","8.35M","0.72"
"Jan 10, 2017","65.63","65.95","66.16","65.57","6.08M","-0.03"
"Jan 09, 2017","65.65","65.53","66.27","65.49","4.77M","0.18"
"Jan 06, 2017","65.53","65.48","65.87","64.86","6.75M","-0.03"
"Jan 05, 2017","65.55","65.32","65.98","65.05","6.00M","0.12"
"Jan 04, 2017","65.47","65.67","65.95","65.26","6.22M","0.11"
"Jan 03, 2017","65.40","65.86","66.14","64.60","9.52M","0.31"
"Dec 30, 2016","65.20","66.25","66.35","65.04","5.94M","-1.27"
"Dec 29, 2016","66.04","65.50","66.08","65.42","3.70M","0.44"
"Dec 28, 2016","65.75","66.65","67.07","65.70","6.55M","-2.23"
"Dec 27, 2016","67.25","67.14","67.58","67.06","3.03M","0.58"
"Dec 23, 2016","66.86","66.89","66.94","66.52","3.09M","0.15"
"Dec 22, 2016","66.76","67.64","67.75","66.46","5.90M","-0.60"
"Dec 21, 2016","67.16","67.07","67.35","66.82","5.21M","0.37"
"Dec 20, 2016","66.91","67.38","67.56","66.77","6.69M","-0.16"
"Dec 19, 2016","67.02","66.79","67.43","66.64","7.88M","0.84"
"Dec 16, 2016","66.46","68.49","68.49","66.30","18.16M","-2.31"
"Dec 15, 2016","68.03","68.10","68.77","67.31","7.16M","0.70"
"Dec 14, 2016","67.56","68.64","69.18","67.35","9.96M","-2.57"
"Dec 13, 2016","69.34","68.72","70.24","68.49","8.49M","1.27"
"Dec 12, 2016","68.47","68.37","68.64","67.92","5.62M","-0.07"
"Dec 09, 2016","68.52","68.61","68.89","67.80","5.55M","-0.04"
"Dec 08, 2016","68.55","68.42","69.18","68.37","5.55M","0.31"
"Dec 07, 2016","68.34","67.35","68.34","66.95","7.20M","1.32"
"Dec 06, 2016","67.45","66.65","67.48","66.50","6.70M","1.64"
"Dec 05, 2016","66.36","66.38","66.94","65.69","8.71M","0.79"
"Dec 02, 2016","65.84","63.95","66.33","63.95","9.69M","2.62"
"Dec 01, 2016","64.16","67.72","67.92","63.78","16.56M","-5.83"
"Nov 30, 2016","68.13","66.80","68.31","66.50","12.47M","2.04"
"Nov 29, 2016","66.77","67.23","67.54","66.63","6.54M","-0.49"
"Nov 28, 2016","67.10","67.42","67.70","66.80","8.23M","-1.74"
"Nov 25, 2016","68.29","68.16","68.42","67.71","4.20M","0.23"
"Nov 23, 2016","68.13","68.33","68.50","67.75","4.82M","-0.26"
"Nov 22, 2016","68.31","67.57","68.60","67.04","9.80M","1.80"
"Nov 21, 2016","67.10","66.86","67.20","66.15","7.87M","-0.31"
"Nov 18, 2016","67.31","66.68","67.45","65.94","9.89M","0.96"
"Nov 17, 2016","66.67","66.44","66.77","66.16","6.98M","0.56"
"Nov 16, 2016","66.30","66.71","66.71","65.65","9.55M","-0.70"
"Nov 15, 2016","66.77","66.26","67.16","65.95","9.62M","1.27"
"Nov 14, 2016","65.93","67.42","67.42","65.93","8.26M","-1.42"
"Nov 11, 2016","66.88","65.87","67.00","65.84","10.24M","0.86"
"Nov 10, 2016","66.31","67.81","68.21","64.32","17.77M","-2.31"
"Nov 09, 2016","67.88","66.63","68.09","66.25","11.60M","-0.57"
"Nov 08, 2016","68.27","68.22","68.71","67.63","6.70M","-0.28"
"Nov 07, 2016","68.46","67.72","68.58","67.39","9.21M","2.59"
"Nov 04, 2016","66.73","65.74","67.41","65.74","8.58M","-0.33"
"Nov 03, 2016","66.95","67.69","68.57","65.93","15.64M","-0.21"
"Nov 02, 2016","67.09","68.46","68.60","67.03","15.18M","-1.83"
"Nov 01, 2016","68.34","69.00","69.35","67.54","8.91M","-0.55"
"Oct 31, 2016","68.72","69.00","69.51","68.68","10.11M","0.47"
"Oct 28, 2016","68.40","70.52","70.53","67.66","17.95M","-2.41"
"Oct 27, 2016","70.09","70.80","71.62","70.00","33.94M","2.77"
"Oct 26, 2016","68.20","67.31","68.62","67.25","9.24M","0.72"
"Oct 25, 2016","67.71","67.90","68.25","67.48","5.37M","-0.51"
"Oct 24, 2016","68.06","68.40","68.45","67.48","6.67M","0.19"
"Oct 21, 2016","67.93","67.11","69.44","66.70","19.68M","0.88"
"Oct 20, 2016","67.34","65.48","68.17","65.48","13.58M","2.36"
"Oct 19, 2016","65.79","65.88","66.06","65.31","5.41M","-0.47"
"Oct 18, 2016","66.10","66.18","66.22","65.57","5.97M","1.40"
"Oct 17, 2016","65.19","65.53","65.71","65.09","6.35M","-0.78"
"Oct 14, 2016","65.70","65.94","66.59","65.45","6.74M","0.00"
"Oct 13, 2016","65.70","65.55","66.06","64.30","7.24M","-0.54"
"Oct 12, 2016","66.06","66.49","66.49","65.06","6.62M","-0.05"
"Oct 11, 2016","66.09","67.00","67.09","65.45","8.91M","-1.72"
"Oct 10, 2016","67.25","68.34","68.58","67.06","7.03M","-1.38"
"Oct 07, 2016","68.19","67.53","68.33","67.49","8.40M","0.96"
"Oct 06, 2016","67.54","66.80","69.32","66.23","12.96M","1.05"
"Oct 05, 2016","66.84","66.84","67.42","66.55","6.36M","0.24"
"Oct 04, 2016","66.68","67.70","67.70","66.56","9.75M","-0.64"
"Oct 03, 2016","67.11","68.08","69.28","66.87","10.15M","-2.03"
"Sep 30, 2016","68.50","68.40","70.40","68.15","34.88M","1.56"
