Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,66.34,66.51,67.1,65.72,15.56M,-0.27,QCOM,-0.015033073,-2.377807133,24.41077441,30,11,2017
29-Nov-17,66.52,68.1,68.2,66.03,17.02M,-2.72,QCOM,-0.409476455,2.144892755,33.50323466,29,11,2017
28-Nov-17,68.38,67.59,68.41,67.22,12.86M,0.35,QCOM,-0.807161726,1.684970663,23.65532382,28,11,2017
27-Nov-17,68.14,68.6,68.92,68.04,20.40M,-1.12,QCOM,-0.449862139,2.817745803,25.71009712,27,11,2017
24-Nov-17,68.91,68.51,69.28,68.45,9.23M,1.14,QCOM,0.557757229,3.630313115,27.34200743,24,11,2017
22-Nov-17,68.13,66.37,68.26,66.24,15.49M,2.19,QCOM,-0.449977501,1.158360006,23.27265973,22,11,2017
21-Nov-17,66.67,65.35,66.93,65.27,11.22M,0.3,QCOM,-1.684970663,-0.984848485,20.46082949,21,11,2017
20-Nov-17,66.47,66.18,66.85,65.95,9.75M,-0.37,QCOM,-0.809352518,-0.466235524,23.95579697,20,11,2017
17-Nov-17,66.72,66.37,66.95,66,13.33M,0.92,QCOM,0.393283921,2.787672294,27.58554402,17,11,2017
16-Nov-17,66.11,65.77,66.54,65.43,12.34M,0.76,QCOM,0.243865264,1.811145511,25.77930771,16,11,2017
15-Nov-17,65.61,65.55,66.48,65.24,10.57M,-0.59,QCOM,-0.681818182,0.091617041,25.55066079,15,11,2017
14-Nov-17,66,66.16,66.8,65.55,14.04M,-0.74,QCOM,-0.496315235,3.213728549,26.23545125,14,11,2017
13-Nov-17,66.49,64.96,66.82,64.75,24.41M,2.97,QCOM,0.603995664,3.90275112,24.01680031,13,11,2017
10-Nov-17,64.57,64.36,65.1,63.92,9.63M,-0.05,QCOM,-0.371517028,4.125546028,21.84778493,10,11,2017
9-Nov-17,64.6,64.91,65.33,63.93,15.95M,-1.36,QCOM,-0.885631394,18.36250912,22.47169811,9,11,2017
8-Nov-17,65.49,64.21,65.79,64.21,26.52M,2.17,QCOM,0.171606864,20.10849233,18.64375462,8,11,2017
7-Nov-17,64.1,62.52,64.16,62.45,23.42M,2.53,QCOM,0,22.5642031,16.05717468,7,11,2017
6-Nov-17,62.52,64.54,65.33,62.15,58.90M,1.15,QCOM,4.416761042,18.07537505,22.04992436,6,11,2017
3-Nov-17,61.81,54.76,64.99,54.21,80.96M,12.71,QCOM,-0.14587892,0.348176654,4.324633263,3,11,2017
2-Nov-17,54.84,53.6,55.68,53.6,17.34M,2.58,QCOM,0.26187804,-0.371747212,2.387774594,2,11,2017
1-Nov-17,53.46,51.47,53.49,50.51,15.62M,4.8,QCOM,0.901783964,-4.401931649,-0.943033102,1,11,2017
31-Oct-17,51.01,52.26,52.49,50.02,29.91M,-6.68,QCOM,-4.390779363,-3.668202765,0.461361015,31,10,2017
30-Oct-17,54.66,54.16,54.77,54.08,7.08M,0.16,QCOM,-0.751328569,1.442217644,4.394757132,30,10,2017
27-Oct-17,54.57,53.7,54.7,53.36,8.96M,1.43,QCOM,-0.185873606,3.229527105,3.587962963,27,10,2017
