"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","24.40","24.51","25.01","24.21","3.47M","-0.29"
"Nov 29, 2017","24.47","24.43","24.91","24.38","2.54M","0.53"
"Nov 28, 2017","24.34","24.35","24.54","24.01","3.09M","0.12"
"Nov 27, 2017","24.31","24.88","24.95","24.17","2.95M","-2.05"
"Nov 24, 2017","24.82","24.92","25.21","24.59","1.32M","-0.48"
"Nov 22, 2017","24.94","25.15","25.42","24.78","2.47M","-0.80"
"Nov 21, 2017","25.14","25.15","25.21","24.82","2.19M","0.00"
"Nov 20, 2017","25.14","24.83","25.21","24.64","5.47M","1.13"
"Nov 17, 2017","24.86","24.37","24.92","24.19","3.86M","2.64"
"Nov 16, 2017","24.22","23.78","24.41","23.64","2.99M","2.76"
"Nov 15, 2017","23.57","23.77","24.03","23.45","3.24M","-0.67"
"Nov 14, 2017","23.73","23.33","23.86","23.33","2.86M","1.28"
"Nov 13, 2017","23.43","23.95","24.31","23.35","3.68M","-2.01"
"Nov 10, 2017","23.91","24.00","24.09","23.42","4.16M","2.75"
"Nov 09, 2017","23.27","21.02","23.83","21.00","7.29M","8.03"
"Nov 08, 2017","21.54","20.93","21.99","20.79","6.71M","-0.05"
"Nov 07, 2017","21.55","22.21","22.27","21.42","4.03M","-3.10"
"Nov 06, 2017","22.24","22.38","22.60","22.20","2.83M","-0.94"
"Nov 03, 2017","22.45","22.50","22.69","22.33","2.93M","-0.22"
"Nov 02, 2017","22.50","22.56","22.76","22.29","3.17M","-0.44"
"Nov 01, 2017","22.60","22.77","23.01","22.59","3.22M","-0.53"
"Oct 31, 2017","22.72","22.30","22.84","22.30","3.40M","1.79"
"Oct 30, 2017","22.32","22.64","22.77","22.24","3.20M","-1.67"
"Oct 27, 2017","22.70","22.86","22.93","22.50","2.73M","-1.48"
"Oct 26, 2017","23.04","23.07","23.29","22.96","2.86M","0.39"
"Oct 25, 2017","22.95","23.13","23.48","22.79","3.58M","-0.91"
"Oct 24, 2017","23.16","23.14","23.38","23.12","2.09M","0.00"
"Oct 23, 2017","23.16","23.37","23.62","23.08","2.56M","-0.94"
"Oct 20, 2017","23.38","23.16","23.59","23.16","2.36M","1.26"
"Oct 19, 2017","23.09","22.78","23.17","22.73","2.85M","0.83"
"Oct 18, 2017","22.90","22.91","23.24","22.89","1.74M","-0.09"
"Oct 17, 2017","22.92","22.50","23.06","22.50","3.05M","1.78"
"Oct 16, 2017","22.52","22.19","22.58","22.12","2.93M","0.94"
"Oct 13, 2017","22.31","22.32","22.56","22.21","2.34M","0.31"
"Oct 12, 2017","22.24","22.22","22.34","21.77","4.46M","-0.54"
"Oct 11, 2017","22.36","22.39","22.47","22.07","4.82M","0.49"
"Oct 10, 2017","22.25","22.35","22.67","21.94","7.85M","-0.45"
"Oct 09, 2017","22.35","23.11","23.17","22.31","6.42M","-3.16"
"Oct 06, 2017","23.08","23.53","23.69","22.98","3.54M","-2.08"
"Oct 05, 2017","23.57","23.36","23.70","23.30","3.75M","1.25"
"Oct 04, 2017","23.28","23.85","23.85","23.17","3.95M","-1.27"
"Oct 03, 2017","23.58","23.96","24.30","23.54","3.64M","-1.63"
"Oct 02, 2017","23.97","23.59","24.10","23.48","5.08M","1.70"
"Sep 29, 2017","23.57","23.29","23.59","23.25","2.54M","0.86"
"Sep 28, 2017","23.37","22.66","23.40","22.56","6.04M","-3.31"
"Sep 27, 2017","24.17","24.16","24.34","23.92","3.98M","0.54"
"Sep 26, 2017","24.04","24.09","24.58","24.02","3.58M","-0.33"
"Sep 25, 2017","24.12","23.66","24.24","23.66","4.22M","1.52"
"Sep 22, 2017","23.76","23.08","23.86","23.04","2.63M","2.72"
"Sep 21, 2017","23.13","23.26","23.42","22.93","2.00M","-0.26"
"Sep 20, 2017","23.19","22.69","23.39","22.61","3.06M","2.38"
"Sep 19, 2017","22.65","22.76","22.87","22.38","2.90M","-0.35"
"Sep 18, 2017","22.73","23.14","23.44","22.70","3.01M","-1.69"
"Sep 15, 2017","23.12","23.11","23.33","22.86","4.63M","0.04"
"Sep 14, 2017","23.11","23.19","23.34","23.05","4.67M","-0.43"
"Sep 13, 2017","23.21","23.15","23.59","23.06","4.67M","0.09"
"Sep 12, 2017","23.19","22.73","23.23","22.73","2.42M","2.16"
"Sep 11, 2017","22.70","22.81","23.18","22.68","3.93M","0.09"
"Sep 08, 2017","22.68","22.49","22.72","22.34","2.04M","1.02"
"Sep 07, 2017","22.45","23.00","23.10","22.44","3.58M","-2.22"
"Sep 06, 2017","22.96","22.55","23.11","22.55","3.81M","2.18"
"Sep 05, 2017","22.47","22.67","22.89","22.16","2.65M","-1.10"
"Sep 01, 2017","22.72","22.10","22.79","22.07","2.82M","2.71"
"Aug 31, 2017","22.12","22.06","22.19","21.96","3.20M","0.23"
"Aug 30, 2017","22.07","22.07","22.15","21.92","3.11M","0.36"
"Aug 29, 2017","21.99","21.95","22.08","21.80","2.55M","-0.72"
