Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,24.4,24.51,25.01,24.21,3.47M,-0.29,QVCA,0.163465468,-1.724137931,8.451327434,30,11,2017
29-Nov-17,24.47,24.43,24.91,24.38,2.54M,0.53,QVCA,0.369761709,-2.824184566,7.526408451,29,11,2017
28-Nov-17,24.34,24.35,24.54,24.01,3.09M,0.12,QVCA,0.164541341,-3.142402546,9.094982079,28,11,2017
27-Nov-17,24.31,24.88,24.95,24.17,2.95M,-2.05,QVCA,0.241740532,0.080450523,9.603524229,27,11,2017
24-Nov-17,24.82,24.92,25.21,24.59,1.32M,-0.48,QVCA,-0.080192462,2.89017341,8.159722222,24,11,2017
22-Nov-17,24.94,25.15,25.42,24.78,2.47M,-0.8,QVCA,0.039777247,6.703436572,9.586056645,22,11,2017
21-Nov-17,25.14,25.15,25.21,24.82,2.19M,0,QVCA,0.039777247,5.983986515,8.592400691,21,11,2017
20-Nov-17,25.14,24.83,25.21,24.64,5.47M,1.13,QVCA,-0.120675784,5.975245412,7.210708117,20,11,2017
17-Nov-17,24.86,24.37,24.92,24.19,3.86M,2.64,QVCA,0.619322874,1.923881221,4.234388366,17,11,2017
16-Nov-17,24.22,23.78,24.41,23.64,2.99M,2.76,QVCA,0.890963089,2.191663086,2.988306626,16,11,2017
15-Nov-17,23.57,23.77,24.03,23.45,3.24M,-0.67,QVCA,0.168563,10.35283194,3.799126638,15,11,2017
14-Nov-17,23.73,23.33,23.86,23.33,2.86M,1.28,QVCA,-0.426803244,8.259860789,1.788830716,14,11,2017
13-Nov-17,23.43,23.95,24.31,23.35,3.68M,-2.01,QVCA,0.167294019,7.688848921,6.34991119,13,11,2017
10-Nov-17,23.91,24,24.09,23.42,4.16M,2.75,QVCA,3.137086377,6.904231626,7.57507844,10,11,2017
9-Nov-17,23.27,21.02,23.83,21,7.29M,8.03,QVCA,-2.414113278,-6.577777778,-5.485611511,9,11,2017
8-Nov-17,21.54,20.93,21.99,20.79,6.71M,-0.05,QVCA,-2.877030162,-7.389380531,-6.395348837,8,11,2017
7-Nov-17,21.55,22.21,22.27,21.42,4.03M,-3.1,QVCA,-0.134892086,-2.24471831,-0.179775281,7,11,2017
6-Nov-17,22.24,22.38,22.6,22.2,2.83M,-0.94,QVCA,-0.311804009,0.268817204,0.134228188,6,11,2017
3-Nov-17,22.45,22.5,22.69,22.33,2.93M,-0.22,QVCA,0,-0.881057269,-2.512998267,3,11,2017
2-Nov-17,22.5,22.56,22.76,22.29,3.17M,-0.44,QVCA,-0.17699115,-2.083333333,-4.285108188,2,11,2017
1-Nov-17,22.6,22.77,23.01,22.59,3.22M,-0.53,QVCA,0.220070423,-0.784313725,-2.190721649,1,11,2017
31-Oct-17,22.72,22.3,22.84,22.3,3.40M,1.79,QVCA,-0.089605735,-3.713298791,-5.428329092,31,10,2017
30-Oct-17,22.32,22.64,22.77,22.24,3.20M,-1.67,QVCA,-0.264317181,-2.245250432,-5.54860242,30,10,2017
27-Oct-17,22.7,22.86,22.93,22.5,2.73M,-1.48,QVCA,-0.78125,-2.224123182,-3.012303776,27,10,2017
26-Oct-17,23.04,23.07,23.29,22.96,2.86M,0.39,QVCA,0.522875817,-0.086617583,-1.283697047,26,10,2017
25-Oct-17,22.95,23.13,23.48,22.79,3.58M,-0.91,QVCA,-0.129533679,1.004366812,-4.302854779,25,10,2017
24-Oct-17,23.16,23.14,23.38,23.12,2.09M,0,QVCA,-0.086355786,0.959860384,-3.743760399,24,10,2017
23-Oct-17,23.16,23.37,23.62,23.08,2.56M,-0.94,QVCA,-0.0427716,3.774422735,-3.109452736,23,10,2017
20-Oct-17,23.38,23.16,23.59,23.16,2.36M,1.26,QVCA,0.303161542,3.809950695,-2.525252525,20,10,2017
19-Oct-17,23.09,22.78,23.17,22.73,2.85M,0.83,QVCA,-0.524017467,2.428057554,-1.513186338,19,10,2017
18-Oct-17,22.9,22.91,23.24,22.89,1.74M,-0.09,QVCA,-0.043630017,2.459749553,-1.20741699,18,10,2017
17-Oct-17,22.92,22.5,23.06,22.5,3.05M,1.78,QVCA,-0.088809947,1.123595506,-0.662251656,17,10,2017
16-Oct-17,22.52,22.19,22.58,22.12,2.93M,0.94,QVCA,-0.537875392,-0.715883669,-2.375714914,16,10,2017
13-Oct-17,22.31,22.32,22.56,22.21,2.34M,0.31,QVCA,0.35971223,-3.292894281,-3.460207612,13,10,2017
12-Oct-17,22.24,22.22,22.34,21.77,4.46M,-0.54,QVCA,-0.626118068,-5.727619856,-3.85114669,12,10,2017
11-Oct-17,22.36,22.39,22.47,22.07,4.82M,0.49,QVCA,0.629213483,-3.823024055,-3.532959931,11,10,2017
10-Oct-17,22.25,22.35,22.67,21.94,7.85M,-0.45,QVCA,0,-5.216284987,-3.62225097,10,10,2017
9-Oct-17,22.35,23.11,23.17,22.31,6.42M,-3.16,QVCA,0.129982669,-3.587818106,1.806167401,9,10,2017
6-Oct-17,23.08,23.53,23.69,22.98,3.54M,-2.08,QVCA,-0.169707255,-0.169707255,3.747795414,6,10,2017
5-Oct-17,23.57,23.36,23.7,23.3,3.75M,1.25,QVCA,0.343642612,-0.042789902,4.053452116,5,10,2017
4-Oct-17,23.28,23.85,23.85,23.17,3.95M,-1.27,QVCA,1.145038168,-1.323955317,3.87630662,4,10,2017
3-Oct-17,23.58,23.96,24.3,23.54,3.64M,-1.63,QVCA,-0.041718815,-0.332778702,6.63106364,3,10,2017
2-Oct-17,23.97,23.59,24.1,23.48,5.08M,1.7,QVCA,0.084853627,-2.1973466,3.829225352,2,10,2017
29-Sep-17,23.57,23.29,23.59,23.25,2.54M,0.86,QVCA,-0.342319213,-1.978114478,5.289330922,29,9,2017
28-Sep-17,23.37,22.66,23.4,22.56,6.04M,-3.31,QVCA,-6.24741415,-2.031993083,2.673312188,28,9,2017
27-Sep-17,24.17,24.16,24.34,23.92,3.98M,0.54,QVCA,0.499168053,4.18283743,9.868121874,27,9,2017
26-Sep-17,24.04,24.09,24.58,24.02,3.58M,-0.33,QVCA,-0.124378109,6.357615894,8.758465011,26,9,2017
25-Sep-17,24.12,23.66,24.24,23.66,4.22M,1.52,QVCA,-0.420875421,4.091509019,8.234217749,25,9,2017
22-Sep-17,23.76,23.08,23.86,23.04,2.63M,2.72,QVCA,-0.216169477,-0.173010381,6.261510129,22,9,2017
21-Sep-17,23.13,23.26,23.42,22.93,2.00M,-0.26,QVCA,0.301854248,0.649069667,9.924385633,21,9,2017
20-Sep-17,23.19,22.69,23.39,22.61,3.06M,2.38,QVCA,0.176600442,-2.240413615,6.028037383,20,9,2017
19-Sep-17,22.65,22.76,22.87,22.38,2.90M,-0.35,QVCA,0.131984162,-1.85424752,7.765151515,19,9,2017
18-Sep-17,22.73,23.14,23.44,22.7,3.01M,-1.69,QVCA,0.08650519,1.938325991,9.357277883,18,9,2017
15-Sep-17,23.12,23.11,23.33,22.86,4.63M,0.04,QVCA,0,1.895943563,9.26713948,15,9,2017
14-Sep-17,23.11,23.19,23.34,23.05,4.67M,-0.43,QVCA,-0.086169754,3.296213808,6.376146789,14,9,2017
13-Sep-17,23.21,23.15,23.59,23.06,4.67M,0.09,QVCA,-0.172488141,0.827526132,6.09532539,13,9,2017
12-Sep-17,23.19,22.73,23.23,22.73,2.42M,2.16,QVCA,0.13215859,1.157098353,-0.438020149,12,9,2017
11-Sep-17,22.7,22.81,23.18,22.68,3.93M,0.09,QVCA,0.57319224,0.396126761,0.92920354,11,9,2017
8-Sep-17,22.68,22.49,22.72,22.34,2.04M,1.02,QVCA,0.178173719,1.672694394,0.491510277,8,9,2017
7-Sep-17,22.45,23,23.1,22.44,3.58M,-2.22,QVCA,0.174216028,4.213864975,0.78878177,7,9,2017
6-Sep-17,22.96,22.55,23.11,22.55,3.81M,2.18,QVCA,0.356030263,2.546612096,3.015075377,6,9,2017
5-Sep-17,22.47,22.67,22.89,22.16,2.65M,-1.1,QVCA,-0.220070423,2.347629797,-6.438299629,5,9,2017
1-Sep-17,22.72,22.1,22.79,22.07,2.82M,2.71,QVCA,-0.090415913,1.0978957,-9.128289474,1,9,2017
31-Aug-17,22.12,22.06,22.19,21.96,3.20M,0.23,QVCA,-0.045310376,1.565377532,-6.446140797,31,8,2017
30-Aug-17,22.07,22.07,22.15,21.92,3.11M,0.36,QVCA,0.363801728,4.300567108,-7.502095557,30,8,2017
29-Aug-17,21.99,21.95,22.08,21.8,2.55M,-0.72,QVCA,-0.902934537,2.570093458,-9.819227609,29,8,2017
28-Aug-17,22.15,21.88,22.27,21.77,3.37M,1.33,QVCA,0.091491308,3.598484848,-8.604845447,28,8,2017
25-Aug-17,21.86,21.74,22.01,21.58,3.23M,0.64,QVCA,0.092081031,2.741020794,-10.27651671,25,8,2017
