"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","361.86","358.57","362.50","354.73","1.29M","0.90"
"Nov 29, 2017","358.63","369.60","371.39","353.14","2.65M","-2.01"
"Nov 28, 2017","366.00","370.78","371.76","361.16","1.53M","-2.28"
"Nov 27, 2017","374.53","379.00","384.00","372.74","1.19M","-2.68"
"Nov 24, 2017","384.85","388.40","392.99","384.25","250.59K","-0.69"
"Nov 22, 2017","387.54","384.55","388.39","384.50","367.54K","0.81"
"Nov 21, 2017","384.44","385.00","388.22","383.30","784.72K","-0.20"
"Nov 20, 2017","385.22","391.74","393.32","383.42","845.72K","-1.63"
"Nov 17, 2017","391.59","393.08","396.36","390.52","669.07K","-0.79"
"Nov 16, 2017","394.69","386.99","395.66","381.64","674.21K","2.17"
"Nov 15, 2017","386.30","384.87","389.03","383.81","753.80K","0.39"
"Nov 14, 2017","384.80","392.75","395.59","383.83","1.11M","-2.24"
"Nov 13, 2017","393.62","398.26","402.13","391.21","1.42M","-2.70"
"Nov 10, 2017","404.54","405.45","405.75","398.37","771.16K","-0.41"
"Nov 09, 2017","406.21","409.44","414.02","396.53","942.56K","-2.16"
"Nov 08, 2017","415.17","418.01","432.50","405.00","1.31M","2.67"
"Nov 07, 2017","404.39","407.26","411.67","401.76","786.00K","-0.55"
"Nov 06, 2017","406.63","410.01","416.89","406.50","833.96K","-0.44"
"Nov 03, 2017","408.41","400.02","408.55","400.02","896.62K","2.76"
"Nov 02, 2017","397.45","400.00","402.99","395.45","1.45M","0.11"
"Nov 01, 2017","397.00","403.81","405.50","394.56","1.16M","-1.40"
"Oct 31, 2017","402.62","407.40","409.94","400.19","1.05M","-0.96"
"Oct 30, 2017","406.52","407.53","417.22","405.00","812.65K","-0.66"
"Oct 27, 2017","409.22","413.29","416.04","406.52","1.11M","-1.64"
"Oct 26, 2017","416.04","416.70","420.61","412.49","852.17K","-1.40"
"Oct 25, 2017","421.93","424.53","429.73","420.51","982.15K","-1.07"
"Oct 24, 2017","426.51","435.52","436.75","425.61","701.94K","-1.44"
"Oct 23, 2017","432.76","435.00","437.90","430.05","779.26K","-0.05"
"Oct 20, 2017","432.98","430.17","435.16","427.00","990.33K","-1.81"
"Oct 19, 2017","440.94","439.59","443.00","438.00","639.32K","0.36"
"Oct 18, 2017","439.37","443.20","444.99","435.55","548.23K","-0.72"
"Oct 17, 2017","442.56","444.41","448.57","442.01","644.31K","-0.70"
"Oct 16, 2017","445.68","444.00","453.55","443.11","508.71K","0.61"
"Oct 13, 2017","442.96","448.50","449.74","441.04","718.08K","-0.94"
"Oct 12, 2017","447.15","454.00","454.52","444.20","704.79K","-1.28"
"Oct 11, 2017","452.97","459.80","460.85","448.71","1.20M","-1.77"
"Oct 10, 2017","461.13","469.56","472.31","460.66","655.75K","-1.80"
"Oct 09, 2017","469.56","472.51","473.86","466.70","482.77K","-0.08"
"Oct 06, 2017","469.95","463.39","471.00","461.91","986.05K","1.41"
"Oct 05, 2017","463.40","455.95","477.00","451.10","1.42M","1.61"
"Oct 04, 2017","456.05","454.10","458.92","450.11","611.09K","0.09"
"Oct 03, 2017","455.63","463.04","463.04","451.26","596.85K","-1.43"
"Oct 02, 2017","462.24","448.31","465.00","445.41","1.18M","3.38"
"Sep 29, 2017","447.12","435.28","450.23","435.28","909.61K","2.76"
"Sep 28, 2017","435.11","433.29","439.04","433.29","456.63K","-0.07"
"Sep 27, 2017","435.43","435.64","437.61","432.50","499.85K","0.11"
"Sep 26, 2017","434.97","440.40","442.80","433.31","453.38K","-0.73"
"Sep 25, 2017","438.15","431.99","442.90","431.64","834.10K","1.25"
"Sep 22, 2017","432.72","431.12","433.77","427.04","626.31K","-0.17"
"Sep 21, 2017","433.45","435.00","438.77","429.47","556.88K","-1.08"
"Sep 20, 2017","438.17","431.64","438.44","429.55","692.59K","1.57"
"Sep 19, 2017","431.38","433.26","434.64","426.47","699.27K","-0.75"
"Sep 18, 2017","434.64","433.48","439.02","430.05","672.34K","0.27"
"Sep 15, 2017","433.45","442.04","442.16","432.43","1.00M","-1.77"
"Sep 14, 2017","441.26","436.68","443.30","429.31","987.66K","0.80"
"Sep 13, 2017","437.74","445.00","445.00","433.16","1.06M","-1.52"
"Sep 12, 2017","444.48","448.12","448.12","440.00","881.13K","-0.14"
"Sep 11, 2017","445.11","451.08","454.99","441.52","1.98M","-5.60"
"Sep 08, 2017","471.49","473.00","479.02","470.00","761.26K","-0.09"
"Sep 07, 2017","471.92","489.00","489.00","467.00","1.55M","-5.66"
"Sep 06, 2017","500.22","499.69","503.33","492.87","441.61K","1.19"
"Sep 05, 2017","494.36","499.81","503.54","489.37","657.68K","-1.91"
"Sep 01, 2017","504.00","498.24","505.49","497.09","699.89K","1.43"
"Aug 31, 2017","496.90","488.40","502.42","484.00","872.34K","2.01"
"Aug 30, 2017","487.12","480.51","495.85","477.97","729.41K","1.69"
"Aug 29, 2017","479.03","476.88","481.35","473.37","546.29K","-0.04"
"Aug 28, 2017","479.22","483.92","486.35","477.78","831.24K","0.30"
"Aug 25, 2017","477.80","485.25","487.77","477.38","531.65K","-1.54"
"Aug 24, 2017","485.26","477.27","488.82","474.34","538.99K","1.70"
"Aug 23, 2017","477.15","475.00","480.86","472.32","410.59K","-0.31"
"Aug 22, 2017","478.65","470.00","483.00","469.20","503.58K","1.90"
"Aug 21, 2017","469.74","467.75","472.49","467.43","510.68K","0.38"
"Aug 18, 2017","467.98","461.90","470.86","460.56","549.72K","0.85"
"Aug 17, 2017","464.02","469.82","470.04","461.77","711.65K","-0.96"
"Aug 16, 2017","468.54","475.58","475.58","467.24","383.33K","-0.85"
"Aug 15, 2017","472.57","473.87","475.00","470.49","378.51K","-0.42"
"Aug 14, 2017","474.54","469.97","476.80","466.99","537.42K","1.70"
"Aug 11, 2017","466.59","462.35","467.86","459.23","495.95K","1.41"
"Aug 10, 2017","460.08","470.48","472.46","459.14","573.73K","-2.96"
"Aug 09, 2017","474.09","469.96","478.99","465.52","979.96K","0.94"
"Aug 08, 2017","469.68","469.18","475.25","467.35","484.82K","-0.09"
"Aug 07, 2017","470.10","468.71","471.76","462.21","499.12K","0.29"
"Aug 04, 2017","468.76","469.32","473.34","466.66","771.17K","0.35"
"Aug 03, 2017","467.11","498.10","498.50","463.30","1.21M","-2.04"
"Aug 02, 2017","476.82","470.78","477.51","468.31","958.20K","1.02"
"Aug 01, 2017","472.00","486.60","490.17","471.26","1.28M","-3.99"
"Jul 31, 2017","491.62","489.67","499.14","487.13","1.01M","-3.36"
"Jul 28, 2017","508.71","507.01","513.42","499.04","620.11K","0.06"
"Jul 27, 2017","508.41","515.77","517.44","503.98","958.06K","-1.40"
"Jul 26, 2017","515.63","513.77","518.57","510.00","369.48K","0.42"
"Jul 25, 2017","513.45","523.97","526.12","510.74","596.29K","-1.49"
"Jul 24, 2017","521.22","516.94","521.77","510.70","474.36K","1.03"
"Jul 21, 2017","515.92","518.46","522.00","513.40","617.67K","-1.00"
"Jul 20, 2017","521.13","510.47","524.89","509.92","772.15K","2.83"
"Jul 19, 2017","506.79","504.99","509.13","501.10","850.77K","1.84"
"Jul 18, 2017","497.63","497.64","499.98","494.37","450.89K","-0.10"
"Jul 17, 2017","498.11","508.28","509.88","496.76","620.27K","-1.34"
"Jul 14, 2017","504.90","507.40","509.57","498.65","608.26K","-0.03"
"Jul 13, 2017","505.05","496.02","509.95","492.18","790.12K","1.62"
"Jul 12, 2017","496.99","496.20","499.32","489.09","576.68K","1.01"
"Jul 11, 2017","492.00","498.52","502.00","489.19","829.22K","-1.58"
"Jul 10, 2017","499.91","497.61","500.74","489.33","888.38K","0.69"
"Jul 07, 2017","496.50","497.51","506.39","493.44","729.07K","1.29"
"Jul 06, 2017","490.19","491.76","496.35","482.51","898.61K","-1.37"
"Jul 05, 2017","497.00","490.08","499.36","489.56","823.01K","1.90"
"Jul 03, 2017","487.73","494.20","498.55","484.28","603.51K","-0.69"
"Jun 30, 2017","491.14","507.46","508.00","490.89","1.27M","-3.68"
"Jun 29, 2017","509.93","510.44","512.64","499.08","922.25K","-0.64"
"Jun 28, 2017","513.19","506.51","518.00","500.75","935.07K","2.20"
"Jun 27, 2017","502.12","517.55","529.99","500.74","1.45M","-2.67"
"Jun 26, 2017","515.91","513.00","521.51","506.70","1.17M","-0.27"
"Jun 23, 2017","517.33","511.79","519.65","500.25","1.89M","-1.75"
"Jun 22, 2017","526.53","525.00","543.55","521.50","1.84M","0.86"
