Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,361.86,358.57,362.5,354.73,1.29M,0.9,REGN,-0.016730335,-7.475357382,-9.680100756,30,11,2017
29-Nov-17,358.63,369.6,371.39,353.14,2.65M,-2.01,REGN,0.983606557,-3.860160233,-8.201281605,29,11,2017
28-Nov-17,366,370.78,371.76,361.16,1.53M,-2.28,REGN,-1.001254906,-3.748507346,-8.791695366,28,11,2017
27-Nov-17,374.53,379,384,372.74,1.19M,-2.68,REGN,-1.520072756,-3.215097423,-7.384780803,27,11,2017
24-Nov-17,384.85,388.4,392.99,384.25,250.59K,-0.69,REGN,0.221912577,-1.59365578,-6.643591962,24,11,2017
22-Nov-17,387.54,384.55,388.39,384.5,367.54K,0.81,REGN,0.028613048,-0.453015791,-8.859289456,22,11,2017
21-Nov-17,384.44,385,388.22,383.3,784.72K,-0.2,REGN,-0.057110223,0.051975052,-9.732479895,21,11,2017
20-Nov-17,385.22,391.74,393.32,383.42,845.72K,-1.63,REGN,0.03830537,-0.477618007,-9.478694889,20,11,2017
17-Nov-17,391.59,393.08,396.36,390.52,669.07K,-0.79,REGN,-0.407915073,-2.832847184,-9.215206245,17,11,2017
16-Nov-17,394.69,386.99,395.66,381.64,674.21K,2.17,REGN,0.178617655,-4.731542798,-12.23522475,16,11,2017
15-Nov-17,386.3,384.87,389.03,383.81,753.80K,0.39,REGN,0.018191268,-7.298215189,-12.40412409,15,11,2017
14-Nov-17,384.8,392.75,395.59,383.83,1.11M,-2.24,REGN,-0.221025354,-2.878409456,-11.25497108,14,11,2017
13-Nov-17,393.62,398.26,402.13,391.21,1.42M,-2.7,REGN,-1.552380482,-2.058382313,-10.63992102,13,11,2017
10-Nov-17,404.54,405.45,405.75,398.37,771.16K,-0.41,REGN,-0.187095345,-0.724761881,-8.468033231,10,11,2017
9-Nov-17,406.21,409.44,414.02,396.53,942.56K,-2.16,REGN,-1.380157526,3.016731664,-8.433411607,9,11,2017
8-Nov-17,415.17,418.01,432.5,405,1.31M,2.67,REGN,3.368035807,5.292191436,-7.717950416,8,11,2017
7-Nov-17,404.39,407.26,411.67,401.76,786.00K,-0.55,REGN,0.154932002,1.152451443,-11.68217206,7,11,2017
6-Nov-17,406.63,410.01,416.89,406.5,833.96K,-0.44,REGN,0.391763179,0.858506347,-12.68208536,6,11,2017
3-Nov-17,408.41,400.02,408.55,400.02,896.62K,2.76,REGN,0.646622217,-2.248179463,-14.88030642,3,11,2017
2-Nov-17,397.45,400,402.99,395.45,1.45M,0.11,REGN,0.755667506,-3.855398519,-13.68148468,2,11,2017
1-Nov-17,397,403.81,405.5,394.56,1.16M,-1.4,REGN,0.295564055,-4.294551229,-11.45488433,1,11,2017
31-Oct-17,402.62,407.4,409.94,400.19,1.05M,-0.96,REGN,0.216471514,-4.480551452,-10.58534337,31,10,2017
30-Oct-17,406.52,407.53,417.22,405,812.65K,-0.66,REGN,-0.412980793,-5.830021259,-11.83584285,30,10,2017
27-Oct-17,409.22,413.29,416.04,406.52,1.11M,-1.64,REGN,-0.660994135,-4.54755416,-7.566201467,27,10,2017
26-Oct-17,416.04,416.7,420.61,412.49,852.17K,-1.4,REGN,-1.239542104,-5.497346578,-4.231113971,26,10,2017
25-Oct-17,421.93,424.53,429.73,420.51,982.15K,-1.07,REGN,-0.464232961,-3.377563329,-2.503272627,25,10,2017
24-Oct-17,426.51,435.52,436.75,425.61,701.94K,-1.44,REGN,0.637766892,-1.590744758,0.126445502,24,10,2017
23-Oct-17,432.76,435,437.9,430.05,779.26K,-0.05,REGN,0.466534251,-2.39633818,-0.718931873,23,10,2017
20-Oct-17,432.98,430.17,435.16,427,990.33K,-1.81,REGN,-2.442509185,-2.887393896,-0.589295618,20,10,2017
19-Oct-17,440.94,439.59,443,438,639.32K,0.36,REGN,0.050071694,-1.690707816,1.4165417,19,10,2017
18-Oct-17,439.37,443.2,444.99,435.55,548.23K,-0.72,REGN,0.14461316,-2.156875731,1.147956273,18,10,2017
