"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","76.03","75.97","77.20","74.93","5.02M","0.11"
"Nov 29, 2017","75.95","72.95","76.33","72.73","5.69M","4.31"
"Nov 28, 2017","72.81","71.36","72.89","70.84","3.02M","2.07"
"Nov 27, 2017","71.33","71.60","71.95","71.02","2.56M","0.01"
"Nov 24, 2017","71.32","72.27","72.69","71.18","1.05M","-1.36"
"Nov 22, 2017","72.30","72.25","72.81","72.00","2.29M","-0.51"
"Nov 21, 2017","72.67","72.97","73.00","71.89","3.07M","-0.10"
"Nov 20, 2017","72.74","72.39","72.86","71.67","4.16M","0.68"
"Nov 17, 2017","72.25","72.13","73.94","71.02","8.24M","9.99"
"Nov 16, 2017","65.69","64.56","65.99","64.38","4.67M","1.67"
"Nov 15, 2017","64.61","64.24","65.52","63.91","3.33M","0.22"
"Nov 14, 2017","64.47","64.02","64.91","63.56","3.99M","-0.68"
"Nov 13, 2017","64.91","65.16","65.89","64.71","2.61M","-1.29"
"Nov 10, 2017","65.76","64.29","65.80","64.29","3.43M","1.84"
"Nov 09, 2017","64.57","63.56","65.19","63.55","2.39M","1.10"
"Nov 08, 2017","63.87","64.63","64.88","63.78","2.37M","-1.42"
"Nov 07, 2017","64.79","64.21","64.82","64.00","2.68M","1.01"
"Nov 06, 2017","64.14","64.11","64.73","62.85","2.05M","0.02"
"Nov 03, 2017","64.13","64.17","64.55","64.05","1.65M","-0.36"
"Nov 02, 2017","64.36","63.85","64.67","63.55","1.95M","1.39"
"Nov 01, 2017","63.48","63.74","64.12","63.17","1.97M","-0.02"
"Oct 31, 2017","63.49","63.68","64.87","63.41","1.98M","0.11"
"Oct 30, 2017","63.42","63.59","63.59","62.59","2.16M","-0.63"
"Oct 27, 2017","63.82","63.64","64.09","63.29","2.54M","-0.70"
"Oct 26, 2017","64.27","64.02","64.71","63.71","1.62M","0.67"
"Oct 25, 2017","63.84","64.00","64.32","63.30","2.36M","-0.78"
"Oct 24, 2017","64.34","64.34","64.76","64.14","2.02M","0.05"
"Oct 23, 2017","64.31","64.15","64.91","63.97","1.89M","0.12"
"Oct 20, 2017","64.23","63.70","64.34","63.41","2.33M","1.33"
"Oct 19, 2017","63.39","63.35","63.62","62.93","1.77M","0.11"
"Oct 18, 2017","63.32","63.22","63.55","62.86","1.86M","0.13"
"Oct 17, 2017","63.24","63.00","63.60","62.86","1.78M","0.52"
"Oct 16, 2017","62.91","63.03","63.39","62.34","2.23M","-0.33"
"Oct 13, 2017","63.12","63.39","63.60","62.91","2.81M","-0.25"
"Oct 12, 2017","63.28","64.55","64.66","63.16","3.25M","-1.97"
"Oct 11, 2017","64.55","64.96","65.23","64.39","2.75M","-0.45"
"Oct 10, 2017","64.84","65.29","65.51","64.60","1.76M","-0.69"
"Oct 09, 2017","65.29","65.96","65.96","65.07","1.27M","-1.06"
"Oct 06, 2017","65.99","65.33","66.16","65.32","2.39M","0.70"
"Oct 05, 2017","65.53","65.22","65.65","65.05","2.23M","0.46"
"Oct 04, 2017","65.23","65.01","65.38","64.34","3.29M","0.49"
"Oct 03, 2017","64.91","64.55","65.15","64.45","1.78M","0.34"
"Oct 02, 2017","64.69","64.34","64.92","63.73","2.51M","0.19"
"Sep 29, 2017","64.57","64.92","65.21","64.50","2.50M","-0.35"
"Sep 28, 2017","64.80","64.56","64.85","63.73","4.22M","-0.06"
"Sep 27, 2017","64.84","63.68","65.30","63.64","4.65M","1.65"
"Sep 26, 2017","63.79","63.01","63.94","62.67","3.65M","1.48"
"Sep 25, 2017","62.86","62.69","63.58","62.50","3.86M","3.24"
"Sep 22, 2017","60.89","60.63","61.07","60.31","1.64M","-0.03"
"Sep 21, 2017","60.91","61.10","61.26","60.65","2.35M","-0.02"
"Sep 20, 2017","60.92","61.30","61.43","60.62","1.75M","-0.38"
"Sep 19, 2017","61.15","60.88","61.20","60.69","3.05M","0.56"
"Sep 18, 2017","60.81","60.81","60.99","59.95","2.37M","0.16"
"Sep 15, 2017","60.71","60.57","60.93","60.00","3.53M","0.18"
"Sep 14, 2017","60.60","61.28","61.44","60.29","2.80M","-1.32"
"Sep 13, 2017","61.41","60.76","61.90","60.76","2.94M","1.22"
"Sep 12, 2017","60.67","59.49","61.40","59.19","3.37M","2.36"
"Sep 11, 2017","59.27","58.60","59.38","58.34","2.78M","1.28"
"Sep 08, 2017","58.52","58.51","58.72","57.87","2.09M","-0.05"
"Sep 07, 2017","58.55","59.37","59.62","58.12","2.94M","-1.01"
"Sep 06, 2017","59.15","58.84","59.70","58.84","2.92M","0.27"
"Sep 05, 2017","58.99","58.75","59.37","58.70","2.92M","0.12"
"Sep 01, 2017","58.92","58.65","59.27","58.65","2.75M","0.80"
"Aug 31, 2017","58.45","58.50","58.87","58.15","3.37M","0.03"
"Aug 30, 2017","58.43","58.74","58.92","58.05","3.18M","-0.44"
"Aug 29, 2017","58.69","58.61","59.15","57.95","2.65M","-0.56"
"Aug 28, 2017","59.02","59.45","59.55","58.76","2.76M","-0.61"
"Aug 25, 2017","59.38","58.39","59.66","58.39","6.29M","1.80"
"Aug 24, 2017","58.33","59.36","60.80","58.14","4.23M","-1.00"
"Aug 23, 2017","58.92","59.03","59.32","58.67","3.14M","-0.46"
"Aug 22, 2017","59.19","58.80","59.24","58.66","3.34M","1.08"
"Aug 21, 2017","58.56","58.95","59.14","57.75","5.28M","-0.78"
"Aug 18, 2017","59.02","58.73","59.50","57.99","14.14M","10.67"
