Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,76.03,75.97,77.2,74.93,5.02M,0.11,ROST,0.026333114,5.076071923,19.67548834,30,11,2017
29-Nov-17,75.95,72.95,76.33,72.73,5.69M,4.31,ROST,0.19228128,0.385303426,14.89998425,29,11,2017
28-Nov-17,72.81,71.36,72.89,70.84,3.02M,2.07,ROST,0.04205804,-1.897167996,12.51970987,28,11,2017
27-Nov-17,71.33,71.6,71.95,71.02,2.56M,0.01,ROST,0.392596747,-0.899653979,12.19053588,27,11,2017
24-Nov-17,71.32,72.27,72.69,71.18,1.05M,-1.36,ROST,-0.041493776,10.01674532,12.44748716,24,11,2017
22-Nov-17,72.3,72.25,72.81,72,2.29M,-0.51,ROST,-0.57795514,11.82479492,13.1735589,22,11,2017
21-Nov-17,72.67,72.97,73,71.89,3.07M,-0.1,ROST,0.316194666,13.18442687,13.41311781,21,11,2017
20-Nov-17,72.74,72.39,72.86,71.67,4.16M,0.68,ROST,0.193771626,11.52364813,12.56414244,20,11,2017
17-Nov-17,72.25,72.13,73.94,71.02,8.24M,9.99,ROST,9.803623078,9.686739659,12.2995485,17,11,2017
16-Nov-17,65.69,64.56,65.99,64.38,4.67M,1.67,ROST,-0.077387401,-0.015487068,1.84571699,16,11,2017
15-Nov-17,64.61,64.24,65.52,63.91,3.33M,0.22,ROST,-0.35675508,0.579301707,1.452937461,15,11,2017
14-Nov-17,64.47,64.02,64.91,63.56,3.99M,-0.68,ROST,-1.371129256,-1.188455008,1.233396584,14,11,2017
13-Nov-17,64.91,65.16,65.89,64.71,2.61M,-1.29,ROST,-0.912408759,1.590271282,3.576537911,13,11,2017
10-Nov-17,65.76,64.29,65.8,64.29,3.43M,1.84,ROST,-0.433637912,0.249493217,1.853612167,10,11,2017
9-Nov-17,64.57,63.56,65.19,63.55,2.39M,1.1,ROST,-0.485360889,-1.24300808,0.442477876,9,11,2017
8-Nov-17,63.87,64.63,64.88,63.78,2.37M,-1.42,ROST,-0.24695169,1.811594203,0.123934934,8,11,2017
7-Nov-17,64.79,64.21,64.82,64,2.68M,1.01,ROST,0.109136264,1.134036856,-0.971622455,7,11,2017
6-Nov-17,64.14,64.11,64.73,62.85,2.05M,0.02,ROST,-0.031186652,1.087984863,-1.807321182,6,11,2017
3-Nov-17,64.13,64.17,64.55,64.05,1.65M,-0.36,ROST,-0.295214419,0.548417424,-2.757993635,3,11,2017
2-Nov-17,64.36,63.85,64.67,63.55,1.95M,1.39,ROST,0.582860744,-0.653493076,-2.563711277,2,11,2017
1-Nov-17,63.48,63.74,64.12,63.17,1.97M,-0.02,ROST,0.393762797,-0.156641604,-2.28422505,1,11,2017
31-Oct-17,63.49,63.68,64.87,63.41,1.98M,0.11,ROST,0.409965311,-1.025800435,-1.894931444,31,10,2017
30-Oct-17,63.42,63.59,63.59,62.59,2.16M,-0.63,ROST,-0.360388593,-1.119577049,-1.700417375,30,10,2017
27-Oct-17,63.82,63.64,64.09,63.29,2.54M,-0.7,ROST,-0.980239614,-0.918573875,-1.440297352,27,10,2017
26-Oct-17,64.27,64.02,64.71,63.71,1.62M,0.67,ROST,0.281954887,0.99384761,-1.203703704,26,10,2017
25-Oct-17,63.84,64,64.32,63.3,2.36M,-0.78,ROST,-0.528442648,1.073910297,-1.295496607,25,10,2017
