Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,57.82,57.64,58.14,57.47,11.51M,0.54,SBUX,0.226047644,0.875043752,4.552875023,30,11,2017
29-Nov-17,57.51,56.71,57.68,56.7,10.02M,1.5,SBUX,0.088245676,-0.960530912,3.409919767,29,11,2017
28-Nov-17,56.66,56.03,56.72,55.91,9.73M,1.34,SBUX,0.214630656,-1.372997712,1.558818198,28,11,2017
27-Nov-17,55.91,56.83,56.92,55.75,10.58M,-1.57,SBUX,0.052816901,-0.175654312,3.553206997,27,11,2017
24-Nov-17,56.8,57.19,57.19,56.71,3.48M,-0.6,SBUX,0.087504375,-0.087351502,4.152249135,24,11,2017
22-Nov-17,57.14,57.07,57.18,56.8,7.31M,-0.21,SBUX,-0.331819769,0.652557319,5.372968981,22,11,2017
21-Nov-17,57.26,56.96,57.56,56.88,6.28M,0.79,SBUX,0.264038021,0.052696294,4.937361828,21,11,2017
20-Nov-17,56.81,56.67,57.05,56.58,6.36M,-0.21,SBUX,-0.456701212,0.052966102,4.422332781,20,11,2017
17-Nov-17,56.93,57.24,57.43,56.84,6.31M,-0.54,SBUX,0,0.350631136,4.892798241,17,11,2017
16-Nov-17,57.24,56.92,57.42,56.75,8.31M,0.95,SBUX,0.388007055,-0.767085077,2.74368231,16,11,2017
15-Nov-17,56.7,56.82,57.06,56.51,8.88M,-0.4,SBUX,-0.193219744,-1.882231048,2.916138381,15,11,2017
14-Nov-17,56.93,56.47,57,56.41,7.76M,0.51,SBUX,-0.300141243,-1.310730514,3.595670519,14,11,2017
13-Nov-17,56.64,56.81,57.14,56.55,7.65M,-0.7,SBUX,-0.403225806,0.424253138,3.460207612,13,11,2017
10-Nov-17,57.04,57.36,57.39,56.54,7.93M,-0.56,SBUX,0,2.37372836,2.943287868,10,11,2017
9-Nov-17,57.36,57.2,57.66,56.78,14.78M,-0.95,SBUX,-1.226040408,4.246400583,2.19760586,9,11,2017
8-Nov-17,57.91,57.03,58.01,57,13.53M,1.21,SBUX,-0.33205173,3.44639942,2.498202732,8,11,2017
7-Nov-17,57.22,56.33,57.29,56.33,11.17M,1.15,SBUX,-0.424253138,2.716994894,1.642006496,7,11,2017
6-Nov-17,56.57,55.99,56.69,55.63,10.84M,0.96,SBUX,-0.071390327,1.486315026,1.762995274,6,11,2017
3-Nov-17,56.03,54.16,56.94,54.05,28.77M,2.11,SBUX,-1.29396756,-1.311953353,-1.830705093,3,11,2017
