Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,148.75,148.72,149.71,147.96,629.13K,-0.53,SHPG,-0.548348268,-0.707704633,2.037735849,30,11,2017
29-Nov-17,149.54,150.69,151.57,148.62,736.03K,0.02,SHPG,0.789244867,4.046123041,2.072749441,29,11,2017
28-Nov-17,149.51,148.75,149.93,146.6,930.33K,2.26,SHPG,1.737227276,5.220343779,2.051317234,28,11,2017
27-Nov-17,146.21,147.78,148.21,146.07,703.26K,-1.12,SHPG,-0.054105235,0.278211305,3.945980165,27,11,2017
24-Nov-17,147.86,149.4,150.07,147.78,418.60K,-1.28,SHPG,-0.253705435,3.29807094,8.072916667,24,11,2017
22-Nov-17,149.78,149.61,151.47,148.8,837.08K,3.42,SHPG,3.300421183,6.84139113,4.119980514,22,11,2017
21-Nov-17,144.83,141.99,145.21,141.9,953.53K,2.45,SHPG,0.438565467,1.953040856,-1.737024221,21,11,2017
20-Nov-17,141.37,143.47,143.82,140.67,2.36M,-4.07,SHPG,-2.646400217,3.723250434,-0.904821108,20,11,2017
17-Nov-17,147.37,145.76,147.87,145.16,1.64M,1.89,SHPG,0.781304017,3.847249929,0.351118761,17,11,2017
16-Nov-17,144.63,144.4,150.44,143.28,4.58M,3.29,SHPG,3.120759837,3.091311487,-2.313624679,16,11,2017
15-Nov-17,140.03,139.64,140.42,138.71,825.39K,0.55,SHPG,0.265670999,-1.181798882,-4.545765261,15,11,2017
14-Nov-17,139.27,139.82,140.85,138.35,1.07M,0.69,SHPG,1.084441874,-3.365816573,-8.043406774,14,11,2017
13-Nov-17,138.32,138.06,138.54,137.17,632.80K,-1.45,SHPG,-1.638643488,-6.170993612,-11.08964451,13,11,2017
10-Nov-17,140.36,141.03,141.03,139.8,701.04K,0.21,SHPG,0.6853716,-3.529653191,-8.463685338,10,11,2017
9-Nov-17,140.07,140.48,140.59,139.15,727.62K,-0.88,SHPG,-0.587361121,-3.410341034,-7.748883635,9,11,2017
8-Nov-17,141.31,143.71,143.77,140.6,1.28M,-2.34,SHPG,-0.677310111,-1.399656947,-5.453947368,8,11,2017
7-Nov-17,144.69,146.16,146.39,144.43,780.13K,-1.67,SHPG,-0.66603235,-0.995732575,-3.524752475,7,11,2017
6-Nov-17,147.14,147.46,148.11,146.81,1.03M,0.65,SHPG,0.868732471,1.166300768,-1.850372737,6,11,2017
3-Nov-17,146.19,145.65,146.56,145.11,625.05K,0.52,SHPG,0.144389439,2.447773792,-3.600503011,3,11,2017
2-Nov-17,145.44,145.96,147.59,145.24,939.17K,-0.21,SHPG,0.144082333,5.584490741,-4.812834225,2,11,2017
1-Nov-17,145.75,148.57,148.75,145.19,1.15M,-1.27,SHPG,0.636726953,3.396200153,-3.719784849,1,11,2017
31-Oct-17,147.63,147.95,148.48,147.1,2.01M,1.28,SHPG,1.502469813,2.387543253,-3.697194558,31,10,2017
30-Oct-17,145.76,144.59,147.12,144.41,1.90M,2.53,SHPG,1.702187522,-0.131233596,-7.474243297,30,10,2017
27-Oct-17,142.17,140.45,143,139.15,2.09M,2.84,SHPG,1.598668981,-3.30464716,-8.286535197,27,10,2017
26-Oct-17,138.24,139.84,140.52,137.8,1.74M,-3.79,SHPG,-2.679379219,-5.398457584,-7.726822831,26,10,2017
25-Oct-17,143.69,145.45,145.5,141.96,1.04M,-0.56,SHPG,0.657439446,-0.574201928,-3.528553426,25,10,2017
24-Oct-17,144.5,143.58,144.82,142.93,1.04M,-0.19,SHPG,-0.828843763,-5.570536008,-4.724618447,24,10,2017
23-Oct-17,144.78,145.99,146.32,144.6,624.20K,-0.32,SHPG,0.509466437,-5.982740855,-5.587531527,23,10,2017
20-Oct-17,145.25,146.84,146.96,145.03,1.08M,-1.74,SHPG,-0.662968475,-4.692672162,-5.319491908,20,10,2017
19-Oct-17,147.82,147.64,149.37,147.4,1.38M,1.05,SHPG,0.922824527,-3.04701865,-4.969104016,19,10,2017
18-Oct-17,146.29,149.76,150.27,145.95,2.22M,-3.79,SHPG,-1.506083525,-1.473684211,-2.372881356,18,10,2017
17-Oct-17,152.05,153.31,153.44,151.18,1.20M,-2.08,SHPG,-1.26867594,1.194719472,-1.414700019,17,10,2017
16-Oct-17,155.28,157.71,157.85,153.03,1.12M,0.79,SHPG,2.362562472,4.972044728,1.31697289,16,10,2017
13-Oct-17,154.07,153.31,154.39,153.14,586.90K,1.18,SHPG,0.676385605,1.46932292,-3.250031554,13,10,2017
12-Oct-17,152.28,151.93,152.8,151.24,635.61K,0.18,SHPG,-0.046052632,-0.919525238,-3.738199328,12,10,2017
11-Oct-17,152,152.19,152.63,151.47,1.19M,0.33,SHPG,0.455445545,-1.373857819,-4.702567314,11,10,2017
10-Oct-17,151.5,150.99,151.89,150.94,668.01K,0.84,SHPG,0.499201278,-1.718414372,-7.077358607,10,10,2017
9-Oct-17,150.24,152.28,152.29,150.19,626.32K,-0.56,SHPG,0.787610034,-2.553273181,-5.808127667,9,10,2017
6-Oct-17,151.09,152.17,152.41,150.32,764.94K,-1.47,SHPG,-0.763010304,-0.63340734,-4.94127936,6,10,2017
5-Oct-17,153.34,153.12,154.37,152.86,596.19K,-0.63,SHPG,-0.771174908,1.035961729,-2.965779468,5,10,2017
4-Oct-17,154.31,153.59,155.03,153.2,442.37K,0.44,SHPG,-0.026036581,1.87039862,-1.164736165,4,10,2017
3-Oct-17,153.63,154.93,155.25,152.46,671.52K,-1.69,SHPG,-0.857490241,2.806901128,1.613432151,3,10,2017
2-Oct-17,156.27,153.1,156.41,153.01,918.33K,2.04,SHPG,-0.02611989,-0.989458708,0.829820864,2,10,2017
29-Sep-17,153.14,152.45,153.25,151.58,620.03K,1.05,SHPG,0.593863411,-1.702237411,2.048329875,29,9,2017
28-Sep-17,151.55,151.36,152.69,150.96,764.33K,0.52,SHPG,0.391324534,-2.574665294,3.83480826,28,9,2017
27-Sep-17,150.77,150.92,151.72,150.39,842.56K,0.05,SHPG,0.145985401,-1.616688396,3.717957529,27,9,2017
26-Sep-17,150.7,152.53,153.33,150.38,822.77K,-2.54,SHPG,-1.358080579,-1.916275481,4.258373206,26,9,2017
25-Sep-17,154.63,154.51,155.96,154.06,610.72K,-0.3,SHPG,-0.373976401,-0.73878967,6.853388658,25,9,2017
22-Sep-17,155.09,156.75,157.16,154.4,617.36K,-0.17,SHPG,0.894696189,-1.079136691,9.845830413,22,9,2017
21-Sep-17,155.36,152.97,156.02,152.94,883.11K,1.28,SHPG,-0.280312907,-3.079262498,7.091851022,21,9,2017
20-Sep-17,153.4,155.1,155.27,152.7,1.09M,-1.36,SHPG,-0.26364864,-2.880400751,8.340318525,20,9,2017
19-Sep-17,155.51,157.24,157.31,154.83,888.71K,-0.1,SHPG,1.015032764,-3.23096806,11.63649272,19,9,2017
