Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,5.5,5.45,5.55,5.44,15.93M,0.36,SIRI,-0.547445255,0.183823529,0.183823529,30,11,2017
29-Nov-17,5.48,5.43,5.55,5.43,19.20M,0.92,SIRI,0,-0.549450549,-0.183823529,29,11,2017
28-Nov-17,5.43,5.43,5.45,5.4,15.12M,-0.18,SIRI,-0.183823529,0,-1.451905626,28,11,2017
27-Nov-17,5.44,5.41,5.47,5.4,15.89M,0,SIRI,-0.551470588,-0.915750916,-2.346570397,27,11,2017
24-Nov-17,5.44,5.43,5.47,5.415,7.84M,0,SIRI,-0.183823529,0.555555556,-2.688172043,24,11,2017
22-Nov-17,5.44,5.46,5.49,5.42,14.09M,-0.37,SIRI,0,1.486988848,-1.798561151,22,11,2017
21-Nov-17,5.46,5.46,5.51,5.445,13.27M,0.55,SIRI,0.552486188,2.056074766,-4.545454545,21,11,2017
20-Nov-17,5.43,5.47,5.49,5.415,11.54M,-0.55,SIRI,0.183150183,-0.545454545,-4.035087719,20,11,2017
17-Nov-17,5.46,5.42,5.49,5.38,11.92M,1.11,SIRI,0.37037037,1.498127341,-5.821025195,17,11,2017
16-Nov-17,5.4,5.36,5.44,5.35,17.05M,0.37,SIRI,-0.371747212,0.941619586,-6.620209059,16,11,2017
15-Nov-17,5.38,5.35,5.39,5.3,14.50M,0.56,SIRI,0,-0.186567164,-6.956521739,15,11,2017
14-Nov-17,5.35,5.48,5.49,5.3,23.93M,-2.73,SIRI,-0.363636364,2.621722846,-4.028021016,14,11,2017
13-Nov-17,5.5,5.32,5.5,5.32,24.65M,3,SIRI,-0.374531835,-0.560747664,-6.666666667,13,11,2017
10-Nov-17,5.34,5.28,5.41,5.28,18.67M,0.56,SIRI,-0.564971751,-0.377358491,-7.530647986,10,11,2017
9-Nov-17,5.31,5.34,5.4,5.28,15.19M,-0.93,SIRI,-0.373134328,0,-6.479859895,9,11,2017
8-Nov-17,5.36,5.31,5.38,5.31,15.84M,0.37,SIRI,-0.561797753,-2.389705882,-7.167832168,8,11,2017
7-Nov-17,5.34,5.35,5.4,5.31,12.81M,-0.19,SIRI,0,-1.654411765,-5.309734513,7,11,2017
6-Nov-17,5.35,5.29,5.4,5.29,12.43M,0.94,SIRI,-0.188679245,-3.992740472,-7.517482517,6,11,2017
3-Nov-17,5.3,5.3,5.34,5.26,16.73M,-0.75,SIRI,-0.74906367,-4.332129964,-7.504363002,3,11,2017
2-Nov-17,5.34,5.41,5.43,5.3,20.64M,-1.84,SIRI,-0.551470588,-3.046594982,-5.74912892,2,11,2017
1-Nov-17,5.44,5.47,5.52,5.38,23.14M,0,SIRI,0.551470588,-1.618705036,-4.537521815,1,11,2017
31-Oct-17,5.44,5.52,5.521,5.43,19.51M,-1.27,SIRI,0.181488203,-3.496503497,-1.428571429,31,10,2017
30-Oct-17,5.51,5.53,5.56,5.46,19.66M,-0.54,SIRI,-0.180505415,-2.98245614,0.545454545,30,10,2017
27-Oct-17,5.54,5.55,5.56,5.44,30.52M,-0.72,SIRI,-0.537634409,-3.562119896,0.543478261,27,10,2017
26-Oct-17,5.58,5.62,5.62,5.54,12.88M,0.36,SIRI,1.079136691,-2.090592334,3.308823529,26,10,2017
25-Oct-17,5.56,5.66,5.7,5.46,29.25M,-2.8,SIRI,-1.048951049,-1.565217391,2.350813743,25,10,2017
24-Oct-17,5.72,5.69,5.78,5.69,27.16M,0.35,SIRI,-0.175438596,-0.350262697,4.595588235,24,10,2017
23-Oct-17,5.7,5.77,5.78,5.68,20.15M,-0.96,SIRI,0.260642919,1.228070175,4.909090909,23,10,2017
20-Oct-17,5.755,5.78,5.78,5.73,8.29M,0.26,SIRI,0.696864111,1.22591944,4.332129964,20,10,2017
19-Oct-17,5.74,5.72,5.76,5.7,8.77M,-0.17,SIRI,-0.52173913,0.175131349,4.189435337,19,10,2017
18-Oct-17,5.75,5.7,5.77,5.69,11.46M,0.7,SIRI,-0.175131349,-0.34965035,3.636363636,18,10,2017
17-Oct-17,5.71,5.68,5.73,5.67,8.79M,0.18,SIRI,-0.350877193,0.530973451,3.839122486,17,10,2017
16-Oct-17,5.7,5.71,5.72,5.69,7.87M,-0.18,SIRI,0,-0.174825175,4.197080292,16,10,2017
13-Oct-17,5.71,5.75,5.75,5.69,8.68M,0,SIRI,0.700525394,0.34904014,4.355716878,13,10,2017
12-Oct-17,5.71,5.73,5.78,5.64,20.33M,-0.17,SIRI,0.174825175,-0.174216028,5.330882353,12,10,2017
11-Oct-17,5.72,5.67,5.75,5.64,14.16M,1.24,SIRI,0.353982301,-1.047120419,4.612546125,11,10,2017
10-Oct-17,5.65,5.72,5.73,5.65,10.08M,-1.22,SIRI,0,2.142857143,2.325581395,10,10,2017
9-Oct-17,5.72,5.74,5.78,5.71,7.20M,-0.17,SIRI,0.17452007,4.363636364,3.797468354,9,10,2017
6-Oct-17,5.73,5.75,5.77,5.67,10.78M,-0.17,SIRI,0.174216028,4.166666667,4.927007299,6,10,2017
5-Oct-17,5.74,5.71,5.79,5.7,17.10M,0.17,SIRI,-0.34904014,4.963235294,2.882882883,5,10,2017
4-Oct-17,5.73,5.63,5.74,5.6,22.48M,2.32,SIRI,0.535714286,1.808318264,0.535714286,4,10,2017
3-Oct-17,5.6,5.5,5.6,5.5,17.33M,1.82,SIRI,0,1.102941176,-1.610017889,3,10,2017
2-Oct-17,5.5,5.52,5.55,5.48,16.04M,-0.36,SIRI,0,0.363636364,-2.987697715,2,10,2017
29-Sep-17,5.52,5.46,5.57,5.45,15.78M,1.47,SIRI,0.367647059,-1.444043321,-5.043478261,29,9,2017
28-Sep-17,5.44,5.5,5.53,5.44,11.71M,-1.63,SIRI,-0.542495479,0.182149362,-3.50877193,28,9,2017
27-Sep-17,5.53,5.47,5.54,5.45,16.05M,1.65,SIRI,0.551470588,-0.545454545,-2.841918295,27,9,2017
26-Sep-17,5.44,5.5,5.53,5.42,14.12M,-1.09,SIRI,0,0.548446069,-1.433691756,26,9,2017
25-Sep-17,5.5,5.53,5.55,5.49,12.81M,-0.72,SIRI,-0.180505415,0.912408759,-0.896057348,25,9,2017
22-Sep-17,5.54,5.47,5.54,5.47,8.29M,0.91,SIRI,-0.364298725,-0.725952813,-1.971326165,22,9,2017
21-Sep-17,5.49,5.49,5.53,5.47,7.36M,-0.18,SIRI,-0.181818182,0.919117647,-1.258992806,21,9,2017
