Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,38.56,38.99,39.16,38.21,6.78M,-0.49,STX,0.619354839,-3.322588644,5.492424242,30,11,2017
29-Nov-17,38.75,39.95,40.5,38.66,6.07M,-3.08,STX,-0.075037519,-0.473343298,8.060589667,29,11,2017
28-Nov-17,39.98,39.38,40.05,38.96,3.81M,2.3,STX,0.76765609,-1.179422836,7.360959651,28,11,2017
27-Nov-17,39.08,39.47,39.7,38.56,5.63M,-3,STX,-2.035244478,0.126839168,6.964769648,27,11,2017
24-Nov-17,40.29,40.36,40.55,39.97,1.34M,-0.1,STX,0.074386313,3.169734151,5.709795705,24,11,2017
22-Nov-17,40.33,40.02,40.47,39.82,2.36M,0.47,STX,-0.298953662,5.845014546,4.901703801,22,11,2017
21-Nov-17,40.14,40.05,40.64,39.96,3.85M,0.73,STX,0.501882058,6.828487597,3.115345005,21,11,2017
20-Nov-17,39.85,39.34,40.07,39.08,3.99M,1.09,STX,-0.202942669,4.460966543,-0.025412961,20,11,2017
17-Nov-17,39.42,39.24,39.6,38.78,3.15M,0.77,STX,0.306748466,3.290339563,12.30681168,17,11,2017
16-Nov-17,39.12,37.96,39.27,37.93,5.26M,3.46,STX,0.396720444,1.470195135,10.5416424,16,11,2017
15-Nov-17,37.81,37.34,37.85,37.24,3.50M,0.85,STX,-0.400106695,-0.981172103,8.99007589,15,11,2017
14-Nov-17,37.49,37.62,37.93,37.33,2.60M,-0.45,STX,-0.106213489,1.346982759,10.77738516,14,11,2017
13-Nov-17,37.66,37.9,37.94,37.32,2.31M,-0.87,STX,-0.236904449,1.174586225,9.886923746,13,11,2017
10-Nov-17,37.99,37.2,38.08,37.2,3.01M,1.55,STX,-0.561347233,2.394715111,8.139534884,10,11,2017
9-Nov-17,37.41,37.13,38.13,37.13,4.35M,-0.8,STX,-1.538053567,0.979059016,10.44021416,9,11,2017
8-Nov-17,37.71,37.04,38.2,36.73,4.24M,1.59,STX,-0.215517241,0.216450216,10.56716418,8,11,2017
7-Nov-17,37.12,37.43,37.49,36.84,2.84M,-0.91,STX,-0.080085424,1.244252096,10.9037037,7,11,2017
6-Nov-17,37.46,36.28,37.53,36.07,3.19M,3.11,STX,-0.137627305,-1.090512541,7.17872969,6,11,2017
3-Nov-17,36.33,36.6,36.98,36.16,2.28M,-1.2,STX,-0.462333424,-0.81300813,8.316069843,3,11,2017
2-Nov-17,36.77,36.97,37,36.38,2.75M,-0.51,STX,0.027056277,-3.169198533,8.416422287,2,11,2017
1-Nov-17,36.96,37.38,37.63,36.66,2.78M,-0.03,STX,1.109007303,-2.018348624,10.00588582,1,11,2017
