Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,104.74,105.47,106.27,104.28,2.82M,-0.56,SWKS,0.132915599,-2.828450341,-5.255120374,30,11,2017
29-Nov-17,105.33,107.2,107.42,103.38,2.88M,-2.06,SWKS,-0.325430033,-2.766439909,-5.8492886,29,11,2017
28-Nov-17,107.55,107.43,107.88,106.23,2.07M,0.31,SWKS,0.195858982,-2.149558248,-4.080357143,28,11,2017
27-Nov-17,107.22,109.2,109.21,107.14,1.73M,-2.31,SWKS,-0.501138952,-0.727272727,1.195440645,27,11,2017
24-Nov-17,109.75,108.67,109.85,108.42,617.13K,1.11,SWKS,0.119771513,-1.262947483,2.985216073,24,11,2017
22-Nov-17,108.54,110.19,110.25,108.48,1.54M,-1.55,SWKS,-0.054421769,1.193865369,5.374390361,22,11,2017
21-Nov-17,110.25,110.28,111.08,109.81,1.64M,0.42,SWKS,0.446306585,-0.836255732,4.818933561,21,11,2017
20-Nov-17,109.79,109.63,110.54,109.4,1.16M,-0.19,SWKS,-0.336363636,-0.60743427,4.638732462,20,11,2017
17-Nov-17,110,110.35,110.62,108.89,1.38M,-0.05,SWKS,0.26349264,-0.054342904,4.945316215,17,11,2017
16-Nov-17,110.06,109.86,110.67,109.54,1.46M,1.07,SWKS,0.890807237,-1.133909287,6.329849013,16,11,2017
15-Nov-17,108.89,110.57,110.57,107.14,2.10M,-2.09,SWKS,-0.575487816,-2.280159081,3.009129868,15,11,2017
14-Nov-17,111.21,109.92,111.74,109.74,1.45M,0.83,SWKS,-0.344514959,-1.142189046,2.394038193,14,11,2017
13-Nov-17,110.3,109.29,110.9,108.57,1.20M,-0.1,SWKS,-1.014400869,-6.051749334,2.159282109,13,11,2017
10-Nov-17,110.41,110.69,111.48,109.95,1.92M,-0.64,SWKS,-0.386969042,-2.208675678,3.778361148,10,11,2017
9-Nov-17,111.12,111.71,112.6,109.53,2.16M,-1.79,SWKS,-1.272646929,-0.044738726,6.349961919,9,11,2017
