Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,28.97,28.67,29.09,28.51,8.24M,1.4,SYMC,0.350017501,0.844178684,-10.85199005,30,11,2017
29-Nov-17,28.57,28.97,29.29,28.4,6.69M,-1.38,SYMC,0,3.059409463,-10.86153846,29,11,2017
28-Nov-17,28.97,28.87,29.1,28.42,6.32M,0.45,SYMC,0.104022191,2.412202909,-10.92255477,28,11,2017
27-Nov-17,28.84,28.6,28.94,28.54,4.60M,0.98,SYMC,0.140056022,1.997146933,-10.8756622,27,11,2017
24-Nov-17,28.56,28.44,28.67,28.42,2.07M,0.46,SYMC,0.035174112,0.565770863,-10.73446328,24,11,2017
22-Nov-17,28.43,28.16,28.48,28.03,4.63M,1.14,SYMC,0.177872643,1.623962468,-12.4922312,22,11,2017
21-Nov-17,28.11,28.26,28.27,27.67,5.76M,-0.28,SYMC,0.248315005,0.569395018,-12.66996292,21,11,2017
20-Nov-17,28.19,28,28.23,27.9,3.27M,0.53,SYMC,-0.142653352,0.107257776,-13.097455,20,11,2017
17-Nov-17,28.04,28.17,28.31,27.89,3.49M,-0.85,SYMC,-0.388967468,-0.669957687,-13.74770361,17,11,2017
16-Nov-17,28.28,27.61,28.43,27.6,5.03M,2.06,SYMC,-0.360880549,-3.427771948,-14.59944324,16,11,2017
15-Nov-17,27.71,27.98,28.18,27.47,5.28M,-1.39,SYMC,-0.427046263,-3.616947985,-12.97045101,15,11,2017
14-Nov-17,28.1,27.91,28.21,27.6,5.31M,0.46,SYMC,-0.214515552,-2.684797768,-12.80849734,14,11,2017
13-Nov-17,27.97,28.12,28.28,27.83,4.69M,-1.38,SYMC,-0.846262341,-2.698961938,-12.28945727,13,11,2017
10-Nov-17,28.36,28.41,28.44,27.99,4.59M,-0.8,SYMC,-0.629590766,-4.919678715,-12.20642769,10,11,2017
9-Nov-17,28.59,28.85,28.95,28.48,5.37M,-1.52,SYMC,-0.620048226,-1.803948264,-9.561128527,9,11,2017
8-Nov-17,29.03,28.68,29.09,28.58,6.74M,1.22,SYMC,0,-10.82089552,-9.269218602,8,11,2017
7-Nov-17,28.68,28.99,29.07,28.54,10.10M,-0.76,SYMC,0.311418685,-10.8,-8.230452675,7,11,2017
6-Nov-17,28.9,29.85,29.87,28.88,7.58M,-3.28,SYMC,-0.100401606,-7.898796668,-8.519767086,6,11,2017
3-Nov-17,29.88,29.01,29.95,28.87,11.00M,1.7,SYMC,-1.259360109,-9.598005609,-14.47523585,3,11,2017
2-Nov-17,29.38,29.32,30.23,28.33,26.68M,-8.64,SYMC,-8.830845771,-7.972379159,-12.99703264,2,11,2017
1-Nov-17,32.16,32.2,32.72,31.77,10.36M,-1.05,SYMC,-0.923076923,0.062150404,-3.157894737,1,11,2017
31-Oct-17,32.5,32.43,32.95,32.32,5.54M,0.28,SYMC,0.061709349,0.21631644,-1.786795881,31,10,2017
30-Oct-17,32.41,32.07,32.44,31.89,4.05M,1,SYMC,-0.062324712,-0.465549348,-2.165954851,30,10,2017
27-Oct-17,32.09,31.68,32.33,31.66,4.02M,0.72,SYMC,-0.564971751,-3.00061237,-3.444071929,27,10,2017
26-Oct-17,31.86,32.29,32.45,31.84,4.77M,-0.99,SYMC,0.341827222,-0.123724095,-2.358633202,26,10,2017
25-Oct-17,32.18,32.27,32.68,32.05,3.25M,-0.56,SYMC,-0.278121137,0.373250389,-2.360060514,25,10,2017
24-Oct-17,32.36,32.21,32.37,31.93,2.43M,0.43,SYMC,-0.031036623,0.624804749,-1.618814905,24,10,2017
23-Oct-17,32.22,32.72,32.76,32.16,2.89M,-1.35,SYMC,0.183710961,2.05864005,-0.395738204,23,10,2017
20-Oct-17,32.66,32.56,32.78,32.4,2.96M,1.02,SYMC,0.711413548,0.618046972,-1.393095094,20,10,2017
19-Oct-17,32.33,31.97,32.37,31.85,3.90M,0.56,SYMC,-0.559875583,0.219435737,-3.238498789,19,10,2017
18-Oct-17,32.15,32.04,32.2,31.93,2.38M,0.44,SYMC,0.093720712,1.36032901,-4.982206406,18,10,2017
17-Oct-17,32.01,32.02,32.17,31.93,2.17M,-0.16,SYMC,-0.124766064,1.36119025,-6.264637002,17,10,2017
16-Oct-17,32.06,32.42,32.48,32.02,2.97M,-0.93,SYMC,0.185414091,-0.643579528,-3.997631033,16,10,2017
13-Oct-17,32.36,32.14,32.49,32.08,3.36M,1.44,SYMC,0.752351097,-5.247641509,-3.309265945,13,10,2017
12-Oct-17,31.9,31.58,32.2,31.58,3.77M,0.92,SYMC,-0.094906675,-6.290801187,-4.157814871,12,10,2017
11-Oct-17,31.61,31.38,31.78,31.3,5.29M,0.06,SYMC,-0.664767331,-5.62406015,-5.139056832,11,10,2017
10-Oct-17,31.59,31.26,31.99,31.21,7.99M,-3.19,SYMC,-4.198590254,-5.330102968,-7.32285799,10,10,2017
9-Oct-17,32.63,32.89,33.25,32.18,8.17M,-3.8,SYMC,-3.036556604,0.33557047,0.427480916,9,10,2017
6-Oct-17,33.92,33.56,33.92,33.41,3.72M,0.65,SYMC,-0.415430267,2.285888449,6.101802087,6,10,2017
5-Oct-17,33.7,33.43,33.75,33.32,3.97M,1.35,SYMC,0.541353383,1.08859994,9.248366013,5,10,2017
4-Oct-17,33.25,32.92,33.3,32.64,4.16M,0.7,SYMC,-0.30284676,-0.393343419,11.21621622,4,10,2017
3-Oct-17,33.02,32.87,33.29,32.75,4.15M,0.73,SYMC,0.274557657,0.397067807,10.26501174,3,10,2017
2-Oct-17,32.78,33,33.08,32.74,5.43M,-0.09,SYMC,0.57909174,0.456621005,10.51574012,2,10,2017
29-Sep-17,32.81,33.16,33.33,32.72,5.22M,-0.79,SYMC,0.272149985,0.423985463,10.60707138,29,9,2017
28-Sep-17,33.07,32.89,33.1,32.4,3.72M,0.06,SYMC,-0.484114977,-0.453995157,10.03680161,28,9,2017
27-Sep-17,33.05,33.06,33.34,32.73,4.50M,0.95,SYMC,0.977397679,-1.957295374,11.35062311,27,9,2017
26-Sep-17,32.74,32.96,33.21,32.45,5.04M,-0.33,SYMC,0.334855403,-3.512880562,10.16042781,26,9,2017
25-Sep-17,32.85,32.86,32.94,32.5,5.20M,-0.51,SYMC,-0.484554815,-2.694699437,11.50322362,25,9,2017
22-Sep-17,33.02,32.9,33.18,32.5,4.27M,-0.06,SYMC,-0.423728814,-1.022864019,11.98093941,22,9,2017
21-Sep-17,33.04,33.64,33.67,33.03,5.43M,-2.02,SYMC,-0.237247924,2.094081942,15.16603903,21,9,2017
20-Sep-17,33.72,34.18,34.2,33.39,5.24M,-1.29,SYMC,0.058548009,3.325272068,18.84561892,20,9,2017
19-Sep-17,34.16,34,34.16,33.72,5.67M,1.15,SYMC,0.68107788,0.800474355,20.82444918,19,9,2017
